idEla,tema,concepto,acuerdo,fundamento
111,2,a_huelga,A,"sin el ejercicio efectivo de este derecho por parte de los trabajadores y trabajadoras, no hay capacidad real de negociar colectivamente. Es fundamental asegurar el respeto a los derechos fundamentales de las y los trabajadores."
158,2,a_huelga,A,La sindicalización como un organismo regulador y copartícipe de un estado. Velar por el derecho a sindicalizarse. Hay países en los que es un deber. Asegurar el bienestar de los trabajadores.
189,2,a_huelga,A,"Medio por el cual los trabajadores equilibran las fuerzas entre el empleador y el trabajador. Derecho de los trabajadores a sindicalizarse debe incluir derecho a la paralización efectiva, sin temor, represalias ni exigencias."
232,2,a_huelga,A,Como derecho universal.
263,2,a_huelga,A,"Todos deberían tener derecho a una instancia para ser escuchados en el aérea laboral, y poder acceder a sueldos dignos, siendo la huelga la forma de manifestar sus descontento, sin tener represalias por parte de sus empleadores."
296,2,a_huelga,A,como mecanismo que asegure la participación de los trabajadores en la decisión estratégica de la empresa
335,2,a_huelga,A,Nos da la posibilidad de reclamar por lo que está mal y debiese consagrarse sin represalias. El derecho a movilizarse es fundamental para la mejora de nuestra sociedad
356,2,a_huelga,A,"Efectiva, libre y sin restricciones."
377,2,a_huelga,P,La huelga debe ser un derecho establecido como ley en cualquier circunstancia.
389,2,a_huelga,A,"Que se incorpore este derecho al catalogo constitucional de manera que tenga protección constitucional, para que la huelga sea vista como una manera legítima y positiva por la sociedad."
401,2,a_huelga,A,.
423,2,a_huelga,A,herramienta para equiparar relaciones e incidir en la sociedad.
430,2,a_huelga,A,"EN CHILE NO TODOS LOS TRABAJADORES TIENEN DERECHO A HUELGA. POR TANTO, ESTE DERECHO DEBE ESTAR GARANTIZADO EN LA CONSTITUCIÓN, COMO HERRAMIENTA PARA QUE LOS TRABAJADORES PUEDAN HACER VALER SUS DERECHOS Y REIVINDICACIONES."
469,2,a_huelga,P,"-libertad de expresión, autonomía, expresión de opiniones -sujeto a lo que estás pidiendo"
504,2,a_huelga,A,Es propio de un Estado democrático
524,2,a_huelga,A,"Este derecho pertenece a los trabajadores, para manifestarse frente a la injusticia, desigualdades, abuso de poder, salarios bajos, preferencia por uno de los  géneros, mediante esta unión de fuerza como es la huelga se puedan lograr mejores conquistas para mejorar sus salarios y bienestar, de tal forma de mejorar la calidad de vida y el trabajo sea digno para vivir en plenitud. Las huelgas son herramientas para conseguir un fin en el ámbito que sea."
564,2,a_huelga,A,Es muy importante para las personas
572,2,a_huelga,A,Derecho a que la persona tenga su forma de manifestarse por lo que no se está de acuerdo
638,2,a_huelga,A,"Derecho a la huelga, a la sindicalización y negociación colectiva con posibilidad indefinida y con motivo deliberado. Toda persona tiene derecho a promover y participar. Debe haber una protección a las medidas rompe-huelgas. El Derecho a la Huelga es inherente al Derecho de Sindicalización."
649,2,a_huelga,A,"que no haya remplazo en huelga, que no haya miedo en las huelga para poder manifestarse"
732,2,a_huelga,A,"Fundamental en el Principio de Libertad Sindical, reconocida por Chile y Organismos Internacionales. De nada vale tener derecho a sindicalizarse si no hay derecho a huelga."
773,2,a_huelga,A,EL Trabajador debe tener el derecho a movilizarse
808,2,a_huelga,P,"Derecho que provocó discusión dentro de los participantes puesto que fue elegido también el derecho a sindicalizarse y por lo tanto se entendía redundancia y generalización. Sin perjuicio de ello, fue apoyado y consagrado debido a su importancia y alta consagración dentro de los participantes."
910,2,a_huelga,A,"derecho a huelga sin remplazo, el estado debe garantizar que esto se de en cualquier condición y lugar"
1006,2,a_huelga,A,"sin reemplazo, ni represalias"
1018,2,a_huelga,A,Los trabajadores tiene que tener garantizado en la constitución un medio para defender sus derechos o peticiones frente sus empleadores. También a la negociación colectiva y a sindicalizarse.
1033,2,a_huelga,A,"debe estar reconocido y garantizado este derecho, sin permitir la sustitución o reemplazo, ni el despido del trabajador que lo ejerce."
1218,2,a_huelga,A,PARA EXIGIR LOS DERECHOS LABORALES
1248,2,a_huelga,A,"el hecho  que no esté sería un retroceso para los trabajadores de nuestro país, hay que tener el espacio para manifestar sus problemáticas y que estas sean escuchadas por los empleadores."
1249,2,a_huelga,A,"Es un derecho principal, para darle fuerza a la negociaciòn que llevan a cabo grupos de trabajadores que ven vulnerados sus derechos."
1310,2,a_huelga,A,El Estado debe el garantizar derecho a huelga efectiva protegiendo al trabajador de persecución posterior. Los trabajadores del Estado no deben ser excluidos de este derecho.
1415,2,a_huelga,A,"Derecho fundamental de los trabajadores, única herramienta colectiva con que se cuenta para negociar la desigualdad inherente a la relaciones laborales."
1446,2,a_huelga,A,FORMAR SINDICATOS
1461,2,a_huelga,A,"Derecho a la movilización, manifestación social, protesta, entre otros."
1477,2,a_huelga,P,Poder manifestarse
1566,2,a_huelga,A,A
1585,2,a_huelga,A,No sean reemplazados los trabajadores en huelga
1586,2,a_huelga,A,Es importante que se consagre este derecho en la Constitución ya que es una herramienta que tienen los trabajadores que negocian.
1620,2,a_huelga,A,Es la forma que tienen los obreros de defender sus derechos y  conquistas laborales y aspirar a condiciones mas dignas.
1621,2,a_huelga,A,Cada trabajador tiene derecho a movilizarse y a no perder su puesto laboral por mejorar sus condiciones laborales.
1685,2,a_huelga,A,"Toda y todo trabajador, tanto pùblico como privado, està en el derecho de exigir mejores en las condiciones laborales a travès de la huelga."
1698,2,a_huelga,P,DEBE INCLUIRSE EN LA CONSTITUCION (no está) REGULANDOSE Y CAUTELANDOSE EL BIEN COMUN.
1822,2,a_huelga,A,"Reconocer constitucionalmente este derecho fundamental, terminar con la posibilidad de reemplazo salvo situaciones excepcionales y otorgar mayor protección laboral al trabajador movilizado."
1929,2,a_huelga,A,"Derecho a la huelga legal y sin reemplazo para todos los sindicatos, es una forma de manifestar el descontento de los trabajadores."
1950,2,a_huelga,A,La constitución debe defender el derecho de los trabajadores a organizarse y reclamar por mejores condiciones y por actos justos del empleador con sus empleados.
2172,2,a_huelga,A,Derecho garantizado por el código laboral. Fin al reemplazo a la huelga.
2218,2,a_huelga,A,Que se establezca el derecho a huelga como derecho fundamental.
2250,2,a_huelga,A,"Conflicto se inicia por la producción capitalista (existe un jefe y un subordinado. Vinculo de dependencia asimétrico). La única manera de equiparar fuerzas, es el derecho a la huelga efectivo. La huelga debe ser también un derecho para los funcionarios públicos."
2288,2,a_huelga,A,rebelarse y acompañar a sus compañeros.
2298,2,a_huelga,A,"el trabajador viendo mermadas sus condiciones laborales debe tener garantizado su derecho a manifestarse mediante la huelga, SIN SER SUSTITUIDO EN SUS LABORES NI SER DESPEDIDO DE SU TRABAJO."
2299,2,a_huelga,A,es un derecho universal que Chile ratifico en los acuerdos con la OIT
2324,2,a_huelga,A,poder manifestarse sin temor a represalia de ningún tipo
2334,2,a_huelga,A,"Debe haber huelga sin reemplazo de ninguna especie, ni subterfugios administrativos."
2394,2,a_huelga,A,"Sea efectivo el derecho a huelga, sin sanciones, Todos los trabajadores que ingresan a una empresa sean sindicalizados y ojala un sindicato único. Que en los servicios públicos exista un solo gremio Sindicato único, manejado por escalafón"
2476,2,a_huelga,A,El Estado debe garantizar el derecho a huelga como método de presión en favor de los trabajadores.
2588,2,a_huelga,A,Trabajadores y Trabajadoras deben poder optar por realizar una huelga en el caso que las condiciones laborales sean diferentes para ellos
2785,2,a_huelga,P,.
2814,2,a_huelga,P,Con la condición de establecer pactos con el estado post-conversaciones para asi asegurar una manifestacion pacífica.
2875,2,a_huelga,A,Es fundamental para los trabajadores tener derecho a manifestarse por el buen funcionamiento en el trabajo y evitar el abuso del patronazgo sobre sus trabajadores.
2897,2,a_huelga,A,Entendido como uno de los medios legítimos fundamentales de que disponen los ciudadanos y trabajadores para la promoción y defensa de sus derechos laborales
2955,2,a_huelga,A,"Sin condiciones, organizados en sindicatos o gremios y que permitan la negociación colectiva al sector publico y privado. Esto se lograra solo por la vía de una asamblea constituyente"
3043,2,a_huelga,A,TODO CIUDADANO DEBE TENER DERECHO A MANIFESTARSE
3085,2,a_huelga,A,"La huelga como derecho fundamental, también debe estar garantizada por la constitución, para que tenga sentido y hacer efectivo el derecho a la Sindicalizacion y negociación colectiva."
3095,2,a_huelga,P,Única forma para que el empleador dignifique a sus trabajadores.
3126,2,a_huelga,A,Derecho a manifestar sus diferencias o peticiones  sin represalias que afecten su estabilidad laboral
3172,2,a_huelga,A,Los trabajadores deben tener el legitimo derecho a pertenecer  a una asociación o sindicato y este debe procurar el derecho a huelga con toda garantía
3181,2,a_huelga,A,derecho a huelga y  titularidad sindical acuerdo total
3189,2,a_huelga,A,"Huelga pacífica, voluntaria, y sin tomas"
3199,2,a_huelga,A,A
3229,2,a_huelga,P,Garantizar las herramientas necesarias para poder establecer acuerdos junto a todos los trabajadores.
3272,2,a_huelga,A,Que haya derecho a huelga pacífica y las personas que pidan salir a las calles los organizadores se hagan cargo de pagar lo que se destruye y si son menores de edad que los padres se responsabilicen por el daño causado.
3273,2,a_huelga,A,Que el Estado asuma los convenios internacionales ratificados por Chile y que se encuentran vigentes  en relación con el derecho de huelga de los empleados públicos; así como también la regulación de los empleados a honorarios.
3337,2,a_huelga,A,Existen tratados ratificados por Chile que resultan inaplicables por esta constitución
3355,2,a_huelga,A,Es un derecho por cual se debe respetar y un deber de los trabajadores. la huelga es la única herramienta para poder proteger a los trabajadores
3380,2,a_huelga,A,sin derecho a reemplazo.
3381,2,a_huelga,A,Derecho a la huelga efectiva
3408,2,a_huelga,A,Que sea sin reemplazo ni interno ni externo y con Derecho a Huelga dentro y fuera del marco de la negociación colectiva.
3444,2,a_huelga,A,GENERAR UN ESPACIO DE REFLEXIÓN Y ENTENDIMIENTO CON RESPECTO AL SINDICALISMO Y HUELGA. ELIMINAR CONDICIONES PARA SER DE SINDICATO.
3455,2,a_huelga,A,"Este concepto está ligado a la negociación colectiva, al salario equitativo, a sindicalizarse."
3545,2,a_huelga,A,es una herramienta para equilibrar la asimetría de poderes entre trabajadores y empleadores
