idEla,tema,concepto,acuerdo,fundamento
3,2,a_la_educación,A,Con educación se puede decidir en forma libre y responsable. Todos debemos tener derecho a ella para la movilidad social.
8,2,a_la_educación,A,"la educación como derecho garantiza la igualdad entre las personas, más allá de sus condiciones de nacimiento."
9,2,a_la_educación,A,"Esencial, genera nivelación social, elimina desigualdades."
11,2,a_la_educación,A,Igualdad de acceso independiente del ingreso económico de cada uno.
12,2,a_la_educación,A,"Debemos contar con el derecho a la educación como una forma de desarrollar una sociedad capacitada para tomar decisiones con conocimiento, con ganas de elegir y decidir entre las distintas ideas."
14,2,a_la_educación,A,"El estado asegure que todos los chilenos podamos acceder a una educación de calidad, sin importar lo que podamos pagar, y en todos los niveles."
16,2,a_la_educación,A,"derecho a la gratuidad, a una educación digna y profesores con vocación y mejores remunerados"
17,2,a_la_educación,A,Educación gratuita y de calidad para todos los chilenos. Esta es la base de todo e impulsa enormemente al país hacia un desarrollo real.
19,2,a_la_educación,A,Es importante que todas las personas tengas el mismo acceso a la educación de calidad para tener un desarrollo de conciencia social.
20,2,a_la_educación,A,Educación pública gratuita y de calidad. Fin efectivo del lucro.
29,2,a_la_educación,A,Gratis y de calidad para todo ciudadano
33,2,a_la_educación,A,"modificar acceso a la educación superior, dando fin  a la PSU. Fin a la jornada escolar completa. eliminar evaluación docente."
35,2,a_la_educación,A,"Derecho humano. Necesario para enriquecernos como país y ser consciente de la propia realidad y otras realidades, para tener una igualdad y una democracia efectivas, y para una realización plena de las personas y de la sociedad en su conjunto. Pública, gratuita y de calidad en todos sus niveles."
46,2,a_la_educación,A,"A un educación de calidad, para el desarrollo de cada habitante de la república."
55,2,a_la_educación,A,Sin comentarios
56,2,a_la_educación,A,"Debido a que todos merecen estudiar y ser alguien en la vida, Esto no contempla a las personas que no quieren estudiar,"
59,2,a_la_educación,A,"Que la educación sea de calidad, ya que es la base de toda sociedad y crecer en cultura, medio ambiente, cívico, etc. Que no sea un medio de lucro. Un país con educación es capaz de elegir. La educación es una herramienta que en las personas genera cambios y crecimiento."
61,2,a_la_educación,A,"Que sea digna, de calidad, igualitaria y gratuita para todos."
63,2,a_la_educación,A,"Asegurar la calidad en general de la educación, tanto de los usuarios como trabajadores e infraestructura."
65,2,a_la_educación,A,que la educación sea gratuita pero de calidad
66,2,a_la_educación,A,Todos deberíamos tener derecho a la educación sin importar nuestros ingresos.
68,2,a_la_educación,A,"Es un derecho fundamental  que funciona como un pilar  base de la sociedad. El Estado  debe garantizarla en forma gratuita, de calidad y con la dignidad y nivel  que  todos merecemos."
74,2,a_la_educación,A,- Base del desarrollo social. - Genera y nivela oportunidades. - Permite tener ciudadanos activos y responsables. Continuidad de la civilización.
75,2,a_la_educación,A,Desde la formación de profesores a la integración de la diversidad de estudiantes.
76,2,a_la_educación,A,garantizada por el estado.
78,2,a_la_educación,A,"Gratuita, de calidad en básica, media y superior. A todo evento sin distinción."
79,2,a_la_educación,A,"Fundamental. Entendiéndose como una educación pensada en un bien país. Desde la educación básica a la educación superior, con una regulación estatal (no municipal ni menos lucrativa/empresarial), de calidad, basada en las necesidades del país, inclusiva y accesible."
80,2,a_la_educación,A,xxxxxx
81,2,a_la_educación,A,"De calidad, gratuita, universal, no discriminatoria"
85,2,a_la_educación,A,"Pública, gratuita y de calidad que las escuelas tengan un efecto remedial respecto a condiciones de entrada de los niños, rescate e importancia de las escuelas"
86,2,a_la_educación,A,"Debe ser un derecho, de calidad y gratuito para todos y todas."
89,2,a_la_educación,A,El Estado debe entregar educación gratuita y de calidad.
91,2,a_la_educación,A,El estado debe garantizar una educación gratuita y de calidad asegurado desde la base con los ingresos necesarios para que funcione.-
94,2,a_la_educación,A,Fundamental para la movilidad social.
95,2,a_la_educación,A,"Porque es un pilar fundamental, porque se puede prevenir cosas. La educación engloba otras cosas, esto puede llevar a disminuir delincuencia, mejora la salud, al ser educado sabes cuáles son tus derechos y deberes. porque la educación es basal para  todos los otros  derechos"
96,2,a_la_educación,A,Calidad Gratuita Pluralista  Cívica.
98,2,a_la_educación,A,Bien básico que permite otorgar igualdad de oportunidades a las personas y acortar  la brecha socio económica.
100,2,a_la_educación,P,"Permite la igualdad de oportunidades, y por lo tanto es la base del desarrollo equitativo y justo del país."
101,2,a_la_educación,A,"Es un derecho fundamental y se debe garantizan que no se transe como un producto o mercancía. Debe ser permanente e integral, abarcando todas las etapas de la vida."
104,2,a_la_educación,A,"Es la base de toda persona y sociedad, para el desarrollo individual y colectivo. Permite construir un país con base sólida, pensando en el futuro."
106,2,a_la_educación,A,"Garantizar el acceso a una educación pública, gratuita y de calidad; para todas las personas, independiente de su nivel económico y nacionalidad."
108,2,a_la_educación,A,todas las personas tienen derecho a una educación de calidad y gratuita en todos los niveles.
110,2,a_la_educación,A,El Estado debe asegurarle a todos los ciudadanos el derecho a educación de calidad.
112,2,a_la_educación,A,"IGUAL QUE EN SALUD, DE CALIDAD, EDUCACIÓN  GRATUITA PORQUE ES LA BASE DEL DESARROLLO DEL PAIS. EL SISTEMA EDUCACIONAL ACTUAL PERPETUA LA POBREZA"
114,2,a_la_educación,A,Porque es la base para avanzar en otros temas. Otorga igualdad de oportunidades.
115,2,a_la_educación,A,Elemental para optar a un país desarrollado
117,2,a_la_educación,A,"La mejor fuente de superación social y de la pobreza, es la educación. Es la única que rompre el círculo vicioso de la pobreza."
118,2,a_la_educación,A,Educación pública gratuita de calidad. No gratuidad universal
124,2,a_la_educación,A,.
125,2,a_la_educación,A,Educación gratuita y de calidad para todos los niños y jóvenes del país.
126,2,a_la_educación,A,"EL ESTADO DEBE GARANTIZAR EL DERECHO A LA EDUCACIÓN PARA TODOS, EN TODOS LOS NIVELES EDUCATIVOS."
129,2,a_la_educación,A,El estado debe garantizar el acceso a la gratuidad y la calidad a la educación
130,2,a_la_educación,A,"Que haya equidad y de calidad. Que el costo de la educación sea igual a los ingresos familiares, que la educación sea integral y cívica."
133,2,a_la_educación,A,"no pueden haber personas sin educación, digna,  y gruita."
138,2,a_la_educación,A,DERECHO CONSTITUCIONAL
139,1,a_la_educación,A,"La educación es la esencia básica de una nación y su futuro, por lo tanto el estado debe garantizar que esta sea de excelencia , gratuita, integradora y que ademas de conocimiento permita que se potencie las capacidades personales con centro en el desarrollo humano como ente básico de la sociedad."
140,2,a_la_educación,A,Que el Estado garantice un acceso gratuito y de calidad a la educación en todos sus niveles
141,2,a_la_educación,P,Acceso a una educación pública y de calidad en todos sus niveles. Existió discusión si debiese ser gratuita para todos sobre todo en el nivel superior.
143,2,a_la_educación,A,"Es una demanda de los movimientos sociales, una educación laica, de calidad y gratuita."
144,2,a_la_educación,A,"Es la base de desarrollo de cada individuo y para promover el desarrollo del país. A nivel individual, familiar y a colegio y/o universidad. Debe haber igualitaria y de calidad, sobre todo calidad. Promover formación de profesores."
147,2,a_la_educación,A,Derecho fundamental de todo ciudadano a tener acceso a la educación sin diferencia de clases sociales.
148,2,a_la_educación,A,ENTENDEMOS EL DERECHO A LA EDUCACION COMO UN DERECHO PRIMORDIAL EN CHILE DEBE SER GRATIS Y DE CALIDAD PARA TODOS LOS SECTORES SOCIALES.
151,2,a_la_educación,A,Derecho a tener un título profesional sin lucros e igualdad para que nuestros propios hijos tengan buen futuro
156,2,a_la_educación,A,"Porque es un derecho que debe garantizar a todas las personas independiente de su condición social. Promoverá el desarrollo  humano, fomentando ciudadanos, autónomos, libre, democráticos y respetuosos."
158,2,a_la_educación,A,Gratuita y de calidad
159,2,a_la_educación,A,profesionales con etica. no lucro. de calidad
161,2,a_la_educación,A,"Se considera un Derecho fundamental, que es el verdadero trampolín para la movilidad social y que debe asegurarse su calidad para todos."
164,2,a_la_educación,A,"La educación garantizada por el Estado genera que el país avance en el desarrollo en todo ámbito, en su capacidad de autogobernarse y en su calidad de vida."
165,2,a_la_educación,A,Derecho que debe ser garantizado por el Estado asegurando calidad y respeto.
168,2,a_la_educación,A,"Queremos una educación publica, gratuita y de calidad para todos. No queremos que el Estado subsidie instituciones educacionales privadas con fines de lucro."
169,2,a_la_educación,A,EDUCACIÓN A CARGO DEL ESTADO Y CON INSTITUCIONES TAMBIÉN DEL ESTADO
171,2,a_la_educación,A,gratuita y de calidad escencialmente para forjar una mejor humanidad
177,2,a_la_educación,A,"Es el ámbito que tiene  mayor influencia en todos las demás temáticas, permite el acceso a más información, a proponer y a manifestarse por sus intereses. Teniendo a personas educadas, en el largo plazo serán capaces de entender los procesos cívicos, políticos y sociales que ocurran en el país."
178,2,a_la_educación,A,"Entregada por el Estado  en instituciones que aseguren una educación integral y, por ende de calidad, gratuita y laica. Que se termine con el lucro. Incrementar la inversión del Estado en la Educación Técnico -Profesional"
181,2,a_la_educación,A,Todos de acuerdo
187,2,a_la_educación,A,Educación gratuita y de calidad base para acabar con la desigualdad.
189,2,a_la_educación,A,Garantía de acceso y goce a la educación de excelencia. Debe ser un derecho centrado en el educando y en el profesor. Debe ser inclusivo de toda la comunidad académica y debe estar cimentado desde un gran acuerdo-país.
193,2,a_la_educación,A,No hay fundamentos más allá de la discusión.
194,2,a_la_educación,A,Basico para el desarrollo de los individuos y asegura una experiencia humana digna
198,2,a_la_educación,A,Se requiere un rol más activo del Estado.
200,2,a_la_educación,A,Garantizada por el Estado considerando estándares internacionales de manera continua en la vida de las personas. El Estado debe garantizar la educación gratuita y de calidad. desmunicipalizar la educación.
202,2,a_la_educación,A,"Derecho esencial, básico."
