idEla,tema,concepto,acuerdo,fundamento
16,2,a_la_honra__al_honor,A,Derechos a ser destacados por los méritos de cada uno así también los logros.
57,2,a_la_honra__al_honor,A,respetar al otro mediante sus cualidades personales y por el hecho de ser persona.
131,2,a_la_honra__al_honor,A,Nadie puede afectar libremente la honra del las personas. El respeto y la tolerancia son claves.
293,2,a_la_honra__al_honor,A,Fundamento de la honra de las personas. El respeto mutuo y el respeto a  las instituciones.
450,2,a_la_honra__al_honor,P,"Nadie puede arbitrariamente manchar el honor o nombre de una persona. Debiera prohibirse a la prensa publicar los nombres de las personas imputadas, pues eso afecta automáticamente a los hijos"
671,2,a_la_honra__al_honor,A,Porque asegura el respeto y la dignidad a los miembros de la sociedad.
1208,2,a_la_honra__al_honor,A,la dignidad y el respeto por la persona humana debe ser considerado como un derecho inalienable.
1529,2,a_la_honra__al_honor,A,"Dignidad , es inherente a cada ser humano. LA honra, es un derecho basico,para cada persona"
2270,2,a_la_honra__al_honor,A,Los seres humanos no deben ser denigrados o humillados
2321,2,a_la_honra__al_honor,A,DE TODOS LOS SERES HUMANOS SIN DISCRIMINACIÓN.
2369,2,a_la_honra__al_honor,A,es necesario cuidar el respeto hacia los otros y nosotros mismos.
3645,2,a_la_honra__al_honor,A,este es un valor bastante perdido por nuestros jóvenes que no saben lo que es no tener un honor y honra; esto es por la poca educación que han recibido de las instituciones.
3919,2,a_la_honra__al_honor,A,"Reconocer a la autoridad desde la familia hasta el ámbito público, para lograr respeto y crecimiento social, que es un aspecto importante de la democracia."
4007,2,a_la_honra__al_honor,A,.
4017,2,a_la_honra__al_honor,A,es fundamental para las personas
4047,2,a_la_honra__al_honor,A,Revisión de tratados internacionales que afecten negativamente al no cumplimiento de los derechos humanos de las personas chilenas que viven dentro y fuera del país
4131,2,a_la_honra__al_honor,P,Es importante defender la honorabilidad de la persona como un valor cualitativo y relevante.
4334,2,a_la_honra__al_honor,A,"Que me valoren, me reconozcan y respeten dignidad personal."
4400,2,a_la_honra__al_honor,A,"La honra de las personas debe estar garantizada por ley. atentar contra la honra de personas con mentiras y calumnias o montajes debe ser penalizado con cárcel,"
4605,2,a_la_honra__al_honor,A,"Significa que lo consideren como persona, como ser capaz."
4733,2,a_la_honra__al_honor,A,(10/10) EL ESTADO DEBE PROTEGER LA IMAGEN DE LOS CIUDADANOS HACIA LA SOCIEDAD Y PROTEGER LA INVACION A LA VIDA PRIVADA
5012,2,a_la_honra__al_honor,A,Nos hemos ganado ser chilenos.
5034,2,a_la_honra__al_honor,P,"Es un derecho que diariamente es pasado a llevar, debemos saber respetar y principalmente saber pedir disculpas cuando ofendemos la honra y honor de otra persona."
5085,2,a_la_honra__al_honor,A,Somos inocentes hasta que se nos demuestre lo contrario.
5233,2,a_la_honra__al_honor,A,para todo individuo sin importar raza o nacionalidad
5250,2,a_la_honra__al_honor,A,Garantizar la proteccion de la Idoneidad y cualidad moral de las personas .
5499,2,a_la_honra__al_honor,A,Proteger derecho a la dignidad y honor de las personas
5578,2,a_la_honra__al_honor,A,"fundamental de toda persona, es la evaluación que cada persona hace de sí misma, como, desde una perspectiva externa, el reconocimiento que los demás hacen de la dignidad de cada persona. En ocasiones hay personas acusadas y sentenciadas injustamente,luego al  investigar se descubre lo contrario."
5758,2,a_la_honra__al_honor,A,Para poder limpiar tu reputacion
