idEla,tema,concepto,acuerdo,fundamento
77,2,a_la_identidad_cultural,A,"Las personas deben tener derecho a que todos los elementos que conforman su patrimonio cultural sean conservados y promovidos, en tanto se trata de un elemento fundamental en la construcción de la identidad de la diversidad nacional."
82,2,a_la_identidad_cultural,A,"Si no me identifico, no me siento participe o patriota."
166,2,a_la_identidad_cultural,A,"Los espacios públicos deben estar disponibles para el desarrollo cultural de la ciudadanía. El derecho a la cultura debe estar garantizado por el estado sin limitaciones por condiciones económicas, etarias y sociales."
169,2,a_la_identidad_cultural,A,PARA TODOS LOS PUEBLOS ORIGINARIOS DE CHILE
178,2,a_la_identidad_cultural,A,"Garantizar la mantención y el rescate de los elementos que constituyen tradiciones y/o costumbres de lo urbano y rural, incluyendo los pueblos originarios"
198,2,a_la_identidad_cultural,A,"Creemos en el respeto de las distintas culturas. De la forma como todos quieren vivir. Se vincula no sólo con la tolerancia, sino con la diversidad."
214,2,a_la_identidad_cultural,A,Nos enfocamos en los otros en vez de nosotros perdiendo nuestra identidad
239,2,a_la_identidad_cultural,A,-
289,2,a_la_identidad_cultural,A,"Se entiende como el derecho desarrollar proyectos de vida que reflejen la idiosincrasia nacional, reconocer nuestra originalidad y otorgarle valor."
364,2,a_la_identidad_cultural,A,Derecho que debe garantizar un reconocimiento e inclusion de los diferentes grupos culturales por parte del estado
523,2,a_la_identidad_cultural,A,DERECHO A TENER UNA IDENTIDAD Y NO SER ANIQUILADO POR OTRA
603,2,a_la_identidad_cultural,A,"El yo, está primero que la nacionalidad. Tiene que ver con la memoria, la persona, el grupo, la pertenencia, y las experiencias.  Es necesario reconocer todas las identidades culturales que hay y el Estado tiene que garantizar la expresión de esta  y espacios para que se desarrolle."
737,2,a_la_identidad_cultural,A,"Cultivar como país la identidad cultural que nos identifica, respetando las diferencias culturales geográficas, de etnias, de colonias residentes. Poder ser un país multicultural donde la expresión del arte, de las costumbres, de la educación de su propia cultura, sea respetada e incluyente."
748,2,a_la_identidad_cultural,A,Para todos los chilenos y Pueblos Originarios.
813,2,a_la_identidad_cultural,A,"debemos respetar nuestra identidad cultural, de ahí venimos."
851,2,a_la_identidad_cultural,A,Respetar y fomentar la identidad territorial. Vinculado a las descentralización.
867,2,a_la_identidad_cultural,A,"Que se respete la identidad cultural, que tenga el mismo trato por el  Estado"
936,2,a_la_identidad_cultural,A,Establecer derecho y el resguardo de la identidad cultural. El estado debe facilitar y permitir que cada individuo pueda expresa de forma libre sus características culturales
938,2,a_la_identidad_cultural,A,LA CULTURA ES DE TODOS Y LA ESTAMOS PERDIENDO. DEBE SER DE TODOS.
967,2,a_la_identidad_cultural,A,Esto nos permite estar orgulloso de lo que somos
1021,2,a_la_identidad_cultural,P,"Garantizar el derecho a la autonomía política organizacional económica, de salud y de educación, de las diversas identidades culturales, pueblos indígenas y tribales Que se respeten las distintas manifestaciones de la cultura, siempre que se encuentren dentro del marco del bien común."
1022,2,a_la_identidad_cultural,P,"Para favorecer el carácter multicultural de nuestro pueblo, alentando la expresión de sus riquezas y no sometiéndolo a las culturas impuestas por ideologías afuerinas."
1061,2,a_la_identidad_cultural,A,"conjunto de valores, orgullo, tradiciones, la nacionalidad, la lengua y la cultura misma del país, etnia, extranjeros entre otros."
1118,2,a_la_identidad_cultural,P,Derecho de la mujer a elegir sistema de parto según las costumbres de su etnia. Derecho de no vacunar. Servicio Público tiene que dar un buen trato y adaptarse a las necesidades culturales de cada persona.
1156,2,a_la_identidad_cultural,A,"Que cada uno pueda participar de su propia cultura, incluso sub-cultura."
1167,2,a_la_identidad_cultural,A,la diversidad es riqueza. para ello debemos tener derecho a las manifestaciones culturales.
1199,2,a_la_identidad_cultural,A,"El Estado respetar la identidades de cada persona como también de la cultura e identidad de grupos de personas. Hacemos hincapié en el respeto y valoración de la cosmovisión indígena su cultura y propiedades, se debe evidenciar con representación. También al respeto y protección de los inmigrantes."
1254,2,a_la_identidad_cultural,A,"""A LA IDENTIDAD CULTURAL DE LOS PUEBLOS INDÍGENAS (ORIGINARIOS)"" . Tienes que ver con el principio de la DIVERSIDAD. Reconoce nuestra historia y las diferencias que existen entre tradiciones culturales."
1335,2,a_la_identidad_cultural,A,"El Estado debe reconocer, valorar, proteger y promover las distintas culturas existentes dentro de nuestro territorio."
1351,2,a_la_identidad_cultural,A,"A ser respetado en la diversidad cultural, a pertenecer a un pueblo originario, con costumbres y usos particulares"
1363,2,a_la_identidad_cultural,A,Políticas públicas acorde a la especificidad de los pueblos indígenas y las diversas identidades culturales que viven en el país
1382,2,a_la_identidad_cultural,A,"Se debe garantizar a toda persona una protección especial de su identidad individual frente al colectivo. Asimismo, el Estado debe hacerse cargo de la cultura e identidad de grupos de personas con distintos idearios y tradiciones,  protegiendo cada una de estas manifestaciones."
1409,2,a_la_identidad_cultural,A,"El derecho a vivir en base a los principios de culturas diferentes debiese ser resguardado ante toda circunstancia. Sobre todo en un país, donde históricamente se ha adoptado una lógica de asimilación cultural de los pueblos originarios, negando sus raíces culturales y creencias."
1423,2,a_la_identidad_cultural,A,"es necesario que se revitalicen los mecanismos para que cada ciudadano sepa claramente cual es su origen, un pais sin historia no tiene memoria."
1483,2,a_la_identidad_cultural,A,"Que se reconozca lo que nos identifica y une como país, pero también que somos una sociedad diversa dentro del país y se respete."
1502,2,a_la_identidad_cultural,A,"Una comunidad sin cultura, no tiene memoria."
1574,2,a_la_identidad_cultural,A,porque debe haber derecho a la cultura a la autodeterminación de tu identidad.
1613,2,a_la_identidad_cultural,A,"Respetar distintas etnias, respetar la libertad de culto. Como cualquier otra expresión cultural."
