idEla,tema,concepto,acuerdo,fundamento
46,2,a_la_información,A,Que la información que los ciudadanos accedan esa transparente y que sea accesible para todos.
56,2,a_la_información,A,Todos deben informarse  respecto que nadie es menos o más para saber.
66,2,a_la_información,A,Todos deberíamos tener información de lo que pasa en nuestro país.
75,2,a_la_información,A,"Mayor información, mayor libertad de expresión ciudadana."
79,2,a_la_información,A,"A una información honesta, con regulación en medios de comunicación que eviten la manipulación social. Una información cívica, ciudadana y cultural, desde el colegio hasta la universidad, protegida desde ahora en adelante."
87,2,a_la_información,A,"Derecho a la información de todas las leyes, FIN a la letra chica de los contratos, NO a la censura"
94,2,a_la_información,A,Evitar los voladores de luces y las leyes mordaces.
139,2,a_la_información,A,"El crecimiento y  desarrollo del país requiere de gastos de recursos del estado, por lo tanto es  necesario que haya suficiente información y transparencia en el uso de estos."
166,2,a_la_información,A,"Que existan verdaderos medios de comunicación públicos, con financiamiento del estado, que informen, eduquen y entretengan. Que se promuevan además medios comunitarios y sociales."
194,2,a_la_información,A,Basico para aprovechar las oiportunidades.
198,2,a_la_información,A,Este derecho permite al pueblo ejercer un control sobre el poder.
205,2,a_la_información,A,"- Debe existir libertad para acceder y generar información, de libre acceso y sin restricciones por parte del Estado, para todas las personas - El Estado debe promover los espacios y los medios de comunicación, resguardando la tolerancia y diversidad de opinión y evitando la concentración de medios"
209,2,a_la_información,A,"Todas las personas tenemos el derecho de estar informados de los acontecimientos que ocurren en el país. En donde la información sea clara, real y completa. De esta forma además se podrá generar mayor unidad entre regiones."
239,2,a_la_información,A,-
243,2,a_la_información,A,En democracia la información es parte del conocimiento que logra desarrollar a las naciones y les otorga su carácter.
245,2,a_la_información,P,Porque tenemos derecho a saber lo que pasa a nuestro alrededor.
253,2,a_la_información,A,Se traduce en el principio del Accountability
256,2,a_la_información,A,Todos los ciudadanos deben tener acceso a la información sin restricciones.
297,2,a_la_información,A,"Toda persona debe tener derecho a acceder a las diversas fuentes de informacion, garantizandose la libertad de expresion, de prensa y de providad, siendo asi mismo publicos y trasparentes todos los actos publicos."
312,2,a_la_información,A,"Oportuna, clara, igualitaria, fácil acceso."
358,2,a_la_información,A,"importancia del acceso a la información publica, del estado, de los tribunales y los medios de comunicación."
378,2,a_la_información,A,Considerado por todos como un Derecho fundamental
392,2,a_la_información,A,La libertad de expresión es un derecho fundamental que debe ser garantizado por el estado y se debe entender con el ejercicio libre de comunicar de manera respetuosa y responsable visiones y opiniones. La libre expresión debe garantizar la seguridad y espacios para compartir puntos de vistas de como se percibe la realidad.
404,2,a_la_información,A,"No existen medios pluralistas y la información no es transparente. Se necesitan abrir canales de TV, televisión comunitaria, democratizar las comunicaciones."
417,2,a_la_información,A,La información es base y entrega poder para tomar decisiones
444,2,a_la_información,A,derecho a toda info realizada con fodos publicos
464,2,a_la_información,A,Estamos de acuerdo
475,2,a_la_información,A,"Transparencia, probidad. acceso a ésta en todos los ámbitos."
502,2,a_la_información,A,sin información no se puede elegir libremente
507,2,a_la_información,A,como medida fortalecedora de la democracia y de ciudadanos conscientes.
564,2,a_la_información,A,Entendiendo que a la información también incluye la información pública
567,2,a_la_información,A,Que debemos estar informados de  forma inparcial.
639,2,a_la_información,A,Un derecho de todas las personas contar con información fidedigna y con acceso a todo el  teriitorio nacional.
641,2,a_la_información,A,"Las leyes aprobados y decisiones, tengamos conocimientos y que tengamos acceso a esa información. Como pueblos originarios conozcamos las decisiones tomadas a nivel central y comunal, ya que se cierran las puertas en los consejos municipales."
653,2,a_la_información,A,"Debe finalizar la concentración de medios informativos de masas, en manos de grupos monopólicos y oligárquicos."
678,2,a_la_información,A,"Es bueno que los ciudadanos tangamos acceso a la información de gestiones que nos afecten , como proyectos municipales u otros. Tambien el tener acceso a la información para culturalizarse y educarse."
680,2,a_la_información,A,"Es importante, porque no estar informado nos impide aprender de las experiencias de otros,  acceder a beneficios y aprovechar oportunidades de desarrollo. No es posible que los organismos públicos cobren por información pública."
689,2,a_la_información,P,"Que el conocimiento sea público, transparente y accesible."
691,2,a_la_información,A,"La información da seguridad, está relacionada con la transparencia. Debe estar ligado a la libertad de expresión."
720,2,a_la_información,P,Es vital para saber que decisiones tomamos y como actuar.
733,2,a_la_información,A,Libertad de acceso a la información pública y privada. Que los grupos económicos no controlen ni concentren la información.
737,2,a_la_información,A,Derecho a estar Informado de las cosas relevantes donde las personas puedan opinar o tener derecho a voto para las decisiones.
752,2,a_la_información,P,Tenemos derecho a ser informados sobre lo que ocurre en realidad de una manera objetiva.
769,2,a_la_información,P,Derecho a la informacion y libre expresion de ella. Poder acceder a la informacion de caracter publica de manera simple.
808,2,a_la_información,A,Elegido por los participantes existiendo consenso en el dudoso y corregible manejo de la información por los grandes medios de comunicación establecidos en el país.
831,2,a_la_información,A,"Derecho a la información fidedigna, sin sesgo, oportuna y veraz."
871,2,a_la_información,A,"Mejorar los canales de información por parte del Estado. Mejorar el acceso a la información, que sea eficaz, oportuna y verídica."
891,2,a_la_información,P,"Que sea oportuna, real, sin ser censurada por ningún medio por no representar ideologías, imparcial."
916,2,a_la_información,A,"La libertad de información es fundamental para una sociedad y cultura democrática. Se deben potenciar mecanismos de absoluta transparencia en la gestión administrativa de nuestro Estado, para poder potenciar una libertad de expresión plena del  resto de la comunidad."
922,2,a_la_información,A,El pueblo tiene derecho a informarse.  Información entregada por quién corresponde
924,2,a_la_información,A,"No hay democracia si existe concentración en la propiedad de los medios de comunicación, hay que garantizar medios impresos, radiofónicos  y audiovisuales de carácter  local, comunal y de organizaciones sociales"
927,2,a_la_información,A,porque todos merecemos saber lo que esta pasando
936,2,a_la_información,A,El estado asegurará el acceso a la obtención de la información de interés público. La entrega de información debe ser total y fidedigna.
953,2,a_la_información,P,Con el objeto de tener un libre desarrollo de áreas de información en todo sentido.
968,2,a_la_información,A,Promover la información y el derecho a informarse.  Sancionar la promoción intencionada de la desinformación.
1018,2,a_la_información,A,"Las personas necesitan no sólo que se garantice el derecho a la libertad de expresión, sino también a recibir información no manipulada, oportuna, veraz, que sea de libre circulación y que nazca de las mismas personas para comunicarse, educarse, informarse, utilizando medios escritos y digitales."
1021,2,a_la_información,A,"Debe ser encontrable, accesible y difundible. El estado debe ser activo al evitar el monopolio de la información y en la protección de la información personal"
1051,2,a_la_información,P,Es importante pero no lo suficiente para priorizarlo
1055,2,a_la_información,P,Si se nos oculta información no podemos opinar libremente.
1073,2,a_la_información,P,sin censura ni sesgo político.
1102,2,a_la_información,A,"Acceder a la información de manera transparente, especialmente en las instituciones públicas. Tener acceso a información ante las elecciones. que se diga la verdad, que los medios de comunicación logren mayor objetividad."
1156,2,a_la_información,A,"Ligada  a la transparencia. Los convocados señalan que ésta debiese ser oportuna, transparente y con eventuales mecanismos de participación."
1199,2,a_la_información,A,El conocimiento es un bien público. Una sociedad que busque el desarrollo necesita libre acceso a la información. Necesitamos que la Constitución Garantice que los medios de comunicación masiva no estén concentradas en los grandes grupos de poder y manipulan la opinión de la sociedad impunemente.
1221,2,a_la_información,A,"Derecho a la información fidedigna, debe sancionarse toda información mal intencionada, falsa o la omisión de esta. Privacidad a la información personal."
1254,2,a_la_información,A,"El conocimiento es parte de nuestro patrimonio cultural, es por eso que el acceso debe estar garantizado incluyendo acceso a la información pública.,"
1258,2,a_la_información,A,Fin de los monopolios comunicacionales.
1259,2,a_la_información,P,"Garantizar el acceso a la información publica expedita, precisa, veraz y transparente con respeto a la vida privada. Con medios de comunicación responsables y veraces que cumplan un rol social"
1265,2,a_la_información,A,"En conformidad con la mejora sustancial de los medios informativos , en relación a la veracidad de la información."
1291,2,a_la_información,A,LA INFORMACIÓN ES IMPORTANTE PARA TENER UNA CIUDADANIA EMPODERADA.
1334,2,a_la_información,A,debe estar garantizado porque asegura la transparencia y la participación
1351,2,a_la_información,A,"Como mecanismo para salvar brechas sociales y como solución a la desigualdad. Información veraz, transparente e igualitaria"
1358,2,a_la_información,A,"posibilidad de acceder a información relevante, veraz y oportuna."
1375,2,a_la_información,A,"es un derechos transparentar la información, publicar fondos, gastos, inversión e incidir en los procesos."
1408,2,a_la_información,A,"El derecho a la información es necesario para todos, desde informar a ser informados, además de utilizar los medios validos para que aquella sea vinculante en la sociedad."
1461,2,a_la_información,A,Derecho al libre acceso a la información.
1465,2,a_la_información,A,"Información de fácil acceso, pública, transparente y verídica."
1471,2,a_la_información,A,El acceso libre a la información debe ser garantizado por el estado y no debe estar influenciado ni manipulado por pequeños grupos
1482,2,a_la_información,A,Un pais que se declare opinante tiene que ser un pais informado. como chilenos tenemos el derecho de saber el manejo de nuestro pais.
1491,2,a_la_información,A,El estado debe garantizar que las personas puedan informarse y generar nuevas expresiones a través de medios propios o ajenos.
1500,2,a_la_información,A,PORQUE TODO CIUDADANO CONOCER Y RECIBIR INFORMACIÓN FIDEDIGNAQUE LE PERMITA CONSTRUIR UNA OPINION INTEGRAL RESPECTO DE LA REALIDAD.
1521,2,a_la_información,A,"Derecho a acceder a la información pública y a la libertad de expresión. Mantener, proteger y conservar las libertades individuales y el ámbito privado de ella (protección a la intimidad y vida privada)."
1522,2,a_la_información,A,A tener acceso a poder fiscalizar a nuestras autoridades y ser informado verazmente.
1538,2,a_la_información,P,"Incluimos acá también el derecho a la información pública. Así como creemos que es importante el derecho a la información, también se plantea el derecho a proteger información de ciudadanos en temas como salud, por ejemplo."
1557,2,a_la_información,P,Para algunos este derecho se contiene en la libertad de expresión
1566,2,a_la_información,A,"que exista libre informacion, que no se prive su uso sobre todo en materias de derechos humanos"
1569,2,a_la_información,A,"La NC debe asegurar el acceso a información veraz, oportuna y libre de interpretaciones para todos los ciudadanos, ya sea por medio propios o regulando los medios de terceros."
1589,2,a_la_información,A,Al igual acceso a la información de interés público.
1592,2,a_la_información,A,Derecho a la información y la libertad de expresión: Los medios de comunicación deben informar libremente sin intervención de grupos fácticos.
1614,2,a_la_información,A,Derecho a la información pública Desconcentración de los medios de comunicación para garantizar la pluralidad de las visiones e interpretaciones de los hechos.
1619,2,a_la_información,P,"Elemento vital para opinar, participar y decidir."
1621,2,a_la_información,A,"reconocerlo como derecho nos garantiza el acceso a ella, y así poder asegurar que cada ciudadano tenga el derecho a estar informado de todo lo que sea necesario"
1624,2,a_la_información,A,Comunicar ideas y derecho a obtenerlas (asociado a la ley de transparencia). Pluralidad y diversificación de los medios de comunicación.
1631,2,a_la_información,A,"Todo ciudadano, tiene derecho gratuito y libre a la información."
1640,2,a_la_información,A,El derecho a la Información es fundamental para el desarrollo y crecimiento de las personas.
1642,2,a_la_información,A,"TENEMOS DERECHO A UNA INFORMACIÓN LIBRE, OBJETIVA Y ACCESIBLE A TODA LA POBLACIÓN DONDE HAYA DIVERSIDAD DE MEDIOS INFORMATIVOS (PLURALISMO)"
1655,2,a_la_información,P,"El Estado no puede impedir arbitrariamente el acceso a información. Se deben resguardar temas como la seguridad nacional, pero cautelando la debida fiscalización."
1724,2,a_la_información,A,"Derecho a acceder a una noticia, cultural o de cualquier ámbito, sin que la prensa lo manipule."
1754,2,a_la_información,A,"La información no permite un mayor empoderamiento ciudadano y por ende validar nuestros derechos, evitando abusos económicos, sociales, ecológicos, etc."
1755,2,a_la_información,A,"EL ESTADO DEBE ASEGURAR EL ACCESO A LA INFORMACION SIN IMPORTAR EL CARGO O CONDICION DE CADA PERSONA, PROPORCIONANDO TRANSPARENCIA EN TODAS LAS ACCIONES."
1764,2,a_la_información,D,Para que cada ciudadano tenga derecho a saber lo que sucede en su entorno lo afecte directa o indirectamente.
1795,2,a_la_información,A,• Todos tenemos derechos a informarnos pero verazmente y no a través de rumores o noticias que no tienen base ninguna.
1816,2,a_la_información,A,"que garantice que la información llegue a todos los estratos socio económicos, geográficos, etarios y que sean entedibles."
1824,2,a_la_información,A,"Acceso a divulgar, conocer y recibir cualquier tipo de información."
1848,2,a_la_información,A,"La premisa de los sujetos, es que en la medida que una persona tiene información mayor opinión realiza sobre los procesos sociales."
1893,2,a_la_información,A,es esencial que los poderes políticos nos informen claramente que está sucediendo en el país.
1911,2,a_la_información,A,Derecho de todos los ciudadanos a recibir información verdadera y oportuna de lo que pasa en el pais y en el extranjero.
1926,2,a_la_información,A,"Queremos un país con prensa libre, terminar con los monopolios periodísticos que manipulan la información."
1944,2,a_la_información,A,"Asegurar el acceso en forma transparente, completa y clara, a todas y todos los ciudadanos, en en lenguaje sencillo, comprensible por todos, y por medidos de fácil uso, especialmente de las personas de la tercera edad, que han quedado atrasadas en el uso de los nuevos medios informativos."
1978,2,a_la_información,A,"Se debe asegurar este derecho, que todos los/las ciudadanos tengan acceso a la información, ya que a través de ella podrán decidir informadamente respecto a las materias que los aquejan, en el correlato que el conocimiento entrega poder, una sociedad informada es una sociedad empoderada y participe de las grandes decisiones.-"
2043,2,a_la_información,A,Garantizar la transparencia y el libre acceso.
2045,2,a_la_información,A,"En Chile, la presencia de la corrupción requiere combatirla por la vía - entre otras- del derecho a la información."
2066,2,a_la_información,A,Hacer un país transparente para que las personas puedan ejercer su opinión de manera informada y consciente.
2081,2,a_la_información,A,Derecho al acceso y veracidad de la información. a. Ampliar el ámbito de la transparencia de la información al sector privado.  b. Dar cuenta de la información corporativa que afecte el bien común.
2094,2,a_la_información,A,Derecho a recibir y acceder a la información que le permita a la ciudadanía ejercer sus deberes y derechos de manera responsable y debidamente informado.
2096,2,a_la_información,A,"no puede continuar lo que ocurre hoy, tantos canales de tv, radioemisoras y pereodicos que imponen los mismos temas y no informan de verdad."
2109,2,a_la_información,A,Todos tenemos derecho a la información para tener sus propias decisiones.
2114,2,a_la_información,P,"este concepto es clave para poder hablar de democracia, tuvo una votación de 4"
2120,2,a_la_información,A,Financiamiento estatal equitativo y distribuido en toda clase de medio. Garantizar pluralidad. Concentración y monopolio de medios de comunicación atenta contra este Derecho.
2191,2,a_la_información,A,La Constitución debe asegurar que las personas cuentan con información adecuada (suficiente y accesible) para tomar decisiones y participar en la vida social. Se necesita transparencia para asegurar confianza.
2193,2,a_la_información,P,Conocer quién te está gobernando y quién toma las decisiones. Transparencia
2220,2,a_la_información,A,Acceso a la información para elegir libremente y tomar decisiones.
2223,2,a_la_información,A,"Que se garantice el acceso oportuno a la información de carácter e interés público, de manera transparente."
2231,2,a_la_información,A,se debe tener acceso a información oportuna y de calidad
2238,2,a_la_información,A,"Derecho a saber la verdad, y no sólo lo que los medios manejados por el empresariado autorizan. la verdad sea como sea y  a quién afecte debe darse a conocer."
2275,2,a_la_información,A,Ante cualquier decisión hay que poder tener la información en una perspectiva de transparencia.
2299,2,a_la_información,A,creemos que es necesario tener acceso a la información objetiva y veraz para la toma de decisiones
2332,2,a_la_información,A,Con la información cada persona puede ejercer el resto de los derechos y deberes.
2338,2,a_la_información,A,Garantiza una educación amplia y democrática.
2380,2,a_la_información,P,"Si bien es un derecho de segunda generación, es importante para saber qué está pasando y evitar casos de corrupción o aprovechamiento. Es un acuerdo parcial porque hay otros muy relevantes que sin embargo, por motivos de la metodología de la actividad no se seleccionaron."
2399,2,a_la_información,A,Velar porque los medios informen con  la verdad. El financiamiento de los medios de comunicación hay que revisarlo pues están a merced de los accionistas. El gran problema de la sociedad es la ignorancia y esto se da por falta de información
2451,2,a_la_información,A,Que exista transparencia para fomentar la credibilidad. Es necesario que se asegure que la población esté informada.
2459,2,a_la_información,A,"El acceso a la información es un derecho que permite hacernos cargo del correcto cumplimiento de nuestros derechos por parte del Estado, sus instituciones y la sociedad civil. Toma importancia con la permanente censura a medios de información alternativos, sirviendo a los intereses dominantes."
2460,2,a_la_información,A,"Decir la verdad sobre diversos temas, verdad que hoy se disfraza y se maquilla. Los periodistas, como comunicadores, deben entregar información veraz. Consagrar el derecho a saber, a transparentar, a acceder a la información."
2499,2,a_la_información,A,- Es requisito para el correcto funcionamiento de la democracia. - Excluyendo la propaganda.
2581,2,a_la_información,P,5 DE LAS 13 PERSONAS
2602,2,a_la_información,A,.
2638,2,a_la_información,A,"El estado debe garantizar que todas las personas puedan acceder a la información que tiene relevancia pública, tanto la que está en poder del mismo Estado como aquella de los privados (empresas) que tiene que ver con el interés público."
2641,2,a_la_información,A,"Acceso a información de todo tipo, sin restricciones, donde se incluyan las instituciones públicas y de interés público. Herramienta que permite el control ciudadano del sistema político y el acceso a los demás derechos."
2669,2,a_la_información,A,"Derecho a estar informados desde distintas fuentes, así como a acceder a información pública. El estado debe proveer medios de información para la ciudadanía"
2670,2,a_la_información,A,Como parte inherente de la libertad de expresión
2680,2,a_la_información,A,"El derecho de acceder a información que permita construirnos como persona, y estar al tanto de lo que suceda en el país."
2682,2,a_la_información,A,La constitución debe garantizar la información publica y la transparencia de todos aquellos organismos que reciben recursos públicos.
2695,2,a_la_información,A,"Como base de la libertad de opinión, derecho de petición y libertad de expresión"
2707,2,a_la_información,A,Que haya transparencia y se garantice el acceso a la información
2715,2,a_la_información,A,Evitar el desconocimiento para tener el poder de decisión.
2747,2,a_la_información,A,"en forma oportuna, real y de fácil acceso, hace ciudadanos mas comprometidos."
2786,2,a_la_información,A,Para poder tener una ciudadanía activa y participativa debe haber acceso y derecho a la información transparente y contrastable. Sin centralización de los medios y mecanismo de comunicación e información.
2814,2,a_la_información,A,Consiste en el derecho al acceso a información fidedigna e imparcial para poder pensar y tomar desiciones de forma libre.
