idEla,tema,concepto,acuerdo,fundamento
9,2,a_la_integridad_física_y_psíquica,A,La integridad física y psicológica permite a las personas desarrollarse y desenvolverse en sociedad con libertad.
13,2,a_la_integridad_física_y_psíquica,A,"No aceptar la tortura y asegurar salud digna, gratuita y de calidad."
77,2,a_la_integridad_física_y_psíquica,A,"Además se considera que este derecho fundamental debe integrar consideraciones especiales que garanticen el derecho a vivir y morir dignamente, así como también al derecho de contar con una legislación que despenalice el aborto a partir de las tres causas que actualmente se tienen en discusión."
101,2,a_la_integridad_física_y_psíquica,A,"Asegurar que la sociedad brinde a las personas el desarrollo de estos aspectos esenciales para su existencia. Se relaciona con el respeto entre géneros, con el respeto a niños y adolescentes y con la salud, en general."
142,2,a_la_integridad_física_y_psíquica,A,"A la salud de la vida, cuerpo sano, mente sana, derecho a ser feliz. Que cada uno se sienta digno de sus procesos. Que no se entienda como vigilancia, sino más bien como la autonomía personal del desarrollo de las personas, como derecho a autodeterminarse. A ser digno en todas las etapas de la vida"
153,2,a_la_integridad_física_y_psíquica,A,Creemos firmemente que bajo este derecho se obtiene derecho al trabajo a la educacion  a la salud y en especial a la vida
161,2,a_la_integridad_física_y_psíquica,A,"Que el Estado Chileno aseguro la Integridad Física y Psíquica de las personas, promoviendo el respeto y la no violencia, cualquiera sea su tipo."
178,2,a_la_integridad_física_y_psíquica,A,"Es relevante la defensa  y proteccióndel cuerpo y la siquis  de la persona , no siendo sometida a situaciones abusivas, que se salgan del marco legal, sea por la acción de particulares o por funcionarios del Estado"
197,2,a_la_integridad_física_y_psíquica,A,Derecho humanos fundamental que resguarda a las personas en todo su aspecto físico y mental. Estableciendo un conjunto de condiciones que permitan al ser humano su existencia sin sufrir ningún tipo de menoscabo.
236,2,a_la_integridad_física_y_psíquica,A,"DERECHO AL BIENESTAR FISICO Y SIQUICO DE CADA HABITANTE DE NUESTRO PAIS. ASEGURAR PROTECCIÓN EN CADA ETAPA DE LA VIDA, VALORAR Y CUIDAR DEL CUERPO Y LA MENTE COMO COMPLEMENTO DE CADA INDIVIDUO."
243,2,a_la_integridad_física_y_psíquica,A,Es importante resguardar a la comunidad de tener un pasar sin violencia y lograr un desarrollo integral y armónico.
270,2,a_la_integridad_física_y_psíquica,A,"Derecho integramente relacionado con el derecho a la vida, por lo que se desprede del mismo su impotancia, debe protegerse a la persona como un ser integral con sus dimenciones fisicas y sicologiocas."
298,2,a_la_integridad_física_y_psíquica,A,- Acceso a redes de apoyo físico y psicológico - Mayor cobertura a la salud mental - Mejoramiento de la leyes por VIF - Desarrolarse en diario vivir - Planes de tratamiento - Trato digno (laboral - psicológico) - Taller autocuidado (escolar - laboral)
309,2,a_la_integridad_física_y_psíquica,P,en cuanto a que se debe resguardar la integridad de todas las personas para que ellas se puedan desarrollar en todos los ámbitos que deseen.
378,2,a_la_integridad_física_y_psíquica,A,Considerado por todos como un Derecho fundamental
386,2,a_la_integridad_física_y_psíquica,A,"Es un derecho que se debe hacer valer ya que nadie nos puede pasar a llevar y hacer daño físico ni psicológico, es vulnerar nuestro derecho"
396,2,a_la_integridad_física_y_psíquica,A,"se debe agregar la equidad de genero y ser un aporte desde la niñez hasta la adultez, que la edad no sea un limite"
413,2,a_la_integridad_física_y_psíquica,A,Derecho a la salud mental.
422,2,a_la_integridad_física_y_psíquica,A,"no puede vulnerarse la integridad física y psíquica de nadie,"
469,2,a_la_integridad_física_y_psíquica,A,"aplicable a todas las personas, excepto a delincuentes, violadores o asesinos"
495,2,a_la_integridad_física_y_psíquica,P,Parte discordante considera redundante con concepto de salud. Parte de acuerdo se refiere a protección en contextos laborales o en relación a que no se permita la tortura
521,2,a_la_integridad_física_y_psíquica,A,Es necesario resguardar este aspecto en el desarrollo social.
