idEla,tema,concepto,acuerdo,fundamento
262,2,a_la_nacionalidad,A,Creemos en un estado unitario pero plurinacional y diverso
422,2,a_la_nacionalidad,A,nadie puede ser privado de su nacionalidad
550,2,a_la_nacionalidad,A,Debe garantizar beneficios y derechos.
552,2,a_la_nacionalidad,A,La nacional es fundamental como derecho ya que es parte de la identidad personal y comunitaria.
585,2,a_la_nacionalidad,A,"resguardando la identidad cultural, el respeto de los pueblos indígenas y el acceso a la cultura"
608,2,a_la_nacionalidad,A,Aumentar los requisitos exigidos para la obtención de un extranjero.
746,2,a_la_nacionalidad,A,nadie debe ser despojada de su nacionalidad y a su lengua que se especifique cuál es la lengua oficial de chile o somos plurilingües?
883,2,a_la_nacionalidad,A,Para ser reconocido como ciudadano.
1513,2,a_la_nacionalidad,A,"Que ningún gobierno actue por cuenta propia en quitar la nacionalidad, permitir que los consulados otorguen la nacionalidad"
1570,2,a_la_nacionalidad,A,Todos somos Chilenos
1657,2,a_la_nacionalidad,A,Cada ciudadano de origen chileno tiene derecho a la nacionalidad.
1798,2,a_la_nacionalidad,A,"Es necesario tener sentido de pertenencia y de comunidad, tener algo en común y por tanto empatía, en el sentido practico la nacionalidad asegura y otorga los derechos, protección y beneficios."
1861,2,a_la_nacionalidad,A,"todos los nacidos en Chile  y en el extranjero puedan tener acceso a la nacionalidad, y puedan participar de los derechos que están dentro del marco de nuestro país."
1994,2,a_la_nacionalidad,A,"Todos quienes paguen sus impuestos puedan acceder a la nacionalidad chilena, pero debe también respetar las tradiciones y cultura."
2003,2,a_la_nacionalidad,A,"Todos deben tener derecho a la nacionalidad, asumiendo los compromisos que corresponda"
2059,2,a_la_nacionalidad,P,"desconocimiento del concepto, pero cubre a otros derechos, sin nacionalidad no existimos, no tenemos derecho, su importancia radica en los emigrantes."
2204,2,a_la_nacionalidad,A,Nadie tiene derecho a quitarnos nuestra nacionalidad
2210,2,a_la_nacionalidad,A,Quien tiene la nacionalidad debe respetarla y protegerla
2242,2,a_la_nacionalidad,P,Cumpliendo con los requisitos que establece la ley.  1 participante se encuentra en desacuerdo.
2268,2,a_la_nacionalidad,A,"Es un atributo de las personas y nunca puede perderse, bajo ningún supuesto."
2279,2,a_la_nacionalidad,A,Porque nos otorga derechos de participación y nos hace sujetos de este pais.
2345,2,a_la_nacionalidad,A,"Que toda persona (niño) que nace en terrotorio chielno, tiene derecho a la ncionalidad y, por ende, a todo lo que esto conlleva. Al igual a personas en situación de inmigrantes."
2451,2,a_la_nacionalidad,A,Que se nacionalicen los recursos naturales existentes en nuestro país.
2470,2,a_la_nacionalidad,A,Nadie podrá ser privado/a de su nacionalidad bajo ninguna circunstancia considerando un derecho humano inalienable
2779,2,a_la_nacionalidad,A,DERECHO A SER PARTE DEL CUERPO O GRUPO NACIONAL PARA EL LOGRO DE LOS OBJETIVOS Y METAS COMUNES
2839,2,a_la_nacionalidad,A,Para mantener la nacionalidad
2867,2,a_la_nacionalidad,A,Mantiene la condicion y opción de participación democrática y de soberanía.
2876,2,a_la_nacionalidad,A,"El derecho a la nacionalidad debe ser para todos los ciudadanos, ya sea que vivan en territorio chileno o en el exterior."
2910,2,a_la_nacionalidad,P,derecho  fundamental a la vida .Existe un acuerdo parcial se considera que el aborto frente a una violación es valido.
2919,2,a_la_nacionalidad,P,Toda persona que nazca en territorio nacional es chileno independiente de la condición de sus padres.
2974,2,a_la_nacionalidad,A,Acuerdo de la asamblea
3093,2,a_la_nacionalidad,A,"todos debemos debemos tener un país de nacionalización, sin importar la religión, la situación económica, clase social, etc."
3142,2,a_la_nacionalidad,A,"Reconocemos los actuales mecanismos que la Constitución explicita para la obtención de la nacionalidad chilena (territorialidad, consanguineidad, nacionalización y por gracia) - Ciudadanía: participación sin distinción."
3214,2,a_la_nacionalidad,A,Posiblidad que cualquier persona que desea ser chileno pueda serlo
3248,2,a_la_nacionalidad,A,que todos los chilenos en el extranjero puedan votar
3336,2,a_la_nacionalidad,A,nacionalización de recursos generación de empresas para trabajar nuestros propios recursos
3345,2,a_la_nacionalidad,A,Porque determina la pertenencia a mi país.
3440,2,a_la_nacionalidad,P,"Todo habitante tiene derecho a pertenecer, nos parece un Derecho Humano. Nos gustaría agregar ""Derecho a la nacionalidad y la identidad cultural""."
3674,2,a_la_nacionalidad,A,TODA PERSONA TIENE DERECHO A TENER UNA NACIONALIDAD O SER RECONOCIDO POR UN PAÍS DE ORIGEN.
3859,2,a_la_nacionalidad,A,Fijar y reconocer las condiciones de todos quienes conforman la nacion
4047,2,a_la_nacionalidad,A,"Derecho a la cultura chilena de las comunidades que viven en el exterior. Seguridad social  de las comunidades que viven en el exterior. Acceso de la comunidad chilena que vive en el exterior a:   a) líneas de crédito,  b) estudios,  c) vivienda,  d) subsidios,   e) cuentas bancarias."
4139,2,a_la_nacionalidad,D,"solo para los chilenos muchos inmigrantes existen en la actualidad, debe haber una mayor fiscalización"
4295,2,a_la_nacionalidad,A,"Derecho que no puede ser conculcado a nadie, bajo ninguna forma."
4296,2,a_la_nacionalidad,A,La nacionalidad genera derechos y deberes.
4341,2,a_la_nacionalidad,A,"Cualquier ciudadano nacido en el pais debe tener la opcion  de obtener la nacionalidad , cualquier hijo de Chileno deberia tener la opcion de optar por la nacionalidad Chilena"
4371,2,a_la_nacionalidad,A,"Cada persona que vive en el territorio, tiene el derecho de nacionalidad,  cumpliendo ciertos requisitos básicos."
4484,2,a_la_nacionalidad,A,ES NECESARIO SENTIRNOS PARTE DEL ESTADO QUE PERTENECEMOS
4646,2,a_la_nacionalidad,A,El ser chileno me otorga  derechos generales sobretodo en atenciones donde el extranjero es mejor atendido que el chileno.
4660,2,a_la_nacionalidad,A,"Para todos los que nacen en Chile incluidos inmigrantes, los hijos de chilenos que estén fuera, etc."
4882,2,a_la_nacionalidad,A,es inherente que todo ser humano que nace en Chile tiene el derecho a la nacionalidad. Debe ser postulado en la Constitución.
5049,2,a_la_nacionalidad,P,va de acorde con los valores como sociedad que coincidimos antes y entrega ayuda a extranjeros para integrarse de buena manera a nuestra sociedad.
5091,2,a_la_nacionalidad,A,"Orgullosos de tener nuestra nacionalidad, lo que no debe ser afectado por malos usos como concedérsela a cualquiera."
5093,2,a_la_nacionalidad,A,"Toda persona debe ser reconocido por su nacionalidad, en este caso por ser chileno"
5301,2,a_la_nacionalidad,A,derecho a ejercer obligación y deberes
5448,2,a_la_nacionalidad,A,"TRANSPARENCIA CON RESPECTO A LAS LEYES E INFORMACIÓN HACIA LA CIUDADANÍA, EN UN MOMENTO OPORTUNO."
5720,2,a_la_nacionalidad,A,Al nacer todo chileno se le debe garantizar la ciudadania sin excepcion.  Facilidades para los refugiados.
6175,2,a_la_nacionalidad,A,Para aquellas personas que trabajen en forma honesta.
6407,2,a_la_nacionalidad,A,Derecho fundamental a ser chileno. Esto garantiza tener una serie de otros derechos como el de voto y participación.
6430,2,a_la_nacionalidad,P,"Los hijos de chilenos nacidos en el extranjero deben ser reconocidos, en forma automática, su nacionalidad chilena"
6443,2,a_la_nacionalidad,A,Nos entrega identidad y pertenenecia.
6635,2,a_la_nacionalidad,A,por los derechos y deberes que implica el concepto.
6874,2,a_la_nacionalidad,P,"Reconocimiento de un sentido de pertenencia. Identidad cultural y territorial. Como se hizo una nación Rapa Nui, que existan nacionalidades para otros pueblos dentro de un mismo Estado."
7087,2,a_la_nacionalidad,A,Se refiere al derecho de los pueblos indígenas a ser reconocidos como nación en la Constitución política. Hasta hoy los pueblos indígenas no existen porque no son reconocidos. El reconocimiento es el primer paso para recuperar los derechos que fueron arrebatados por tanto tiempo
7089,2,a_la_nacionalidad,P,identidad y pertenencia
7109,2,a_la_nacionalidad,A,Atributo de la personalidad sin el cual no se puede ejercer derechos ni libertades.
7131,2,a_la_nacionalidad,A,Padres migrantes radicados que tienen hijos chilenos tengan derecho a la doble nacionalidad
7259,2,a_la_nacionalidad,A,Fundamental.  El desarrollo de este punto se hace en la pregunta 5.
7395,2,a_la_nacionalidad,A,Poruqe se reconoce de donde uno viene.
7396,2,a_la_nacionalidad,A,Ningún extranjero o chileno residente en el extranjero que no pague impuesto en Chile no tiene derecho a voto
7591,2,a_la_nacionalidad,A,vea documento adjunto
7705,2,a_la_nacionalidad,A,"Históricamente en Chile, hubieron personas a las que se le quitó su nacionalidad. Eso no puede volver a repetirse. Además, la nacionalidad es un rasgo de identidad fundamental."
7788,2,a_la_nacionalidad,A,"Cada ciudadano tiene derecho a ser parte de un territorio, identidad, pertenencia y sentirse protegidos cuando se encuentre fuera del territorio nacional."
7817,2,a_la_nacionalidad,A,No se alcanzo a definir.
7930,2,a_la_nacionalidad,P,Para que se garantice a los ciudadanos y a los inmigrantes su nacionalidad y su espacio en el país.
8471,2,a_la_nacionalidad,A,Esto incluye el derecho básico a la Ciudadanía.
8549,2,a_la_nacionalidad,A,"NOSOTROS LOS DE ESTE PAÍS ESTAMOS RESTRINGIENDONOS DE LIBERTAD Y ATENCIONES PÚBLICAS POR MUCHOS EXTRANJEROS, VAMOS A PERDER IDENTIDAD Y NO ES JUSTO."
8934,2,a_la_nacionalidad,A,.
8987,2,a_la_nacionalidad,A,Cada ser humano debe ser incluido en una comunidad.
8989,2,a_la_nacionalidad,P,"Pro: respetar los sueldo, se puedan independizar extranjeros, respetar sus orígenes/ contra: no está de acuerdo con inmigrantes que ingresan de manera ilegal."
9005,2,a_la_nacionalidad,A,Todos están de acuerdo.
9098,2,a_la_nacionalidad,P,Porque todos tenemos el derecho a ser parte de este país.
9284,2,a_la_nacionalidad,A,"Todos tenemos derecho a ser ciudadanos de este país, si hemos nacido en él o somos extranjeros residentes."
9397,2,a_la_nacionalidad,A,"Toda persona tiene el derecho a la nacionalidad, naciendo en Chile o que nazca en el extranjero con padres chilenos."
9432,2,a_la_nacionalidad,A,protección de la condición de reconocimiento y vínculos de las personas  con el estado chileno.
9456,2,a_la_nacionalidad,A,"Se agrega título: A la Nacionalidad y Ciudadanía Son criterios para ser chileno: a) Ius Solis, b) Ius sanguis, c) por gracia; y se le agrega: d) por consaguineidad incluyendo no sólo a la 2. generación en el extranjero, sino que también a a la 3. generación  que pueda obtener la nacionalidad."
9517,2,a_la_nacionalidad,A,"Puesto que si se nace en el país, no se puede inscribir en otro."
9603,2,a_la_nacionalidad,A,-Acuerdo
9728,2,a_la_nacionalidad,A,Derecho humano fundamental
9789,2,a_la_nacionalidad,A,a vivir en un pais libre sin prejuicios a no distinguir por raza o extranjerismo
9845,2,a_la_nacionalidad,A,Que cada ciudadano tenga la opción de participar en las elecciones políticas y poder ser electos
9867,2,a_la_nacionalidad,A,La nacionalidad chilena entendida como un derecho irrenunciable.
9926,2,a_la_nacionalidad,A,Que se respete ius solis y ius sanguinis.
9931,2,a_la_nacionalidad,P,Actualizar y modernizar la ley de extranjería
10079,2,a_la_nacionalidad,A,Mantener en capítulo separado
10084,2,a_la_nacionalidad,P,Toda persona nacida en el país debe tener su nacionalidad reconocida y disfrutar de los derechos y deberos que de ello se genera.
10159,2,a_la_nacionalidad,A,"El derecho de otorgar nacionalidad a los descendientes es muy importante, y el hecho de transmitírselo a los hijos y esposo/esposa debe ser un derecho, sin importar dónde residan o de dónde nazcan."
10225,2,a_la_nacionalidad,A,.
10237,2,a_la_nacionalidad,A,derecho fundamental para recibir / obtener la ciudadania y así el atributo de la participación política.
10246,2,a_la_nacionalidad,A,Irrenunciable al país donde se nace
10303,2,a_la_nacionalidad,A,Sin justificación.
10394,2,a_la_nacionalidad,A,"Se debe evitar que un Estado obligue a renunciar a una nacionalidad  con el fin de obtener algún beneficio, como ocurre por ejemplo en temas de becas educacionales. Asimismo entrega la obligación al Estado de hacerse responsable de los derechos de sus nacionales, y evitar apátridas."
10458,2,a_la_nacionalidad,A,"El Estado nos debe asegurar ser parte de una nacion y a tener una nacionalidad que este asociada a derechos y obligaciones, ello implica preservar nuestra cultura, nuestros pueblos originarios con igualdad y con sentido de  pertenencia a nuestro pais, Chile."
10518,2,a_la_nacionalidad,A,"Derecho a transmitir la nacionalidad a los descendientes, así como a los/las cónyuges"
10848,2,a_la_nacionalidad,D,La Secretaria es Venezolana y es la única que está de acuerdo en que esté en la Constitución.
10904,2,a_la_nacionalidad,A,Traspasar la nacionalidad nuestros descendientes.
11184,2,a_la_nacionalidad,A,Entendiendo que la Nacionalidad te hace sujeto de derechos ciudadanos.
11206,2,a_la_nacionalidad,A,.
11439,2,a_la_nacionalidad,A,todo ser humano debe tener una nacionalidad .
11445,2,a_la_nacionalidad,A,"defienda y defina claramente quienes serán protegidos por la Constitución, acoger a otros. Identidad cultural y pueblos indígenas, multiculturalidad"
11716,2,a_la_nacionalidad,A,que toda persona que nasca en nuestro país tenga derecho a la nacionalidad chilena aun que la madre se encuentre en transito o en condición de ilegal
11814,2,a_la_nacionalidad,A,Porque nos otorga identidad.
11869,2,a_la_nacionalidad,A,Es la base que debe tener todo ciudadanos para exigir sus derechos y cumplir sus deberes dentro de la comunidad.
11882,2,a_la_nacionalidad,A,el derecho a que el Estado me reconozca como persona y respete y garantice mis Derechos y Deberes.
11890,2,a_la_nacionalidad,P,Bajo ciertos conceptos no se puede negar la nacionalidad a nadie.
11923,2,a_la_nacionalidad,A,Pertenencia al país de origen. Nadie puede quitar la nacionalidad a ningún ciudadano.
12002,2,a_la_nacionalidad,A,Para que el Estado otorgue iguales derechos a todos.
12097,2,a_la_nacionalidad,A,somos chilenos
12155,2,a_la_nacionalidad,A,al trabajo
12182,2,a_la_nacionalidad,A,Nuestro derecho a identificarnos con un pueblo y de pertenecer a ese pueblo y ser reconocidos por el resto. El derecho a acceder a una doble nacionalidad.
12190,2,a_la_nacionalidad,A,"Para poder tener derechos de opinión, poder formar parte de la sociedad."
12194,2,a_la_nacionalidad,A,Reconocer los Pueblos Originarios como Nación.
12596,2,a_la_nacionalidad,A,Es muy importante sobre todo a los que están en el extranjero para que cuándo hayan elecciones puedan votar como en otros países.
12675,2,a_la_nacionalidad,A,"Filtrar a todos los postulantes, que sean un aporte a nuestro pais, profesionales."
12933,2,a_la_nacionalidad,A,derecho a pertenecer a una sociedad y sentirse parte de la misma.
13072,2,a_la_nacionalidad,A,Derecho de pertenecer y ser sujeto a derecho.
13178,2,a_la_nacionalidad,A,es importante este derecho para determinar la identidad
13457,2,a_la_nacionalidad,P,"Siempre que no sea en exceso el ingreso de extranjeros y que exista una regulación en todo ámbito, ya sea, en la fiscalización de los trabajos de las personas extranjeras con nacionalidad, para que no se pasen a llevar sus derechos como en la entrega de los papeles para que no sea tan burocrático."
13520,2,a_la_nacionalidad,A,El Estado debe garantizar por siempre desde el nacimiento y el otorgamiento a las personas que lo soliciten
13758,2,a_la_nacionalidad,P,ELIMINAR LAS DOBLES NACIONALIDADES Y OFRECER A HIJOS DE CHILENO LA OPCION DE LA CHILENA
13768,2,a_la_nacionalidad,A,Dar la nacionalidad a las generaciones venideras ayuda a preservar los lazos familiares
13861,2,a_la_nacionalidad,A,2. Mismos derechos y mismas oportunidades.
13904,2,a_la_nacionalidad,A,Sin fundamento.
14134,2,a_la_nacionalidad,A,Para evitar la injusticia y mantener los derechos sociales.
14228,2,a_la_nacionalidad,A,"Se consideró este derecho debido a las facilidades que tienen los extranjeros con relación a los beneficios  que el estado otorga a los chilenos con una mala distribución, poniendo énfasis en que se dé mayor preocupación a los ciudadanos nacionales."
14817,2,a_la_nacionalidad,A,No importa donde uno nació todos debemos tratarnos igual. Somos seres humanos
14897,2,a_la_nacionalidad,A,"Garantizar que el nace en territorio chileno es chileno , nunca más a perder la nacionalidad por causas políticas  u otras"
14940,2,a_la_nacionalidad,A,donde mis derechos sean superiores
15007,2,a_la_nacionalidad,A,derecho a ser reconocido por nuestro pais
15135,2,a_la_nacionalidad,P,Da beneficios por solo hecho de ser ciudadano.
15136,2,a_la_nacionalidad,A,"Gobernantes en dictadura quitaron nacionalidad, ese sólo hecho debe obligarnos a que no existe delito o0 falta alguna que permita despojar de la nacionalidad a ningún chileno. Lo mismo debe ser para quienes adoptan esta patria para vivir."
15186,2,a_la_nacionalidad,A,"No solo la nacionalidad a quienes nacen en el paìs, sino a quien llega a vivir aquì y la solicita."
15233,2,a_la_nacionalidad,A,Creemos que al vivir en chile y ser nacidos aquí debe ser reconocida nuestra pertenencia y así también hacer valer nuestros derechos y deberes.
15242,2,a_la_nacionalidad,A,Para tener una vida digna.
15259,2,a_la_nacionalidad,P,Garantizar los derechos fundamentales a todos los chilenos sin derogación y a todos los residentes en Chile.
15362,2,a_la_nacionalidad,A,Es necesario para poder acceder a los derechos y beneficios que entrega el estado.
