idEla,tema,concepto,acuerdo,fundamento
3,2,a_la_participación,P,Es un derecho que promueve la integración en todos los procesos políticos al ciudadano.
13,2,a_la_participación,A,Lo que incluye la participación en las leyes a través de plebiscitos resolutivos y la revocación de las autoridades que no representen los intereses reales de la gente.
14,2,a_la_participación,A,"A través de la soberanía popular, poder participar como ciudadano de la generación de una nueva constitución."
66,2,a_la_participación,A,Todos tenemos que tener una participación porque en conjunto TODOS formamos este país.
77,2,a_la_participación,A,"Este valor debe ser considerado como derecho fundamental para las personas,  por ejemplo otorgando las garantías a que estas puedan manifestarse libremente en sociedad sin temor a ser reprimidos tanto por particulares como por organismos del Estado."
82,2,a_la_participación,A,Para una Sociedad mas inclusiva y darle sustento a la democracia. El derecho de Participación ciudadana hace una Sociedad mas organizada.
108,2,a_la_participación,A,se dede garantizar el derecho a la libertad de expresión y a la libertad de opinión motivando e incentivando la participación de todos y todas sin represión
139,2,a_la_participación,A,"La sociedad tiene que contar con el derecho de hacer valer sus sus distintas opiniones y puntos de vistas de como funcionan las institucionalidades , y eso se logra permitiendo que su participación sea considerada en las políticas que se generan. ( participación vinculante)"
158,2,a_la_participación,A,Todo ciudadano debe ser consciente de su entorno y eso se logra con participación
168,2,a_la_participación,A,"El Estado debe proveer de instrumentos eficaces que fomenten, faciliten, protejan, propicien, promuevan la participación activa de los ciudadanos y ser parte de las decisiones de la nación."
170,2,a_la_participación,A,Este derecho debe formar parte de la futura constitución debido a que no hay mecanismos actuales de participación continua por parte de la sociedad civil.
177,2,a_la_participación,A,"Significa la posibilidad de que se tomen en cuenta las particularidades de cada contexto, al escuchar la opinión y perspectiva de las personas.  La idea es que no sea solo garantizar el derecho al voto."
197,2,a_la_participación,A,Se establece la participación como un derecho y no como un privilegio.
205,2,a_la_participación,A,"- Maximizar los mecanismos de participación, por parte del Estado, en las decisiones en el ámbito local, regional y nacional.  - Participación, VINCULANTES PARA LA AUTORIDAD, en cuanto le otorga legitimidad a los acuerdos en conjunto"
209,2,a_la_participación,A,"En la actualidad existen muchas instancias de participación. Las personas mayores por ejemplo, tienen un alto grado de participación en donde pueden generar espacios de recreación y esparcimiento, así como potenciar sus capacidades."
210,2,a_la_participación,A,Que nuestras opiniones sean bien recepcionadas
213,2,a_la_participación,A,"Incluye muchos otros derechos. Instituye un control ciudadano permanente, real y con posibilidades de representación."
222,2,a_la_participación,P,"En instancias de decisión de gobierno, en temas de leyes."
229,2,a_la_participación,A,Entendida como más que el sufragio. También a la deliberación.
239,2,a_la_participación,A,-
280,2,a_la_participación,A,"Todos debemos participar en la toma de decisiones del país, ya que somos todos los principales actores de estas decisiones."
293,2,a_la_participación,A,Da vida a la democracia y la soporta en todos los niveles.
295,2,a_la_participación,A,Derecho a todo ciudadano a ser considerado en las desiciones que lo involucran.
296,2,a_la_participación,A,con decisiones vinculantes y con niveles efectivos de decisión
344,2,a_la_participación,A,"Participación Vinculante.  Mayor utilización y fomento a los espacios públicos. Poder a las comunidades. Participación de decisiones a toda escala, plebiscitos, referéndum"
345,2,a_la_participación,A,"creemos que todos los derechos son igual de validos e importantes y es inoficioso priorizar entre ellos votando, pero este es uno de los mas votados"
353,2,a_la_participación,A,"Participación plena, vinculante y democrática."
362,2,a_la_participación,A,que exista una real participación en la toma de decisiones de los actores sociales y no sea una elite la que decide por nosotros.
372,2,a_la_participación,A,"Vía para asegurar la soberanía popular. Derecho fundamental para asegurar la distribución del poder. Queremos participación real y no sólo simbólica, distintas formas de ejercicio de este derecho que sean vinculantes."
