idEla,tema,concepto,acuerdo,fundamento
3,2,a_la_salud,A,Es un derecho básico que mejora la calidad de vida del ser humano al que todos tengan acceso.
8,2,a_la_salud,A,una sociedad democrática debe consignar la dignidad de las personas. El derecho a la salud es un elemento para alcanzar la equidad en las condiciones de vida y en el bienestar de la los miembros de la comunidad.
9,2,a_la_salud,A,"Derecho fundamental, todos los ciudadanos deberían tener acceso y oportunidad de tratamiento para gozar de un estado saludable."
11,2,a_la_salud,A,Igualdad de acceso independiente del ingreso económico de cada uno.
12,2,a_la_salud,A,"Importante contar con el derecho a la salud, ya que como hoy en día la medicina no es accesible para todas las personas, en general adultos mayores."
14,2,a_la_salud,A,"La salud debe ser un derecho garantizado por el estado, independiente del poder adquisitivo de cada ciudadano."
17,2,a_la_salud,A,"Todos merecen recibir atención medica y de calidad, sin discriminación. No más listas de espera interminables y sin solución pronta a los pacientes."
19,2,a_la_salud,A,"Que todos tengas acceso de manera equitativa, que se fortalezca la salud pública."
20,2,a_la_salud,A,"Un sistema de salud público y eficiente, capaz de atender a todo ciudadano. Fin de ISAPRES."
29,2,a_la_salud,A,"salud gratis y de calidad para todos y todas los chilenos, tanto en la atencion, como los medicamentos y examenes"
31,2,a_la_salud,A,salud digna en chile
33,2,a_la_salud,A,"acceso a salud de calidad para todos, sin importar la clase social ya que es algo vital. el estado debería financiar en su totalidad la salud."
35,2,a_la_salud,A,"Es un derecho humano que garantiza la integridad física y psiquica y la dignidad de las personas, así como la realización colectiva e individual. Que el acceso sea universal, y que el sistema público de salud considere la prevención, el tratamiento, la urgencia y la rehabilitación."
36,2,a_la_salud,A,"Asegurar el acceso a asistencia de salud completa de todos los chilenos, sin importar su capacidad económica o situación personal."
43,2,a_la_salud,A,Se debería terminar con el lucro
46,2,a_la_salud,A,.
48,2,a_la_salud,A,"Entendido no sólo al acceso a la salud y/o elegir el sistema de salud, sino que en la calidad de las prestaciones de los servicios."
54,2,a_la_salud,A,Para nosotros los adultos mayores es muy importante que se garantice la salud y que esta sea oportuna y de calidad.
55,2,a_la_salud,A,Sin comentarios
56,2,a_la_salud,A,"Todos estamos de acuerdo respecto a que debe ser igual para todos, con rapidez y efectividad al paciente."
58,2,a_la_salud,A,porque todos los hospitales sean iguales y que tengan la implementación necesaria para resolver cualquier enfermedad
61,2,a_la_salud,A,"Al igual que la educación, una salud digna, de calidad, igualitaria y gratuita para todos."
63,2,a_la_salud,A,"Todo ciudadano debe tener la posibilidad de un servicio de salud óptimo, cuidando tanto el recurso humano como el equipamiento. Las isapres deberían aportar un % de sus ganancias al sistema Público de salud."
65,2,a_la_salud,A,"Queremos salud publica de mejor calidad que terminen las listas de espera, mas especialistas."
66,2,a_la_salud,A,No se debería diferenciar por su nivel económico o social y todos deberíamos ser iguales en este aspecto.
68,2,a_la_salud,A,"Es un derecho fundamental.  El estado  debe garantizarlo  siendo entregada con calidad, fluidez, rigurosidad y eficacia que un ser humano  necesita. El Estado debe garantizar una muerte digna."
70,2,a_la_salud,A,acceso universal pronta y gratuita
72,2,a_la_salud,A,Derecho básico que debe estar garantizado por el Estado para permitir in desarrollo integral de la sociedad. En acuerdo unánime
74,2,a_la_salud,A,"- Fundamental para el bienestar y la felicidad. - Debe ser oportuna, equitativa y de acceso universal, pero limitada racionalmente por recursos finitos."
75,2,a_la_salud,A,"Ser capaces de ""garantizar"" una buena salud mental y física."
76,2,a_la_salud,A,estado garante
78,2,a_la_salud,A,Salud gratuita de calidad a todo evento.
79,2,a_la_salud,A,"Fundamental. La salud es un derecho y no un privilegio, que actualmente está directamente relacionado al nivel socio económico con injusticias sociales como consecuencia."
