idEla,tema,concepto,acuerdo,fundamento
11,2,a_la_seguridad_social,A,Igualdad de acceso independiente del ingreso económico de cada uno.
13,2,a_la_seguridad_social,A,"Una previsión verdadera (No más AFP), gratuidad en salud y en Educación."
17,2,a_la_seguridad_social,A,"Vivir sin temor, en paz, sin tener que encerrarnos en nuestras casas cual cárceles mientras los delincuentes hacen lo que se les plazca por las calles."
36,2,a_la_seguridad_social,A,"Se requiere procurar el fortalecimiento de la justicia social, asegurando un adecuado sistema de pensiones, seguridad y salud en el trabajo, sistema de salud, y seguro de cesantía."
46,2,a_la_seguridad_social,A,"Pensiones y sistema de previsional de salud, que sea digno para los habitantes del país."
48,2,a_la_seguridad_social,A,"En la actualidad hay obligación de cotizar en las AFP, pero a la hora de jubilar no se condicen las pensiones con lo ahorrado, existiendo pensiones paupérrimas y con condiciones de vida deplorables para los abuelitos."
59,2,a_la_seguridad_social,A,La constitución debe velar por una mayor equidad en los temas relacionados con la tercera edad como alcanzar una jubilación digna y justa.
61,2,a_la_seguridad_social,A,"Mayor protección a la ciudadanía, ya sea en sectores urbanos como rurales."
68,2,a_la_seguridad_social,A,"El estado debe proteger y hacerse cargo  de sus ciudadanos al finalizar su ciclo laboral y productivo, a través  de pensiones dignas y de la cobertura integral de todas sus necesidades. Reestablecer el sistema de previsión social existente hasta 1981 y que integre a todas las personas."
72,2,a_la_seguridad_social,A,"Que involucra los derechos fundamentales de salud, vivienda, pensiones y educación. En acuerdo unánime"
74,2,a_la_seguridad_social,A,"- Dignidad y recompensa de una vida de trabajo y aporte a la sociedad. - Indispensables mecanismo racionales de asignación de recursos, evitar uso contingente."
77,2,a_la_seguridad_social,A,"Se trata de una categoría que integra la serie de derechos que consideramos básicos para garantizar la igualdad e integridad de las personas, como por ejemplo: el derecho a la educación, derecho a la vivienda, derecho a la salud, derecho a la seguridad social y derecho a los recursos naturales."
78,2,a_la_seguridad_social,A,No más administradoras de fondos de pensiones privadas. que se traspase al estado su administración y sin fin de lucro garantizando una pensión básica igual al sueldo mínimo.
82,2,a_la_seguridad_social,A,El Estado debe asegurar la protección de todos en los distintos ámbitos.
85,2,a_la_seguridad_social,A,"En el sentido de satisfacer condiciones mínimas de dignidad, para el evento de perdida de la capacidad laboral o de cesantía."
87,2,a_la_seguridad_social,A,"Derecho a una pensión digna (igual al sueldo mínimo), que las pensiones partan desde el sueldo mínimo. Indemnización por año trabajado, contratos de trabajo ( NO pago por boleta)"
95,2,a_la_seguridad_social,P,"El E no se ha preocupado de la seguridad social de las personas, el E garantice un piso o las condiciones para crear un piso."
98,2,a_la_seguridad_social,A,El estado debe proporcionar condiciones dignas de  subsistencia a todos los ciudadanos que no puedan auto proporcionárselas.
101,2,a_la_seguridad_social,A,Es una garantía mínima de protección a la precariedad y engloba los derechos básicos de las personas.
104,2,a_la_seguridad_social,A,Tenemos derecho para desarrollarnos e un ambiente en donde estemos tranquilos y a gusto.
125,2,a_la_seguridad_social,A,"Entendida como transferencias monetarias y no monetarias a las personas, para asegurar niveles adecuados de bienestar."
126,2,a_la_seguridad_social,A,"EL ESTADO DEBE GARANTIZAR LA SEGURIDAD SOCIAL DE TODOS, CON PENSIONES DIGNAS Y SUFICIENTES."
136,2,a_la_seguridad_social,A,Su importancia radica en que se relaciona con la justicia y la dignidad de las personas y con el deber que tiene el Estado de protegerlas.
142,2,a_la_seguridad_social,A,"Derechos económicos sociales y culturales, el trabajo, la educación, a la jubilación digna, vivienda, salud."
154,2,a_la_seguridad_social,A,"Derecho garantizado por el estado en salud y educación y previsión para todos, que permita calidad de vida para un desarrollo pleno y autonomía de las personas."
156,2,a_la_seguridad_social,A,Desarrollar un sistema integral de protección social que vele por el cuidado y bienestar de las personas a lo largo de la vida.
164,2,a_la_seguridad_social,A,"La seguridad social, en su definición amplía (pensión, salud e integración social) es una piedra angular para construir una sociedad solidaria, justa e igualitaria."
165,2,a_la_seguridad_social,A,Derecho garantizado por el Estado en calidad y respeto por la dignidad humana.
