idEla,tema,concepto,acuerdo,fundamento
16,2,a_la_seguridad_vida_sin_violencia,A,Tenemos el derecho a sentir la seguridad en nuestra vida cotidiana sin ser violentados.
43,2,a_la_seguridad_vida_sin_violencia,A,Se debe reforzar la unión de juntas de vecinos.
74,2,a_la_seguridad_vida_sin_violencia,A,"- La sociedad otrorga el uso monopólico de la violencia al Estado. - A cambio, el Estado garantiza que el uso de la violencia horizontal es innecesario. - No debe sacrificar libertad y privacidad."
94,2,a_la_seguridad_vida_sin_violencia,A,Evitar las puertas giratoria y sanciones efectivas a los infractores.
105,2,a_la_seguridad_vida_sin_violencia,A,"Mano dura de la ley,leyes mas eficaces, seguridad en las calles, comunicación entre los vecinos"
107,2,a_la_seguridad_vida_sin_violencia,A,"Derecho a vivir seguro, en paz y sin violencia."
111,2,a_la_seguridad_vida_sin_violencia,A,"Implica vivir en una sociedad en que el Estado no ejerza violencia contra las personas. Que no haya violencia de género, de clases, por edad. Que no haya violencia obstétrica y por el derecho al aborto."
118,2,a_la_seguridad_vida_sin_violencia,A,"La vida es el elemento básico, preciado y fundamental."
130,2,a_la_seguridad_vida_sin_violencia,A,"Vivir en confianza, tranquilos y en paz."
202,2,a_la_seguridad_vida_sin_violencia,A,"Principio o derecho propio de las sociedades modernas, expuestas siempre al delito."
222,2,a_la_seguridad_vida_sin_violencia,A,Se pasa a llevar la seguridad de la sociedad por el exceso de tolerancia a minorías extremistas.
223,2,a_la_seguridad_vida_sin_violencia,A,"Garantizar la integridad física de toda persona, respecto a la vida cotidiana sin agresividad, respecto al uso del espacio común"
226,2,a_la_seguridad_vida_sin_violencia,A,"Debemos sentirnos seguros y debatir nuestras opiniones sin violencia. Esto es un trabajo que se debe aplicar desde la escuela y las familias, también el enseñar porque la ignorancia es nuestro peor enemigo y bloquea las mentes."
233,2,a_la_seguridad_vida_sin_violencia,D,.
240,2,a_la_seguridad_vida_sin_violencia,P,"Sin violencia de ningún lado (ni estado, ni ciudadanía) en ningún nivel (física, simbólica, económica, sexual, psicológica)"
246,2,a_la_seguridad_vida_sin_violencia,A,"DEREHO A INTEGRIDAD FISICA, TRANSITO SEGURO SIN MIEDO"
250,2,a_la_seguridad_vida_sin_violencia,A,"La seguridad pública es intrínseca a la calidad de vida de los individuos. El Estado debe garantizar este derecho mediante una fuerza policial moderna en tecnología, profesional y suficiente en dotación, que asegure el orden y la prevención delictiva."
273,2,a_la_seguridad_vida_sin_violencia,A,"Toda persona debe vivir en un ambiente de paz y seguridad. De lo contrario, se vulneran otros derechos."
274,2,a_la_seguridad_vida_sin_violencia,A,"Hay mucha delincuencia, hay droga. Hay que educar desde chiquitito para que sean personas de bien."
279,2,a_la_seguridad_vida_sin_violencia,A,ENCERRAR Y TRABAJAR A LAS PERSONAS DE MALOS HABITOS Y NO TENER QUE ENCERRARNOS NOSOTROS EN NUESTROS HOGARES
297,2,a_la_seguridad_vida_sin_violencia,A,"Es deber primordial del Estado garantizar la seguridad de las personas y sus familias, persiguiendo y condenando cualquier vulneracion  a sus derechos y todo atentado contra su vida, integridad y propiedad."
312,2,a_la_seguridad_vida_sin_violencia,A,"Personal, familiar, de circular y vivir en la ciudad, sin delincuencia."
317,2,a_la_seguridad_vida_sin_violencia,A,permite la seguridad y el desarrollo de todos los derechos
320,2,a_la_seguridad_vida_sin_violencia,A,Es necesario que la constitución contemple bases claras para asegurar la seguridad en la sociedad.
327,2,a_la_seguridad_vida_sin_violencia,A,Se debe resguardar la seguridad de los ciudadanos. Es necesaria la protección para vivir en un ambiente tranquilo y que nadie pase a llevar a otro.
328,2,a_la_seguridad_vida_sin_violencia,P,derecho a caminar seguro ya que la gente esta cada día mas agresiva.
337,2,a_la_seguridad_vida_sin_violencia,A,Violencia de ningún tipo
368,2,a_la_seguridad_vida_sin_violencia,A,"Anular los sistemas de vigilancia y violación a la intimidad del ser humano a través de telefonía, internet y traspaso de bases de datos entre instituciones.Los funcionarios policiales deben ser juzgados en el mismo sistema que los civiles.Que carabineros y PDI, cumplan un rol educativo, preventivo ante la ciudadanía, más que coercitivo y de mal uso de su autoridad."
379,2,a_la_seguridad_vida_sin_violencia,A,tener derecho a vivir en un espacio libre de delicuencia
385,2,a_la_seguridad_vida_sin_violencia,A,Porque las personas consideran que hay cada vez más violencia en el país y las protestas sociales están siendo muy destructivas con el bien común
390,2,a_la_seguridad_vida_sin_violencia,A,Todos queremos vivir en paz.
405,2,a_la_seguridad_vida_sin_violencia,A,"Todos tenemos derecho a que el Estado y nosotros como comunidad nos protejamos de  los delinquentes. pero también se requiere que la Constitución diga ""No más violencia contra las mujeres"", ""no más violencia en contra los adultos mayores""; ""no más violencia en contra de los indígenas"""
426,2,a_la_seguridad_vida_sin_violencia,A,"Ya que  creemos que no hay libertad personal posible, sin seguridad, y que es el Estado quien debe garantizarla, ya que posee los medios para ello, y creemos que es una función inherente a él."
434,2,a_la_seguridad_vida_sin_violencia,A,A la tranquilidad y a la defensa.
442,2,a_la_seguridad_vida_sin_violencia,A,"erradicar la violencia de género, sentirnos seguros en nuestros hogares."
446,2,a_la_seguridad_vida_sin_violencia,P,"Creemos imprescindible el poder desarrollar nuestra vida sin temor a la delincuencia, a la total falta de respeto por el otro, queremos heredar a nuestros hijos(as) un lugar seguro para vivir."
465,2,a_la_seguridad_vida_sin_violencia,A,POR UN DESARROLLO EMOCIONAL SANO Y QUE CONTRIBUYA AL ENTENDIMIENTO DE PERSONAS Y GRUPOS SOCIALES.
468,2,a_la_seguridad_vida_sin_violencia,A,"Necesitamos que el estado nos proteja, que podamos circular libremente sin preocuparnos que nos asalten o nos roben. Se debe velar por el bienestar de nuestros niños, mujeres y ancianos."
471,2,a_la_seguridad_vida_sin_violencia,A,.
502,2,a_la_seguridad_vida_sin_violencia,A,La injusticia social conlleva a vicios como vias de escape y a la delincuencia
508,2,a_la_seguridad_vida_sin_violencia,A,Que se respete y   asegure nuestra integridad física  y  emocional y psicológica  viviendo en ambiente armónico  y  de respeto  personal.
514,2,a_la_seguridad_vida_sin_violencia,P,Que no exista vulneración al derecho de vivir libremente.
521,2,a_la_seguridad_vida_sin_violencia,A,Muy importante en el contexto social actual.
533,2,a_la_seguridad_vida_sin_violencia,A,"Es fundamental para evitar la violencia de género, se debe garantizar el bienestar y el vivir en paz."
535,2,a_la_seguridad_vida_sin_violencia,A,tranquilidad ciudadana
551,2,a_la_seguridad_vida_sin_violencia,A,VIVIR EN PAZ Y SIN VIOLENCIA Y RESPETANDO A LA COMUNIDAD
552,2,a_la_seguridad_vida_sin_violencia,A,"como ciudadanos tenemos y exigimos el derecho a vivir tranquilos, seguros y garantizar una vida sin violencia."
567,2,a_la_seguridad_vida_sin_violencia,A,Que todos tenemos derecho a vivir seguros y denunciar cualquier tipo de violencia.
571,2,a_la_seguridad_vida_sin_violencia,A,Se debe reconocer el deber del Estado de responder cuando no ha dado cumplimiento a su obligación de garantizar la seguridad de las personas.
585,2,a_la_seguridad_vida_sin_violencia,A,.
595,2,a_la_seguridad_vida_sin_violencia,A,Abuso de autoridad en donde se pasa a llevar la seguridad propia e individual
611,2,a_la_seguridad_vida_sin_violencia,A,Derecho elegido por asistentes
613,2,a_la_seguridad_vida_sin_violencia,A,mayor intervención real de las policias
615,2,a_la_seguridad_vida_sin_violencia,A,"Derecho a vivir seguros, sin miedo, sin delincuencia, sin violencia, donde todos conviven con respeto."
626,2,a_la_seguridad_vida_sin_violencia,A,Consideran que cada vez más estamos en una sociedad más agresiva y es importante evitar los problemas entre los cuidadanos.
636,2,a_la_seguridad_vida_sin_violencia,A,"es fundamental generar sentido de protección para que muchas cosas como comunidad se vean potenciadas, hoy se cree que cualquiera puede llegar y robarte o hacerte daño, haciendo sentido a que la violencia es la manera de tener lo que se quiere, hay que reeducar en estos términos."
643,2,a_la_seguridad_vida_sin_violencia,A,"en forma cotidiana nos impactan los asaltos los portonazos pero tambien los femicidios, y los ladrones de cuello y corbata"
649,2,a_la_seguridad_vida_sin_violencia,A,porque la violencia no es la soluciona para vivir tranquilo
666,2,a_la_seguridad_vida_sin_violencia,A,Queremos vivir en un país seguro y que el poder judicial vele para que esto se cumpla.
668,2,a_la_seguridad_vida_sin_violencia,A,"Es  necesario que la población se sienta segura,  no solo ante la delincuencia que ha desbordado toda estadística, sino también frente al terrorismo en la Araucanía y la violencia que se vive en las marchas, en los partidos de fútbol donde nadie resulta responsable."
675,2,a_la_seguridad_vida_sin_violencia,A,"Estar libres de violencia Física, Psíquica, Psicológica y moral, así como sexual en todo tipo de personas, chicas y grandes"
676,2,a_la_seguridad_vida_sin_violencia,A,"Tanto la individual como la de la familia, debe ser protegido en una carta fundamental; esto ayuda a una comunidad saludable y una confianza en las instituciones."
678,2,a_la_seguridad_vida_sin_violencia,A,Ningún ciudadno debería temer por su seguridad
688,2,a_la_seguridad_vida_sin_violencia,A,es lo escencial
689,2,a_la_seguridad_vida_sin_violencia,P,Para una vida en paz y en comunidad
691,2,a_la_seguridad_vida_sin_violencia,A,"Tiene que ver con una vida digna. Hay preocupación en el grupo de cómo se garantiza ese derecho. Una vida sin violencia, es más profundo que ausencia de hechos delictuales."
693,2,a_la_seguridad_vida_sin_violencia,A,El estado debe garantizar el bienestar de la ciudadanía.
700,2,a_la_seguridad_vida_sin_violencia,A,Endurecer las Leyes en nuestros país.
720,2,a_la_seguridad_vida_sin_violencia,P,"Dada su amplitud, decidimos que es un derecho fundamental. si este se da, asegura otros derechos, como el respeto, la igualdad, etc."
765,2,a_la_seguridad_vida_sin_violencia,A,Porque todo el mundo tiene derecho a vivir sin violencia.
789,2,a_la_seguridad_vida_sin_violencia,A,Las personas deben participar en el proceso de corresponsabilidad de la seguridad junto a las entidades gubernamentales y policiales.
807,2,a_la_seguridad_vida_sin_violencia,A,Condición necesaria para la paz social y prosperidad.  La violencia no necesariamente se controla con más violencia.
822,2,a_la_seguridad_vida_sin_violencia,A,Merecemos una vida tranquila sin temor.
828,2,a_la_seguridad_vida_sin_violencia,A,"EL ESTADO, DEBE GARANTIZAR LA TRANQUILIDAD Y LA SEGURIDAD.GENERAR POLÍTICAS REALES DESTINADAS A ESE FIN."
835,2,a_la_seguridad_vida_sin_violencia,A,"Nuestra sensación de inseguridad en el país es alta y por ello creemos que es uno de nuestros derechos fundamentales para desarrollarnos, además el grado de violencia entre los ciudadanos está también enraízado."
841,2,a_la_seguridad_vida_sin_violencia,A,"que las leyes actuales sean mas justas para todos y mas ejemplizadoras para todas las personas que comenten algun delito que afecte la vida de la ciudadania, que las penas y sentencias sean igualitarias para todos no solo para algunos con mayores privilegios."
851,2,a_la_seguridad_vida_sin_violencia,A,"Mejorar la protección legal hacia las víctimas  de violencia, en especial hacia los adultos mayores. Protección tanto en el ámbito público como privado de las personas."
866,2,a_la_seguridad_vida_sin_violencia,P,"Tenemos derecho a no temerle al vivir. Se debe tener una vida que no sea amenazante, es decir, libre de violencia y peligro para los demás y la vida propia."
874,2,a_la_seguridad_vida_sin_violencia,A,Derecho que no se siente del todo presente en la sociedad. Falta seguridad al salir a la calle
876,2,a_la_seguridad_vida_sin_violencia,A,"Nuevo sistema de justicia que incorpore democráticamente a la comunidad en las políticas de prevención,  rehabilitación y reinserción y genere un sistema de represión y procesamiento del delito eficiente. y que los jueces tengan capactacion en genero ."
883,2,a_la_seguridad_vida_sin_violencia,A,porque queremos una vida sin violencia.
911,2,a_la_seguridad_vida_sin_violencia,A,"Esto es esencial para el respeto de la vida del otro y la calidad de vida de la sociedad, ya que una persona puede no ser víctima de violencia pero puede vivir con el miedo a sufrirla en un futuro."
925,2,a_la_seguridad_vida_sin_violencia,A,ES EL CONTEXTO NECESARIO PARA PODER DESARROLLARNOS COMO COMUNIDAD.
934,2,a_la_seguridad_vida_sin_violencia,A,Todos tenemos derecho a vivir en un país tranquilo y seguro si miedo y sin violencia
957,2,a_la_seguridad_vida_sin_violencia,A,La constitución debe asegurar la tranquilidad y entregar protección a sus habitantes.
962,2,a_la_seguridad_vida_sin_violencia,A,"-El Estado verifique  sus leyes y los castigos sean justos.  -Eliminar la puerta giratoria, atacar la violencia. -Mejorar la normativa. Ser mas equitativa con respecto a la infracción. -Que se normalice la donación de órganos."
967,2,a_la_seguridad_vida_sin_violencia,A,Es importante para poder vivir en paz
980,2,a_la_seguridad_vida_sin_violencia,A,Exigimos resguardo y protección de la propiedad y seguridad.
985,2,a_la_seguridad_vida_sin_violencia,A,Porque tenemos que garantizar el derecho a vivir en paz.
989,2,a_la_seguridad_vida_sin_violencia,A,"El estado debe ir más allá dentro de las políticas de seguridad. Todos debemos tener derecho a transitar libremente y seguros por los espacios públicos, y además a que nuestras casas no sean violentadas por los delincuentes.  El estado de Chile, para poder garantizar el Derecho a la Seguridad, no solo debe considerar la construcción de más recintos penitenciarios, sino que otras políticas públicas que permitan una real reinserción laboral, donde existan por ejemplos, beneficios tributarios o subsidios a la contratación de trabajadores que cumplieron condenas. En la actualidad, a los internos carcelarios se les capacita mientras están recluidos, pero al salir, no hay un real y efectivo seguimiento de estos, donde se pueda verificar si están trabajando."
996,2,a_la_seguridad_vida_sin_violencia,A,"como el derecho a vivir sin temor y protegidos. Debe el estado responsablemente suprimir las causas que provocan la delincuencia, la violencia y la inseguridad"
1012,2,a_la_seguridad_vida_sin_violencia,A,Generar una cultura y ambiente que nos proporcione integridad fisica y psiquica.
1036,2,a_la_seguridad_vida_sin_violencia,A,Permitirá la vida en sociedad mas llevadera para los valores de cada familia
1051,2,a_la_seguridad_vida_sin_violencia,P,"Entendiendo seguridad como el derecho de vivir tranquilo, sin que se vulnere la libertad individual"
1055,2,a_la_seguridad_vida_sin_violencia,A,Una vida sin violencia es importante para mejorar como sociedad.
1075,2,a_la_seguridad_vida_sin_violencia,A,Mas seguridad para que se preocupen de la violencia y que no exista mas
1076,2,a_la_seguridad_vida_sin_violencia,A,"Se debe promover una sociedad que diga no ala violencia, que garantice una vida sin violencia."
1090,2,a_la_seguridad_vida_sin_violencia,P,"Seguridad hacia los niños, mujeres y hombres (equidad de género), énfasis en la pareja, enfocándose en sectores más desvalidos como niños y tercera edad."
1095,2,a_la_seguridad_vida_sin_violencia,A,"Mejorar la percepción de seguridad en las localidades, especialmente en sector rural."
1104,2,a_la_seguridad_vida_sin_violencia,A,VIVIR EN PAZ
1118,2,a_la_seguridad_vida_sin_violencia,A,"La Constitución tiene que proteger a las mujeres de la violencia económica, psicológica, sexual y física que sufren como género en sus relaciones sociales: de pareja, laborales, etc. Se tiene que obligar a los hombres a aportar a dinero a sus hijos, visibilizando violencia institucional y doméstica"
1132,2,a_la_seguridad_vida_sin_violencia,A,Cada ciudadano tiene derecho de vivir en un ambiente seguro. Si esto no ocurre los individuos pierden su libertad. Hay que perder el complejo de una autoridad fuerte.
1133,2,a_la_seguridad_vida_sin_violencia,A,"Derecho a vivir tranquilos, sin temores. Campaña de buen trato"
1139,2,a_la_seguridad_vida_sin_violencia,A,toda la asamblea de acuerdo
1144,2,a_la_seguridad_vida_sin_violencia,A,"Se precisa que el estado sea garante de la libertad y que condene como corresponde  los actos de violencia hacia niños, animales, mujeres adultos mayores y a cualquier cuidadano."
1149,2,a_la_seguridad_vida_sin_violencia,A,respeto a la mujer y poder llegar a su casa sin que le pase nada
1151,2,a_la_seguridad_vida_sin_violencia,A,"LA VIOLENCIA ES INACEPTABLE BAJO NINGUNA CIRCUNSTANCIA, CONTRA NINGÚN SER HUMANO.  LA VIOLENCIA ATENTA CONTRA NUESTROS DERECHOS HUMANOS. POR LO TANTO, LA CONSTITUCIÓN, DEBE GARANTIZARNOS ESE DERECHO."
1166,2,a_la_seguridad_vida_sin_violencia,A,Trabajar a todo nivel para detener la violencia. Incluir en la educación desarrollo personal para evitar la violencia (inteligencia emocional).
1173,2,a_la_seguridad_vida_sin_violencia,A,total acuerdo
1185,2,a_la_seguridad_vida_sin_violencia,P,La disidencia no le otorga relevancia para que esté en la Constitución.
1211,2,a_la_seguridad_vida_sin_violencia,P,Se debe asegurar la convivencia pacifica y el respeto por el otro
1229,2,a_la_seguridad_vida_sin_violencia,P,"ES UN DERECHO YA QUE PERDIMOS  BENEFICIOS DE LA CONSTITUCION DE 1925 COMO Y AHORA NOS HAN ESTAFADO CON AFP, COTIZACIONES, JUBILACIÓN. DEBEMOS TENER ACCESO A UNA JUBILACIÓN DIGNA QUE NOS PERMITA DISFRUTAR NUESTRA VEJEZ Y NO SEGUIR TRABAJANDO. TODOS CON UN FONDO SOLIDARIO Y ALGUNOS CON FONDOS PROPIOS"
1235,2,a_la_seguridad_vida_sin_violencia,A,regularizar las leyes para que los delincuentes no salgan tan rápido de las cárceles que se termine de una vez la puerta giratoria
1249,2,a_la_seguridad_vida_sin_violencia,A,"La vida debe vivirse en libertad y tranquilidad, y poara eso debemos contar como sociedad con los derechos correspondientes a nuestra seguridad y a la protecciòn de nuestra vida de la violencia."
1259,2,a_la_seguridad_vida_sin_violencia,P,Respeto a las personas en su integridad fisica y psicológica sin discriminación y exclusion
1266,2,a_la_seguridad_vida_sin_violencia,A,"Esencial para la ciudadanía chilena, para la protección."
1267,2,a_la_seguridad_vida_sin_violencia,A,"Reforma Judicial, mayores sanciones"
1301,2,a_la_seguridad_vida_sin_violencia,A,"Tenemos derecho de vivir en un país tranquilo donde no se promueva la violencia de ningún tipo por más legítimo que parezca (violencia de género, laboral, escolar, etc.) Se debe contar los dispositivos para protegernos y que esto no sea un asunto de privados, es decir, se protegen quienes tienen los recursos para hacerlo."
1303,2,a_la_seguridad_vida_sin_violencia,A,todos tienen derecho a vivir sin miedo
1311,2,a_la_seguridad_vida_sin_violencia,P,"Vivir seguros, vivir protegidos para poder desarrollarnos. Seguridad interna y externa, poder vivir sin el miedo de que en algún momento todo se vendrá hacia abajo."
1367,2,a_la_seguridad_vida_sin_violencia,A,vivir seguros sin miedo
1376,2,a_la_seguridad_vida_sin_violencia,A,"QUE SE PROTEJA A LAS PERSONAS EN SU INTEGRIDAD FISICA, PSIQUICA, TANTO EN LUGARES PUBLICOS, COMO EN LA VIVIENDA, EL TRABAJO, ESCUELAS, ETC."
1378,2,a_la_seguridad_vida_sin_violencia,A,preocupación por la cantidad de violencia sin limites y penalización en las leyes
1383,2,a_la_seguridad_vida_sin_violencia,A,"Vida sin violencia, tranquilidad para la ciudadanía."
1424,2,a_la_seguridad_vida_sin_violencia,A,Poder vivir sin violencia
1451,2,a_la_seguridad_vida_sin_violencia,A,Se debe garantizar seguridad dentro del país de manera transversal a cualquier hora y cualquier día del año. El país es de todos y no se puede aceptar que en ciertos sectores no se pueda por ejemplo transitar de noche por el riesgo a sufrir algún asalto.
1458,2,a_la_seguridad_vida_sin_violencia,A,"Existe mucha violencia en la actual sociedad tanto contra la mujeres y los/las niños y niñas, adultos mayores."
1483,2,a_la_seguridad_vida_sin_violencia,A,El Estado debe generar las condiciones para su cumplimiento. Especialmente interesa el aspecto de construir un país sin violencia y capaz de diálogo.
1486,2,a_la_seguridad_vida_sin_violencia,A,Sin fundamento
1500,2,a_la_seguridad_vida_sin_violencia,A,"PORQUE ELLO PERMITE QUE VIVAMOS MASTRANQUILOS, SIN TEMOR A LA AGRESIÓN DE CUALQUIER TIPO Y LAPROTECCIÓN FRENTE A TODA SITUACIÓN DE AFECTACIÓN DE DERECHOS."
1501,2,a_la_seguridad_vida_sin_violencia,A,El Estado tiene el deber ineludible de generar y definir políticas que resguarden el normal desarrollo personal y familiar de todos los chilenos sin atisbo de discriminación
1545,2,a_la_seguridad_vida_sin_violencia,A,Es un derecho ya que necesitamos como seres humanos estabilidad y seguridad.
1582,2,a_la_seguridad_vida_sin_violencia,A,"Entendiéndose como una seguridad integral de las personas , no sólo relacionada con el delito."
1613,2,a_la_seguridad_vida_sin_violencia,A,Porque tenemos derecho a sentirnos íntegros y que nadie nos falte el respeto
1623,2,a_la_seguridad_vida_sin_violencia,A,Se debe asegurar a la ciudadanía el vivir en paz y con la seguridad necesaria.
1626,2,a_la_seguridad_vida_sin_violencia,A,La violencia en todas sus formas debe controlarse. Nos merecemos un país seguro.
1631,2,a_la_seguridad_vida_sin_violencia,A,Como paìs garantizar la seguridad de las personas.
1645,2,a_la_seguridad_vida_sin_violencia,A,sin fundamento
1657,2,a_la_seguridad_vida_sin_violencia,A,Derecho a vivir sin violencia.
1676,2,a_la_seguridad_vida_sin_violencia,A,-
1704,2,a_la_seguridad_vida_sin_violencia,A,A
1715,2,a_la_seguridad_vida_sin_violencia,A,El Estado debe actuar y responder cuando no ha dado cumplimiento a su obligación de garantizar la seguridad de las personas.
1721,2,a_la_seguridad_vida_sin_violencia,A,"Las familias buscan una vida familiar tranquila, sin violencia, el país requiere reformular y evaluar sus programa de seguridad , y disminuir los niveles de miedo de la población en sus propios barrios."
1723,2,a_la_seguridad_vida_sin_violencia,A,acuerdo de todos por esta opcion
1744,2,a_la_seguridad_vida_sin_violencia,A,se vive en constante inseguridad
1748,2,a_la_seguridad_vida_sin_violencia,A,"Seguridad frente a todo tipo de violencia ya sea física o psicológica. Contra la violencia de género, intrafamiliar, de las instituciones o cualquier otra."
1777,2,a_la_seguridad_vida_sin_violencia,A,para tener una protección social o cobertura de las necesidades basicas
1782,2,a_la_seguridad_vida_sin_violencia,A,El vivir tranquilos.
1784,2,a_la_seguridad_vida_sin_violencia,A,"Es un concepto trascendental. Debiera estar considerado en todas las políticas publicas, para lograr sensibilizar y crear conciencia en la prevención y disminución de la violencia."
1802,2,a_la_seguridad_vida_sin_violencia,A,"ELIMINACIÓN Y PENALIZACIÒN DE TODAS LAS FORMAS DE VIOLENCIA, INCLUSO LA EJERCIDA DESDE EL PROPIO ESTADO Y SUS INSTITUCIONES."
1807,2,a_la_seguridad_vida_sin_violencia,A,El derecho a la vida plena implica sentirnos seguros tanto en el ámbito priva-do como público. Poder vivir sin sentir peligro de ser violentado. Sentir seguridad del correcto funcionamiento de los organismos del estado y el actuar de nuestros gober-nantes. Hallar resguardo en las FFAA y de orden.
1808,2,a_la_seguridad_vida_sin_violencia,A,"Nuevo sistema de justicia que incorpore democráticamente a la comunidad en las políticas de prevención,  rehabilitación y reinserción y genere un sistema de represión y procesamiento del delito eficiente."
1854,2,a_la_seguridad_vida_sin_violencia,A,"no mas violencia física .económica ,social política y psicológica"
1859,2,a_la_seguridad_vida_sin_violencia,A,dentro y fuera del hogar
1860,2,a_la_seguridad_vida_sin_violencia,A,A vivir nuestro día a día sin temor a que cualquiera de nuestras acciones sean intervenidas de forma abrupta y desmedida.
1867,2,a_la_seguridad_vida_sin_violencia,A,Sanciones y condenas ejemplificadoras. Condenas efectivas
1880,2,a_la_seguridad_vida_sin_violencia,A,que todos puedan vivir de forma tranquila sin ser violentados ni fisica ni sicológicamente.
1884,2,a_la_seguridad_vida_sin_violencia,A,sin fundamento
1893,2,a_la_seguridad_vida_sin_violencia,A,"Se debe sentir seguridad en cualquier ambiente (hogar, calles, recintos públicos. etc.), del mismo modo tener seguridad judicial."
1907,2,a_la_seguridad_vida_sin_violencia,D,Porque los medios de comunicación infunden la violencia
1910,2,a_la_seguridad_vida_sin_violencia,A,"hacer vida ciudadana sin miedo, y sin restricciones"
1924,2,a_la_seguridad_vida_sin_violencia,A,"Vivir en un entorno que nos asegure la seguridad de la familia, de la vida y de la propiedad."
1926,2,a_la_seguridad_vida_sin_violencia,A,Necesitamos una legislación más drástica y efectiva contra la delincuencia y la corrupción a todo nivel que es lo que ha hecho aumentar la sensación de inseguridad que nos rodea en la actualidad.
1928,2,a_la_seguridad_vida_sin_violencia,A,Ejercer sin presión los derechos otorgados FFAA y de orden al servicio de progreso sobre la paz.
1971,2,a_la_seguridad_vida_sin_violencia,A,"Por tratarse de una región con problemas de convivencia, la seguridad y el derecho a la vida sin violencia son temas fundamentales sobre los que trabajar."
2014,2,a_la_seguridad_vida_sin_violencia,A,GARANTIZA LA SUSTENTABILIDAD DE LA SOCIEDAD Y LA PAZ SOCIAL.
2017,2,a_la_seguridad_vida_sin_violencia,A,"YA NO EXISTE SEGURIDAD. MANIFESTARNOS SIN VIOLENCIA, EN TODOS LOS ÁMBITOS DE NUESTRA SOCIEDAD."
2019,2,a_la_seguridad_vida_sin_violencia,A,Poder sentirse seguros en el diario vivir.
2027,2,a_la_seguridad_vida_sin_violencia,A,Poder disfrutar de los espacios públicos y privados sin temor
2030,2,a_la_seguridad_vida_sin_violencia,A,respeto
2031,2,a_la_seguridad_vida_sin_violencia,A,"A la Seguridad Vida sin violencia: que el Estado provea los medios para asegurar la seguridad a la ciudadanía, entre ellos el respeto a carabineros."
2041,2,a_la_seguridad_vida_sin_violencia,A,"Tenemos derecho a vivir tranquilos, a que se garantiza la paz ciudadana y que existan instituciones que velen por su cumplimiento."
2045,2,a_la_seguridad_vida_sin_violencia,A,Resulta sancionable de la manera más severa y ejemplificadora los comportamientos que se fundan en  la fuerza. Una sociedad sana requiere la seguridad del dialogo
2059,2,a_la_seguridad_vida_sin_violencia,A,"la violencia esta recuerrente, se debe dar énfasis en sensibilizar y terminar con la violencia en todas sus formas."
2069,2,a_la_seguridad_vida_sin_violencia,A,Respeto mutuo
2071,2,a_la_seguridad_vida_sin_violencia,A,LEYES EFECTIVAS QUE PROTEJAN A LA CIUDADANIA Y REINSERCION SOCIAL
2086,2,a_la_seguridad_vida_sin_violencia,P,"En la actualidad vivimos en un país poco seguro. La delincuencia se toma día a día sectores, aumentando la sensación de inseguridad."
2088,2,a_la_seguridad_vida_sin_violencia,A,regularización con los temas
2106,2,a_la_seguridad_vida_sin_violencia,A,"El estado debe garantizar y mantener un ambiente de seguridad, y debe buscar las estrategias y aplicarlas para mantener las relaciones societales sin violencia."
