idEla,tema,concepto,acuerdo,fundamento
8,2,a_la_vida,A,es el derecho de toda persona a no ser privado de la vida por terceros. El relevar este derecho tan básico por el grupo se sustenta en la memoria de la experiencia histórica traumática de la dictadura.
16,2,a_la_vida,A,Todos tenemos derecho a vivir desde que somo concebidos y nadie tiene derecho a quitar  la vida.
31,2,a_la_vida,A,es necesario
33,2,a_la_vida,P,"Aborto en los tres causales. legalizar eutanasia, decide el paciente o la familia si este no esta consciente. penalizar justamente los asesinatos, sin derecho a fianza."
36,2,a_la_vida,A,"Derecho que se encuentra en una jerarquía superior en relación a los demás derechos. A partir del derecho a la vida, se desprenden los otros derechos."
46,2,a_la_vida,A,Este derecho debe ser protegido desde la concepcion hasta la muerte natural.
54,2,a_la_vida,A,"Todos tenemos derecho a nacer, crecer y desarrollarnos como personas, todos tenemos derecho a la vida."
55,2,a_la_vida,A,Sin comentarios
56,2,a_la_vida,P,Estamo de acuerdo pero solo con los abortos terapeúticos  y respecto de las violaciones
58,2,a_la_vida,A,"todos los derechos a la vida, sin importar su condición sexual"
63,2,a_la_vida,A,Derecho  básico y  fundamental es el derecho a una buena vida con igualdad de opciones.
66,2,a_la_vida,P,"*Un integrante no estaba de acuerdo. Es un derecho que todos debemos tener, sin la vida, no hay nada."
68,2,a_la_vida,A,"Es un derecho fundamental en toda la amplitud  de la palabra, abarcando todos los derechos universales y respetando las distintas visiones y creencias."
80,2,a_la_vida,A,xxxx
89,2,a_la_vida,A,"a vivir, no al aborto a la eutanasia."
94,2,a_la_vida,A,Debe ser resguardada por sobre todas las cosas
96,2,a_la_vida,P,"A todo evento, con disenso en el aborto y eutanasia."
98,2,a_la_vida,A,"Derecho base y fundamental de los derechos humanos, agregando que el estado debe asegurar una vida de calidad."
100,2,a_la_vida,A,Sin vida cualquier otro derecho deja de cumplirse.
104,2,a_la_vida,A,Tomar nuestras decisiones sin afectar la vida de los demás. Derecho a la vida digna y de calidad.
107,2,a_la_vida,A,"El derecho a la vida es el primero de todos. Todos tenemos derecho a vivir, empezando por nacer libremente y vivir en condiciones dignas. Y este derecho a vivir es hasta que Dios quiera."
110,2,a_la_vida,A,"Se reconoce el derecho a la vida como fundamental en toda su expresión, biológica como social."
115,2,a_la_vida,A,Es fundamental
117,2,a_la_vida,A,"Cada vida es valiosa. Los seres humanos tenemos derecho a vivir y disfrutar de la vida que nos toca vivir, en familia, en sociedad y en libertad."
124,2,a_la_vida,A,.
126,2,a_la_vida,A,"DE TODOS, DESDE EL MOMENTO DE LA CONCEPCIÓN DEL SER HUMANO."
131,2,a_la_vida,A,Elemento fundamental. Incluye el derecho a la vida del que está por nacer.
136,2,a_la_vida,A,Es el derecho fundamental sin el cual los otros no tienen sentido.
138,2,a_la_vida,A,RESPETO A NACER
141,2,a_la_vida,A,Establecido en la Constitución pero que la ley la regule.
148,2,a_la_vida,A,ENTENDEMOS LA VIDA COMO EL DERECHO MAS IMPORTANTE PARA LOS SERES HUMANOS TAL COMO LO PLANTEA EL ARTICULO 3 DE LA DECLARACION UNIVERSAL DE LOS DERECHOS HUMANOS.
159,2,a_la_vida,A,"no aborto, libre eleccion, aborto terapeutico."
169,2,a_la_vida,A,DE ACUERDO EN QUE DEBE SER AMPLIADO A UNA VIDA DIGNA EN TODAS LAS ETAPAS DE LA VIDA.
193,2,a_la_vida,A,No hay fundamentos más allá de la discusión.
198,2,a_la_vida,A,Agregamos que le derecho a la vida es derechos a una vida digna. Es más completo.
202,2,a_la_vida,A,"Derecho esencial, básico."
209,2,a_la_vida,A,Debería constituirse como el derecho más importante.  Es fundamental para todos los seres humanos que se respete la existencia del otro. Es necesario para poder llevar acabo todos los demás derechos.
219,2,a_la_vida,A,"es fundamental y está por sobre cualquier otro derecho todo ser humano tiene derecho a que se respete su existencia desde la concepción de la vida humana. Siempre se debe ante todo proteger la vida humana, debe disponer de los mecanismos para impedir la muerte."
220,2,a_la_vida,A,Todos los seres humanos tienen derecho a vivir y a que su vida sea protegida.
222,2,a_la_vida,A,"Desde la concepción, la vida comienza con la fecundación y se debe proteger al nuevo ser vivo que está indefenso."
226,2,a_la_vida,A,"Los seres humanos tenemos un fin aquí en la tierra, existe un destino e intervenir con ella sea la causa que sea es no entender la verdadera existencia."
230,2,a_la_vida,P,Consideramos a todos los seres vivos importantes en el equilibrio de los ecosistemas.
239,2,a_la_vida,P,"(Vida digna) Objeción: Al agregar entre paréntesis ""vida digna"", prefiere el concepto más amplio que se presenta como opción en la guía."
245,2,a_la_vida,P,Todos tenemos derecho a nacer sin que nadie lo impida o que alguien atente contra nuestras vidas.
