idEla,tema,concepto,acuerdo,fundamento
143,2,a_la_vida_digna,A,"Implica acceso a la vivienda, a la salud, pensiones etc."
247,2,a_la_vida_digna,A,"Sustentar una vida Digna, debe ser una obligación del Estado, creando renovadas políticas que garanticen a las personas una educación, vivienda, trabajo, salud, previsión de calidad, que les permitan desarrollar todos sus potenciales."
356,2,a_la_vida_digna,A,"Deber del estado de proteger a los ciudadanos, su integridad mental y física. Debe tender a la vida plena."
479,2,a_la_vida_digna,A,"Que el Estado garantice los recursos necesarios en todas etapas, especialmente en etapas o situaciones no productivas."
508,2,a_la_vida_digna,A,la sociedad  por  medio del Estado  debe asegurar buenas  condiciones  de vida  y   trato respetuoso  a todos  los  habitantes   en el  territorio  nacional.
585,2,a_la_vida_digna,A,"Incluye derecho a la vivienda digna, a la salud, a la educacion, a la seguridad social, a la vida, a la muerte digna, a la integridad física y psíquica de las personas y al trabajo."
601,2,a_la_vida_digna,A,derecho a la vida digna
669,2,a_la_vida_digna,A,Tener una vida confortable que satisfaga todos los ámbitos de la vida de un ciudadano.
689,2,a_la_vida_digna,A,Que cada personas tenga oportunidad para su bienestar.
790,2,a_la_vida_digna,A,"Por una vida digna asegurado al momento de llegar al mundo, que considere elementos básicos como el derecho a la salud, a la vivienda, a la educación, a la alimentación, etc."
886,2,a_la_vida_digna,A,"Que el Estado considere la calidad de vida de las personas, más allá de preocuparse sólo por su bienestar en cuanto a su capacidad productiva. Considerar el ocio, acceso a cultura, esparcimiento, como fundamentales de la condición humana."
912,2,a_la_vida_digna,A,"Territorio libre no a la segregación, ambiente sano, libre de contaminación y en armonía con la naturaleza"
961,2,a_la_vida_digna,A,"es la madre de todos los derechos: salud, educación, vivienda, seguridad social, y todo aquello que aporte a la calidad de vida del ciudadano"
992,2,a_la_vida_digna,A,"El Estado garantizará la existencia y acceso sin restricción a aquellos bienes, servicios y condiciones de calidad que permitan una vida larga, saludable y digna; apegándose a la normativa internacional y promoviendo el desarrollo humano."
1110,2,a_la_vida_digna,A,"Esto engloba 6 items fundamentales  1. Vivienda digna sin hacinamiento por metro cuadrado  2.-Salud de calidad y gratuita y a todo evento  3.- educación gratuita y de calidad  4.-trabajo bien remunerado (tener acceso al ahorro)  5.-no vivir a expensas de crédito  6.- Jubilar a edad actual y con pensión que permita pagar gastos y alimentación, salud gratuita"
1129,2,a_la_vida_digna,A,"El Estado debe garantizar el derecho  a la vida digna de todos los seres vivos que habitan el territorio nacional, sin distinción. <>: “Valor inherente al ser humano en cuanto ser racional, dotado de libertad y poder creador. Las personas pueden modelar y mejorar sus vidas mediante la toma de decisiones y ejercicio de libertades”."
1351,2,a_la_vida_digna,A,"El Estado debe garantizar una vida digna, que permita el desarrollo individual, que incluya cobertura a las necesidades básicas como alimentación, vivienda, trabajo, salud y educación"
1716,2,a_la_vida_digna,A,"Incluye salud, educación, vivienda, respeto por las propias decisiones."
1751,2,a_la_vida_digna,A,"Seguridad social.  Educación  Salud física y mental, derecho al descanso  Vivienda  Ciclo de vida digno"
1799,2,a_la_vida_digna,A,"Es importante el desarrollo integral y formación de la persona humana, desde su nacimiento, pasando por su adolescencia, hasta la vejez, asegurando la integridad física y psíquica de las personas."
1964,2,a_la_vida_digna,A,Énfasis para gente en situación de calle.  Extender planes de invierno durante todo el año.  derecho a una muerte digna.
1990,2,a_la_vida_digna,A,"De las personas, con el resguardo eficaz de la integridad física y psíquica de las personas."
2009,2,a_la_vida_digna,A,"Protección, promoción y respeto de todos y todas a vivir con dignidad, como mejor le parezca, con igualdad de oportunidades, a lo largo de todo el ciclo de vida"
2243,2,a_la_vida_digna,A,"Respeto a la vida, en todas sus etapas, incluyendo el acceso a una muerte digna."
2243,2,a_la_vida_digna,A,"La seguridad social, propiciada por el Estado y financiada solidariamente, debe garantizar el acceso a la vida digna de todos sus ciudadanos, en especial de quienes han ofrecido una vida de trabajo."
2260,2,a_la_vida_digna,P,"Aglutinante de derechos básicos como vivienda, salud y seguridad, social, salarios, etcétera."
2308,2,a_la_vida_digna,A,"Toda persona merece una vida plena, donde el Estado garantice salud, agua, vivienda, trabajo digno, educación (que le permita desarrollarse de forma integral)."
2468,2,a_la_vida_digna,A,Condiciones: a) D° a la educación pública; b) D° al trabajo; c) D° a la salud; d) D° a la vivienda; e) D° al resguardo de la integridad física y psíquica; f) D° a la honra y el honor; g) D° a una vida sin violencia.
2549,2,a_la_vida_digna,A,"El estado asegura un vida sana, considerando las necesidades básicas de los ciudadanos, educación , salud, transporte, seguridad."
2602,2,a_la_vida_digna,A,"Salud, educación, vejez"
2604,2,a_la_vida_digna,A,"base de otros derechos sociales tales como el derecho a la educación, a la protección de la salud, a una vivienda digna, a pensiones justas, al trabajo apropiado, y a contar con otros servicios básicos.  Diseño de políticas públicas destinadas a mejorar la calidad de vida de las personas."
2634,2,a_la_vida_digna,A,"a pesar de no estar en las alternativas, creemos que es necesario que si se va vivir, deberíamos vivir dignamente y no solo vivir"
2857,2,a_la_vida_digna,A,"en todo el ciclo de vida: nacer, vivir, morir dignamente para todos por igual. Incluye vivienda digna"
3025,2,a_la_vida_digna,A,"No solo a la vida, sino que esta se pueda desarrollar en condiciones de dignidad y calidad desde la cuna hasta la vejez teniendo en especial consideración esta última etapa, previendo una pensión digna y un sistema solidario"
3136,2,a_la_vida_digna,A,"Concepto esencial que apela a la esencia y naturaleza humana. Esta debe ser superior a las condiciones mínimas de vida, incluyendo todas las dimensiones del ser humano."
3160,2,a_la_vida_digna,A,"Es un derecho de todo ciudadano llevar una vida digna, esto es que el estado asegure un techo , salud,educación y comida digna para todo ciudadano."
3293,2,a_la_vida_digna,A,"El Estado deberá garantizar el buen vivir de las personas, asegurando la satisfacción plena de las necesidades básicas mínimas: seguridad social, condiciones laborales, educación, vivienda y salud dignas."
3340,2,a_la_vida_digna,A,"Que incluya una real garantía del derecho a la integridad física y psíquica, el derecho a la salud y libertad personal"
3505,2,a_la_vida_digna,A,"Que involucre salud, educación, trabajo.  la vida digna antes de nacer y después de nacer."
3515,2,a_la_vida_digna,A,En acta adjunta
3690,2,a_la_vida_digna,A,"derecho a un trato digno y resguardo de los derechos, que se garantice un bienestar básico"
3767,2,a_la_vida_digna,A,"Debe asegurarse el acceso para todos a la salud, educación, vivienda, entre otros. Asegurando tambien un trabajo y una vejez digna."
3788,2,a_la_vida_digna,A,"Dar condiciones básicas para vivir dignamente. (Vivienda, salud, alimentación, sano entorno)."
3883,2,a_la_vida_digna,A,"Todas las personas deben tener derecho a la libertad, entendiéndola como la libertad de expresión, de circulación, de información, de libertad de conciencia, a la no censura y a la participación."
4064,2,a_la_vida_digna,A,El Estado debe ser garante hacia los derechos y necesidades de cada individuo y/o comunidad.
4089,2,a_la_vida_digna,P,"En consideración al actual debate sobre el derecho a la vida digna. Se concluye que más que el derecho a la vida, son las condiciones de esta misma, asegurando dignidad y calidad."
