idEla,tema,concepto,acuerdo,fundamento
3,2,a_la_vivienda_digna,A,Es un derecho básico que otorga dignidad y protección al ser humano
9,2,a_la_vivienda_digna,A,"Las viviendas sociales si bien son muy económicas, los espacios interiores son insuficientes, limitando la privacidad y propiciando el hacinamiento."
12,2,a_la_vivienda_digna,A,Importante contar con una vivienda digna donde se forman y crean los valores básicos en una sociedad.
13,2,a_la_vivienda_digna,A,"Nos referimos a digna cuando hablamos de espaciosas, terminadas, buenos materiales, etc. a bajo costo."
14,2,a_la_vivienda_digna,A,Que el estado garantice una vivienda digna para cada familia.
17,2,a_la_vivienda_digna,A,"Más que la protección y seguridad que aporta una buen vivienda, un hogar donde se pueda convivir en paz. Derecho de todos a tener un techo digno donde cobijarse"
19,2,a_la_vivienda_digna,A,"Si una familia se desarrolla en una vivienda cómoda, con espacios suficientes para fortalecer sistemas relacionales del grupo familiar, se evitan vulneraciones al derecho"
29,2,a_la_vivienda_digna,A,Aumento en los metros cuadrados que los beneficiarios sean quienes realmente lo necesitan
31,2,a_la_vivienda_digna,A,todos tenemos derecho a una casa propia.
33,2,a_la_vivienda_digna,A,el estado otorga viviendas indignas para una familia. EJ: una familia con 6 integrantes recibe una casa con 2 habitaciones.
35,2,a_la_vivienda_digna,A,Es lo que permite la dignidad y el desarrollo material y espiritual de las personas y familias. El estado debe garantizarla para aquellos que no tienen recursos.
54,2,a_la_vivienda_digna,A,"Para vivir de forma confortable, tranquila y segura."
56,2,a_la_vivienda_digna,A,Porque pensamos que nadie debe pasar por condiciones precarias
61,2,a_la_vivienda_digna,A,"Para todas las personas, que se contemplen ciertas características como estructurales y metros cuadrados por personas. Una mayor flexibilidad en los derechos hereditarios."
65,2,a_la_vivienda_digna,A,que todos los ciudadanos tengan mas posibilidades de obtener una vivienda digna
66,2,a_la_vivienda_digna,A,"Debería ser más preocupante el hecho de que hay gente en la calle muriendo de frío, y gente que aún vive en lugares poco dignos."
68,2,a_la_vivienda_digna,A,Es un derecho básico y elemental para la vida y desarrollo de la familia. El Estado debe garantizarlo con la dignidad y calidad que el ser humano merece.
76,2,a_la_vivienda_digna,A,aumentar metros cuadrados en viviendas sociales.
78,2,a_la_vivienda_digna,A,Potenciar el derecho a todos los estamentos de la sociedad y que este garantizado.
79,2,a_la_vivienda_digna,A,"Debemos asegurar este mínimo para pensar en otros importantes como educación o trabajo, dado que es lo básico para poder aportar en una sociedad."
80,2,a_la_vivienda_digna,A,xxxxx
86,2,a_la_vivienda_digna,A,"Debe ser garantizado, perpetuo e inajenable, con estándares óptimos y no mínimos de constructibilidad y habitabilidad."
87,2,a_la_vivienda_digna,A,Derecho a la vivienda digna con estándares de buena calidad con un mínimo de 80 Mtrs. cuadrados construidos
100,2,a_la_vivienda_digna,A,"Es necesidad básica del ser humano vivir en un lugar digno, pues esto tiene directa relación con la calidad de vida y por lo tanto el buen funcionamiento de la población."
106,2,a_la_vivienda_digna,A,"Se debe garantizar el acceso a una vivienda digna, independiente de su nivel económico y nacionalidad."
112,2,a_la_vivienda_digna,A,ES UN DERECHO BÁSICO DE TODA PERSONA Y FAMILIA
114,2,a_la_vivienda_digna,A,Es una necesidad básica para vivir y para garantizar el bienestar.
115,2,a_la_vivienda_digna,A,Básica para el desarrollo de la sociedad
126,2,a_la_vivienda_digna,P,EL ESTADO DEBE GARANTIZAR EL ACCESO A VIVIENDA DIGNA PARA CADA FAMILIA.
129,2,a_la_vivienda_digna,A,Calidad y dignidad
133,2,a_la_vivienda_digna,A,creemos que todas las personas deben tener la posibilidad y el derecho a tener una vivienda.
