idEla,tema,concepto,acuerdo,fundamento
9,2,a_sindicalizarse_y_a_la_negociación_colectiva,A,Para tomar participación activa en el ambiente laboral y tomar parte en decisiones relativa a los beneficios y derechos de los trabajadores.
12,2,a_sindicalizarse_y_a_la_negociación_colectiva,A,"Importante sindicalizarse, ya que un grupo humano unido podrá ejercer mayores fuerzas."
20,2,a_sindicalizarse_y_a_la_negociación_colectiva,A,Es un derecho fundamental que debe garantizarse efectivamente y estar en la Constitución.
48,2,a_sindicalizarse_y_a_la_negociación_colectiva,P,"Derechos de los trabajadores a organizarse, negociar y ejercer medidas de presión al respecto. Hay sindicatos en que existe abuso de poder y representatividad de los trabajadores."
85,2,a_sindicalizarse_y_a_la_negociación_colectiva,A,"Frente a existencia de optar por 7 derechos, no existió acuerdo respecto al último, considerando ambos como indispensables y bases para el catálogo de derechos , por cuento, el primero permite el desenvolvimiento del trabajador en todos los niveles, y el segundo que pueda exigirse el respeto, y el cumplimiento de todo derecho como de garantías."
106,2,a_sindicalizarse_y_a_la_negociación_colectiva,A,"Los trabajadores de todos los sectores deben tener el derecho a organizarce conjuntamente, para hacer frente a la dispar entre emplador y trabajador,"
112,2,a_sindicalizarse_y_a_la_negociación_colectiva,A,TIENE QUE HABER CONDICIONES PARA EQUILIBRAR LAS RELACIONES ENTRE TRABAJADORES Y EMPRESARIOS.
162,2,a_sindicalizarse_y_a_la_negociación_colectiva,A,"Los trabajadores deben participar en una actividad tan importante como la producción de bienes y servicios, esto mediante un sindicato que velará por sus derechos y negociar de manera cooperativa con el empresario."
171,2,a_sindicalizarse_y_a_la_negociación_colectiva,A,fundamental para la defensa de los derechos de los trabajadores y donde el estado debe ser garante
177,2,a_sindicalizarse_y_a_la_negociación_colectiva,A,"Hay muchos vicios en el sistema sindical, amenazas en las empresas para los nuevos trabajadores, que hacen compleja su integración a los sindicatos.  Debe establecerse a la huelga como derecho garantizado en caso de que el trabajador lo estime. Los trabadores deberían estar obligatoriamente en un s"
181,2,a_sindicalizarse_y_a_la_negociación_colectiva,A,Todos de acuerdo
206,2,a_sindicalizarse_y_a_la_negociación_colectiva,A,Defensa de los trabajadore4s frente al empleador y sus abusos
207,2,a_sindicalizarse_y_a_la_negociación_colectiva,A,Se lo entiende como un todo con el derecho a la seguridad social y como una herramienta para conseguirla
214,2,a_sindicalizarse_y_a_la_negociación_colectiva,A,Derecho a que los trabajadores puedan manifestarse libremente.
232,2,a_sindicalizarse_y_a_la_negociación_colectiva,A,Como derecho universal.
240,2,a_sindicalizarse_y_a_la_negociación_colectiva,A,Externalizando el derecho a huelga en cargos públicos.
244,2,a_sindicalizarse_y_a_la_negociación_colectiva,A,10 de 10 participantes votaron por esta opción.
