idEla,tema,concepto,acuerdo,fundamento
8,2,a_sufragio_votar,A,es una de las principales formas de ejercer la democracia. No obstante esta no se agota en este acto. A lo largo del debate se alude a la necesidad de avanzar hacia una democracia más participativa.  En esta línea se plantea por parte de algunos participantes la revisión del voto voluntario.
29,2,a_sufragio_votar,A,Deberia ser obligatorio debe existir participacion para generar los cambios
58,2,a_sufragio_votar,A,"debe ser obligatoria ya que al ser voluntario no todos participan, lo cual deberían ser todos los chilenos"
61,2,a_sufragio_votar,A,"Que sea libremente, contar con más plebiscitos y consultas a la ciudadanía, pero para lograr esto primero que todo, asegurar una educación cívica a la ciudadanía."
68,2,a_sufragio_votar,A,Es la herramienta fundamental de la democracia .Es necesario reestablecer la obligatoriedad del voto y así evitar el alto índice de abstención  y lograr que las autoridades  sean elegidas con un porcentaje  representativo.
105,2,a_sufragio_votar,A,obligatorio
107,2,a_sufragio_votar,A,Derecho a elegir los representantes políticos libremente y a que cumplan lo que prometen. También tenemos el deber de fiscalizar las labores de nuestros representantes de manera efectiva.
110,2,a_sufragio_votar,A,"En una República Democrática, el derecho a sufragar es fundamental para expresar el interés de las mayorías."
117,2,a_sufragio_votar,A,La ciudadanía se expresa a través de él. Es su forma de ser democrático. Es su derecho principal para el ejercicio de la soberanía.
124,2,a_sufragio_votar,A,.
136,2,a_sufragio_votar,A,Tiene que ver con el derecho de las personas a dar su opinión y elegir a las autoridades.
138,2,a_sufragio_votar,A,DERECHO DE TODO CIUDADANO
153,2,a_sufragio_votar,A,este tiene que ser obligatorio para que nadie se obtenga de ejercer su deber civico
161,2,a_sufragio_votar,A,"En concordancia con la ciudadanía, es un derecho que debe  respetarse, pero a la vez fomentarse."
210,2,a_sufragio_votar,A,Que sea obligatorio
220,2,a_sufragio_votar,A,Todos tienen derecho a votar para elegir a las autoridades.
240,2,a_sufragio_votar,P,"Obligatorio a partir de los 14 años para todos, todas con revisión a los mecanismos que prohíben a los grupos excluidos (reos y menor de 14)"
246,2,a_sufragio_votar,A,OBLIGACION PARA VOTAR
262,2,a_sufragio_votar,A,A  elegir y ser elegido
266,2,a_sufragio_votar,A,inscripción automática en registros electorales. Voto obligatorio
274,2,a_sufragio_votar,A,"Cuando uno vota, uno elige a quien quiere. Todos deben ir a votar."
278,2,a_sufragio_votar,A,que vuelva el voto obligatorio a todos los ciudadanos
302,2,a_sufragio_votar,A,"El ciudadano debe tener derecho libre a elegir sus representantes, sin presiones indebidas ni ser obligado. Además, tener la opción de tomar parte en las decisiones, cambios y normativas que rigen a su comunidad y país."
318,2,a_sufragio_votar,A,Porque es la opinión personal de cada uno.
319,2,a_sufragio_votar,A,Una persona un voto; la opción de elegir sus gobernantes es la base de la democracia.
328,2,a_sufragio_votar,A,"un elemento esencial de la democracia para cambiar la realidad, que vuelva a ser obligatorio."
338,2,a_sufragio_votar,A,"Este derecho se condice con el principio de participación y de democracia, pilares fundamentales de nuestra republica. Es de suma importancia velar poe su protección y por medidas de promoción."
377,2,a_sufragio_votar,P,"Debe ser garantizado, pero debe ser ampliado a otras formas de ejercicio (plebiscitos, asamblea constituyente A.C, entidades gremiales etc.)."
382,2,a_sufragio_votar,A,"Derecho a voto, en libertad de conciencia, informado y sin presiones partidistas.  Cambiando el actual sistema por uno que respeto la mayoria de los votos emitidos.  Valor 1"
386,2,a_sufragio_votar,P,"El grupo se encuentra en acuerdo parcial, por una parte recalcan la importancia de votar y de hacer valer sus derechos y deberes. Pero por otra parte comentan la dificultad de desplazarse por ser adultos mayores."
392,2,a_sufragio_votar,P,"El derecho a voto en la constitución es un requisito fundamental para dar legitimidad a la democracia.  El poder elegir por medio del sufragio libre, universal y secreto a las autoridades de un  país debería garantizar la representatividad de sus ciudadanos."
408,2,a_sufragio_votar,P,"El voto debe ser obligatorio porque es la máxima expresión de soberanía popular y no por esto se quitarían libertades pues estas están contenidas en el voto cuando uno elige. Es importante la participación del país, pues si éstos no participan en su totalidad se pone en duda los cargos públicos. Al"
428,2,a_sufragio_votar,A,Es un derecho ciudadano fundamental.
434,2,a_sufragio_votar,A,"Manifestarse independiente a los otros, dar a conocer sus pensamientos de manera cívica."
435,2,a_sufragio_votar,A,Derecho a manifestarse a través del voto.
440,2,a_sufragio_votar,P,"Derecho a votar de manera libre y secreta, en elecciones locales y nacionales, y que este ejercicio ciudadano sea responsable, reforzado a través de la educación cívica que alguna vez fue parte del currículo escolar de todas y todos los chilenos, que esperemos sea nuevamente incorporado."
441,2,a_sufragio_votar,A,Base para establecer la democracia en sí y hacer valer nuestros derechos
450,2,a_sufragio_votar,A,"Se defendió el derecho a participar en la elección de los representantes. En este punto, algunas comentaban que entendían que no pudieran votar dentro de la cárcel porque era parte de la pena, pero que les molestaba que saliendo, debían primero eliminar antecedentes, para poder sufragar."
459,2,a_sufragio_votar,A,una manifestación concreta del ejercicio de la democracia
463,2,a_sufragio_votar,A,Es la forma de expresión fundamental de la soberanía popular
464,2,a_sufragio_votar,A,Estamos de acuerdo
468,2,a_sufragio_votar,A,"La comunidad debe participar del proceso público político, elegir a sus gobernantes. Se debe educar a nuestros niños respecto de la importancia de la participación ciudadana."
469,2,a_sufragio_votar,A,Es importante porque al hacer valorar nuestro voto demostramos que somos un país
486,2,a_sufragio_votar,A,• LO QUE NOS PERMITE ELEGIR Y SER ELEGIDO DEBE SER SECRETO Y OBLIGATORI.
509,2,a_sufragio_votar,A,Es un derecho y un deber que no se quiere cumplir porque se tiene una pésima imagen de los jerarcas políticos
514,2,a_sufragio_votar,P,Voto obligatorio.
526,2,a_sufragio_votar,A,(.)
566,2,a_sufragio_votar,A,los derechos políticos son fundamentales
567,2,a_sufragio_votar,A,Que tengamos derecho a voto y obligatorio.
598,2,a_sufragio_votar,A,"Creemos que el derecho a votar es el mas importante, por ello creemos que debería haber un sistema de plebiscitos cuando haya votaciones de derechos, ya que esto afecta a todas las personas del pais"
608,2,a_sufragio_votar,A,"Toda persona tiene derecho a votar para a sus gobernantes, y sea de carácter voluntario."
612,2,a_sufragio_votar,A,"Para una Democracia representativa de los diferentes grupos que forman un País, el derecho a sufragio debe ser obligatorio y visto como un deber ciudadano irrenunciable, sin diferencias entre hombres y mujeres y desde los 18 años, tambien para quienes estan fuera del pais y siguen siendo Chilenos"
626,2,a_sufragio_votar,A,Consideran que el sufragio deberia ser obligatorio para poder obtener el punto de vista de los disntintos cuidadanos.
631,2,a_sufragio_votar,A,derecho a votar para hacer valida la democracia.
639,2,a_sufragio_votar,A,Obligatorio para todos y todas
654,2,a_sufragio_votar,A,es importante conservar este derecho para que podamos elegir nuestros gobiernos.
690,2,a_sufragio_votar,A,Fundamental en un régimen democrático
748,2,a_sufragio_votar,A,"Libre, informado y participativo."
775,2,a_sufragio_votar,P,Educación cívica y mayor participación  Voto chileno en el extranjero
804,2,a_sufragio_votar,A,Derecho a poder elegir dirigentes para el país.
805,2,a_sufragio_votar,A,DERECHO FUNDAMENTAL DE LA DEMOCRACIA DEBE SER OBLIGATORIO ACOMPAÑANDO LA EDUCACIÓN CÍVICA HASTA PODER HACERLO VOLUNTARIO
820,2,a_sufragio_votar,A,Expresión de la voluntad de los ciudadanos
887,2,a_sufragio_votar,A,no hay fundamento
896,2,a_sufragio_votar,A,Que podamos elegir a nuestras autoridades democraticamente
911,2,a_sufragio_votar,A,"Hubo un acuerdo total, ya que todos consideramos que esto es clave para el proceder de la democracia y para dar a conocer nuestras ideas."
914,2,a_sufragio_votar,A,Derecho a elegir a sus representantes para fomentar el principio de la democracia y fomentar la participación.
