idEla,tema,concepto,acuerdo,fundamento
65,2,acceso_a_información_pública,A,que las autoridades bajen la información a la ciudadanía
317,2,acceso_a_información_pública,A,"acceso a todos, transparencia sin que se pida. Acceso a los gastos del Municipio"
334,2,acceso_a_información_pública,A,"conocer lo que están haciendo las autoridades, no ocultar informaciòn. Que se promueva la transparencia en todo àmbito."
382,2,acceso_a_información_pública,A,Con medios de información pluralistas e independientes que garanticen la no manipulación de los sectores de poder.  Valor 2.
386,2,acceso_a_información_pública,A,"Es muy importante, ya que como ciudadanos tenemos el derecho de tener información transparente y accesible a todos  sobre lo que se esta realizando."
481,2,acceso_a_información_pública,A,Que todo ciudadano tenga acceso a la información publica y a la transparencia de los organismos e instituciones del Estado.
559,2,acceso_a_información_pública,P,Creemos que debemos ser informados honestamente de lo que esta realizando el gobierno a través de cuentas mensuales de parte del Gobierno
641,2,acceso_a_información_pública,A,"Como se menciono en el punto anterior, tener acceso y que se expliquen las leyes que hace el parlamento y la presidenta."
698,2,acceso_a_información_pública,A,"Tenemos el derecho de buscar, recibir y difundir la información en poder del gobierno u administradores públicos. Ya que el conocimiento  garantiza el cumplimiento de los derechos esenciales del ser humano."
722,2,acceso_a_información_pública,A,"todos tenemos derecho a saber lo que pasa en el pais. que el gobierno no se siga aprovechando de los demas debiles, ocultando informacion y cometiendo corrupcion en nuestro pais, "" que es de todos""."
772,2,acceso_a_información_pública,A,"Mayor transparencia en los procesos legislativos y políticos, donde se informe y consulte a la comunidad. Mayores instancias de difusión. Fomentar la participación en diálogos y discusiones."
811,2,acceso_a_información_pública,A,"JUNTO CON LA TRANSPARENCIA, DEBEMOS CONOCER QUE PASA CON LOS RECURSOS DE TODOS LOS CHILENOS, ESTUDIOS QUE SE REALICEN, FUNCIONES Y OBJETIVOS  DE INVERSIONES PUBLICAS."
837,2,acceso_a_información_pública,A,Fortalecer la transparencia y la probidad.
842,2,acceso_a_información_pública,A,Especialmente frente a organismos que actualmente no se encuentran obligados. Es un mecanismo de control/fiscalización ciudadano.
867,2,acceso_a_información_pública,A,Que todo lo que sea público pueda ser conocido por el ciudadano que lo requiera
873,2,acceso_a_información_pública,A,Todas las personas necesitamos informarnos para no caer en la ignorancia.
927,2,acceso_a_información_pública,A,porque necesitamos transparencia
992,2,acceso_a_información_pública,A,Se debe considerar un derecho puesto que solo en la medida que se trasparente la información y la ciudadanía tenga acceso a ésta se podrá alcanzar una democracia realmente participativa.
1058,2,acceso_a_información_pública,A,Todos los ciudadanos debieran tener claridad acerca de como se gastan los fondos publicos.
1095,2,acceso_a_información_pública,A,Mejorar en los colegios y con los niños en rescate de cultura. Abrir más espacio para las comunidades.
1113,2,acceso_a_información_pública,A,La información y transparencia del Estado es la base para eliminar los actos de corrupción y poder votar en consecuencia.
1126,2,acceso_a_información_pública,A,Acceso a la información pública y global
1240,2,acceso_a_información_pública,A,Todos los actos de los políticos como sus patrimonios y enriquecimientos deben ser de conocimiento de toda la ciudadanía por medios masivos fáciles de adquirir.
1311,2,acceso_a_información_pública,P,"Fundamental para poder decidir, participar e involucrarse en asuntos públicos, ademas como herramienta para un pueblo activo."
1325,2,acceso_a_información_pública,A,PARA TODO LOS CIUDADANOS
1520,2,acceso_a_información_pública,A,• Acceso a la información pública en tiempo real Sin censura o manipulación. De acceso universal.
1534,2,acceso_a_información_pública,A,"La información pública debe estar disponible, salvo aquella sensible y que afecte los intereses del país."
1630,2,acceso_a_información_pública,A,GARANTIZAR Y PROMOVER EL ACCESO CIUDADANO A LA INFORMACIÓN PÚBLICA EN TODOS SUS NIVELES E INSTITUCIONES.
1656,2,acceso_a_información_pública,A,Sin información no podemos opinar sobre un tema
1698,2,acceso_a_información_pública,A,Acceso democrático a la información (veraz y oportuna) para decidir
1963,2,acceso_a_información_pública,A,seguir manteniendo la información publica de los organismos e instituciones del país para que así todo el pueblo este informado.
2207,2,acceso_a_información_pública,A,Derecho fundamental para promover la transparencia de las instituciones públicas y para fomentar la participación ciudadana en la toma de decisiones. La información oportuna y fidedigna da las condiciones para una efectiva participación.
2279,2,acceso_a_información_pública,A,Todo debe ser claro y abierto a quien lo solicite. Así no hay desconfianza.
2305,2,acceso_a_información_pública,A,Garantizar la información real y fidedigna y pública a todos los chilenos y chilenas
2403,2,acceso_a_información_pública,A,"Necesaria para mejorar y garantizar un actuar correcto de la función pública y de las autoridades, en miras a conseguir en forma efectiva y eficaz el bien común."
2435,2,acceso_a_información_pública,A,Que se dé a conocer y se tenga acceso a información en un gobierno democrático y transparente.
