idEla,tema,concepto,acuerdo,fundamento
114,2,al_agua,A,"Necesidad más básica de los seres humanos, donde todos puedan tener acceso a ella."
236,2,al_agua,A,"PORQUE SE HACE NECESARIO RESGUARDAR EL ACCESO, CONTROL Y PROVISION DE ESTE ELEMENTO VITAL CON EL FIN DE MANTENER Y PROVEER PARA TODOS , NO SÓLO EL HOMBRE, SINO QUE EL ECOSISTEMA EN GENERAL DE FORMA EQUITATIVA  EN SUS DISTINTAS FORMAS DE EXPLOTACIÓN Y MANERA SUSTENTABLE."
589,2,al_agua,A,"Como bien esencial para la vida, el agua debiera ser un Derecho"
713,2,al_agua,A,"El agua debe ser un bien nacional de uso público, de acceso universal, como derecho inalienable para la vida"
1321,2,al_agua,A,Como elemento vital para nuestro pueblo.
2494,2,al_agua,A,"El derecho al agua es el derecho a disponer de agua suficiente, saludable, aceptable, físicamente accesible y asequible, para uso personal o domestico."
3108,2,al_agua,A,"Los ríos y las aguas que corren por cauces naturales son bienes nacionales de uso público y su aprovechamiento queda regulado por el Estado que fiscaliza su conservación y establece prioridades que favorezcan el interés común, garantizando acceso, disposición y saneamiento para consumo doméstico."
3198,2,al_agua,A,"Es un derecho a la vida, que las aguas no sean privatizadas que sea un derecho para todos"
3713,2,al_agua,A,un derecho fundamental es el derecho al agua como plataforma básica y clave en el desarrollo de la vida y la salud de la población chilena
4020,2,al_agua,A,Acceso al agua como un bien fundamental para la vida y el desarrollo. Acceso comunitario y uso sustentable. El agua es soporte de vida y desarrollo. Priorizar las necesidades básicas y que no sea un bien transable. El derecho de propiedad no debe estar por sobre el derecho para las necesidades del ser humano y de las comunidades.
5001,2,al_agua,A,xxx
5356,2,al_agua,A,Un derecho para asegurar el acceso prioritario a las personas.
5461,2,al_agua,A,"Acceso al agua, regulación del uso del agua y derechos asociados"
5564,2,al_agua,A,"Sin agua no hay Vida, debe ser garantizada por el estado para todos, debe dejar de ser  mercancía  El agua  debe unirse a la tierra para tener y garantizar soberanía alimentaria; Reproducción de la Biodiversidad y medio ambiente"
6235,2,al_agua,A,"Sin agua no hay vida; no más contaminación; ni privatización del agua la necesitamos para consumo humano, animal y conservación de la naturaleza  Agua = Alimentos = Salud = Vida"
6878,2,al_agua,A,Que no vengan particulares y nos priven del agua. El agua es vida debe garantizarse como derecho de  todos.
7149,2,al_agua,P,Este derecho limitaría e impediría el actuar abusivo tanto de privados como del Estado. Además garantiza el acceso al agua de muchos ciudadanos en situación/condición de pobreza o que se encuentran aislados territorialmente.
8142,2,al_agua,A,"Entendiendo a las Aguas como parte de nuestro Bien Común, siendo un recurso natural que nos pertenece a todos y que no debe se monopolizado por unos pocos, ni que se lucre con ella. Todos debemos tener libre acceso a este recurso vital."
8899,2,al_agua,A,"“ Es indigno vivir con 400 lt. de agua  cada 15 días por familia”, necesitamos agua  para bañarnos, sembrar la huerta que nos da el alimento, se necesita agua para el medio ambiente y la vida en la tierra, sin agua no hay vida"
9529,2,al_agua,A,EL AGUA ES VIDA Y POR LO TANTO DEBEMOS RECUPERAR ESTE DERECHO PARA EL ESTADO Y NO QUE CONTINUÉ EN MANOS PRIVADAS.
10316,2,al_agua,A,"Es el derecho a tener acceso al agua para mantener la vida de las personas y del territorio en el que se habita. El agua es un bien público soberano del Estado de Chile, el cual no debe ser apropiado por privados, por tanto, en primer lugar, se debe asegurar su uso para el consumo humano. Se debe fomentar la reutilización de las aguas servidas para otros usos. Debe existir una relación entre el uso de la tierra y el agua."
10720,2,al_agua,A,"El agua debe ser un derecho a la vida,  la necesitamos para  higiene, salud, alimentos, para la naturaleza. Es un derecho de los campesinos"
10856,2,al_agua,A,A
11198,2,al_agua,A,Que el agua no sea un bien transable en el mercado. Derecho de acceso A TODOS
11294,2,al_agua,A,"Es necesario garatizar un mínimo de agua potable para todos.  Es doloroso como se usa mal el agua, en las mineras y en toda  forma de malgasto de agua. También es necesario educar a la  gente sobre la consciencia de lo importante que es el agua.  El agua es vida."
11343,2,al_agua,A,El agua es un elemento básico y vital para el ser humano por lo tanto el estado debe garantizar el acceso del agua para todos los chilenos y chilenas.
11652,2,al_agua,A,Sin agua todos los derechos quedan sin efecto
12977,2,al_agua,A,"Derecho del pueblo a disfrutar, gozar de nuestros recursos naturales, como por ejemplo el agua, que los poderes economicos no intervengan"
