idEla,tema,concepto,acuerdo,fundamento
3,2,al_salario_equitativo,A,"Para lograr la igualdad en género y en áreaas profesionales , técnicas, etc"
12,2,al_salario_equitativo,A,"Es importante este derecho, ya que de esta manera no se generan altas brechas en un país, y a la vez no generamos las clases sociales."
16,2,al_salario_equitativo,A,Igualdad en los sueldos y un salario acorde al mercado para poder pasar el mes......
17,2,al_salario_equitativo,A,"En lo laboral ambos géneros tienen derecho a recibir en sueldo digno, el que merecen y no adecuado a su género ya que ambos deben ser iguales ante la ley sin ninguna distinción"
46,2,al_salario_equitativo,A,"Un salario que sea acorde a las necesidades de cada personas, teniendo consideración de su núcleo familiar."
59,2,al_salario_equitativo,A,"Todo trabajador y trabajadora debe tener un salario digno y justo, que les permita vivir con dignidad y puedan cubrir sus necesidades básicas."
63,2,al_salario_equitativo,A,Buscar la igualdad en relación al mismo  cargo. Geográficamente hablando es necesario regular.
70,2,al_salario_equitativo,A,"igual trabajo, igual remuneración, Si existe un sueldo mínimo que exista sueldos máximos, disminuir la brecha entre los mínimos y máximos."
76,2,al_salario_equitativo,A,sin diferencias de genero ni edad.
78,2,al_salario_equitativo,A,Igualdad de condiciones contractuales y salariales ante la misma responsabilidad laboral. Fin de los contratos a honorarios.
79,2,al_salario_equitativo,A,"Salarios dignos para quienes reciben el mínimo, que según el modelo económico vigente, aseguren los derechos básicos de alimentación, vivienda, educación y salud. Salarios equitativos, regular el exceso en quienes tienen el poder de gobernar, especialmente si en instituciones públicas."
80,2,al_salario_equitativo,A,xxxxx
91,2,al_salario_equitativo,A,Que todos tengan salarios conforme a su trabajo y que no existan tantas diferencias de ingresos entre hombres y mujeres -entre ricos y pobres -entre salario máximo y salario mínimo.-
105,2,al_salario_equitativo,A,salario equitativo para todos
107,2,al_salario_equitativo,A,"Derecho a recibir un salario justo por las prestaciones que hacemos, y para vivir dignamente."
129,2,al_salario_equitativo,A,Que la remuneración sea acorde al esfuerzo y conocimiento
143,2,al_salario_equitativo,A,No es posible que las personas trabajen pero el salario no alcance para vivir.
147,2,al_salario_equitativo,A,Igualdad de trabajo e igualdad de sueldos.
156,2,al_salario_equitativo,A,"El salario debe tener una distribución justa y equitativa, existiendo una proporción entre sueldo mínimo y el máximo, asegurando que el trabajo permita una vida digna."
159,2,al_salario_equitativo,A,"salario digno, negociable."
161,2,al_salario_equitativo,A,"Promover salarios dignos para los grupos de menos ingresos de la población, para así fomentar la igualdad social y reducir las injusticias e inequidades."
165,2,al_salario_equitativo,A,Derecho garantizado por el Estado asegurando un ingreso básico que asegure la sobreviviencia del grupo familiar.
178,2,al_salario_equitativo,P,"Una remuneración justa ,acorde con el esfuerzo desplegado, que no exista diferencia  en trabajos de igual valor, sobretodo en la relación de género ya que trabajos o funciones similares existen grandes diferencias en los salarios entre hombres y mujeres."
187,2,al_salario_equitativo,A,Se necesita un sueldo digno más ético para toda la ciudadanía de forma de acabar la desigualdad.
223,2,al_salario_equitativo,A,"El salario deberá estar asociado al salario digno, que permite garantizar la oportunidad de desarrollar nuestras habilidades"
233,2,al_salario_equitativo,A,.
238,2,al_salario_equitativo,A,"existen diferencias inaceptables, como por ejemplo entre homres y mujeres. Mayores remuneraciones acorde a necesidades de la sociedad."
