idEla,tema,concepto,acuerdo,fundamento
13,2,al_trabajo,A,"Incluyendo en este el salario digno, la huelga, la negociación colectiva y evitar el agobio laboral."
14,2,al_trabajo,A,"- Que el estado permita la integración laboral de todos los ciudadanos, independiente de su condición. - Mejoramiento en las condiciones contractuales."
31,2,al_trabajo,A,derecho a remuneraciones dignas.
36,2,al_trabajo,A,"No sólo el derecho a elegir libremente a la elección del trabajo, sino también la protección contra el desempleo, sin discriminación, igualdad salarial, remuneración digna, protección social y derecho de sindicación."
80,2,al_trabajo,A,xxxxx
81,2,al_trabajo,A,Con salario mínimo digno
96,2,al_trabajo,A,Acceso al trabajo Sindicalización Negociación Colectiva  Condiciones dignas
110,2,al_trabajo,A,"Las personas tenemos derecho a trabajar, y a elegir nuestro trabajo como una expresión de libertad, y desarrollo personal y social."
112,2,al_trabajo,A,PARA ESO EL ESTADO DEBE OTORGAR LAS CONDICIONES EN FUNCIÓN DE UN TRABJO DIGNO
115,2,al_trabajo,A,Para hacer grande la patria
139,2,al_trabajo,A,"Tiene que existir acceso al trabajo donde se tengan sueldos acordes al desarrollo de los trabajos y el nivel de educación y formación, con pensiones dignas y donde no haya mas abusos de entes privados como las AFP."
140,2,al_trabajo,A,"Que este derecho constituya un salario equitativo, derecho a sindicalización, y a la negociación colectiva, derecho a huelga, y a un trabajo digno (que existan condiciones mínimas)"
158,2,al_trabajo,A,Derecho Fundamental
171,2,al_trabajo,A,poder sostenernos dignamente con nuestro propio esfuerzo
197,2,al_trabajo,A,"Derecho para acceder a recursos y servicios productivos, el cual incluye el derecho a ganarse la vida mediante un trabajo que el o ella pueda escoger libremente."
206,2,al_trabajo,A,El trabajo dignifica y el Estado debe garantizarlo
223,2,al_trabajo,A,El trabajo deberá estar asociado a la oportunidad de desarrollas nuestras habilidades
233,2,al_trabajo,A,.
242,2,al_trabajo,A,Seguridad personal al volver a casa y lograr mejoras sociales y constitucionales.
246,2,al_trabajo,A,FACILITA EL ACCESO; SINDICALIZACION Y LIBRE INICIATIVA ECONOMICA
252,2,al_trabajo,A,El trabajo es fundamental para que las perdonas se realicen y aporten a la sociedad.  La constitución debe velar para que todos puedan ser personas productivas.
261,2,al_trabajo,A,derecho fundamental para la dignidad de las personas
273,2,al_trabajo,P,Dignifica a la persona en todas las dimensiones del ser humano.
294,2,al_trabajo,A,"Se debe garantizar el acceso al trabajo sin discriminación de género, edad, ni de ningún tipo, con un salario justo, y donde se respeten los derechos laborales"
295,2,al_trabajo,A,Derecho a trabajo digno y justamente remunerado.
296,2,al_trabajo,A,"que incluye la libertad de trabajo, derecho a sindicalización, negociación colectiva, asociación y huelga"
304,2,al_trabajo,A,El estado debe fomentar el trabajo a todos los ciudadanos con salario ético
356,2,al_trabajo,A,"Derecho a gozar de los frutos del trabajo, con salario equitativo."
362,2,al_trabajo,A,al trabajo con salario ético  lograr que los salarios sean iguales en función igual salario y que alcance para necesidades básicas
370,2,al_trabajo,A,Sustento personal y familiar.
371,2,al_trabajo,A,"GARANTIZACIÓN POR EL ESTADO, CEDERLE UN TRABAJO A CADA CIUDADANO JUNTO CON FISCALIZACIÓN. (REPARTO)."
377,2,al_trabajo,A,"Creemos que todos los ciudadanos tienen derechos a tener un trabajo en condiciones dignas, con salarios justos e iguales."
383,2,al_trabajo,A,El trabajo debe ser digno y humanizante. Es una necesidad básica fundamental.
407,2,al_trabajo,A,Que toda persona tiene derecho al trabajo lo que debe garantizar en la constitución.  Del mismo modo que al derecho al salario equitativo y digno.
408,2,al_trabajo,A,"El Estado tiene que velar y propiciar el acceso al trabajo para ayudar a activar el motor de la economía. Así se evita que la población caiga en depresión, drogas, alcohol, etc. También generaría más beneficios. El Estado debe velar y contribuir al derecho al trabajo de los ex-presos y discapacitad"
419,2,al_trabajo,A,"Un trabajo digno, con una legislación que no permita la subcontratación,  que permita la huelga y sindicalización."
422,2,al_trabajo,A,el dercho al trabajo como una fgorma de fortalecer la dignidad de las personas
423,2,al_trabajo,A,"entenderlo en sentido amplio, no solo el puesto de trabajo sino que un salario digno, el derecho a formar sindicatos."
424,2,al_trabajo,A,Única forma de generar riqueza y  colaborar desarrollo económico del país. En igualdad de condiciones y dignidad
425,2,al_trabajo,A,"garantizar el crecimiento integral. que el estado vele por un trabajo, capacitacion, etc para las personas"
434,2,al_trabajo,A,A tener un sueldo y salario digno y una ocupación permanente.
464,2,al_trabajo,A,Estamos de acuerdo. Sin trabajo no hay dignidad humana
470,2,al_trabajo,A,.
482,2,al_trabajo,A,Se considera que el trabajo debe ser digno con un salario equitativo lo que por consiguiente te permite una vivienda digna salud y una educación de calidad
483,2,al_trabajo,P,QUE CADA CHILENO TENGA OPORTUNIDADES DE TENER UN TRABAJO DIGNO. QUE EL ESTADO GARANTICE EL ACCESO AL EMPLEO.
484,2,al_trabajo,A,acuerdo unànime
486,2,al_trabajo,A,• TENER ACCESO AL TRABAJO CON UNA REMUNERACIÓN DIGNA.
504,2,al_trabajo,A,Y a una remuneración digna
516,2,al_trabajo,A,Ligado a la previsión social. Derecho al trabajo digno y con jornadas que permitan el derecho a descansar y a la recreación. Previsión solidaria y estatal.
531,2,al_trabajo,A,es fundamental que haya satisfacción de la necesidades básicas de todos lo habitantes y el trabajo digno es vital
533,2,al_trabajo,A,"Es una necesidad básica que debe ser satisfecha,  aporta para el desarrollo personal y la dignidad Procura el bien de todos."
534,2,al_trabajo,A,Es la unica forma de generar los ingresos para la subsistencia.
572,2,al_trabajo,A,"Toda persona tiene derecho a un trabajo digno, sustentable para su vida y familia"
589,2,al_trabajo,A,"Derecho al trabajo, debiendo ser este  digno,con salario justo, y equitativo, con derecho a sindical izarse, a la negociación colectiva, a la huelga .....y una Ley Laboral que resguarde al trabajador"
612,2,al_trabajo,A,"Todo Ciudadano debe tener un trabajo digno que le permita vivir tranquilo y mantener a su familia de manera adecuada, el acceso a el también debe ser justo y equitativo para ambos géneros. El trabajo debe ser legalizado con contratos y no mas honorarios que se extiendan por años de años."
631,2,al_trabajo,A,la constitución debe garantizar el derecho a trabajar dignamente.
633,2,al_trabajo,A,Derecho irrenunciable que el Estado debe garantizar.
636,2,al_trabajo,A,"con condiciones dignas, tanto remuneración como en el ejercicio, es decir, por ejemplo seguro contra accidentes, el trabajo a honorarios no debiese existir como un ejercicio naturalizado de prestaciones de servicios sin respaldo jurídico, se requiere mayor fiscalización al sector privado."
642,2,al_trabajo,A,"La constitución debe establecer claramente el derecho al trabajo pero ademas, las condiciones en que estos deben realizarse y que ante una misma función se tenga una misma remuneración."
665,2,al_trabajo,A,El trabajo dignifica y ayuda a superarse.
676,2,al_trabajo,A,"Es un estímulo para el individuo que se garantice este derecho....esto impulsara la inversión , la iniciativa."
678,2,al_trabajo,A,Es fundamental que todos los ciudadanos tengamos la oportunidad de tener un trabajo digno.
732,2,al_trabajo,A,"Entendemos ""al Trabajo"", como derecho; al ACCESO AL TRABAJO, en condiciones y garantías dignas y mínimas. Considerar trabajo decente y con protección social adecuada."
733,2,al_trabajo,A,"Derecho a un trabajo digno, a la huelga, a la negociación colectiva y a un salario equitativo."
749,2,al_trabajo,P,entendido como un derecho a salario equitativo y acorde al desarrollo de cada función sin contratos abusivos y con una seguridad social implícita a cualquier trabajo remunerado
764,2,al_trabajo,A,Un salario equitativo y justo asegura bienestar social y calidad de vida digna.
775,2,al_trabajo,A,Jornada semanal de 30 hrs con tiempo de colación y partime de 8 hrs dia Descanso min. de 2 días libres por semana Eliminación de comisionistas y art 22 de profesionales No se trabaja tras el término de jornada laboral Libertad de tener más de un empleador simultaneo pero no debe tener el mismo giro
778,2,al_trabajo,A,"Experiencias personales reiteradas, sin acceso laboral, limitando la poca experiencia, búsqueda del bienestar es difícil, el estado no se hace cargo de la educación labora de la ciudadanía, no hay responsabilidad del trabajo digno por el estado."
797,2,al_trabajo,A,Digno y de calidad.
801,2,al_trabajo,A,Derecho a poder desarrollarse en actividad remunerada para poder aportar el país ya sus familias sin endeudarse.
827,2,al_trabajo,A,"Derecho al trabajo DIGNO, EQUITATIVO, CON UN SALARIO JUSTO."
831,2,al_trabajo,A,"Derecho a acceder libremente a un puesto de trabajo, a condiciones equitativas y satisfactorias, a la protección contra el desempleo, sin discriminación, con igualdad salarial, sin hacer diferencia de género, con sueldo digno, protección social y derecho a sindicalizarse."
841,2,al_trabajo,P,el empleador no cumple de buena fe con los derechos que deben tener los trabajadores. los salarios y/o ingresos no cumplen con las expectativas ya que al momento de jubilar no saben si la inversion de sus fondos en las AFP estan bien invertidos .debiese ser un modelo mas solidario justo transparent
864,2,al_trabajo,A,"Todo individuo tiene el derecho a un trabajo digno y un salario ""ético""."
880,2,al_trabajo,A,Por dignidad y subsistencia.
911,2,al_trabajo,A,"El gobierno debe garantizar y dar protección a este derecho implementando políticas que promuevan la contratación y la difusión o la existencia de puestos de empleo, creemos que esto debe encargarse a las municipalidades, en el caso de alguien encontrarse sin empleo, la municipalidad brindar uno."
913,2,al_trabajo,A,"que las constituciones regule y le de trabajo a todos los ciudadanos sin importar sexo, edad y condición."
917,2,al_trabajo,P,Sin importar como seamos o nuestra apariencia todos tenemos derecho a trabajar.
925,2,al_trabajo,A,"AL TRABAJO DIGNO. CON SALARIO EQUITATIVO, CONDICIONES DE TRABAJO JUSTAS E IGUALDAD DE OPORTUNIDADES."
938,2,al_trabajo,A,AL TRABAJO SEGURO Y DE ACUERDO CON LAS CAPACIDADES DE CADA PERSONA. TRABAJO JUSTO.
953,2,al_trabajo,A,"Se deben garantizar condiciones laborales decentes, así como el estado debe asegurar trabajo mediante sus políticas públicas."
966,2,al_trabajo,A,UN DERECHO HUMANO QUE PERMITE EL SUSTENTO DEL SER HUMANO EN LA DIMENSION PRODUCTIVA
967,2,al_trabajo,A,esto da dignidad
979,2,al_trabajo,A,"Queremos que este derecho se plasme en la constitución para que se garantice tener trabajo, no al que se pueda elegir simplemente."
996,2,al_trabajo,A,garantizarlo como un derecho inalienable y como un aporte del individuo a la sociedad
1026,2,al_trabajo,A,Todos en igualdad de condiciones debemos tener la oportunidad de acceder.
1066,2,al_trabajo,A,"Derecho a tener un trabajo con remuneraciones dignas ,que guarden relación con el costo de la vida, integración a las personas con capacidades diferentes, igualdad de sueldos entre hombres y mujeres."
1072,2,al_trabajo,P,digno
1080,2,al_trabajo,A,"El trabajo es la forma en que el ser humano se reproduce en la sociedad, por ello el estado debe garantizar la inserción laboral de las personas en condiciones dignas y con continuidad de sus contratos, lo que incluye los derechos asociados a los trabajadores."
1088,2,al_trabajo,A,"-Crear agencias de trabajo, capacitando a personas en variados oficios. -Reajustar   el máximo de horas semanales de trabajo a 40 mejoraran la calidad del trabajo y calidad de vida."
1096,2,al_trabajo,A,Debe ser digno y con salario justo e igual al trabajo. con pleno derecho a la huelga y sindicalización. Esto sólo es posible por la vía de una Asamblea Constituyente.
1104,2,al_trabajo,A,PARA TENER MEJOR CALIDAD DE VIDA
1105,2,al_trabajo,A,que se elimine el sistema de afp que tiene en la miseria a todos los chilenos y que vuelva el sistema antiguo
1120,2,al_trabajo,A,Necesidad básica para el desarrollo humano. Desarrollo personal. Capacidad de ahorro. Recreación y calidad de vida.
1134,2,al_trabajo,A,todas las personas tengan opcion a trabajar
1139,2,al_trabajo,A,toda la asamblea de acuerdo
1149,2,al_trabajo,A,que incluya que todas las personas tengan derecho al trabajo
1150,2,al_trabajo,A,El trabajo considerado un derecho en cuanto permite el desarrollo de las personas y además permite generar los recursos necesarios para la vida.
1152,2,al_trabajo,A,El acceso a la salud de calidad (médica y hospitalaria) es algo prioritario para todo ser humano.
1153,2,al_trabajo,A,"Que permita el desarrollo, despliegue pleno de las facultades de las personas   en condiciones óptimas para su buen desarrollo,"
1170,2,al_trabajo,A,- Que no exista discriminación arbitraria. - Respetar la dignidad de las personas.
1212,2,al_trabajo,A,"El Estado debe garantizar que aquellos en condiciones de trabajar y que,por causas ajenas a sí mismo, no acceden o pierden su trabajo remunerado,tengan acceso a un ingreso mínimo en tanto no lo consigan."
1223,2,al_trabajo,A,"es estado debe asegurar a las personas la no desvinculación arbitraria, la equiparación de condiciones y remuneraciones en relación a la misma función y género."
1225,2,al_trabajo,A,Trabajo digno y sueldo equitativo
1240,2,al_trabajo,A,Es un derecho de cada persona ser contratada de acuerdo a sus capacidades y méritos. Basta de cargos públicos por pagos políticos. A quienes no cumplen ni un mínimo de las expectativas. La eliminación de los antecedentes específicos para ser contratado. Dignidad efectiva a las asesoras del hogar.
1248,2,al_trabajo,A,porque creemos que todos debemos tener acceso a un trabajo para poder  desarrollarnos.
1250,2,al_trabajo,A,"QUE DICHO DERECHO GARANTICE UN SALARIO ETICO, EQUITATIVO Y DIGNO, DERECHO A SINDICALIZARSE, A TENER NEGOCIACION COLECTIVA Y EJERCER SU DERECHO A HUELGA, QUE ESTABLEZCA UN SISTEMA DE SEGURIDAD SOCIAL CIUDADANO"
1271,2,al_trabajo,A,"Digno. Derecho a la Huelga efectiva, sindicalización, al descanso, salario equitativo y a la contratación que evite la precarización laboral y el trabajo informal."
1280,2,al_trabajo,A,como derecho social básico
1289,2,al_trabajo,A,que todas las personas  tengan derecho a un trabajo para vivir dignamente
1291,2,al_trabajo,A,DERECHO DE AUTERREALIZACIÓN FUNDAMENTADO EN QUE LA VISIÓN DE ESTE DERECHO SEA UNA ACTIVIDAD DIGNIFICANTE PARA LA PERSONA.
1310,2,al_trabajo,A,"El Estado debe: promover y regular la generación de fuentes de trabajo en condiciones dignas; generar marco legal claro, el cual debe garantizar cumplimiento de jornadas de trabajo y sueldos dignos; suscribir los tratados internacionales de protección laboral."
1334,2,al_trabajo,A,es el derecho que garantiza la subsistencia de las personas y debe estar resguardado por la constitución
1374,2,al_trabajo,A,"El derecho al trabajo es la forma en que las personas contribuyen a obtener su sustento, el de sus familias y aporten a la sociedad. El Estado debe asegurar condiciones que permitan a las personas desarrollarse y aportar. Tener un trabajo decente. Es una aspiración para una sociedad más inclusiva."
1381,2,al_trabajo,A,"Ocupación productiva, con retribución adecuada y condiciones dignas"
1403,2,al_trabajo,A,Garantizar la dignidad en el trabajo
1415,2,al_trabajo,A,"El derecho de todos los ciudadanos de acceder a un trabajo cuyo salario, digno, les permita asegurar su sustento y el de sus familias, proyectar su futuro y contribuir al desarrollo colectivo del país."
1428,2,al_trabajo,P,Referido a un trabajo dignamente remunerado y con respeto a los derechos de cada trabajador.
1431,2,al_trabajo,A,"El estado debe garantizar el derecho al trabajo de todos los ciudadanos en miras de conseguir una vida digna. todos debemos tener la oportunidad de ganarnos la vida mediante un trabajo libremente escogido, sin discriminación, y con condiciones equitativas."
1446,2,al_trabajo,A,IGUALDAD DE SUELDOS ENTRE HOMBRES Y MUJERES
1449,2,al_trabajo,A,en esta nacion el trabajo tiene que ser  un derecho fundamental en la constitución
1463,2,al_trabajo,A,"Este debe garantizar que no existan las grandes diferencias que hoy día existen entre los ciudadanos(as). Además al optar a un trabajo público no pedir experiencia laboral, pues impide el ingreso al campo laboral a los jóvenes."
1500,2,al_trabajo,A,"PORQUE EN EL TRABAJO LAS PERSONAS ENCUENTRAN EL SUSTENTO, SEALEJANDE LA POBREZA, LA DELINCUENCIA, APRENDEN SE OCUPAN Y APORTAN A LA SOCIEDAD."
1502,2,al_trabajo,A,Sin trabajo las personas no pueden ser dignos.
1521,2,al_trabajo,A,"Derecho a un trabajo con una remuneración justa y equitativa, con un sistema de previsión que permita una jubilación digna."
1547,2,al_trabajo,A,derecho a laborar en forma digna y decente por una remuneración justa y equitativa
1556,2,al_trabajo,A,Derecho a un trabajo digno y un salario justo
1564,2,al_trabajo,A,"Debe ser un trabajo digno, contemplando derechos laborales como la sindicalización, negociación colectiva y huelga sin reemplazo. Todos los trabajadores deben tener garantizado por el estado el derecho a optar a un sistema previsional solidario de reparto."
1582,2,al_trabajo,A,El trabajo contribuye a la autonomía de las personas en lo económico y personal. También se debe reconocer el trabajo doméstico de las personas.
1592,2,al_trabajo,A,"un sueldo  justo y equitativo, derecho a la sindicalización y negociación colectiva o huelga."
1602,2,al_trabajo,A,"Es una necesidad básica y el Estado debería dar ciertas garantías mínimas, en cuanto a condiciones laborales y salario, en miras hacia la igualdad."
1603,2,al_trabajo,A,Garantizar la oportunidad de trabajo en condiciones dignas y con remuneración justa.
1616,2,al_trabajo,A,QUE SEA DIGNO E INVOLUCRE SEGURIDAD SOCIAL.
1621,2,al_trabajo,A,Porque es un derecho humano internacional y ademas dignifica y se articula con el valor establecido en este encuentro.
1623,2,al_trabajo,A,Desde el punto de vista de un salario equitativo.
1626,2,al_trabajo,A,Las relaciones laborales se consideran inequitativas hoy  en Chile. El desafío es que el trabajo dignifique a las personas.
1639,2,al_trabajo,A,Salario mínimo compatible con dignidad. Equidad de género en el trabajo. Seguro de cesantía estatal.
1658,2,al_trabajo,A,"Garantizar las oportunidades a todos sin discriminción de genero,edad,estrato social y que genere ingresos para un desarrollo socio económico para una vida familiar digna"
1676,2,al_trabajo,A,-
1718,2,al_trabajo,P,"Nadie debe ser hostigado por desarrollar una actividad honesta, no por el hecho de vender en la calle debe ser perseguido."
1728,2,al_trabajo,A,Derecho que permitirá a los ciudadanos crecer y desarrollarse con acceso a un trabajo digno
1733,2,al_trabajo,A,"Este derecho no puede estar sin ""Al salario equitativo"" y ""una pensión digna"", ya que están asociados al mundo del trabajo, una de las dimensiones que define la vida de las personas."
1737,2,al_trabajo,A,"El derecho al trabajo debe ser incluido en la constitución y regulado además por esta, que los trabajadores no sean vulnerados en su derecho de trabajar y ciudadano, que no se comentan abusos y que tengan las mismas oportunidades laborales y salariales."
1746,2,al_trabajo,A,5 votos
1755,2,al_trabajo,A,"SIN TRABAJO NO HAY DESARROLLO, NO HAY PRODUCTIVIDAD NO CRECEMOS COMO PAIS"
1761,2,al_trabajo,A,• Si uno no tiene trabajo no tiene nada
1781,2,al_trabajo,A,"Se cree necesario precisar que el derecho debe ser al trabajo decente. Debe incluir el derecho a huelga, a la sindicalización, seguridad e higiene, tener el pleno empleo como meta y salarios mínimos dignos."
1791,2,al_trabajo,A,El derecho al trabajo debe asegurar el trabajo digno y fortalecer el derecho a formar sindicatos y la negociación colectiva en post de superar el desequilibrio que existen entre empleadores y trabajadores.
1817,2,al_trabajo,A,"Para avanzar es una mejor sociedad, que termine con la pobreza, se necesita que el Estado asegure el trabajo a sus ciudadanos."
1832,2,al_trabajo,A,Clave para la construcción de la felicidad
1837,2,al_trabajo,A,"Entendido más bien como Derecho al Trabajo digno: creemos que este principio incluye el trabajo digno, salario digno, derecho y protección del trabajo y el trabajador, derecho a la sindicalización y huelga."
1848,2,al_trabajo,A,"Es una necesidad básica de ser ciudadano adultos, el trabajar tanto para mantener un estilo de vida, como para ejercer alguna actividad social."
1867,2,al_trabajo,A,"Trabajos con dignas remuneraciones, y mas oportunidades."
1872,2,al_trabajo,A,que garantice el trabajo a los ciudadanos chilenos por sobre los extranjeros y que exista un subsidio de cesantia
1884,2,al_trabajo,A,Libertad de elegir.
1913,2,al_trabajo,A,"TODOS TENEMOS DERECHO A UN TRABAJO DIGNO, SIN ABUSOS PERO ENTENDEMOS QUE NUESTROS EMPLEADORES SON ALIADOS PARA EL CRECIMIENTO PERSONAL Y PROFESIONAL."
1921,2,al_trabajo,P,"derecho esencial de toda persona, basado en la constitución y resguardado por el estado"
1940,2,al_trabajo,A,no se discute
1956,2,al_trabajo,P,"Es importante porque el trabajo dignifica al hombre, pero también porque el trabajo permite a la gran mayoría de las personas procurarse medios de vida"
1958,2,al_trabajo,A,con justa retribución
1962,2,al_trabajo,A,"IMPORTANTE PARA LAS PERSONAS Y SUS FAMILIAS, PODER VIVIR,"
1971,2,al_trabajo,A,Un  derecho fundamental del ser humano sobre todo en condiciones de alta vulnerabilidad como en la Araucanía.
1988,2,al_trabajo,A,Es deber del Estado garantizar que cada ciudadano tenga un trabajo que le permita dar sostén a su vida y la de su familia (al salario equitativo). Derecho a sindicalizarse (titularidad sindical) y a la negociación colectiva. Derecho a la huelga efectiva (sin reemplazo).
1989,2,al_trabajo,A,"Trabajo digno, sueldo minimo en uf"
1992,2,al_trabajo,A,"El trabajo no sólo debe garantizarse como derecho humano básico. Además de establecerse el salario mínimo, deben existir exigencias de dignidad, respeto y trato sin discriminación de géner , contemplándose constitucionalmente y legislando drásticas sanciones para el atropello a estas condiciones."
2019,2,al_trabajo,A,Tener la oportunidad de sentirse digno y útil.
2027,2,al_trabajo,A,"Que exista igualdad en los salarios, ya sea por género o de acuerdo a la responsabilidad del cargo"
2034,2,al_trabajo,A,Es vital este derecho para el desarrollo de las personas.
2050,2,al_trabajo,A,Nos corresponde a todos. Mayores oportunidades para autorrealización.
2069,2,al_trabajo,A,Valer derecho a cada persona (menos horas laborales)
2071,2,al_trabajo,A,"TRABAJO DIGNO PARA TODOS, PROTECCION LABORAL, DERECHO A SINDICALIZACION Y NEGOCIACION COLECTIVA, SUELDOS EQUITATIVOS Y MAYOR SUELDO MINIMO"
2079,2,al_trabajo,A,"Deberíamos todos tener libre acceso a un puesto digno de trabajo, igualdad de condiciones."
2126,2,al_trabajo,A,Que el Estado garantice el Derecho al Trabajo con remuneraciones justas y dignas.
2145,2,al_trabajo,A,AL TRABAJO Y AL SALARIO EQUITATIVO: Que exista un acceso al trabajo conforme a lo que necesita el país y que la educación se oriente a las necesidades de trabajo para el país.
2151,2,al_trabajo,A,Derecho indispensable en la vida de todos nosotros
2180,2,al_trabajo,A,"El Estado debe asegurar a todas las personas que podrán acceder a un trabajo digno, tanto como fuente de recursos y tanto como forma de desarrollo individual y/o colectiva. En el trabajo deberán reconocerse derechos como a la previsión, sindicalización, salario suficiente, huelga, etc."
2198,2,al_trabajo,A,"el estado debe salvaguardar el derecho de todo ciudadano a trabajar. Trabajo digno, regulado y remunerado"
2199,2,al_trabajo,A,"Por sobre la libertad de trabajo, todos coincidimos en que tiene que ser un derecho, impulsado, resguardado y asegurado por el estado."
2207,2,al_trabajo,A,"Derecho de toda persona a tener la oportunidad de ganarse la vida mediante un trabajo digno, escogido libremente, con condiciones de trabajo que deben ser seguras, saludables y no degradantes para la dignidad humana, lo que incluye una remuneración adecuada y  el derecho a la igualdad en el trato"
2234,2,al_trabajo,A,"Deben removerse los obstáculos que impiden  desempeñar un trabajo que permita desarrollar una vida digna y. Debe fomentarse y establecerse un salario justo y equitativo. La capacitación,  el real acceso a empleos públicos, la estabilidad, carrera funcionaria y la igualdad entre hombres y mujeres."
2241,2,al_trabajo,A,"Derecho a condiciones contractuales dignas. A la sindicalización, negociación colectiva. Derecho a huelga sin reemplazo. Y conformación de comités paritarios."
2244,2,al_trabajo,A,Con 'Salario digno y equitativo'. Acuerdo unánime
2271,2,al_trabajo,A,"TODA PERSONA INDEPENDIENTE DE SU COLOR, SITUACION SOCIAL TENGA LA POSIBILIDAD DE ACCEDER A UN TRABAJO DIGNO"
2273,2,al_trabajo,A,"el derecho al trabajo dignifica al ser humano , es deber del estado  garantizar mediante el respeto de los tratados internacionales en este sentido y garantizar también las condiciones de equidad en los salarios."
2282,2,al_trabajo,A,"Oportunidad con un salario justo, digno y condiciones dignas."
2287,2,al_trabajo,A,"todo ciudadano debe tener un trabajo decente, segun estandares de la OIT"
2304,2,al_trabajo,A,"es necesario para poder vivir, y superarse, trabajos dignos"
