idEla,tema,concepto,acuerdo,fundamento
105,1,amistad_cívica,A,"encuentro de mujeres, en debates y seminarios a instruirnos en el diario vivir, educación cívica popular"
228,1,amistad_cívica,A,SE TRABAJARON SOLO DERECHOS POR ACUERDO DE LOS PARTICIPANTES
245,1,amistad_cívica,A,"Porque todos necesitamos tener amigos para que nos escuchen, nos den consejos y contarnos todo."
265,1,amistad_cívica,A,"Fundamental el respeto a otro independiente de su pensamiento, respeto democratico."
298,1,amistad_cívica,A,"- Búsqueda de la armonía en la vida pública. - Respeto de la opinión de otro. -  Búsqueda de opiniones constructivas - Tolerancia, Igualdad, Inclusión y diversidad como los valores de la sociedad chilena"
379,1,amistad_cívica,A,la de compartir en forma generacional etarea y nacional
408,1,amistad_cívica,A,"Utilizar la amistad cívica como base de la ciudadanía dejando de lado la competencia y el individualismo para progresar en conjunto. Buscar el bien común a través del respeto mutuo, llegar a consensos y siempre tener como objetivo velar por el país."
428,1,amistad_cívica,A,para que haya una buena convivencia nacional debe existir una convivencia.
459,1,amistad_cívica,A,contribuye a la paz social
471,1,amistad_cívica,P,.
476,1,amistad_cívica,A,"respeto, buena convivencia para ser un pais mejor"
479,1,amistad_cívica,A,Contener ideas en que estemos de acuerdo como reglas de convivencia.
509,1,amistad_cívica,A,Se reconoce una amistad comunal; es decir; una conciencia pacifica para convivir en la misma comuna.
514,1,amistad_cívica,P,Acuerdos sociales.
524,1,amistad_cívica,A,"Se reconoció que esta amistad es importante vivirla en la comunidad realizando actividades para un bien común de todas las personas incluyendo las indiferentes, aunando buenos acuerdos para un mejor bienestar, dialogando y decidiendo lo mejor."
531,1,amistad_cívica,A,todos deberíamos ser unidos y cumplir con los deberes civicos
612,1,amistad_cívica,A,"Mas que amistad Cívica, entender que la Política es lo básico y ser responsable con nuestros deberes ciudadanos y entender los procesos que se llevan a cabo en un País democrático y el papel de las Instituciones.Muy importante seria que regresaran las clases de educación cívica en los colegios."
626,1,amistad_cívica,P,Consideran que hay factores más importantes como valores y no se concentra un total apoyo en este item.
680,1,amistad_cívica,A,La amistad es fundamental para la convivencia y para obtener grandes logros. Es importante compartir y no ser egoístas.
691,1,amistad_cívica,A,"La base de los otros derechos se relaciona con el bien común, está relacionada con la educación. Se deben buscar herramientas para generar amistad cívica. La amistad cívica no debe ocultar el tema de los pueblos originarios."
710,1,amistad_cívica,P,Declarar y designar directrices del respeto para todos indistinto de sus posturas ideológicas.
722,1,amistad_cívica,A,"llevarse bien con los demas personas como son los vecinos, trabajo, las personas de condicion sexual diferente. Tener tolerancia con los demas personas, sino nos toleramos nosotros mismos."
813,1,amistad_cívica,A,todos debemos convivir respetandonos y entendiendonos
822,1,amistad_cívica,A,Alcanzar metas comunes que sean justas para todos.
967,1,amistad_cívica,A,Importante por el bien común
1061,1,amistad_cívica,A,"relación de afecto, simpatía y confianza que se establece entre personas que no son familia, basada en la igualdad, sin discriminación de ningún tipo."
1118,1,amistad_cívica,A,"En contraposición a los valores patriarcales vigentes que fomentan la competencia y el individualismo, la Constitución tiene que promover la sororidad, que es la hermandad y solidaridad entre mujeres para cambiar la realidad y crear relaciones justas de amistad con los hombres."
1130,1,amistad_cívica,D,No lo encontramos fundamental que se encuentre dentro de una nueva constitución
1144,1,amistad_cívica,A,"Se requiere mejorar la cultura cívica basada en la solidaridad, probidad   , equidad en todo el sistema educativo."
1167,1,amistad_cívica,P,va a variar de la posición geográfica que uno se encuentre. En la ciudad se evidencia individualismo.
1196,1,amistad_cívica,A,"Debería ser una de las finalidades de la próxima Constitución. Es un valor abarcativo en cuanto comprende la valoración del otro, el reconocimiento de sus derechos, la cohesión social."
1220,1,amistad_cívica,A,Aceptar a todas las personas independientemente de su color político
1389,1,amistad_cívica,A,Amistad entre hermanos de una misma nación.
1429,1,amistad_cívica,A,De acuerdo
1447,1,amistad_cívica,A,EL OBJETIVO DE LA AMISTAD CIVICA ES INTEGRAR LOS OBJETIVIOS DE LA EDUCACION CIVICA A LOS PLANES Y PROGRAMAS DE LA EDUCACION
1559,1,amistad_cívica,A,Hoy las personas no quieren trabajar en comunidad porque no ven transferencia en las instituciones que no entregan a la comunidad
1601,1,amistad_cívica,A,RESPETO HACIA TODAS LAS PERSONAS.
