idEla,tema,concepto,acuerdo,fundamento
1108,2,articulo_19,A,"Es fundamental conservar el articulo 19 de la Constitución actual, ya que este reconoce derechos fundamentales como derecho a la vida, libertad, intimidad, derecho a la propiedad, etc"
2160,2,articulo_19,A,"Derecho a la educación, salud,reunión , opinión, expresión a la vida"
2572,2,articulo_19,A,"No se deben alterar los derechos, libertades y garantías que hoy ya reconoce la constitución en su articulo 19"
3534,2,articulo_19,A,Garantiza y resume los derechos basicos.
3780,2,articulo_19,A,Se deben garantizar los derechos que ya tenemos en el articulo 19 de la Constitución
4335,2,articulo_19,A,"No deben alterarse los derechos, libertades y garantías que hoy se reconoce la Constitución en su artículo 19. Se debe iniciar el debate teniendo èstos como piso"
7396,2,articulo_19,A,"No se deben alterar los derechos, libertades  que hoy ya reconoce la Constitución en su artículo 19"
7480,2,articulo_19,A,"No se deben alterar los derechos, libertades y garantías que hoy ya reconoce la Constitución en su artículo 19 (derecho a la vida, igualdad, libertad, intimidad,honra, libre expresión y asociación, libertad de culto y trabajo, derecho de propiedad y a la propiedad, libertad de empresa, etc.)"
8877,2,articulo_19,A,Garantiza y resume los derechos basicos
8944,2,articulo_19,A,"No se pueden alterar los derechos y deberes, garantias y libertades"
9012,2,articulo_19,A,"Los derechos, garantías y libertades establecidas actualmente en la constitución,"
9215,2,articulo_19,A,"La Constitución debe basarse en el articulo 19, sin modificaciones"
9858,2,articulo_19,A,"Este articulo de la constitución no debe sufrir cambio alguno, ya que garantiza el derecho a la vida, libertad, salud, libre expresión, igualdad, educación, libertad de culto, trabajo, honra"
10404,2,articulo_19,A,"No se deben alterar los derechos, libertades y garantías que reconoce la Constitución en su artículo 19. Se debe iniciar el debate teniendo los mismos como piso. No queremos que este proceso de discusión constitucional nos llene de incertidumbres sobre nuestros derechos y libertades"
10713,2,articulo_19,A,"Vigencia total del articulo 19. Derecho a la vida, igualdad, libertad, honra, intimidad, libre expresión y asociación, libertad de culto y trabajo, derecho de propiedad y a la propiedad, libertad de empresa, etc. Nada de esto debe cambiar."
11633,2,articulo_19,A,"No se deben alterar los derechos y libertades y garantías que hoy ya reconoce la constitución en su articulo 19 (derecho a la vida, igualdad, honra, etc) se debe iniciar el debate teniendo los mismos como piso"
12000,2,articulo_19,A,"Se deben resguardar todos los derechos, libertades y garantizar que hoy reconoce la Constitución en el articulo 19."
