idEla,tema,concepto,acuerdo,fundamento
571,2,artículo_19,A,"No se deben alterar los derechos, libertades y garantías que hoy ya reconoce la Constitución en su artículo 19 (derecho a la vida, igualdad, libertad, honra, intimidad, libre expresión y asociación"
1715,2,artículo_19,A,"No se deben cambiar los derechos, libertades y garantías que hoy ya reconoce la Constitución en su artículo 19"
2130,2,artículo_19,A,"No se deben alterar los derechos, libertades y garantías que hoy ya reconoce la Constitución en su artículo 19 (derecho a la vida, igualdad, libertad, honra, intimidad, libre expresión y asociación, asociacion de culto, trabajo, derecho  propiedad y a la propiedad, libertad de empresa). Se debe iniciar el debate teniendo los mismos piso. No queremos que este proceso de discusión constitucional nos llene de incertidumbres sobre nuestros derechos y libertades."
2773,2,artículo_19,A,"No se deben alterar los derechos, libertades y garantías que hoy ya reconoce la Constitución en su artículo 19. debe ser el piso de la discusión."
3416,2,artículo_19,A,"No se deben alterar los derechos, libertades y garantías que hoy ya reconoce la Constitución en su artículo 19"
4251,2,artículo_19,A,"No se deben alterar los derechos, libertades y garantías que hoy ya reconoce la Constitución en su artículo 19 (derecho a la vida, igualdad, libertad, honra, intimidad, libre expresión y asociación, libertad de culto y trabajo, derecho a la propiedad, libertad de empresa, etc.). No queremos que este proceso de discusión constitucional nos llene de incertidumbres sobre nuestros derechos y libertades"
6277,2,artículo_19,A,"No se deben alterar los derechos, libertades y garantías que hoy reconoce la Constitución en su artículo 19"
6641,2,artículo_19,A,"No se deben alterar los derechos, libertades y garantías que hoy ya reconoce la Constitución en su artículo 19 (derecho a la vida, igualdad, libertad, honra, intimidad, libre expresión y asociación, libertad de culto y trabajo, derecho de propiedad y a la propiedad, libertad de empresa, etc.). Se debe iniciar el debate teniendo los mismos como piso. No queremos que este proceso de discusión constitucional nos llene de incertidumbres sobre nuestros derechos y libertades."
7023,2,artículo_19,A,"No se deben alterar los derechos, libertades y garantías que hoy ya reconoce la Constitución en su artículo 19 (derecho a la vida, igualdad, libertad, honra, intimidad, libre expresión y asociación, libertad de culto y trabajo, derecho de propiedad y a la propiedad, libertad de empresa, etc.). Se debe iniciar el debate teniendo los mismos como piso. No queremos que este proceso de discusión constitucional nos llene de incertidumbres sobre nuestros derechos y libertades."
7037,2,artículo_19,A,"No se deben alterar los derechos, libertades y garantías que hoy ya reconoce la Constitución en su artículo 19 (derecho a la vida, igualdad, libertad, honra, intimidad, libre expresión y asociación, libertad de culto y trabajo, derecho de propiedad y a la propiedad, libertad de empresa, etc.). Se debe iniciar el debate teniendo los mismos como piso. No queremos que este proceso de discusión constitucional nos llene de incertidumbres sobre nuestros derechos y libertades"
7891,2,artículo_19,A,"No se deben alterar los derechos, libertades y garantías que hoy ya reconoce la Constitución en su artículo 19 . La discusion debe tener como piso este articulo"
8223,2,artículo_19,A,"No se deben alterar los derechos, libertades y garantías que hoy ya reconoce la Constitución en su artículo 19"
8238,2,artículo_19,A,"No se deben alterar los derechos, libertades y garantías que hoy ya reconoce la Constitución"
10446,2,artículo_19,A,"No se deben alterar los derechos, libertades y garantías que hoy ya reconoce la Constitución en su artículo 19"
10824,2,artículo_19,A,"No se deben alterar los derechos, libertades y garantías que hoy ya reconoce la Constitución en su artículo 19 (derecho a la vida, igualdad, libertad, honra, intimidad, libre expresión y asociación, libertad de culto y trabajo, derecho de propiedad y a la propiedad, libertad de empresa, etc.). Se debe iniciar el debate teniendo los mismos como piso. No queremos que este proceso de discusión constitucional nos llene de incertidumbres sobre nuestros derechos y libertades."
11284,2,artículo_19,A,"No se deben alterar los derechos, libertades y garantías que hoy ya reconoce la Constitución en su artículo 19 (derecho a la vida, igualdad, libertad, honra, intimidad, libre expresión y asociación, libertad de culto y trabajo, derecho de propiedad y a la propiedad, libertad de empresa, etc.). Se debe iniciar el debate teniendo los mismos como piso. No queremos que este proceso de discusión constitucional nos llene de incertidumbres sobre nuestros derechos y libertades."
11630,2,artículo_19,A,"Todo lo dicho en el articulo 19 sera base para el nuevo proyecto constituyente, y no podran borrarse las libertades que ya tenemos"
12077,2,artículo_19,A,"Se debe iniciar el debate teniendo los mismos derechos estipulados en el articulo 19  No queremos incertidumbre  No se deben alterar los derechos, libertades y garantías que hoy ya reconoce la Constitución en su artículo 19"
12422,2,artículo_19,A,"No se deben alterar los derechos, libertades y garantías que hoy ya reconoce la Constitución en su artículo 19 (derecho a la vida, igualdad, libertad, honra, intimidad, libre expresión y asociación, libertad de culto y trabajo, derecho de propiedad y a la propiedad, libertad de empresa, etc.). Se debe iniciar el debate teniendo los mismos como piso. No queremos que este proceso de discusión constitucional nos llene de incertidumbres sobre nuestros derechos y libertades"
12960,2,artículo_19,A,"No se deben alterar los derechos, libertades y garantías que hoy ya reconoce l constitución e su artículo 19. Se debe indicar el debate termiendo los mismos como piso. No queremos que este proceso de discusión constitucional nos llene de oncertidumbres sobre nuestros derechos y libertades"
13014,2,artículo_19,A,"No se deben alterar los derechos, libertades y garantías que hoy ya reconoce la Constitución en su artículo 19 (derecho a la vida, igualdad, libertad, honra, intimidad, libre expresión y asociación, libertad de culto y trabajo, derecho de propiedad y a la propiedad, libertad de empresa, etc.). Se debe iniciar el debate teniendo los mismos como piso. No queremos que este proceso de discusión constitucional nos llene de incertidumbres sobre nuestros derechos y libertades."
13298,2,artículo_19,A,"No se deben alterar los derechos, libertades y garantías que hoy ya reconoce la Constitución en su artículo 19"
13419,2,artículo_19,A,"Este articulo de la constitución no debe alterarse, ya que garantiza el derecho a la vida, igualdad, libertad, salud, reunión, honra, libre expresión, educación, asociación, libertad de culto, trabajo, libertad de empresa, etc."
