idEla,tema,concepto,acuerdo,fundamento
13,4,asamblea_constituyente,A,Institución que reconozca constitucionalmente la soberanía del pueblo y su derecho a generar nuevas constituciones.
14,4,asamblea_constituyente,A,La validamos como la única forma de cambio constitucional
35,4,asamblea_constituyente,A,"Que se elija un numero de representantes que tengan como único objetivo el del cambio constitucional, los cuales después no podrán postularse a cargos de elección pública. Que pueda ser convocada vía plebiscito."
76,4,asamblea_constituyente,A,eliminación tribunal constitucional.
77,4,asamblea_constituyente,A,"Que las autoridades, democráticamente elegidas, se mantengan un periodo acotado en sus cargos, con la posibilidad solo de una reelección. Además, deben destacarse por sus capacidades idóneas para el cargo que desempeñará. Proponemos una Asamblea Constituyente de carácter permanente."
101,4,asamblea_constituyente,A,Es un mecanismo contenido en la Constitución que permite la revisión de la misma. La elaboración de un nuevo texto constitucional a través de la asamblea constituyente debe ser ratificada por plebiscito ciudadano.
130,4,asamblea_constituyente,A,Que el pueblo decida por la constitución que los represente.
133,4,asamblea_constituyente,A,creemos que la constitución debe ser validada por una asamblea constituyente vinculante
141,4,asamblea_constituyente,P,Asamblea Constituyente. Como mecanismo de reforma constitucional. se votó entre ésta y el Congreso y ganó el Congreso 4 votos contra 3.
142,4,asamblea_constituyente,A,Es fundamental establecer el mecanismo para esta y nuevas constituciones.
170,4,asamblea_constituyente,A,"Es fundamental que el proceso constitucional y la resultante constitución incluyan un mecanismo de asamblea constituyente para ejecutar cambios a la misma constitución en caso de ser necesario, mecanismo que actualmente no existe."
176,4,asamblea_constituyente,A,"Como la expresión del ejercicio soberano de la ciudadanía, que funciona por sobre el poder político actual, emanada de la elección popular y que tiene por misión dictar las reglas que regirán las relaciones entre gobernantes y gobernados, el funcionamiento y distribución del poder."
221,4,asamblea_constituyente,A,UNANIME  para una AC elegida democraticamente por la ciudadania.
233,4,asamblea_constituyente,A,.
236,4,asamblea_constituyente,A,"PORQUE ES NECESARIO TRANSFORMAR LA ACTUAL CONSTITUCIÓN Y QUE EL RESULTADO DE ESA TRANSFORMACIÓN REFLEJE LAS NECESIDADES, PROTECCIONES Y ASPIRACIONES DE LA CIUDADANÍA. PARA ESO EXIGIMOS QUE SEA EL PUEBLO QUIEN ELIJA QUIENES REDACTARÁN LA NUEVA CONSTITUCIÓN."
244,4,asamblea_constituyente,A,10 de 10 participantes consideran importante agregar esta institución.
253,4,asamblea_constituyente,A,Que se incorpore como una forma de participación ciudadana la Asamblea Constituyente.
299,4,asamblea_constituyente,A,Manifestación soberana del pueblo en la constricción de una nueva constitución para Chile
374,4,asamblea_constituyente,A,.
377,4,asamblea_constituyente,A,Creemos que las actuales instituciones debemos diversificarlas otorgándoles no solo a los partidos políticos (representados en el Congreso) sino a diversas organizaciones sociales que participen con voz y voto en la generación de cambios.
392,4,asamblea_constituyente,A,"La Asamblea Constituyente es la expresión más acabada del ejercicio del poder de los ciudadanos. Es a éstos a quienes corresponde decidir el momento más apropiado para elegir una Constitución, mediante sufragio universal, democrático, secreto, directo, representativo y participativo"
402,4,asamblea_constituyente,A,"Como institución es básica para continuar con los procesos participativos de la comunidad, no tan solo para formar la constitución, sino que también como voz válida para discutir políticas nacionales y locales. Es necesario que la nueva constitución cree y empodere a la asamblea constituyente."
423,4,asamblea_constituyente,A,establecer periodos de revisión de la Constitución. Es la forma más democrática de establecer una constitución.
440,4,asamblea_constituyente,A,"Queremos establecer a la Asamblea Constituyente como único mecanismo democrático, institucional y participativo para que nuestro país pueda tener una Nueva Constitución que nos rija como ciudadanas y ciudadanos de Chile."
448,4,asamblea_constituyente,A,6. Creemos que la redacción de una nueva constitución debe ser participativa y no debe ser redactada a puertas cerradas por un subgrupo de personas que representan ciertos grupos de poder.
495,4,asamblea_constituyente,A,En el encuentro se considera fundamental que el método de RC sea la Asamblea Constituyente.
505,4,asamblea_constituyente,A,"Para que todos podamos opinar y decidir el tipo de sociedad que queremos y cumplir con la soberanía popular, es decir, el pueblo es el que debe elaborar su propia constitución política."
