idEla,tema,concepto,acuerdo,fundamento
12,1,autonomía_libertad,P,este concepto fue debatido y comparado con diversidad.
20,1,autonomía_libertad,A,La libertad es un valor esencial. La autonomía individual está limitada por el derecho ajeno.
24,1,autonomía_libertad,A,valor fundamental de un estado democrático y el estado debe garantizar
33,1,autonomía_libertad,A,"vivir sin miedo a lo que podamos decir, pensar u opinar. Que toda forma de expresarnos sea valida. (siempre con respeto)"
35,1,autonomía_libertad,A,"Es el pensar y actuar conforme a nuestra propia voluntad, valores y principios; la capacidad de tomar decisiones de forma autónoma mientras no afecte los derechos de otras personas; la garantía de que se asegura a cada individuo una esfera de no intervención."
56,1,autonomía_libertad,A,Debido a que todo ser humano la debe tener
61,1,autonomía_libertad,A,"Valorizar lo que tenemos, que no sea intervenido por el Estado y empresas; que las decisiones del pueblo sean escuchadas."
77,1,autonomía_libertad,A,"Se acordó que la libertad es  un valor esencial en tanto se trata de un elemento clave para conseguir la interdependencia como comunidad, por lo tanto, concebimos la Libertad como medio para alcanzar el Bien Común y como objetivo de este también. La Libertad, como fundamento del Bien Común."
79,1,autonomía_libertad,A,"Se entiende este valor como principio básico, que se enmarca en la posibilidad de elección de otros importantes principios (salud, educación, justicia, etc...) Se contrasta valor con realidad actual, donde no existe una ""real libertad o autonomía"" de elección."
81,1,autonomía_libertad,A,sin comentario
85,1,autonomía_libertad,A,"Comprende concepto de estado laico, se deja en acata que no es sinónimo de libertad  económica ni de libertad de mercado."
94,1,autonomía_libertad,A,Especialmente en la participación.
96,1,autonomía_libertad,A,Vivir como ciudadanos libres.
98,1,autonomía_libertad,A,La libertad es esencial al ser humano y su práctica nos hace mejores personas
101,1,autonomía_libertad,A,"Se consideró que la autonomía es un fundamento de la libertad. Si no hay autonomía para las personas y los territorios, no funciona la democracia."
106,1,autonomía_libertad,P,Es necesario que el Estado promueva y garantice el libre ejercicio de sus derechos
108,1,autonomía_libertad,P,"Toda persona debe tener el derecho individual de las decisiones sobre su persona, derecho de decidir y de optar libremente por lo que cree y desea, este principio debe resguardar el derecho de las personas a tener autonomía y libertad, principio que sientan la base de ciudadanos responsables."
110,1,autonomía_libertad,A,"Considerado como valor fundamental de un Estado Democrático, donde ciudadanos se organizan bajo una institución que persigue el interés general."
110,1,autonomía_libertad,A,"Los ciudadanos deben ser libres de moverse, expresarse, reunirse, trabajar y decidir. Es un principio fundamental."
114,1,autonomía_libertad,P,"Valor que nos permite pensar y actuar como queremos sin dañar la de los demás, y con el bien común de frente."
118,1,autonomía_libertad,A,Libertrad con responsabilidad de accion y eleccion. Mi libertad termina cuando comienza la del otro.
124,1,autonomía_libertad,A,.
125,1,autonomía_libertad,P,"Se hizo una separación entre ambos, quedando la libertad como uno de los principios básicos de la Constitución, entendida como la posibilidad de desarrollo de los individuos y la sociedad de acuerdo a sus elecciones e ideas."
131,1,autonomía_libertad,A,Existe acuerdo que este es el principio base de la constitución. Debemos preservar la libertad de los ciudadanos
133,1,autonomía_libertad,A,las mujeres hoy debemos tener derecho  poder de decisión ante nuestras decisiones.
138,1,autonomía_libertad,A,DE ELEGIR LIBREMENTE
141,1,autonomía_libertad,A,"Que el Estado no imponga arbitrariamente una situación de coerción. No debe entenderse a la autonomía como opuesta al Estado, no debe verse a los individuos como autónomos y aislados ya que cada uno solo existe gracias a la comunidad."
147,1,autonomía_libertad,A,La libertad es un principio básico del ser humano para que en su vida pueda desarrollarse
148,1,autonomía_libertad,A,ENTENDEMOS LA LIBERTAD Y LA AUTONOMIA COMO EL RESPETO POR LA LIBERTAD INDIVIDUAL DONDE CADA UNO DEBE HACERSE CARGO DE SUS ACTOS.
151,1,autonomía_libertad,A,"Decidir por uno mismo, expresarse libremente que no impongan libremente"
154,1,autonomía_libertad,A,"Autodeterminación del individuo para elegir como construirse como tal y desarrollarse de la mejor manera posible, en el marco del respeto por los otros y sin límites impuestos por el mercado."
156,1,autonomía_libertad,A,"El principio de todos los principios, porque es una condición inherente al ser humano. El estado debería reconocer esta condición y  garantizar la formación de personas  autónomas."
158,1,autonomía_libertad,A,"Como valor de la Constitución, para ver y vernos desde la libertad, vivir la igualdad. Comprender que tenemos que llegar a ser socialmente iguales si bien somos humanamente diferentes.  El tema de diferencias está abordado, no somos iguales pero la libertad nos permite acercarnos. Desarrollo person"
