idEla,tema,concepto,acuerdo,fundamento
131,4,banco_central,A,clave para el desarrollo del país
220,4,banco_central,A,Debe ser autónomo. Debe fijar la política monetaria sin estar expuesto a presiones de ningún tipo.
273,4,banco_central,A,Garantiza la estabilidad de las variables económicas.
464,4,banco_central,A,Autónomo
571,4,banco_central,A,Independiente de los de turno. Su autonomía debe quedar claramente establecida en la Constitución.
675,4,banco_central,A,"Para cumplir con su efectivo rol del control de la inflación, debe ser independiente del gobierno de turno."
788,4,banco_central,A,Debe ser independiente del Gobierno de turno y transparente en su accionar. La elección de sus consejeros debe ser en base a sus competencias técnicas.
905,4,banco_central,A,Tal como está hoy.
1071,4,banco_central,A,"Existe unanimidad de que el Banco Central sea autónomo con rango constitucional para que no se politice la institución, lo que puede ser muy grave para la economía del país.-"
1107,4,banco_central,A,"Aunque no está en la lista se considera muy relevante, ya que el Banco Central requiere ser un órgano autónomo.Asumiendo que el quórum para modificar la Constitución es alto."
1108,4,banco_central,A,"Debe estar claramente establecido en la Constitución su autonomía, independiente del gobierno de turno"
1132,4,banco_central,A,Una política monetaria independiente de los gobiernos de turno es vital para el desarrollo estable y sostenido del país
1376,4,banco_central,A,ES IMPORTANTE ESTA INSTITUCION TECNICA PARA LA ECONOMIA DEL PAIS Y SU DESARROLLO Y POLITICA MONETARIA.
1715,4,banco_central,A,Independiente del gobierno. Su autonomía debe quedar clara en la Constitución.
1786,4,banco_central,A,Autónomo para dictar la política monetaria independiente del poder de turno.
1933,4,banco_central,A,"Institución fundamental para la estabilidad economica del pais, esencialmente por su caracter tecnico e independiente del gobierno central"
1994,4,banco_central,A,Institución que entrega seguridad en los temas fiscales. Da garantía en el tema económico.
2017,4,banco_central,A,La Constitución Política debe garantizar un Banco Central autónomo que sea el encargado de velar por el mantenimiento de la política monetaria.
2031,4,banco_central,A,respetarlo y mantener su autonomía.
2130,4,banco_central,A,Independiente de los gobiernos de turno. Su autonomía debe quedar claramente establecida en la Constitución.
2160,4,banco_central,A,Debe mantener su autonomía independiente del gobierno de turno
2242,4,banco_central,A,Que se mantenga con las mismas funciones y que mantenga el equilibrio de las tasas y la inflación.
2545,4,banco_central,A,Regulador de la economía
2553,4,banco_central,A,Independiente del otros poderes del estado
2572,4,banco_central,A,Independiente del gobierno de turno
2746,4,banco_central,A,sin fundamento.
2773,4,banco_central,A,Debe ser independiente de los gobiernos de turno. Su autonomía debe quedar  establecida en la Constitución.
2779,4,banco_central,A,INSTITUCIÓN ESENCIAL QUE VELA POR LA ESTABILIDAD DE LA MONEDA Y EFICACIA DEL SISTEMA FINANCIERO
2899,4,banco_central,A,"Búsqueda de la independencia de los poderes políticos de la política monetaria del país. Necesidad de una política económica independiente, transversal y con fuertes componentes técnicos."
3049,4,banco_central,A,sin información
3229,4,banco_central,A,Ente regulador que vigile la participación de las instituciones bancarias en el mercado y así evitar la usura hacia las personas.
3321,4,banco_central,P,El Banco Central debe continuar seguir siendo autónomo en cuanto a su patrimonio y atribuciones
3332,4,banco_central,P,"La economía debe separarse del orden político, dándole independencia y flexibilidad para adecuarse a las fluctuaciones internacionales y sensibilidades económicas preponderantes."
3416,4,banco_central,A,"Debe ser independiente del gobierno de turno, y  debe quedar establecido en la Constitución."
3509,4,banco_central,A,Proteger su autonomía frente al poder político.
3664,4,banco_central,A,Institución para estabilizar la economía del país.
3717,4,banco_central,A,Cuidar y ser responsable con la política monetaria.
3763,4,banco_central,A,Control autónomo del mercado monetario.
3780,4,banco_central,A,Debe ser independiente del gobierno de turno
4026,4,banco_central,A,Velar por una política monetaria responsable y acorde a la realidad y desarrollo económico del país y que funcione siempre de manera autónoma.
4105,4,banco_central,A,.
4182,4,banco_central,A,"Autónomo, sin intervención del Ministerio de Hacienda"
4251,4,banco_central,A,Independiente de los gobiernos de turno. Su autonomía debe quedar claramente establecida en la Constitución.
4335,4,banco_central,A,Su autonomía debe estar garantizada en la Constitución.
4424,4,banco_central,A,sin fundamento
4480,4,banco_central,A,Definición actual.
4562,4,banco_central,A,Igual que constitución actual
4601,4,banco_central,A,Fortalecer su independencia del gobierno de turno en su rol de Politicas  económicas
4904,4,banco_central,A,Independiente de los gobiernos de turno. Su autonomía debe quedar claramente establecida en la Constitución
5241,4,banco_central,A,Garantizar autonomía Banco Central
5274,4,banco_central,A,El manejo económico autónomo es muy relevante para el desarrollo del país.
5837,4,banco_central,A,Las decisiones políticas contingentes no pueden afectar la independencia de este órgano técnico.
5856,4,banco_central,A,Regular como se encuentra hoy
5878,4,banco_central,A,Se requiere de una entidad que dicte con autonomía las políticas monetarias y económicas del país.
6115,4,banco_central,A,Autónomo e independiente para asegurar estabilidad económica
6140,4,banco_central,A,Debe mantenerse como una institución independiente.
6200,4,banco_central,P,Asegura desarrollo económico del país
6202,4,banco_central,A,"Existe total concenso en que el Banco Central debe mantenerse como un organo autónomo, independiente del gobierno, dados los nefastos antecedentes históricos."
6206,4,banco_central,A,Debe ser autónomo y con patrimonio propio. Se debe asegurar que se rija por una ley orgánica constitucional.
6228,4,banco_central,A,"Tal como existe en la Constitución vigente es fundamental para la estabilidad económica la garantía del Banco Central autónomo, de rango Constitucional y de carácter técnico."
6270,4,banco_central,A,Permite que las políticas monetarias se tomen considerando el bien del país y no intereses particulares del gobierno de turno. Debe ser un ente técnicamente idóneo.
6277,4,banco_central,A,Debe ser autónomo e independiente del gobierno de turno
6328,4,banco_central,A,Entre regulador del erario Nacional. Autonomía de gestión.
6377,4,banco_central,A,Debe mantener su autonomía constitucional para evitar presiones políticas.
6468,4,banco_central,A,Asegurar la base y estabilidad monetaria del país.
6595,4,banco_central,A,Fortalecer autonomía y tecnicismo del Banco Central. Ampliar sus atribuciones para la resolución de objetivos monetarios y económicos del país sin la intervención del gobierno de turno.
6641,4,banco_central,A,Independiente de los gobiernos de turno. Su autonomía debe quedar claramente establecida en la Constitución.
6737,4,banco_central,A,El grupo considera incorporar la institución Banco Central como una institución representativa dentro de la Constitución.
7023,4,banco_central,A,Independiente de los gobiernos de turno. Su autonomía debe quedar claramente establecidaen la Constitución.
7027,4,banco_central,A,"Necesitamos un banco central Independiente, autónomo, garante del equilibrio en el poder económico entre el Gobierno y los privados, debe estar en la Constitución."
7037,4,banco_central,A,Independiente de los gobiernos de turno. Su autonomía debe quedar claramente establecida en la Constitución
7173,4,banco_central,A,Organismo que es primordial y que debe tener plena autoridad para tomar decisiones que afecten al país no siendo intervenido o aconsejado por el estado
7378,4,banco_central,A,Sin intervención política
7396,4,banco_central,A,Independiente en los gobiernos de turno. Su autonomía debe quedar claramente establecida en la constitución.
7448,4,banco_central,A,"organo autonomo, de gestion economica, cuya funcion principal es el control de la inflacion."
7480,4,banco_central,A,Independiente de los gobiernos de turno. Su autonomía debe quedar claramente establecida en la Constitución.
7700,4,banco_central,A,Autonomo permite la estabilidad economica
7763,4,banco_central,A,La constitución debe decir que el Banco Central debe ser autónomo para asegurar al estabilidad económica de Chile
7813,4,banco_central,A,"Esta institución debe resguardar, cuidar y regular el dinero circulante, los créditos y velar por los pagos internacionales"
7891,4,banco_central,A,Independiente de los gobiernos de turno. Su autonomía debe quedar claramente establecida en la Constitución.
7930,4,banco_central,A,Resguardar su actual autonomía
8123,4,banco_central,A,Es esencial su consagración constitucional.
8223,4,banco_central,A,Independiente de los gobiernos de turno. Su autonomía debe quedar claramente establecida en la Constitución.
8238,4,banco_central,A,Independiente de los gobiernos de turno. Su autonomía debe quedar claramente establecida en la Constitución.
8348,4,banco_central,A,Fijación en forma autónoma de variables macro económicas.
8433,4,banco_central,A,Es necesaria su existencia independiente del Estado
8545,4,banco_central,A,"Para que la economía del país sea sana, su manejo se haga de forma responsable es imprescindible que el Banco Central opere autónomamente del gobierno."
8846,4,banco_central,A,Organismo encargado de la estabilidad de la moneda y el control de la inflación.
8877,4,banco_central,A,Debe ser independiente y autonomo de los gobiernos
8944,4,banco_central,A,"Autonomo, independiente  del gobierno de turno"
8978,4,banco_central,A,"Mantenerlo tal y como se encuentra estructurado hoy en día, con sus características, facultades y competencias y con reconocimiento constitucional."
9012,4,banco_central,A,Es un organismo autonomo e independiente de cualquier gobierno de turno
9150,4,banco_central,A,"Ha sido un organismo cuya independencia ha ayudado a mantener cierto equilibrio en la macroeconomía, vía un manejo serio y técnico de la política monetaria"
9188,4,banco_central,A,"Institución fundamental para la estabilidad económica del país, especialmente por su carácter técnico."
9215,4,banco_central,A,Debe ser independiente de los gobiernos de turno y ser un órgano netamente autonomo
9344,4,banco_central,A,Es necesario para mantener la estabilidad de la moneda. Debe ser de carácter técnico.
9438,4,banco_central,A,"Es un organismo autónomo y profesionalizado, que determine las políticas económicas relativas a la circulación del dinero en la economía, a las condiciones del crédito velando por el equilibrio de la moneda, para con ello garantizar la sana adquisición de bienes y servicios y, la mantención y desarrollo del trabajo de las personas."
9719,4,banco_central,A,Debe ser autónomo
9814,4,banco_central,A,ES IMPORTANTE QUE SEA AUTÓNOMO.-
9858,4,banco_central,A,Independiente del gobierno de turno. Su autonomía debe quedar en forma clara establecida en la constitución.
10079,4,banco_central,A,Autónomo y técnico
10338,4,banco_central,A,Es un órgano económico muy importante para velar por la estabilidad y el equilibrio económico. Para que cumpla bien su función debe tener autonomía e independencia del gobierno de turno.
10404,4,banco_central,A,Independiente del gobierno de turno. Su autonomía debe quedar claramente establecida en la Constitución.
10446,4,banco_central,A,Independiente de los gobiernos de turno. Su autonomía debe quedar claramente establecida en la Constitución.
10538,4,banco_central,A,"El Banco Central debe seguir siendo autónomo en cuanto a su patrimonio y atribuciones (velar por la estabilidad de los pagos internos y externos), dado que está demostrado que ha contribuido a dar estabilidad a nuestra economía."
10643,4,banco_central,A,Resguardar autonomía
10692,4,banco_central,P,Es necesario para su independencia
10713,4,banco_central,A,Debe mantener su autonomía independiente del gobierno de turno
10814,4,banco_central,A,Banco central autónomo que vele por el cumplimiento de las metas inflacionarias y macroeconomicas
10824,4,banco_central,A,Independiente de los gobiernos de turno. Su autonomía debe quedar claramente establecida en la Constitución.
11284,4,banco_central,A,Independiente de los gobiernos de turno. Su autonomía debe quedar claramente establecida en la Constitución.
11365,4,banco_central,A,Autónomo.
11426,4,banco_central,A,"El banco central autónomo asegura la estabilidad económica y la política monetaria. Debe ser autónomo, independiente y técnico. Es un órgano que debe velar por la estabilidad económica del país. Creemos que es relevante que sea independiente del gobierno y que otorgue estabilidad en el largo plazo."
11486,4,banco_central,A,órgano autónomo.
11494,4,banco_central,A,Total independencia del poder político.
11605,4,banco_central,A,El Banco Central debe continuar seguir siendo autónomo en cuanto a su patrimonio y atribuciones.
11630,4,banco_central,A,"Debe ser independiente del gobierno de turno y debe tener autonomía, siempre velando por el crecimiento económico y la estabilidad del país."
11633,4,banco_central,A,Debe ser autónomo en la Constitución para no ser influenciado por la política imperante en lo gobiernos de turno.
11692,4,banco_central,A,Asegurar la autonomía y carácter técnico
11744,4,banco_central,A,"Institución fundamental para la estabilidad económica del país, al tener independencia del Gobierno de turno y estar compuesto por los mejores economistas."
11988,4,banco_central,A,Para no caer en la tentación de tergiversar la economía cuando un gobierno tenga malos resultados de popularidad.
12000,4,banco_central,A,Organismo autónomo que vela por la estabilidad de la moneda y los pagos internos y externos de Chile. Debe ser independiente del gobierno de turno.
12034,4,banco_central,A,.
12077,4,banco_central,A,Debe ser autónomo e independiente de los gobiernos de turno
12255,4,banco_central,A,"Las decisiones de política monetaria deben realizarse en un marco de autonomía, velando por la estabilidad económica del país."
12309,4,banco_central,D,Se propuso para coordinar su acción con la política económica.
12374,4,banco_central,A,Debe consagrarse su autonomía y regular su estructura y generación de sus autoridades
12422,4,banco_central,A,Independiente de los gobiernos de turno. Su autonomía debe quedar claramente establecida en la Constitución.
12692,4,banco_central,A,Banco Central autónomo que lleve y tenga a cargo las decisiones macroeconómicas más relevantes.
12819,4,banco_central,A,El Banco Central debe continuar siendo una institución autónoma.
12960,4,banco_central,A,Independiente de los gobiernos de turno. Su autonomía debe quedar claramente establecida en la constitución66666
13014,4,banco_central,A,Independiente de los gobiernos de turno. Su autonomía debe quedar claramente establecida en la Constitución.
13070,4,banco_central,A,Creemos en la necesidad de contar con un Banco Central autónomo
13298,4,banco_central,A,Independiente de los gobiernos de turno. Su autonomía debe quedar claramente establecida en la Constitución.
13360,4,banco_central,A,"Para dar continuidad a la gestión económica, a pesar de los cambios de gobierno, pues permite libertad y estabilidad económica al país."
13419,4,banco_central,A,Independiente de los gobiernos de turno. Su autonomía debe quedar claramente establecida en la constitución.
13433,4,banco_central,A,Independiente de los gobiernos de turno. Su autonomía debe quedar claramente establecida en la Constitución.
13506,4,banco_central,A,su relevancia en el control de la economía hace que tenga que estar en la constitución
13587,4,banco_central,A,Control de política monetaria y autónomo del ejecutivo
13800,4,banco_central,A,"Independiente de los gobiernos de turno. Su autonomía debe quedar claramente establecidas en la constitución, debe velar por una sana economía nacional"
14003,4,banco_central,A,Debe velar por la política monetaria
14049,4,banco_central,A,BANCO CENTRAL AUTÓNOMO
14080,4,banco_central,A,"Debe ser autonomo, independiente los gobiernos de turno."
14086,4,banco_central,A,este debe ser autonomo
14091,4,banco_central,A,Con libertad y autonomía
14099,4,banco_central,A,Independiente de los gobiernos de turno. Su autonomía debe quedar claramente establecida en la Constitución
14116,4,banco_central,A,Instituciones que deben quedar establecidas y garantizadas  en la Constitución.
14139,4,banco_central,A,.
14167,4,banco_central,A,ENCARGADO DE VELAR LA ADMINISTRACIÓN DE LOS DINEROS DEL ESTADO
14387,4,banco_central,A,Creemos que el Banco Central debe ser un organismo autónomo del gobierno central
14426,4,banco_central,A,Autónomo del ejecutivo.
14446,4,banco_central,A,Autonomo e independiente
14665,4,banco_central,A,Que regule y norme la economia.
14700,4,banco_central,A,Independiente.
14938,4,banco_central,A,Autónomo y público
14959,4,banco_central,A,como entidad que custodia las finanzas públicas
15037,4,banco_central,A,"Creemos que debe existir un Banco Central Autónomo, que no esté regido por el Gobierno de turno."
15043,4,banco_central,A,"Necesario para el control de inflación, definición de la política monetaria, independiente del ejecutivo"
15097,4,banco_central,A,"Si un Banco Central autónomo, podríamos caer en gobiernos populistas que generen inflación descontrolada perjudicando a toda la gente."
15110,4,banco_central,A,Consideremos que debe continuar esta institución para el país.
15298,4,banco_central,A,"Ha demostrado ser clave en la estabilidad económica del país, evitando la inflación."
15346,4,banco_central,A,Mantener su rango constitucional y autonomía.
15349,4,banco_central,A,"Entendido como hoy se establece en la Constitución porque para el correcto orden público económico del país, entendido como ente autónomo del gobierno"
15394,4,banco_central,A,consideramos que dentro de las instituciones que deben ser reguladas por la constitución debe estar el Banco Central.
15427,4,banco_central,A,"Independiente, técnico y con visión de largo plazo, coordinado con el ejecutivo."
15463,4,banco_central,A,Autónomo e independiente
15503,4,banco_central,A,Debe ser independiente del gobierno de turno. Esto debe estar escrito claramente en la constitucion
15512,4,banco_central,A,SE CONSIDERA FUNDAMENTA PARA LA BUENA MARCHA DEL PAÍS Y LA SALUD DE SU ECONOMÍA EL TENER UN BANCO CENTRAL AUTÓNOMO.
15521,4,banco_central,A,Independiente de los gobiernos de turno. Su autonomía debe quedar claramente establecida en la Constitución.
15526,4,banco_central,A,"Institución fundamental para la estabilidad económica del país, esencialmente por su carácter técnico e independiente del gobierno de turno."
