idEla,tema,concepto,acuerdo,fundamento
3,1,bien_común_comunidad,A,"Construir las condiciones sociales , por ende, es base y pilar fundamental para la existencia de un estado."
8,1,bien_común_comunidad,A,"El bien común es aquel que va más allá de los valores individuales, y asegura que ningún grupo pueda estar por sobre otros. El aseguramiento del bien común permite una convivencia en la que se garantiza el respeto a todos.  Se sustenta en el sentido de pertenencia y corresponsabilidad"
12,1,bien_común_comunidad,A,"Estamos de acuerdo con este concepto, ya que vivimos en comunidad y se debe primar el sentir de todos las personas."
13,1,bien_común_comunidad,A,Posibilidad de decidir colectivamente los asuntos públicos para el bien de todos los miembros de la sociedad.
19,1,bien_común_comunidad,A,"Es un estado de bienestar, en teoría. Pera en la práctica no se realiza."
35,1,bien_común_comunidad,P,"Resguardo del interés colectivo, basado en la solidaridad y reconocimiento entre comunidades e individuos, necesario para la realización colectiva e individual. Existen distintas interpretaciones, encontramos que es difícil hacer una definición."
46,1,bien_común_comunidad,A,.
57,1,bien_común_comunidad,A,a través de este valor se puede mejorar el sistema ya que engloba el bienestar de todos.
58,1,bien_común_comunidad,A,y que hoy que cuidar los recursos naturales no renovables ya que son fundamentales para el bien de todas las personas
68,1,bien_común_comunidad,A,"El Estado  debe garantizar el bienestar del individuo y comunidad  en todos los ámbitos:  Salud, Educación, Vivienda, Empleo, Sistema Previsional(gratuito, libre y de calidad).Entorno, naturaleza y explotación y nacionalización  de recursos naturales estratégicos del país."
72,1,bien_común_comunidad,A,"Romper el individualismo, dos personas votan este principio. Avanzar a partir de este concepto en pensar en el bien de todos y no en privilegiados."
74,1,bien_común_comunidad,A,- Busca la mejora de la sociedad en su conjunto. - Limita la influencia de grupos de intereses particulares.
77,1,bien_común_comunidad,A,"Entendemos Bien Común como el fomento del bienestar de toda la comunidad, admitiendo la opción de favorecer a grupos específicos si y solo si beneficia al bien común, además, estableciendo un límite claro entre lo público y lo privado."
81,1,bien_común_comunidad,A,sin comentarios
91,1,bien_común_comunidad,A,respetar los acuerdos y que se practique en todas las esferas de la sociedad .-
101,1,bien_común_comunidad,A,"Engloba otros conceptos. La definición de comunidad implica democracia y el bien común implica respetar el medio ambiente, participación, plurinacionalismo, etc."
106,1,bien_común_comunidad,A,"Entendido como el fin último de la sociedad, en conjunto al principio de solidaridad. No es la unión de preferencias personales."
107,1,bien_común_comunidad,A,Que verdaderamente todos estemos enfocados en buscar y fortaleces el bien común y no privilegiar el bienestar de unos pocos desfavoreciendo a los más pobres.
108,1,bien_común_comunidad,P,"La constitución debe garantizar por medio de este principio los derechos colectivos de grupos con diferentes intereses, siendo ellos parte esencial del desarrollo de las comunidades que conforman el pueblo chileno"
114,1,bien_común_comunidad,A,Idea de que hay que velar por el bienestar de toda la comunidad y no solo de una parte.
125,1,bien_común_comunidad,A,"Uno de los principios más mencionados, que refuerza el sentido de organizarnos como país, como parte de un colectivos. Se destaca la responsabilidad individual en los efectos sobre la sociedad. Actuar desde lo individual para lo común."
126,1,bien_común_comunidad,A,EL ESTADO DEBE ORIENTAR SU ACCIÓN HACIA EL BIENESTAR DE TODOS Y NO EN BENEFICIO DE INTERESES PARTICULARES.
136,1,bien_común_comunidad,P,Es un valor fundamental porque es la razón de ser del Estado y permite la existencia de otros valores.
138,1,bien_común_comunidad,A,TODA PERSONA  TIENE DERECHO A UN BIEN COMUN
140,1,bien_común_comunidad,A,Que el Estado esté al servicio de la comunidad
141,1,bien_común_comunidad,A,El Estado debe velar para que las personas (toda la sociedad) puedan ser partícipe del desarrollo.
