idEla,tema,concepto,acuerdo,fundamento
253,2,buen_vivir,A,"El buen vivir, es la satisfacción plena de las necesidades básicas de toda la población, es decir: la satisfacción de las necesidades.calidad de vida.muerte digna.Amar y ser amado.florecimiento saludable de todos.prolongación indefinida de las culturas.tiempo libre.Emancipar y ampliar libertades"
699,1,buen_vivir,A,"El estado y la sociedad buscan la dignidad y el bienestar de las personas en equilibrio, con su entorno inmediato, su comunidad y la naturaleza, la producción de recursos, bienes y servicios y el desarrollo de la tecno ciencia, para dar respuesta a las necesidades se deben basar en los principios y valores de la solidaridad y de la dignidad de la personas humana, en en armonía con el medio ambiente"
1293,1,buen_vivir,A,"Poner al centro el fomento del buen vivir de las personas y los seres naturales, fomentando la búsqueda de la felicidad en términos integrales, relaciones balanceadas y espacios de afectos, por sobre métricas economicistas que reducen el bienestar al consumo."
1714,2,buen_vivir,A,"Por buen vivir se entiende la garantía de todos los derechos humanos, de manera indivisible. Incluye también el acceso a la cultura y el ocio y la participación de la primera infancia."
4674,1,buen_vivir,A,"principio holístico heredado de los pueblos originarios latinoamericanos. se basa en el equilibrio entre el ser humano y la naturaleza, estableciendo relaciones de respeto, unidad y solidaridad entre humanos, otros seres (no humanos) y el medioambiente."
4750,1,buen_vivir,A,Alternativa al desarrollo. En vez de competir se busca convivir. En vez de consumir se busca vivir dignamente de lo necesario. En vez de acumular individualmente se busca una justa repartición. Es saber vivir armónicamente en comunidad entre las personas y la naturaleza
5311,1,buen_vivir,A,"La constitución debe fortalecer el bienestar de las personas, a través de la cultura  El buen vivir amplia las relaciones que tienen los humanos con el medio ambiente, incluye los derechos de la vida silvestre.   Definición de persona incluye a todo lo vivo  Enfatiza importancia de derechos culturales"
5490,1,buen_vivir,A,El propósito último de la vida humana es el florecimiento de la comunidad: de cada uno de sus miembros y de la sociedad toda.
5548,1,buen_vivir,A,Buen vivir y respeto y conservación de la naturaleza.
5846,1,buen_vivir,A,Debemos encontrar el equilibrio entre el Medio Ambiente y la satisfacción de las necesidades colectivas. Se deben promover las condiciones para que todos hallemos la felicidad y la Vida Digna.
6911,1,buen_vivir,A,"TODO ACTUAR DEL ESTADO DEBE ESTAR FUNDADO EN LA PRODUCCION DE RECIURSOS BIENES Y SERVICIOS, DESARROLLO DE LAS TECNOLOGÍAS, ETC, PARA DAR RESPUESTA A LAS NECESIDADES DE LA SOCIEDAD EN FORMA SOLIDADRIA Y DIGNA PARA QUE REPERCUTA EN LA CONVIVENCIA ARMÓNICA CON EL MEDIO ."
7087,1,buen_vivir,A,Se propone este concepto propio de la cosmovisión indígena que involucra un equilibrio entre el ser humano y su entorno natural y el respeto por cada forma de vida. El uso de los recursos para fines necesarios y la idea holística del ser humano como parte de un ecosistema mayor.
7585,1,buen_vivir,A,Forma respetuosa de coexistir con lo que nos rodea. Responsabilidad y equilibrio entre las personas y el medio ambiente y su diversidad.
9660,1,buen_vivir,A,4. BUEN VIVIR. De acuerdo al grupo se refiere a lograr un bienestar de todos los ciudadanos.
9725,1,buen_vivir,A,"BUEN VIVIR:  es un principio/valor que emerge en el grupo. En ese sentido y al no estar contenido en la planilla, se evalúa como necesario explicitar que referimos a una forma de vivir responsable, respetuosa y empática con nuestro medio/entorno, tanto seres humanos como medio ambiente."
9865,1,buen_vivir,A,"Promover y garantizar una relación armónica y de respeto entre seres humanos y de estos con la naturaleza, que vele por un desarrollo económico, político, ecológico, social y cultural del país que sea sustentable, respetando los derechos y el bienestar las comunidades y el entorno natural. Implica"
9867,3,buen_vivir,A,Responsabilidad de garantizar el acceso a una vida digna según parámetros multidimensionales
11216,1,buen_vivir,A,"Es una visión ética de una vida digna y en plenitud vinculada al contexto, cuyo valor fundamental es el respeto por la vida en comunidad y la armonía con la naturaleza."
12036,1,buen_vivir,A,"La producción de recursos, bienes y servicios y el desarrollo de la tecno ciencia para dar respuesta a las necesidades se deben basar en los principios y valores de la solidaridad en convivencia armónica con el medio ambiente."
12142,1,buen_vivir,A,El Estado debe asegurar la satisfacción plena de las necesidades básicas a toda la población nacional que les permitan tener una vida digna.
12492,1,buen_vivir,A,"La satisfacción de las necesidades, la consecución de una calidad de vida y muerte digna, el amar y ser amado, el florecimiento saludable de todos, en paz y armonía con la naturaleza y la prolongación indefinida de las culturas humanas. El Buen Vivir supone tener tiempo libre."
13257,1,buen_vivir,A,"Vivir en un ambiente sano y ecológicamente equilibrado que garantice la sustentabilidad y el buen vivir, valores primordiales la preservación del medio ambiente, la conservación de los ecosistemas, la biodiversidad y la integridad del patrimonio actual y ancestral del país."
13257,3,buen_vivir,A,"Garantizar el bienestar, el desarrollo, la seguridad, la protección e igual dignidad de las personas, pueblos y naturaleza."
13386,1,buen_vivir,A,"Fundamental principio y valor, necesario para garantizar la sustentabilidad, la calidad de vida de las personas y como valor central y transversal."
13390,1,buen_vivir,P,La persona debe aspirar a desarrollarse plenamente y contribuir a los demàs para que alcancen todos
13801,1,buen_vivir,A,"A partir de las constituciones Boliviana y Ecuatoriana, se entiende el buen vivir como el actuar de la comunidad y el Estado, para lograr el bienestar colectivo y el respeto a vivir en armonía con la naturaleza."
14194,1,buen_vivir,A,"Entendido como relación armónica y respetuosa entre las personas,  los pueblos, y la naturaleza. Propendiendo al bien común de todos y todas, asegurando el bienestar social, económico y cultural para todos y todas, de la naturaleza y el uso sostenible de los recursos naturales"
14400,1,buen_vivir,P,Como alternativa a Bien Común y como concepto de desarrollo centrado en lo humano y en relación armónica con la naturaleza.
15426,1,buen_vivir,A,"Asegurar que todos los que nazcan o vivan en el territorio nacional tengan igualdad en todos sus derechos, considerando especialmente el derecho de género, derechos sexuales y derecho de libertad de culto, pudiendo vivir en armonía a pesar de sus diferencias."
