idEla,tema,concepto,acuerdo,fundamento
8,4,cambio_o_reforma_constitucional,A,"es importante que la constitución considere mecanismos para actualizarse en conformidad a los cambios de la sociedad, garantizando que sean el reflejo de la voluntad del pueblo y resguardando la permanencia de sus principios fundantes. Nos parece relevante dejar constancia respecto de la opinión del grupo de que no es aceptable un ajuste o cambio constitucional que no emane de la sociedad, repitiéndose la historia de una constitución sin participación."
12,4,cambio_o_reforma_constitucional,A,Acordamos cambio constitucional como forma de validar un efectivo cambio en la constitución.
17,4,cambio_o_reforma_constitucional,A,"los tiempos van cambiando, y con ellos la sociedad, es por esta razón los cambios son necesarios. Esperando que vayan orientados al bien común y no al beneficio de unos pocos."
19,4,cambio_o_reforma_constitucional,A,Cambiar el sistema binominal para generar un cambio parlamentario a fin de que todos los representantes sean elegidos por votación popular.
20,4,cambio_o_reforma_constitucional,A,"La Constitución debe ser flexible, es decir, modificable. Y debe contemplarse la Asamblea Constituyente para su remplazo."
35,4,cambio_o_reforma_constitucional,A,"Hay diferencia en el quorum y en la forma para un cambio constitucional(parlamento y/o plebiscito), pero es acuerdo que los quorums legislativos deberían ser menos. Hay acuerdo que si queremos cambiar la constitución entera, la forma es la asamblea constituyente."
43,4,cambio_o_reforma_constitucional,A,La gente debe participar de espacios de debate público
56,4,cambio_o_reforma_constitucional,A,Porque hay muchas leyes y cosas que cambiar y analizar
58,4,cambio_o_reforma_constitucional,A,porque se le está dando la instancia al pueblo de elegir sus propios derechos opinando de acuerdo a sus necesidades
59,4,cambio_o_reforma_constitucional,A,Debe existir una forma más eficaz de dar respuesta a la sociedad que son dinámicas y cambiantes. Pasan demasiado años para generar cambios. Una reforma constitucional que se realiza  participativamente las personas se apropian de su contenido.
61,4,cambio_o_reforma_constitucional,A,Que esta Constitución diga claramente su forma de cambio o reforma.
63,4,cambio_o_reforma_constitucional,A,"Establecer período definido de revisión de la Constitución, no es cambiar por cambiar en cualquier momento, pero si para definir si requiere cambio o continúa, todo en un proceso participativo y de decisión nacional."
65,4,cambio_o_reforma_constitucional,A,queremos que se haga un cambio en la nueva constitucion
66,4,cambio_o_reforma_constitucional,A,"Ya que se modifican tratados en los cuales no todos están de acuerdo, o leyes injustas para los habitantes."
67,4,cambio_o_reforma_constitucional,P,"• Que se establezca una revisión periódica de la Constitución, que permita ir adecuando con prontitud el texto a las condiciones reales de vida del país, que van cambiando aceleradamente."
74,4,cambio_o_reforma_constitucional,A,- Mecanismos capaces de seguir el ritmo de evolución social. - Mantener equilibrio entre flexibilidad y estabilidad.
75,4,cambio_o_reforma_constitucional,A,Asamblea constituyente
77,4,cambio_o_reforma_constitucional,A,Proponemos que la constitución contenga un mecanismo de reforma que contemple la opción de la mayoría y que la ciudadanía pueda participar a través de herramientas tecnológicas para su reforma de manera permanente.
79,4,cambio_o_reforma_constitucional,A,"Dado que la constitución se inserta en una sociedad que está en constante cambio, es necesario el equilibro entre una constitución flexible y rígida a la vez para perpetuar, en base a procesos reflexivos ciudadanos."
80,4,cambio_o_reforma_constitucional,A,xxxxxxxx
