idEla,tema,concepto,acuerdo,fundamento
161,1,ciudadanía,A,Que se fomente la participación ciudadana en la vida nacional. Se propone incluso volver al Voto Obligatorio.
289,1,ciudadanía,A,"Es nuestra condición esencial de pertenencia en nuestra república, que nos habilita para exigir reconocimiento como miembros plenos de la sociedad en cuanto a derechos y deberes."
527,1,ciudadanía,A,"Ciudadanas y ciudadanos son actores indispensables para controlar deberes y obligaciones estatales y  ciudadanos también (control social) especialmente para resguardar la función social del suelo, el derecho a la ciudad y el buen vivir de todos y todas en la ciudad y los territorios."
746,1,ciudadanía,A,"Dotar al pueblo de más herramientas para fiscalizar a sus autoridades, formación ciudadana en la escuela, una ciudadanía activa necesita herramientas como plebiscitos vinculantes, iniciativa popular de ley"
799,1,ciudadanía,A,Cada uno de nosotros debe sentir ciertas responsabilidades por el país que quiere.
810,1,ciudadanía,A,"Principio básico de una constitución ya que permite la participación de los ciudadanos. Una democracia moderna requiere de ciudadanos empoderados, críticos y participativos."
835,1,ciudadanía,A,que todos los ciudadanos tengan derechos y obligaciones por el bien del paìs
1130,1,ciudadanía,A,Todos tenemos el derecho a obtener una ciudadanía y ser parte de una comunidad.
1196,1,ciudadanía,P,"Se está de acuerdo con incluir ciudadanía, pero se cree que ella solo es posible ejercerla en un Estado democrático, un Estado de derecho donde se respeten las leyes"
1357,1,ciudadanía,A,Todos y todas que tengan derechos y deberes constitucionales.
1362,1,ciudadanía,A,"Entendiéndola como el soberano de los ciudadanos, representado mediante una democracia representativa, debe ser uno de los valores que incorpore una nueva constitución."
1450,1,ciudadanía,A,"Debe atesorarse en una estrecha amistad cívica, la que se exprese en una convivencia democrática. El estado debe garantizar que los chilenos puedan ejercer su ciudadanía en libertad."
1451,4,ciudadanía,A,"Plebiscitos. referendums, consultas con mayor frecuencia de la que se tiene hoy día. Es importante escuchar a las personas."
1610,1,ciudadanía,P,Se propone voto obligatorio
1713,1,ciudadanía,A,"El respeto al otro, derecho a opinar y tener igualdad"
1768,1,ciudadanía,A,Como valor a desarrollar. El Estado debe promover la organización ciudadana y apoyar la construcción de ciudadanía más allá de la institucionalidad. Democracia Participativa y vinculante.
1914,1,ciudadanía,P,Incorporado en el concepto de democracia.
1986,1,ciudadanía,A,"Ya que nos da la oportunidad y el poder, el poder de ser, para participar"
2003,1,ciudadanía,A,Es lo más importante en la Constitución
2066,1,ciudadanía,D,El concepto es muy amplio y por ello nos dividimos en la opinión de si es un valor importante o si es subjetivo.
2185,1,ciudadanía,P,"Que tenemos derechos, pero que ademas estos se garanticen totalmente para todos."
2275,1,ciudadanía,A,"Es fundamental reconocer a todos y todas como ciudadanos/as, como actores sociales concebidos de forma ámplia."
2302,1,ciudadanía,A,Participación real en toma de decisiones de proyectos públicos y privados.  Participación en el tribunal constitucional. Principal ente Fiscalización comunal RSE.
2304,1,ciudadanía,P,"no se entiende bien el concepto, se requiere que todos respetemos al otro."
2460,1,ciudadanía,A,"Es importante escuchar a las personas desde su calidad de ciudadanos capaces de participar y decidir, cosa que no siempre ocurre. Además se debe respetar los derechos. Tener acceso a las políticas sociales desde el acceso a la información y el respeto a la opinión. Que no genere desigualdad."
2588,1,ciudadanía,A,"Es la base de la nación, la conformamos todos."
2695,1,ciudadanía,P,"Tanto en lo relativo a los valores  como los derechos y deberes de las personas, tales como el deber de votar."
2763,1,ciudadanía,P,"vínculo formal con la comunidad, no solo judicialmente, sino también con respecto a derechos y deberes."
2822,1,ciudadanía,A,Es necesario ya que se le reconoce de este modo a un sujeto derechos políticos y sociales.
2839,1,ciudadanía,A,Pertenencia a la Nación
2938,1,ciudadanía,A,"El sentido de pertenencia a un lugar no va definiendo con valores y reglas claras, que empodera y configura realidad."
2945,1,ciudadanía,A,Obligación de cumplir las obligaciones cívicas
2955,1,ciudadanía,A,"Pleno respeto a las organizaciones ciudadanas, de nosotros emana la soberania y el estado. Para que esto sea efectivo necesitamos una asamblea constituyente"
3193,1,ciudadanía,A,"La constitucion debe respetar el derecho y opiniones de la ciudadania, sin distincion de genero, o estatus social."
