idEla,tema,concepto,acuerdo,fundamento
3,4,congreso_o_parlamento__estructura_y_funciones_,A,"Son representativos de la ciudadanía, aquí se generan las leyes y los acuerdos nacionales"
8,4,congreso_o_parlamento__estructura_y_funciones_,A,consideramos que debe considerarse en el debate la estructura y el funcionamiento del congreso por cuanto es una institución clave para el desarrollo democrático del país.  Nos interesa sobre manera considerar aspectos como: cambio a una estructura unicameral que agilice los procesos legislativos; pertenencia más que adscripción a una región por parte de los congresistas;  y derecho a la reelección por no más de un período consecutivo.
12,4,congreso_o_parlamento__estructura_y_funciones_,A,Acordamos este concepto por unanimidad.
20,4,congreso_o_parlamento__estructura_y_funciones_,A,Es muy importante terminar con el retraso en la formación de las leyes. No se justifican dos cámaras para legislar.
29,4,congreso_o_parlamento__estructura_y_funciones_,A,debe existir pero solo una camara
31,4,congreso_o_parlamento__estructura_y_funciones_,A,nos rigen siempre las leyes
33,4,congreso_o_parlamento__estructura_y_funciones_,A,que los senadores tomen sus funciones por 4 años solamente y una vez en su vida. la edad mínima de este cargo sea de 25 años.
35,4,congreso_o_parlamento__estructura_y_funciones_,A,Cuotas para mujeres y minorías etnicas. Permitir a dirigentes sindicales postularse. Limitar el numero reelecciones. Cantidad de representantes que elige cada territorio dependan de cantidad de habitantes y se vayan reajustando según una formula y no según negociaciones.
36,4,congreso_o_parlamento__estructura_y_funciones_,A,"Su función es relevante, por cuanto representa a la ciudadanía, concurre a la formación de las leyes junto al Presidente de la República y fiscaliza los actos de gobierno. Por lo tanto, su estructura y funciones deben normarse."
46,4,congreso_o_parlamento__estructura_y_funciones_,A,.
48,4,congreso_o_parlamento__estructura_y_funciones_,A,Congreso Unicameral que tenga como función principal la discusión y aprobación de las leyes. Congreso Unicameral porque el bicameralismo no se justifica más que por temas históricos.
55,4,congreso_o_parlamento__estructura_y_funciones_,A,Sin comentarios
58,4,congreso_o_parlamento__estructura_y_funciones_,D,existe mucho lucro y los políticos buscar y crean reformas para su propia beneficiencia
59,4,congreso_o_parlamento__estructura_y_funciones_,A,"Que los parlamentarios sean más eficaces en la gestión de las leyes, ya que estas nos afectan de forma directa a los ciudadanos y son las que la sociedad necesita."
67,4,congreso_o_parlamento__estructura_y_funciones_,A,"• Que se garantice el actuar libre de estas instituciones, sin la incidencia ilegal de grupos económicos o de poder que promueven la creación de leyes de acuerdo a sus intereses. • Modificar la Ley Electoral. • Exigir probidad a los funcionarios. • Es ridículo que un grupo minoritario tome las deci"
68,4,congreso_o_parlamento__estructura_y_funciones_,A,Para recuperar  nuevamente la credibilidad  y confianza  es fundamental mostrar el nivel de compromiso y vocación  por el servicio público sin intereses  particulares lucrativos y la transparencia de gestión.
70,4,congreso_o_parlamento__estructura_y_funciones_,A,"Que se dediquen a sus funciones(que hagan la pega) que no sean reelectos. Que existan sanciones a sus faltas, que ellos no decidan su sueldo. Unicameral."
74,4,congreso_o_parlamento__estructura_y_funciones_,A,- Se debe revisar su funcionamiento para mejorar eficiencia y probidad. - Se deben resolver conflictos de interés y reglas autodefinidas.
75,4,congreso_o_parlamento__estructura_y_funciones_,A,Un sólo parlamento sistema unicameral
76,4,congreso_o_parlamento__estructura_y_funciones_,A,unicameral con mayor numero de parlamentarios.
81,4,congreso_o_parlamento__estructura_y_funciones_,A,sin comentarios
86,4,congreso_o_parlamento__estructura_y_funciones_,A,"Es necesario y vital que esta institución exista ya que, es aquí donde se legisla para regular y mejorar la vida de todos los chilenos y donde deben ser representados todas las regiones, conforme a elección popular y democrática. Independencia de los Poderes del Estado."
89,4,congreso_o_parlamento__estructura_y_funciones_,A,Un país democrático debe tenerlos
91,4,congreso_o_parlamento__estructura_y_funciones_,A,un congreso unicameral con representación mas diversa que la actual y con mayor poder para generar leyes que nos favorescan
95,4,congreso_o_parlamento__estructura_y_funciones_,A,Congreso bicameral con representación regional para combatir la centralización.
104,4,congreso_o_parlamento__estructura_y_funciones_,A,"Es necesario reestructura el parlamento, para que realmente sea el representante del poder (pueblo). Que reciban un sueldo acorde a la realidad del país."
105,4,congreso_o_parlamento__estructura_y_funciones_,A,sin observaciones
107,4,congreso_o_parlamento__estructura_y_funciones_,A,"Muy importante tener un congreso nacional o parlamento que creen leyes buenas y necesarias, que protejan la vida y derechos de las personas."
110,4,congreso_o_parlamento__estructura_y_funciones_,P,"Congreso de Senadores y Diputados, donde los Diputados representan a un territorio, y los Senadores a toda la nación."
112,4,congreso_o_parlamento__estructura_y_funciones_,A,DEBEN ESTAR REGULADOS. MAYOR CONTROL SOCIAL
115,4,congreso_o_parlamento__estructura_y_funciones_,P,Esta bien asi da equilibrio
117,4,congreso_o_parlamento__estructura_y_funciones_,A,"Es fundamental que  la separación de poderes del Estado se siga cumpliendo y por su rol fiscalizador entre ellos, para evitar los abusos de poder y el enriquecimiento ilícito.Pero que no aumente su número de funcionarios."
124,4,congreso_o_parlamento__estructura_y_funciones_,A,.
125,4,congreso_o_parlamento__estructura_y_funciones_,A,Parlamento unicameral y revisión de quorum. Representación de comunidades y grupos específicos de la sociedad.
126,4,congreso_o_parlamento__estructura_y_funciones_,P,"BICAMERAL, CON UNA CÁMARA DE ORIGEN Y OTRA CÁMARA REVISORA DE LAS LEYES. UNICAMERAL, CON UNA SOLA CÁMARA."
136,4,congreso_o_parlamento__estructura_y_funciones_,A,Es importante que haya un poder legislativo regulado que interprete la voluntad de los ciudadanos.
138,4,congreso_o_parlamento__estructura_y_funciones_,A,CONGRESO
140,4,congreso_o_parlamento__estructura_y_funciones_,A,"Que se regule su estructura y funciones, así como deberes, obligaciones y responsabilidad, además de materias específicas como la dieta parlamentaria"
141,4,congreso_o_parlamento__estructura_y_funciones_,A,Donde se lleva a cabo la verdadera discusión democrática y representativa de todas las sensibilidades políticas. Órgano con mayor legitimidad democrática.
142,4,congreso_o_parlamento__estructura_y_funciones_,A,"Si avalamos el tema del voto y la representatividad, es importante regular el tema del parlamento, cómo y quienes votan, las leyes orgánicas constitucionales, los quórum calificados, son temas que sean más democráticos y menos trabados."
144,4,congreso_o_parlamento__estructura_y_funciones_,A,Creemos que el congreso debe ser unicameral como una forma de hacer mucho más expedito el trámite de nuevas leyes que vayan en favor del pueblo de chile.
147,4,congreso_o_parlamento__estructura_y_funciones_,A,Instancia donde se discuten leyes que son importantes para el sustento de una nación
151,4,congreso_o_parlamento__estructura_y_funciones_,A,Que sea más rápido en legislar los papeles
159,4,congreso_o_parlamento__estructura_y_funciones_,A,cambien y dar mas oportunidades a nuevos integrantes
161,4,congreso_o_parlamento__estructura_y_funciones_,A,"El Congreso Nacional es una importante institución para el país, por ende es necesario mantenerlo, fomentando quizás su carácter representativo de la ciudadanía."
162,4,congreso_o_parlamento__estructura_y_funciones_,A,"Mayor transparencia y mayor fiscalización , en donde los gastos sean mencionados en la cuenta pública ."
164,4,congreso_o_parlamento__estructura_y_funciones_,A,"Se debe perfeccionar el sistema parlamentario para incrementar su representatividad, probidad, transparencia, publicidad y efectividad. Se deben disminuir los vicios, la holgazanería, el lobby."
165,4,congreso_o_parlamento__estructura_y_funciones_,A,"Congreso Unicameral, fina al Senado."
166,4,congreso_o_parlamento__estructura_y_funciones_,A,"El congreso debe ser unicameral, elegido democráticamente en relación al número de habitantes. Además, con una dieta parlamentaria reducida y la obligación de rendir cuenta transparente de su labor."
168,4,congreso_o_parlamento__estructura_y_funciones_,A,"Planteamos la supresión de una cámara, es decir, la creación de un Parlamento UNICAMERAL; y mecanismos de fiscalización por parte de la ciudadanía de tipo VINCULANTE hacia sus parlamentarios."
170,4,congreso_o_parlamento__estructura_y_funciones_,A,Es importante reflexionar sobre la forma de constituir un parlamento y en la respresentatividad de este. Actualmente el parlamento no representa verdaderamente la voluntad de la gente.
171,4,congreso_o_parlamento__estructura_y_funciones_,A,en el comprendido de que exista una sola camara
176,4,congreso_o_parlamento__estructura_y_funciones_,A,"Con la cláusula que quede fuera cualquier diputado o senador que esté vinculado a cualquier acto que esté fuera de la ética y moral de su cargo y nuestra sociedad. Esto ya que el congreso es la base para la Democracia, pero no como está hoy en día contaminado con algunos políticos corruptos."
177,4,congreso_o_parlamento__estructura_y_funciones_,P,"Está la propuesta de hacer un congreso unicameral, ya que la concepción de 2 cámaras proviene de una idea elitista de una cámara del pueblo y otra de los lores. No hay acuerdo con esta idea, ya que no habría inter fiscalización entre cámaras."
178,4,congreso_o_parlamento__estructura_y_funciones_,A,"Disminuir salarios, disminuir gastos corporativos. Limitar tiempo de permanencia de diputados y senadores, ambos como máximo 2 períodos"
181,4,congreso_o_parlamento__estructura_y_funciones_,A,Todos de acuerdo
187,4,congreso_o_parlamento__estructura_y_funciones_,A,"Para que exista una mayor regulación a nuestros ""honorables""."
193,4,congreso_o_parlamento__estructura_y_funciones_,A,No hay fundamentos más allá de la discusión.
194,4,congreso_o_parlamento__estructura_y_funciones_,A,Unicameral
202,4,congreso_o_parlamento__estructura_y_funciones_,A,Actor clave en nuestra sociedad.
209,4,congreso_o_parlamento__estructura_y_funciones_,A,Se deberían aclarar las funciones y estructura del estado para toda la ciudadanía. Que exista más transparencia en cuanto a la información que se le entrega a las personas.
213,4,congreso_o_parlamento__estructura_y_funciones_,A,"Hay que revisar las normas que los rigen por ejemplo en los períodos de reelección, la fiscalización de sus actos, límite de dieta."
219,4,congreso_o_parlamento__estructura_y_funciones_,A,"Creemos que debe seguir existiendo un congreso bicameral, compuesto por los representantes elegidos por todos los ciudadanos."
222,4,congreso_o_parlamento__estructura_y_funciones_,A,"Debe realizarse el debate respecto a su estructura, composición y funciones de ambas cámaras."
223,4,congreso_o_parlamento__estructura_y_funciones_,A,"Que esta la evolución de dichos parlamentarios, que exista rigurosidad en el actuar de los parlamentarios"
232,4,congreso_o_parlamento__estructura_y_funciones_,A,"Lo relevante es el desarrollo legislativo de las garantías, puesto que lo que pueda estipular una CPR se realiza a grandes rasgos."
238,4,congreso_o_parlamento__estructura_y_funciones_,A,que se regule los derechos y deberes que tienene. que exista igualdad ante la ley (laboral) que cumplan con su jornada de trabajo.
240,4,congreso_o_parlamento__estructura_y_funciones_,A,"(Estructura y funciones) transformación de su estructura y ritmos-  congreso único, nuevos plazos para tramitación de leyes; un año para materias importantes, 3 años para materias comunes. Formación social y política para interesados en ser parlamentarios."
246,4,congreso_o_parlamento__estructura_y_funciones_,A,UNICAMERAL CON LIMITE A LA REELECCION
247,4,congreso_o_parlamento__estructura_y_funciones_,A,"El grupo considera importante mejorar la eficiencia de esta institución y evaluar su integración en una sola cámara con un menor número de representantes. Sus sueldos deben ser regulados por otra institución y deben estar indexados al salario mínimo. Igualmente, el parlamento se debe renovar continuamente y dar nuevas oportunidades a otros. En este sentido, el grupo estima que el tope de reelecciones no debe superar el máximo de 2 elecciones. Por último, se considera que la votación popular no debe ser vinculante, ni arrastrar a compañeros de lista."
253,4,congreso_o_parlamento__estructura_y_funciones_,A,"Que se amplíen las funciones del congreso, pero así como también la posibilidad de referéndums revocatorios por parte de la ciudadanía."
255,4,congreso_o_parlamento__estructura_y_funciones_,A,Se asegurará la representación de las mujeres por una ley de cuota permanente en el tiempo y que permita la inclusión de un 50% de mujeres y también una representación proporcional de los pueblos originarios.
