idEla,tema,concepto,acuerdo,fundamento
13,4,congreso_unicameral,A,Se debe eliminar el senado para evitar gastos innecesarios y acelerar el proceso de aprobación de las leyes.
57,4,congreso_unicameral,A,Justificación de la representación territorial y poblacional
101,4,congreso_unicameral,A,Se consideró innecesario un parlamento bicameral.
106,4,congreso_unicameral,P,El congreso debe ser unicameral pues una doble legislatura no se condice con buenas legislaturas. Además no hay argumentos concretos que defiendan la duplicidad de cámaras políticas.
158,4,congreso_unicameral,A,"Desconfianza en lo que pueda suceder.  La próxima forma de gobierno tiene que mantenerse como hasta ahora o los procedimientos van a ser los mismos.  Una sola cámara, proporcional a la cantidad de habitantes, con reducción de salario y las competencias adecuadas para tener dinamismos más resolutivos"
243,4,congreso_unicameral,A,"El parlamento unicameral permitirá hacer menos engorroso los procesos legislativos, tendrá por finalidad el que se tomen mejores decisiones, sean mas representativas de cada región y que no exista tanto gasto."
337,4,congreso_unicameral,A,Por la modernización del poder legislativo
409,4,congreso_unicameral,A,"para mayor rapidez en la elaboración y aprobación de leyes. Bajar dietas parlamentarias, son muy excesivas. Integrar a ciudadanos activos y dirigentes como congresistas, es decir, que parte de los congresistas sean electos por tipo de sujeto o actor social, grupos temáticos relevantes para el desarrollo y seguridad social. Regular más la inasistencia"
554,4,congreso_unicameral,A,"Para dar un remezón y acabar con la corrupción de ciertos políticos, es necesario una sola cámara, más importante aún, para facilitar las mejoras de las políticas públicas."
564,4,congreso_unicameral,A,Congreso de una sola cámara unificando las funciones legislativas de ambas cámaras
601,3,congreso_unicameral,A,PARLAMENTO UNICAMERAL
619,4,congreso_unicameral,A,Concentrar en una solo cámara la formulación de leyes que rigen el país.
633,4,congreso_unicameral,A,Con elección proporcional de legisladores y un órgano obligatorio de asesoría técnica para la labor legislativa.
643,4,congreso_unicameral,P,El poder legislativo es fundamental para aprovechar los tiempos proponeos que haya un parlamento unicameral acuerdo parcial
693,4,congreso_unicameral,A,"Un congreso de una sola cámara necesitará mucho menos tiempo para legislar, permitiendo mejores leyes sin eternas esperas. Adecuando y rebajando la dieta."
773,4,congreso_unicameral,A,"Una sola cámara de manera de agilizar leyes, con elección proporcional a la población,rebaja de la dieta parlamentaria,revocación de cargos."
887,4,congreso_unicameral,A,no hay fundamento
906,4,congreso_unicameral,A,Cremos que una cámara alta es innecesaria y sólo obstaculiza y quita agilidad a los procesos legislativos democráticos.
924,4,congreso_unicameral,A,"Una Asamblea parlamentaria, elegida democráticamente, que garantice representación  proporcional"
953,4,congreso_unicameral,A,Dos cámaras aumenta la probabilidad de lobby dentro del Congreso. Es importante que en la Asamblea Constituyente se establezca la unicameralidad y que el Congreso actual modifique la constitución para que se pueda establecer la posibilidad de una AC.
961,4,congreso_unicameral,A,para ser más expedita la tramitación de leyes. Parlamento actual ha demostrado poca eficiencia.
980,4,congreso_unicameral,A,"Una sola cámara, para evitar dobles discusiones  entre cámaras de Diputados y Senadores por la legislación de una Ley, y se le de celeridad en su trámite."
995,4,congreso_unicameral,D,Agilidad y eficiencia en el proceso legislativo
1058,4,congreso_unicameral,A,Basta con una sola cámara de legisladores.
1080,4,congreso_unicameral,A,"Un mejor y más eficiente proceso legislativo y con adecuado uso de recursos se puede llevar adelante por un congreso unificado, tanto en atribuciones como obligaciones."
1176,4,congreso_unicameral,A,"No es necesario tener cámara de diputados y senadores. Es más eficiente, ágil y menos costoso tener sólo un órgano legislativo."
1219,4,congreso_unicameral,A,"El poder legislativo estará conformado por una sola cámara, que estará conformada por representantes elegidos popularmente. Los cuales podrán ser revocados en su función mediante plebiscito, referéndum o consulta ciudadana vinculante y revocatorio."
1281,4,congreso_unicameral,A,Disminuir la burocracia. Acelerar la toma de decisiones. Disminuir los recursos al tener menos parlamentarios. Asegurar representatividad de las Naciones de origen indígena.
1290,4,congreso_unicameral,A,Total acuerdo en eliminar el Bicameralismo y reemplazarlo por un poder legislativo Unicameral.
1314,4,congreso_unicameral,A,"Para darle mayor celeridad al tratamiento de las leyes, su promulgación y urgencia. Además, de disminuir el gasto fiscal."
1500,4,congreso_unicameral,A,CON UN PARLAMENTO UNICAMERAL SE DISMINUYEN LOS TIEMPOS PARA LA CREACION DE LEYES
1548,4,congreso_unicameral,A,En más rápido para tomar decisiones.  Es considerablemente más barato.
1592,4,congreso_unicameral,A,Compuesto solamente por diputados.
1599,4,congreso_unicameral,A,Solo una camara. Es mas eficiente y se hacen ahorros.
1822,4,congreso_unicameral,A,Congreso Unicameral.   El Senado actual lo único que hace es retrasar los procesos de cambio en el país.
1849,4,congreso_unicameral,A,Solo diputados.
1911,4,congreso_unicameral,A,Agiliza la gestión legislativa y reduce costos excesivos.
1951,4,congreso_unicameral,P,Debe haber un organismo que legisle y que también supervise al ejecutivo.
2034,4,congreso_unicameral,A,"porque pensamos que la estructura actual no da para más, debiendo el poder de los parlamentarios consignarse en un congreso unicameral, con más miembros de los actuales y que permita difuminar la estructura de poder que manejan algunos senadores sobre todo el aparato público y poder judicial."
2052,4,congreso_unicameral,D,"Acuerdo en modificar el congreso, pero sin acuerdo en que el unicameralismo fuera la solución."
2131,4,congreso_unicameral,A,tener solo una cámara de representantes y no tres / terminar con el tribunal constitucional
2171,4,congreso_unicameral,A,CREAR LA FIGURA DEL PRIMER MINISTRO. MAS AHORRO Y MAS EFICIENCIA EN EL TRÁMITE DE LAS LEYES.
2235,4,congreso_unicameral,A,Permite hacer  más eficiente el proceso de las  leyes y evita pérdidas.
2244,4,congreso_unicameral,A,Acuerdo unánime
2360,4,congreso_unicameral,A,Basta solo un grupo legislativo que discuta las leyes del país.
2368,4,congreso_unicameral,A,Plurinacional.  Proporcional.
2486,3,congreso_unicameral,A,"reorganizar la cámara alta y baja en una sola ""congreso unicameral"" para que de esta forma se resuelvan las leyes sin tanta burocracia que se encuentra establecida  y poca coherencia entre una cámara y otra"
2532,4,congreso_unicameral,A,"Debe haber un solo tipo de cámara que garantice trámites más rápidos, menos costos y más transparencia"
2556,4,congreso_unicameral,A,"Con esto, mejoraría la eficiencia en lo legislativo y así las leyes no pasarían por procesos tan burocráticos. Con una sola cámara se facilitaría el trabajo parlamentario."
2596,4,congreso_unicameral,A,para que la tramitación de leyes sean expeditas y efectivas.
2670,4,congreso_unicameral,A,"Para disminuir gastos, tiempos de tramitación y privilegios innecesarios"
2712,4,congreso_unicameral,P,"La posición mayoritaria es que es importante que la constitución considere un parlamento unicameral que implique un menor costo, mayor igualdad, eliminación de duplicidad de funciones. El resultado esperable es mayor eficiencia legislativa. Se indica que los parlamentarios no deberían fijas sus pro"
2725,4,congreso_unicameral,A,"Con un congreso de este tipo se evitarían varios problemas: la demora en la tramitación de leyes;  el “peloteo” de proyectos de ley, el gasto innecesario en las altas dietas parlamentarias, etc."
2752,4,congreso_unicameral,A,"ESTE E.L.A. CONSIDERA QUE LA CANTIDAD DE SENADORES Y DIPUTADOS ES DEMASIADA Y POCO REPRESENTATIVA DE LA CIUDADANIA. ESTE E.L.A CONSIDERA, NECESARIO EN LA NUEVA CONSTITUCIÓN QUE EXISTA UN CONGRESO UNICAMERAL, PARA LEGISLAR DE MANERA MÁS EFECTIVA."
2774,4,congreso_unicameral,A,"Elegido proporcionalmente en relación al nº de habitantes. Adecuando y rebajando su dieta. Y estableciendo la obligación de rendir cuenta periódicamente a su labor. Su función principal es la creación de leyes, pero SIN la facultad de crear nuevas constituciones (solo podrá crear reformas a ella)"
2794,4,congreso_unicameral,A,debería existir una sola cámara para que no tramiten tanto las leyes.
2826,4,congreso_unicameral,A,Proponemos sólo conservar la Cámara de Diputados. Eliminar el Senado.
2855,4,congreso_unicameral,A,Eliminar el senado. El órgano legislativo tiene criterio poblacional y proporcional a la cantidad de habitantes de los territorios.
2874,4,congreso_unicameral,A,"Sería la única forma de ""destrampar"" los asuntos sometidos a su conocimiento. Con sólo una instancia podría existir una agilización al momento de legislar."
2935,4,congreso_unicameral,A,"Consideramos que con una cámara se agilizarán el proceso legislativo y se mantendría el espíritu original de las propuesta de ley. Además, se reducirían los gastos estatales. Proponemos que el trabajo legislativo sea todo el año y no solo en un período acotado."
2974,4,congreso_unicameral,A,Acuerdo de la asamblea
3006,4,congreso_unicameral,A,"Congreso Unicameral. La representación a través de parlamentarios elegidos democráticamente no necesita dos cámaras, pues retrasan y dificultan la aprobación  de las leyes y puede significar una ahorro de recursos"
3082,4,congreso_unicameral,A,Una sola cámara parlamentaria. Con mas representatividad territorial. Con participación de los pueblos originarios. Sin fuero parlamentario y con sueldos mas bajos.
3408,4,congreso_unicameral,A,Que impida la extorsión desde el empresariado. Con sueldo promedio de dos Ingresos Mínimos Mensuales como máximo.
3695,4,congreso_unicameral,A,Con una sola camara dilatan menos las leyes y sera mas facil avanzar.
3783,4,congreso_unicameral,A,Que exista una sola cámara con 120 parlamentarios con un sueldo afín al cargo según el mercado.
3849,4,congreso_unicameral,P,"La mayoría de los participantes cree en la importancia de contar con solo una cámara legislativa, a objeto de simplificar dichas tareas, siempre y cuando dicho congreso no coincida en su elección con el poder ejecutivo."
3922,4,congreso_unicameral,P,Se retrasan leyes con bicameralidad y se busca eliminar la elitización de los senadores.  Solución no pasa por una cámara.
4064,4,congreso_unicameral,A,Necesitamos un congreso unicameral que permita celeridad y un accionar más fluido en las decisiones legislativas.
4147,4,congreso_unicameral,P,Parlamento unicameral. Sin TC.
4181,4,congreso_unicameral,A,"Se acuerda que esta institución, idea o entidad debe estar contemplada en la constitución."
4259,4,congreso_unicameral,A,"Con el fin de agilizar la producción de leyes, evitar la dilatación y bajar el gasto público."
4777,4,congreso_unicameral,A,Eliminación del Senado. Establecer dietas en concordancia a la realidad que vive la fuerza laboral del país. (bajar dieta al 50%)
4846,4,congreso_unicameral,A,Para evitar el exceso de burocracia en la labor legislativa y no existe justificación para la existencia de dos cámaras para la función de legislar
4936,4,congreso_unicameral,A,"no es necesario tener dos cameras, senadores y diputados"
5046,4,congreso_unicameral,A,Que solo haya una cámara legislativa
5052,4,congreso_unicameral,A,"Representativo, con elección proporcional a votos obtenidos, con sueldos basados en una escala única, con  periodicidad de elección igual a la presidencial. Con duración de 6 años sin reelección (hubo acuerdo parcial en la duración y reelección) y 2 años sin postular a cargo público o directorio EE"
5171,4,congreso_unicameral,A,"Se propone la eliminación del tribunal constitucional. Además, la reducción de los periodos en los cargos de representación política, no debiendo superar las dos periodos como máximo"
5175,4,congreso_unicameral,A,Solo que se aparte el senado
5225,4,congreso_unicameral,A,Función principal de elaborar leyes y sin facultad para creación de nuevas constituciones.
5344,4,congreso_unicameral,A,"Consideramos que es más representativa, pero con una periocidad de 4 años y con domicilio en la región"
5351,4,congreso_unicameral,A,Cumple las mismas funciones que cualquier congreso.  Su principal función es la elaboración de  leyes.
5359,4,congreso_unicameral,A,Como nueva forma del poder legislativo.
5474,4,congreso_unicameral,A,"QUE LLEVE A CABO LAS REFORMAS CONSTITUCIONALES, QUE CREE UN CUERPO DE INTENDENTES PARA ACABAR CON LOS NOMBRAMIENTOS DEL SENADO, PARA FACILITAR LA TRAMITACIÓN DE LEYES,"
5682,4,congreso_unicameral,A,"SIGNIFICA UNA SOLA CAMARA, AHORRO DE RECURSOS Y OPTIMIZACION DE TIEMPO , TRAMITACION DE LEYES."
5752,4,congreso_unicameral,A,Propender a un parlamento con una cámara
5831,4,congreso_unicameral,A,"Para agilizar los tramites legislativos, para no derrochar tanta plata en sueldos."
5944,4,congreso_unicameral,A,Este modelo parlamentario permite hacer más eficiente el proceso legislativo.
6011,4,congreso_unicameral,A,"Aprovechar mejor los recursos, económicos, de tiempo"
6019,4,congreso_unicameral,A,"Debe suprimirse una de las cámaras. Además, los miembros del congreso unicameral no deberán fijar sus dietas parlamentarias y estas deberán estar acorde a la realidad social y económica del país"
6099,4,congreso_unicameral,A,Menos legisladores y tramitación mas expedita de las leyes.
6117,4,congreso_unicameral,A,PARA QUE LAS DECISIONES SEAN MUCHO MÁS RAPIDO Y NO SE DEMOREN MÁS DE UN AÑO
6150,4,congreso_unicameral,A,a que la ley se tramite una sola vez y no sea rechazada por otra camara siendo que ya se hizo la discucion. es decir que se realice solo una votacion para las leyes en general.
6209,4,congreso_unicameral,A,"No necesitamos dos cámaras, ya que resulta anacrónico un senado en un país moderno, una sola cámara basta"
6256,4,congreso_unicameral,A,Permite una reducción de Costos y una disminución de la burocracia.
6378,4,congreso_unicameral,A,el poder legislativo estarán formado por una sola camara
6390,4,congreso_unicameral,A,MAYOR CONTACTO CON LA CIUDADANIA
6417,4,congreso_unicameral,A,un congreso unicameral facilita la elaboración de leyes
6528,4,congreso_unicameral,A,"La cámara de diputados y senado son una traba para el tramite de leyes, una sola cámara permite agilizar leyes y reducir gastos."
6579,1,congreso_unicameral,A,"Hoy queda demostrado que muchos proyectos de ley quedan entrampados entre las cámaras, por lo que es innecesario mantener dos cámaras en el Congreso."
