idEla,tema,concepto,acuerdo,fundamento
3,4,contraloría_general_tribunales_de_cuentas,A,Fiscalizar los actos del gobierno
9,4,contraloría_general_tribunales_de_cuentas,A,Los organismos públicos deben tener otro referente que fiscalice y regule las prácticas ilegales o parciales. Todo con el fin de administrar los bienes públicos y los RRHH de manera justa.
24,4,contraloría_general_tribunales_de_cuentas,A,debe velar por el buen uso de los fondos públicos debe encargarse del control de la legalidad
36,4,contraloría_general_tribunales_de_cuentas,A,"La administración del Estado requiere de un órgano superior de fiscalización, independiente del poder ejecutivo y del Congreso Nacional."
63,4,contraloría_general_tribunales_de_cuentas,A,para la transparencia de ejercicio de los sectores públicos y considerar también a empresas y sector privado.
68,4,contraloría_general_tribunales_de_cuentas,A,En este Organismo  es fundamental la rigurosidad  y la transparencia en los procedimientos  y decisiones .También  es necesario un ente fiscalizador para esta institución.
96,4,contraloría_general_tribunales_de_cuentas,A,"Mayor capacidad y recursos para fiscalizar en terreno, y sobre todo a los servicios como: Inspección del trabajo, SII, Aduanas etc. Ser más diligente en las sanciones."
98,4,contraloría_general_tribunales_de_cuentas,A,Instituciones necesarias para segurar el adecuado y probo funcionamiento de nuestras instituciones públicas.
100,4,contraloría_general_tribunales_de_cuentas,A,Evita corrupción y mantiene el Estado de Derecho.
104,4,contraloría_general_tribunales_de_cuentas,A,"Es importante ejercer control en los actos de la administración pública, fiscalizar los ingresos y la inversión."
110,4,contraloría_general_tribunales_de_cuentas,A,"Para un buen funcionamiento de los aparatos del Estado, es fundamental el rol de fiscalización y rendición de cuentas que realiza la Contraloría."
118,4,contraloría_general_tribunales_de_cuentas,A,Debe controlar que los políticos no hagan cohecho
124,4,contraloría_general_tribunales_de_cuentas,A,.
125,4,contraloría_general_tribunales_de_cuentas,A,Revisión de procesos para una mayor transparencia y rendición de cuentas a la ciudadanía. Revisión de elección del Contralor para asegurar una debida representación de la ciudadanía.
136,4,contraloría_general_tribunales_de_cuentas,A,Es necesaria la correcta fiscalización de las instituciones del Estado por un organismo de carácter independiente.
138,4,contraloría_general_tribunales_de_cuentas,A,ALGUIEN QUE  CONTROLE LA GESTION DE GOBIERNO
153,4,contraloría_general_tribunales_de_cuentas,A,"Si exigimos transparencia con los dineros fiscales , debemos tener quien controle esto , y sancione cuando son sustraídos o mal gastados."
161,4,contraloría_general_tribunales_de_cuentas,A,"Fomentar su importancia, como el organismo destinado a combatir la Corrupción y la falta de probidad."
162,4,contraloría_general_tribunales_de_cuentas,A,Que ejerza con más poder sus funciones y que logre ser equitativa con todos los chilenos.
177,4,contraloría_general_tribunales_de_cuentas,A,"Además de hacer auditorias, es un ente que interpreta el derecho administrativo, dictaminando y generando jurisprudencia. Debe estar en la constitución porque en un órgano autónomo y ha funcionado bastante bien. Se postula que fiscalice a otros entes que necesitan regulación, por ejemplo, al Congreso Nacional."
193,4,contraloría_general_tribunales_de_cuentas,A,No hay fundamentos más allá de la discusión.
205,4,contraloría_general_tribunales_de_cuentas,A,"- Instituciones de auditoria del Estado, de caracteres autónomos"
206,4,contraloría_general_tribunales_de_cuentas,A,Necesidad de control y función de las cuentas y funciones públicas
214,4,contraloría_general_tribunales_de_cuentas,A,Reducir y fiscalizar sus atribuciones
219,4,contraloría_general_tribunales_de_cuentas,A,Creemos que debe seguir constando en la constitución este organismo autónomo que ejerce el control de la legalidad de los actos de la administración del gobierno.
220,4,contraloría_general_tribunales_de_cuentas,A,La Contraloría General de la República debe velar por el estricto apego a las leyes de todos los actos de los órganos públicos y empresas del Estado.
229,4,contraloría_general_tribunales_de_cuentas,A,"Revisar el rol del contralor más que la Contraloría en general. Fortalecimiento del rol controlar que requiere una revisión más global, definiendo cuáles son sus materias como también sus atribuciones."
236,4,contraloría_general_tribunales_de_cuentas,P,"ES NECESARIO MANTENER EL CONTROL Y LA TRANSPARENCIA DE CADA ACCIONAR DE QUIENES EJERCEN EL PODER, YA QUE ELLOS REPRESENTAN EL DEVENIR DE LA COMUNIDAD."
240,4,contraloría_general_tribunales_de_cuentas,A,Que la información sea verdaderamente transparente.
252,4,contraloría_general_tribunales_de_cuentas,A,"Como forma de establecer formas y mecanismos de control de los poderes del estado, se hace necesario e imprescindible la existencia de una institución contralora, profesional e independiente. Como una Contraloría General de la Republica"
263,4,contraloría_general_tribunales_de_cuentas,A,Ente que sea más controlador de los distintos organismos del gobierno.
273,4,contraloría_general_tribunales_de_cuentas,A,"Se quiere una Contraloria con un alcance fiscalizador a todos los poderes del Estado, incluido el judicial y legislativo."
279,4,contraloría_general_tribunales_de_cuentas,A,PARA SUPERVISAR Y CONTROLAR GASTOS A TODAS LAS INSTITUCIONES DEL ESTADO
283,4,contraloría_general_tribunales_de_cuentas,A,...
287,4,contraloría_general_tribunales_de_cuentas,A,Organismo autónomo con facultad para fiscalizar otros organismos públicos.
289,4,contraloría_general_tribunales_de_cuentas,A,Es necesario el control público sobre la Administración del Estado y dotarla de medios necesarios (financieron y/o profesionales) para hacer efectiva sus dictámenes.
294,4,contraloría_general_tribunales_de_cuentas,A,"El estado debe rendir cuentas de sus acciones , con el máximo de transparencia y rigurosidad"
297,4,contraloría_general_tribunales_de_cuentas,A,"Garante del cumplimiento de la constitución y las leyes en el desempeño de la función administrativa, y de las cuentas y finanzas de la nación."
302,4,contraloría_general_tribunales_de_cuentas,A,"Se requiere una fiscalización permanente y exhaustiva del uso de los recursos del Estado, a todo nivel. Por ello se debe fortalecer las atribuciones y capacidades fiscalizadoras de la Contraloría, para evitar el uso indebido o erróneo de los recursos, así como la corrupción."
304,4,contraloría_general_tribunales_de_cuentas,A,Los participantes consideran relevante considerar estas instituciones para la nueva constitución que estamos construyendo
315,4,contraloría_general_tribunales_de_cuentas,A,"En este cabildo todos los puntos fueron discutidos y sometidos a votación, los que aqui se registran son los que obtuvieron las 7 primeras mayorías."
317,4,contraloría_general_tribunales_de_cuentas,A,Para fiscalización de los recursos y gastos del Estado
320,4,contraloría_general_tribunales_de_cuentas,A,se requiere que contraloría tenga el suficiente poder para fiscalizar el correcto actuar de las demás instituciones públicas.
337,4,contraloría_general_tribunales_de_cuentas,A,Debe velarse por un actuar público de acuerdo a leyes y reglamentos
347,4,contraloría_general_tribunales_de_cuentas,A,6.- Mayoría sin mayor discusión.
364,4,contraloría_general_tribunales_de_cuentas,A,Que sea un cuarto poder del estado para que pueda velar por el buen uso de los recursos
370,4,contraloría_general_tribunales_de_cuentas,A,Cumplimiento y control efectivo de las leyes.
373,4,contraloría_general_tribunales_de_cuentas,A,Que haya más control de las instituciones privadas y estatales.
378,4,contraloría_general_tribunales_de_cuentas,A,Considerado por todos como una institución que debiese ser parte indiscutida mente de la nueva constitución
383,4,contraloría_general_tribunales_de_cuentas,A,Asegura la constitución de un estado moderno: la Probidad la Efectividad  y la fiscalización a los demás poderes.
390,4,contraloría_general_tribunales_de_cuentas,A,La confianza es buena pero el Control es mejor. La contraloría es absolutamente necesaria.
408,4,contraloría_general_tribunales_de_cuentas,A,Debe ser una institución separada de los poderes del Estado y debe fiscalizar las obras y funcionamiento de los tres poderes del Estado.
414,4,contraloría_general_tribunales_de_cuentas,A,Es necesario para la fiscalización de recursos financieros y humanos. Propicia la transparencia.
418,4,contraloría_general_tribunales_de_cuentas,A,fundamental para regular la función misma del aparato estatal
421,4,contraloría_general_tribunales_de_cuentas,A,Que la Contraloría General de la República tome razón de las leyes de la República.
422,4,contraloría_general_tribunales_de_cuentas,A,hay que limitar el ambito de atribuciones de la Contraloria centrándola en temas de control financiero del uso de recursos publicos
423,4,contraloría_general_tribunales_de_cuentas,A,es primordial para garantizar transparencia. Deben estar las personas más capacitadas para ello.
426,4,contraloría_general_tribunales_de_cuentas,A,"Nos parece relevante que se mantenga esta Institución, por sus rol fiscalizador de los órganos del Estado, y garante hacia la ciudadanía de que éstas actúan conforme a la Constitución y las leyes."
428,4,contraloría_general_tribunales_de_cuentas,A,Deben cumplir sus funciones para lo que fue creada.
