idEla,tema,concepto,acuerdo,fundamento
3,3,cumplimiento_de_las_leyes_y_normas,A,Es necesario para mantener un orden público
8,3,cumplimiento_de_las_leyes_y_normas,A,asegura una convivencia en base a reglas conocidas por todos.
13,3,cumplimiento_de_las_leyes_y_normas,A,"Pero que se resguarde que todos deben cumplir con estas, evitando y eliminando los privilegios de la elite chilena."
14,3,cumplimiento_de_las_leyes_y_normas,A,"Cumplir todas las leyes que rigen el comportamiento en sociedad, sin importar el estatus social y cargo."
16,3,cumplimiento_de_las_leyes_y_normas,A,Porque todo ciudadano sin excepción deben respetar las leyes y normas establecidas en nuestro país.
20,3,cumplimiento_de_las_leyes_y_normas,A,Es un deber elemental de todo ciudadano.
29,3,cumplimiento_de_las_leyes_y_normas,A,se deben cumplir sean buena o malas porque son parte de la estructura de pais
31,3,cumplimiento_de_las_leyes_y_normas,A,es necesario
33,3,cumplimiento_de_las_leyes_y_normas,A,"son las que nos protegen y evitan que tengamos problemas con nuestro prójimo, si las cumplimos estaremos viviendo de acorde a la ley."
35,3,cumplimiento_de_las_leyes_y_normas,A,"Es necesario para garantizar la vida en sociedad. Tenemos que respetar las normas que hemos definido para poder vivir con libertad, confiando en que otros también respetaran estas normas."
36,3,cumplimiento_de_las_leyes_y_normas,A,"Las leyes y normas deben ser cumplidas, ya se conozcan o ignores, sin que los ciudadanos puedan decidir si cumplen o no los mandatos normativos. El deber de cumplimiento es fundamental para mantener un Estado de Derecho."
48,3,cumplimiento_de_las_leyes_y_normas,A,"Porque son las normas las que nos plantean el margen a través del cual nos movemos. Esta exigencia, deber o responsabilidad debe ser cumplido por todo habitante de la República."
54,3,cumplimiento_de_las_leyes_y_normas,A,Cumpliendo las leyes y normas tendremos mejor convivencia y evitaremos conflicto.
55,3,cumplimiento_de_las_leyes_y_normas,P,Sin comentarios
58,3,cumplimiento_de_las_leyes_y_normas,P,"los ciudadanos deben cumplir con las leyes y normas establecidas, para asi tener una equidad en el pueblo"
59,3,cumplimiento_de_las_leyes_y_normas,A,Que las personas seamos más participe como ciudadano.
63,3,cumplimiento_de_las_leyes_y_normas,A,es responsabilidad de todos y cada uno cumplir y asegurar que se cumplan.
65,3,cumplimiento_de_las_leyes_y_normas,A,que todos los ciudadanos debemos respetar las normas y leyes y la constitucion
75,3,cumplimiento_de_las_leyes_y_normas,A,Si exigimos derechos también deberes.
78,3,cumplimiento_de_las_leyes_y_normas,A,Para el resguardo del orden social y el respeto entre las personas.
79,3,cumplimiento_de_las_leyes_y_normas,A,"Necesario para mantener un orden, entendiendo que las leyes y normas son para nosotros y por nosotros."
80,3,cumplimiento_de_las_leyes_y_normas,A,xxxxx
81,3,cumplimiento_de_las_leyes_y_normas,A,sin comentarios
86,3,cumplimiento_de_las_leyes_y_normas,A,Acatar de manera voluntaria al marco que regula la convivencia social como una manera de establecer las directrices necesarias para nuestra autodeterminación.
87,3,cumplimiento_de_las_leyes_y_normas,A,"Extranjero que cometa delito, sera deportado a su país de origen. Estafas y colusiones cometidas por empresas, que tengan castigo de cárcel severo"
91,3,cumplimiento_de_las_leyes_y_normas,A,que todos seamos iguales ante la ley y que se cumplan las sentencias.-
94,3,cumplimiento_de_las_leyes_y_normas,P,Inculcar la rectitud.
98,3,cumplimiento_de_las_leyes_y_normas,A,Permite el funcionamiento ordenado de la sociedad al someterse  cada ciudadano al ordenamiento jurídico.
104,3,cumplimiento_de_las_leyes_y_normas,A,Si existen leyes son para respetarlas y cumplirlas todos debemos hacernos responsables de ello.
