idEla,tema,concepto,acuerdo,fundamento
29,3,cumplimiento_de_obligaciones_fiscales,A,es necesario que como ciudadanos podamos dar cumplimientos
36,3,cumplimiento_de_obligaciones_fiscales,A,"Toda contribución implica deber y todo deber, es una obligación. En tal sentido, el cumplimiento efectivo de este deber, implica mejorar la implementación de políticas de Estado. por otra parte, a mayores ingresos (utilidad) mayor contribución."
55,3,cumplimiento_de_obligaciones_fiscales,A,Sin comentarios
56,3,cumplimiento_de_obligaciones_fiscales,A,"Cada empresario  o microempresario debe pagar o estar al día con sus impuesto, todo esto para que el estado quede conforme."
63,3,cumplimiento_de_obligaciones_fiscales,A,"Entidades y empresas no deben abusar y no deben actuar por sobre la Ley, debe existir transparencia en empresas privadas también."
78,3,cumplimiento_de_obligaciones_fiscales,A,"Es importante para las personas pero sobre todo para las empresas , ya que con estos recursos  se subsidia educación, salud, vivienda, etc."
81,3,cumplimiento_de_obligaciones_fiscales,A,sin comentarios
85,3,cumplimiento_de_obligaciones_fiscales,A,"Porque todas las garantías o exigencias del estado, se deben financiar."
86,3,cumplimiento_de_obligaciones_fiscales,A,"El pago de tributo debe ser equitativo en relación a los ingresos de cada persona, sea natural o jurídica."
95,3,cumplimiento_de_obligaciones_fiscales,A,"Un estado se construye en base al aporte de todos,"
100,3,cumplimiento_de_obligaciones_fiscales,P,El país depende de estos ingresos para desarrollar todas las políticas públicas cuyo objetivo principal es alcanzar el justo desarrollo del país.
126,3,cumplimiento_de_obligaciones_fiscales,A,"COMO CONTRAPARTIDA POR LOS DERECHOS SOCIALES, DEBEMOS CONTRIBUIR A SU FINANCIAMIENTO."
136,3,cumplimiento_de_obligaciones_fiscales,A,Contribuye al bienestar común y a la equidad.
142,3,cumplimiento_de_obligaciones_fiscales,A,"Para poder asegurar que el estado y los ciudadanos cumplan sus obligaciones fiscales, las instituciones del estado tienen el deber de dar cumplimiento fiscal a sus tareas."
154,3,cumplimiento_de_obligaciones_fiscales,A,"Por parte de ciudadanos, empresas, instituciones religiosas y otros."
159,3,cumplimiento_de_obligaciones_fiscales,A,mas fiscales. municipios.
164,3,cumplimiento_de_obligaciones_fiscales,A,Es imprescindible obligar a los ciudadanos que tomen cargos publicos el responder por lo hecho durante el ejercicio de esa función.
169,3,cumplimiento_de_obligaciones_fiscales,A,PAGO DE TRIBUTOS DE TODAS LAS PERSONAS NATURALES Y JURIDICAS
171,3,cumplimiento_de_obligaciones_fiscales,P,todos debemos aportar a la mantención de nuestra sociedad
177,3,cumplimiento_de_obligaciones_fiscales,A,Es imperativo que personas y empresas entreguen un impuesto de acuerdo a la renta que perciben.
178,3,cumplimiento_de_obligaciones_fiscales,A,"Esencial para financiamiento del Estado en el caso de tributos. Fijación de sanciones a la evasión y restar elusión, en especial los de mayores recursos."
181,3,cumplimiento_de_obligaciones_fiscales,A,Todos de acuerdo
194,3,cumplimiento_de_obligaciones_fiscales,A,le da estabilidad a la nacion.
221,3,cumplimiento_de_obligaciones_fiscales,A,UNANIME declarar fortuna y pagar respectivo impuesto relacionado proporcionalmente.
229,3,cumplimiento_de_obligaciones_fiscales,P,No todos creían que deba ser algo que esté en la constitución.
232,3,cumplimiento_de_obligaciones_fiscales,A,"Hemos elegido los conceptos en función de las carencias que hoy tiene nuestra sociedad, entendiendo que existen otros que la disposición institucional actual ya contempla."
240,3,cumplimiento_de_obligaciones_fiscales,P,"Revisar y garantizar que las obligaciones fiscales se cumplan, como una retribución al país, particularmente por parte de privados y empresas."
245,3,cumplimiento_de_obligaciones_fiscales,P,Porque tenemos que cumplir las obligaciones fiscales.
250,3,cumplimiento_de_obligaciones_fiscales,A,"Es deber de toda persona natural y jurídica el cumplimiento de las obligaciones fiscales que permiten financiar iniciativas sociales, generar crecimiento y desarrollo del Estado."
261,3,cumplimiento_de_obligaciones_fiscales,A,deber y responsabilidad de todos
287,3,cumplimiento_de_obligaciones_fiscales,A,es un deber cumplir con las obligaciones y responsabilidades públicas. Es la participación ciudadana mínima para permitir que el estado exista.
289,3,cumplimiento_de_obligaciones_fiscales,A,Tenemos el deber de cumplir con las exigencias patrimoniales dirigidas a recaudar los fondos públicos para el gasto social.
297,3,cumplimiento_de_obligaciones_fiscales,A,Cada individuo tiene la obligación  de cumplir fielmente las cargas y deberes legítimamente impuestos por el Estado en beneficio de la nación toda.
317,3,cumplimiento_de_obligaciones_fiscales,A,Que el Estado cumpla con sus obligaciones con los ciudadanos
320,3,cumplimiento_de_obligaciones_fiscales,A,"Dado los últimos acontecimientos, se deben eliminar las malas prácticas y hechos corruptos. La constitución debe crear la conciencia de deber de aportar al desarrollos del país por medio de la tributación de sus ciudadanos."
328,3,cumplimiento_de_obligaciones_fiscales,P,pagar las contribuciones e impuestos
340,3,cumplimiento_de_obligaciones_fiscales,A,"pagar los impuestos asegurar el bienestar para todos esa obligatorio y nos dará mejor salud y educación asegurando una buena fiscalización de las megas empresas , y de algunos patrimonios personales"
344,3,cumplimiento_de_obligaciones_fiscales,A,"Al todos cumplir con este deber, aportamos para el sistema solidario y equitativo. Se entiende que todos actúan con probidad."
347,3,cumplimiento_de_obligaciones_fiscales,A,5.-Contempla sanciones efectivas al incumplimiento.
368,3,cumplimiento_de_obligaciones_fiscales,A,"Todos los funcionarios públicos deberán cumplir eficientemente sus funciones, para lo cual al momento de diseñar sus cargos se debe acompañar un manual de funciones, procedimientos, organigrama y flujo de comunicación. Esto debe ser publicado para que la población sepa cómo funciona la estructura pública."
370,3,cumplimiento_de_obligaciones_fiscales,A,Solventa los derechos de los ciudadanos.
377,3,cumplimiento_de_obligaciones_fiscales,A,Una correcta política tributaria que garantice que el Estado recaude fondos en base a las capacidades individuales y de instituciones o corporaciones en función de una distribución en torno al bien común.
378,3,cumplimiento_de_obligaciones_fiscales,A,Considerado por todos como un deber y responsabilidad que debe ser cumplida por todos los chilenos
383,3,cumplimiento_de_obligaciones_fiscales,A,"Es una responsabilidad que tenemos como ciudadanos y que nos asegura el adecuado funcionamiento del estado. Es importante que en caso de delitos o fraude al fisco, las personas también estemos en igualdad de condiciones con las empresas y los grupos económicos."
386,3,cumplimiento_de_obligaciones_fiscales,A,Las leyes y justicia deben ser aplicadas para todos de forma pareja y sin excepción
396,3,cumplimiento_de_obligaciones_fiscales,A,el incumplir con las obligaciones fiscales nos recae en un futuro en nosotros finalmente
