idEla,tema,concepto,acuerdo,fundamento
20,3,cumplimiento_de_tratados_y_obligaciones_internacionales,A,"No sólo de los tratados tradicionales, sino de todos los convenios y acuerdos sobre derechos humanos, de los trabajadores, etc."
29,3,cumplimiento_de_tratados_y_obligaciones_internacionales,A,se deben respetar íntegramente los tratados internacionales
54,3,cumplimiento_de_tratados_y_obligaciones_internacionales,A,Creemos que es necesario mantener la paz con nuestros países hermanos y apoyar y cooperar con todo lo que tenga que ver con la paz mundial.
65,3,cumplimiento_de_tratados_y_obligaciones_internacionales,P,todo pais debe cumplir con sus tratados y obligaciones para buena convivencia con los paises vecinos
66,3,cumplimiento_de_tratados_y_obligaciones_internacionales,P,*Debate entre participantes  Chile debería  tener tratados al día para poder tener una alianza con los demás países.
68,3,cumplimiento_de_tratados_y_obligaciones_internacionales,A,Es fundamental  consolidar los tratados y obligaciones internacionales para que Chile sea un país integrado a la comunidad internacional  y expanda sus relaciones diplomáticas.
75,3,cumplimiento_de_tratados_y_obligaciones_internacionales,A,Buen cumplimiento de exigencias de los tratados.
76,3,cumplimiento_de_tratados_y_obligaciones_internacionales,A,obligación cumplimiento convenios internacionales ejemplo OIT.
79,3,cumplimiento_de_tratados_y_obligaciones_internacionales,A,"Existen tratados mundiales que resguardan los derechos básicos y fundamentales. Debemos respetar los tratados mundiales, así como ciudadanos respetamos nuestra constitución."
80,3,cumplimiento_de_tratados_y_obligaciones_internacionales,A,xxxxxx
81,3,cumplimiento_de_tratados_y_obligaciones_internacionales,A,No al TPP
86,3,cumplimiento_de_tratados_y_obligaciones_internacionales,A,"Respetar y ser respetado, un valor que debe haber con el resto del mundo, y de carácter reciproco."
95,3,cumplimiento_de_tratados_y_obligaciones_internacionales,D,"Cumplimiento a los tratados internacionales, es la única forma de crear una comunidad internacional en la que todos tengamos los mismos deberes"
96,3,cumplimiento_de_tratados_y_obligaciones_internacionales,A,"Sobre todo los convenioS de la OIT, DD.HH y código de Bustamante."
136,3,cumplimiento_de_tratados_y_obligaciones_internacionales,A,Como nación debemos cumplir con nuestras responsabilidades internacionales para mantener una sana convivencia.
139,3,cumplimiento_de_tratados_y_obligaciones_internacionales,A,"Los tratados internacionales se deben respetar y cumplir , tanto en hacer valer los derechos consignados como respetar los ajenos de terceros."
140,3,cumplimiento_de_tratados_y_obligaciones_internacionales,A,Deber tanto del ciudadano y el Estado. Que exista un mecanismo que le dé responsabilidad a quien las infrinja
148,3,cumplimiento_de_tratados_y_obligaciones_internacionales,A,EL ESTADO CHILENO DEBE SOMETERSE A LAS OBLIGACIONE SQUE DEMANDEN LOS TRATADOS Y ACUERDOS INTERNACIONALES.
153,3,cumplimiento_de_tratados_y_obligaciones_internacionales,A,Pensamos que lo que pasa con Bolivia no nos puede volver a pasar y para eso debemos renovar periódicamente los tratados y compromisos con otros países.
