idEla,tema,concepto,acuerdo,fundamento
8,2,de_los_pueblos_indígenas,A,se debe reconocer el derecho a la diversidad cultural de los pueblos indígenas y al reconocimiento de parte del Estado de su existencia de acuerdo a sus tradiciones.
17,2,de_los_pueblos_indígenas,A,"Igualdad ante la ley, que sean indígenas en nada hace que sean diferentes y que tengan que ser discriminados y aislados de la sociedad. Igualdad"
29,2,de_los_pueblos_indígenas,A,"cumplimiento de los tratados internacionales, son modificaciones o decretos que usen el concepto de no vinculante"
65,2,de_los_pueblos_indígenas,A,que los pueblos indigenas sean respetados en todos sus derechos
72,2,de_los_pueblos_indígenas,A,Deben estar declarados y consagrados en la constitución. En acuerdo.
76,2,de_los_pueblos_indígenas,A,estado plurinacional.
89,2,de_los_pueblos_indígenas,A,"Tienen derecho a ser reconocidos y respetados por el Estado, a que le devuelvan sus Tierras."
118,2,de_los_pueblos_indígenas,P,Todos los pueblos tienen derechos a ser reconocidos.
141,2,de_los_pueblos_indígenas,D,La mejor forma de reconocer a los pueblos indígenas es como ciudadanos en la constitución. El problema indígena debe ser abordado en una ley simple y no en la constitución.
144,2,de_los_pueblos_indígenas,A,"Es una comunidad nativa parte de chile, no olvidar que son ellos quienes estaban aquí hace más de 500 años. Por lo tanto se deben reivindicar todos sus derechos y costumbres."
164,2,de_los_pueblos_indígenas,A,"Los pueblos originarios deben tener derechos constitucionales de acuerdo a su cosmovisión, a sus costumbres, su producción cultural, relaciones interpersonales. La constitución política debe reconocerlos y respetarlos."
178,2,de_los_pueblos_indígenas,A,"La situación actual amerita reconocer la pluriculturalidad de nuestro país, atender las necesidades de dichos pueblos, adecuando nuestra juridicidad a dicha realidad, por tanto se  hace necesario buscar los mecanismos para enfrentar esta realidad pendiente."
198,2,de_los_pueblos_indígenas,A,Una nueva Constitución debe contemplar a nuestras etnias originarias para no seguir repitiendo los errores que vivimos hoy.
200,2,de_los_pueblos_indígenas,A,Identidad cultural e integración tienen que haber leyes que respeten las autonomías de las naciones y mini estados.
205,2,de_los_pueblos_indígenas,A,"- Representatividad en el congreso por un sistema de cuoteo - Permitir elegir mecanismos de representatividad que representen su cosmovisión -Tener espacios de autonomía territorial, política y social que representen y den continuidad a sus tradiciones -El estado debe reconocerse como plurinacional"
206,2,de_los_pueblos_indígenas,A,Los pueblos originarios son los primeros habitantes y la base de nuestra identidad
207,2,de_los_pueblos_indígenas,A,No se puede pretender una plurinacionalidad y multiculturalidad sin garantizarlos
210,2,de_los_pueblos_indígenas,A,"Reconocer su cultura, lengua y costumbres"
232,2,de_los_pueblos_indígenas,A,Como derecho universal.
244,2,de_los_pueblos_indígenas,A,8 de 10 participantes votaron por este concepto.
255,2,de_los_pueblos_indígenas,A,"Asegurar el reconocimiento de los derechos sociales, económicos, culturales y ambientales de los pueblos originarios y garantizados en los Convenios Internacionales"
