idEla,tema,concepto,acuerdo,fundamento
133,2,de_petición_ante_las_autoridades,A,hoy ante los hechos de corrupción se debe analizar las acciones de cada autoridad.
642,2,de_petición_ante_las_autoridades,A,La constitución debiera especificar claramente como las personas en forma individual o grupal tengan la posibilidad de algún tipo de petición que ayude a mejorar su bienestar social.
1075,2,de_petición_ante_las_autoridades,A,accceso directo hablar con la autoridad competente.
1274,2,de_petición_ante_las_autoridades,A,- Revocar autoridades electas - Referéndum revocatorio - Derogar una ley - Iniciativa Legal Ciudadana
1328,2,de_petición_ante_las_autoridades,A,Hacer llegar la información para que el gobierno desarrolle políticas públicas de acuerdo a las demandas y necesidades de los ciudadanos. Que exista una mayor cercanía entre la política y el ciudadano.
1575,2,de_petición_ante_las_autoridades,A,"Participación Ciudadana, Vinculante"
1618,2,de_petición_ante_las_autoridades,A,QUE SEAMOS ATENDIDOS CON RESPETO POR NUESTRAS AUTORIDADES Y SE PRIORICE A PROFESIONALES LOCALES PARA PUESTOS DE TRABAJOS LOCALES
1855,2,de_petición_ante_las_autoridades,A,"Cuando uno se dirija a sus autoridades, éstas sean accesibles y que estén en contacto con la realidad de su comunidad y sus vecinos."
2435,2,de_petición_ante_las_autoridades,A,Que se le pueda dar a conocer nuestras necesidades e inquietudes de manera más fluida y sin trámites tan engorrosos.
2759,2,de_petición_ante_las_autoridades,A,no muchas veces somos escuchados ho tomadas encuenta nuestras peticiones por nuestra condicion
2789,2,de_petición_ante_las_autoridades,A,sin burocracia
2894,2,de_petición_ante_las_autoridades,A,"Sin ley de lobby, no más burocracia, que tengamos un país más agilizador de trámites, sin tantas vueltas para lograr nuestros objetivos"
3204,2,de_petición_ante_las_autoridades,A,Que nos escuchen.
3444,2,de_petición_ante_las_autoridades,A,DERECHO A LA DEMOCRACIA DIRECTA Y VALIDAR LA OPINIÓN DEL ESTADO CIVIL
3637,2,de_petición_ante_las_autoridades,A,"Ser recibido, escuchado y considerado."
3753,2,de_petición_ante_las_autoridades,A,"que allá mas cercanía  a la ciudadanía donde sea escuchada ,con dignidad y respeto ante las situaciones adversas."
3782,2,de_petición_ante_las_autoridades,A,Se necesita mayor cercanía de las autoridades y que den respuesta con prontitud ante las peticiones.
3931,2,de_petición_ante_las_autoridades,A,Con amplitud y con obligación de pronunciamiento oportuna y rápida.
4104,2,de_petición_ante_las_autoridades,A,"Derecho de que cada ciudadano pueda relacionarse con las autoridades, promoviendo el desarrollo y ejecución de proyectos que para colectivos humano sean necesarios. Deberán existir conductos formales que logren que este vínculo efectivamente se lleve adelante."
4463,2,de_petición_ante_las_autoridades,A,Solicitar a la autoridad respuestas
4491,2,de_petición_ante_las_autoridades,A,.
4786,2,de_petición_ante_las_autoridades,A,1. Mas espacios y tiempos para dar respuesta a las necesidades de la gente.
5515,2,de_petición_ante_las_autoridades,A,Que las autoridades escuchen las peticiones de las comunidades y que tengan la obligación de responder a las peticiones estas sean a favor o en contra.
5797,2,de_petición_ante_las_autoridades,A,que las autoridades que representan a la ciudadanía cumplan sus deberes de escuchar y cumplir con las peticiones y necesidades de los ciudadanos.
6204,2,de_petición_ante_las_autoridades,A,Escuchar a las personas que realmente lo necesitan
6427,2,de_petición_ante_las_autoridades,A,Nadie puede imponer alguna autoridad.
6590,2,de_petición_ante_las_autoridades,A,"Es fundamental que se perfeccione diametralmente este derecho, para que no sea solo una norma programática, sino que se traduzca en una posibilidad concreta de hacer partícipe a las autoridades de nuestros problemas, señalando además el deber obligatorio de respuesta, con sanciones reales."
6660,2,de_petición_ante_las_autoridades,A,"Referendum, y plebiscitos"
7248,2,de_petición_ante_las_autoridades,A,"Las autoridades deben garantizarle a todas las personas el derecho a proporcionar información de interés, en especial sobre uso de recursos públicos"
7664,2,de_petición_ante_las_autoridades,A,"Lograr que las iniciativas populares, con ciertos requisitos, puedan ser iniciativa de ley, solucionar dudas o problemas a traves de una consulta o plebiscito"
8359,2,de_petición_ante_las_autoridades,A,Se entiende no solo como un derecho a la información a través de la transparencia de las autoridades sino a la interpelación y el reclamo respecto a la gestión.
8368,2,de_petición_ante_las_autoridades,A,Mayor incidencia de los ciudadanos. Menos burocracia estatal. Más facilidades a la participación. Falta más información.
8688,2,de_petición_ante_las_autoridades,A,"Mayor accesibilidad, facilitación de acceso. Que no sea tan burocrático."
8800,2,de_petición_ante_las_autoridades,A,"QUE LAS AUTORIDADES NO PASEN OCUPADOS POR LA AGENDA SI NO POR LOS CIUDADANOS, QUE LOS CIUDADANOS SAN MAS ESCUCHADOS Y ESTO COMO UN DERECHO NO COMO UN FAVOR. QUE LA CONSTITUCIÓN OBLIGUE LA REALIZACIÓN DE CABILDOS VINCULANTES CON ACTORES PERTINTES A SU CARTERA"
8847,2,de_petición_ante_las_autoridades,A,MUY IMPORTANTE YA QUE UNO PUEDE EXPONER SUS PROBLEMAS O HACER UNA CARTA A LA PRESIDENTA Y EXIGIR ALGUNA SOLUCION DIRECTA A LOS PROBLEMAS.
