idEla,tema,concepto,acuerdo,fundamento
24,2,de_propiedad,A,el gobierno debe velar por todo el sacrificio del trabajador de toda una vida (indemnizar)
43,2,de_propiedad,A,Todo chileno debería acceder a la casa propia
98,2,de_propiedad,A,"El estado debe  garantizar  la inviolabilidad del patrimonio, sea doméstico o productivo."
110,2,de_propiedad,A,"Base fundamental para la organización de la sociedad, y el desarrollo social y económico."
118,2,de_propiedad,A,Derecho a la propiedad privada y explotación de la misma dentro del marco legal. No a la expropiación indebida del estado
141,2,de_propiedad,A,Derecho de propiedad no absoluto. Expropiación con indemnización y justificada por el bien común y en beneficio de la función social de la propiedad. La sobre regulación de la propiedad en la Constitución puede limitar la intervención del Estado en áreas claves e importantes.
219,2,de_propiedad,A,"debe estar en la constitución resguardándose este importante derecho s debe seguir reconociendo que la persona tiene la capacidad que de ser propietario de un determinado bien, y con ellos tiene sobre ese bien la capacidad d ejercer  todas las atribuciones del dominio (el uso disposición y goce)."
220,2,de_propiedad,A,Todos tienen derecho de disponer libremente del fruto de su trabajo y definir su propio proyecto de vida.
222,2,de_propiedad,A,"A poseer bienes de diferente naturaleza (inmuebles, intelectuales, materiales…) y que se respeten por provenir del esfuerzo personal."
229,2,de_propiedad,A,Pero que no pase por sobre los derechos sociales.
242,2,de_propiedad,A,Mayor seguridad personal y de los bienes y empresas. Combate efectivo a la delincuencia.
265,2,de_propiedad,A,"Por uso historico, productivo, social, habitacional y cultural para pescadores artesanales poseer una vivienda digna, de calidad y satisfaga las necesidades de la familia."
273,2,de_propiedad,A,Es fundamental. De no existir viola lo ganado personalmente.
287,2,de_propiedad,A,Todas las personas tiene derecho a la propiedad privada y al acceso y conversación de la propiedad en igualdad de condiciones.
297,2,de_propiedad,A,"Toda persona tiene derecho a la propiedad, tanto material como intelectual, siendo deber fundamental del Estado el proteger este derecho, garantizado el ejercicio libre  seguro del dominio y otros derechos reales"
315,2,de_propiedad,A,"En este cabildo todos los puntos fueron discutidos y sometidos a votación, los que aqui se registran son los que obtuvieron las 7 primeras mayorías."
320,2,de_propiedad,A,El derecho de propiedad debe ser una extensión de la libertad individual y es fundamental para el desarrollo económico de nuestra sociedad.
389,2,de_propiedad,A,Que el Estado recupere la propiedad de los recursos naturales.  Que la propiedad quede supeditada al bien común y al ejercicio legítimo y no abusivo de los derechos.  Que se reconozca la propiedad colectiva y se promuevan los emprendimientos que miren el bien común por sobre el individual
413,2,de_propiedad,A,"Es importante que se garantice el derecho al respeto de lo que uno se ha ganado con el esfuerzo. Sin embargo, entendemos y estamos de acuerdo con la posibilidad de expropiación en los casos en que esté absolutamente justificado el bien común"
424,2,de_propiedad,P,Que se garantice que mis bienes sean respetados.  Principalmente la propiedad intelectual
426,2,de_propiedad,A,"Mantener el derecho de propiedad privada, en los términos que lo consagra la Constitución actual, nos parece relevante, ya que asegura la generación de progreso material y orden civil."
462,2,de_propiedad,A,"Reconocer a los Pueblos Originarios , la propiedad de sus tierras y control sobre los recursos Naturales, Conforme a la Deuda Histérica del Estado con los Pueblos Originarios."
466,2,de_propiedad,A,Para mantener este derecho y a su vez que se pueda mejorar las posibilidades y se tengan las mismas oportunidades.
490,2,de_propiedad,A,Permite que las personas accedan a bienes propios gracias a su creatividad e iniciativa para generar riqueza y bienes tangibles e intangibles
493,2,de_propiedad,A,Se debe reconocer que las personas tienen la capacidad de ser propietarios de un determinado bien.
525,2,de_propiedad,A,Consideramos que es un derecho que debe estar en la constitución.
527,2,de_propiedad,A,"Este derecho debe quedar subordinado al bien común y delimitado por su función social, entendida ésta como la satisfacción de las necesidades colectivas en términos económicos, sociales, culturales y ambientales, en función del PIDESC. Ello implica la prevalencia del bien común sobre el individual."
553,2,de_propiedad,A,Se debe asegurar el derecho a acceder a la propiedad y a mantener la propiedad ya adquirida.
557,2,de_propiedad,D,Hay una moción parcial de incluirlo como algo prioritario. Parte del grupo considera que es importante pero no prioritario. Parte del grupo considera que no es importante.
571,2,de_propiedad,A,Es esencial para la dignidad del ser humano. Cada persona tiene derecho de hacerse dueño del producto de su trabajo y de aquello que recibe legítimamente de acuerdo a las leyes.
592,2,de_propiedad,A,de acuerdo ya que es necesario el resguardo del derecho a la propiedad.
597,2,de_propiedad,A,"La persona tiene la capacidad de ser propietario de un bien, y con ello ejercer todas las atribuciones del dominio."
663,2,de_propiedad,D,Dos visiones: que el Estado asegure y respete la propiedad de cada uno. O bien que el derecho a la propiedad se vea limitado si se trata del Bien Común o interés social (por lo que podría eventualmente expropiar).
671,2,de_propiedad,A,Porque incentiva el desarrollo de la persona y de la sociedad. Derecho de administrar los bienes para su mejor uso. Derecho a que el esfuerzo personal tenga una retribución justa.
694,2,de_propiedad,A,"Derecho garantizado por el Estado, de todas las personas a adquirir bienes materiales o inmateriales, a mantenerlos y hacer con ellos todo lo que sea de su libre decisión, mientras sea acorde con la moral y las buenas costumbres."
701,2,de_propiedad,A,"Asegura la propiedad de cada uno y resguarda la paz social, debiendo solo estar limitada por el bien común y al derecho ajeno en su casa."
