idEla,tema,concepto,acuerdo,fundamento
31,3,de_satisfacer_cargas_públicas,A,el servicio público podría ser menos cuestionado
85,3,de_satisfacer_cargas_públicas,A,"Deber de Votar, Sufragar  No es solo un derecho, también es una carga o deber. No debería ser voluntario contrapartida del derecho a participar"
112,3,de_satisfacer_cargas_públicas,P,"SE DISCUTE SOBRE EL CONCEPTO DE “CARGAS PÚBLICAS”, SE ENTIENDE COMO RESPONSABILIDAD CIUDADAN PERO SE ASOCIA TAMBIÉN A CARGO PÚBLICO Y SU DESEMPEÑO RESPONSABLE"
139,3,de_satisfacer_cargas_públicas,A,Se tiene que pagar los impuestos y cargas publicas ya que es una forma de asegurar al erario fiscal de el funcionamiento de todos los programas públicos.
169,3,de_satisfacer_cargas_públicas,A,"SOBRE TODO, EDUCACIÓN, SALUD Y PREVISION"
189,3,de_satisfacer_cargas_públicas,A,Contraprestación que deben efectuar los ciudadanos frente al Estado y a la comunidad
232,3,de_satisfacer_cargas_públicas,A,"Hemos elegido los conceptos en función de las carencias que hoy tiene nuestra sociedad, entendiendo que existen otros que la disposición institucional actual ya contempla."
279,3,de_satisfacer_cargas_públicas,A,"RESPONDER MADURAMENTE A CUMPLIR CON VOTAR, PAGAR NUESTROS IMPUESTOS.NO EVADIR NUESTRA RESPONSABILIDAD COMO CIUDADANO O SERVIDOR PUBLICO"
287,3,de_satisfacer_cargas_públicas,A,es un deber cumplir con las obligaciones y responsabilidades públicas. Es la participación ciudadana mínima para permitir que el estado exista.  Hay que velar por el interés nacional.
302,3,de_satisfacer_cargas_públicas,A,"Debemos cumplir con las obligaciones que nos impone el Estado para permitir que el sistema funcione: tributos, participación, sufragio, servicio militar y varios más."
368,3,de_satisfacer_cargas_públicas,A,"El Estado debe garantizar la mantención digna de chilenos en situación especial, como menores vulnerados, enfermos de patologías mentales, discapacitados, adultos mayores abandonados, toda población vulnerada en sus derechos. Para lo cual se requiere un considerable aporte económico, que se puede disminuir si se implementa una política de aporte tributario desde las empresas privadas."
419,3,de_satisfacer_cargas_públicas,A,Que existan cargas publicas iguales (sin diferencias por recursos)
422,3,de_satisfacer_cargas_públicas,A,"todos y todas debemos cumplir nuestras responsabilidades cívicas, como una forma de fortalecer el sistema democratico"
423,3,de_satisfacer_cargas_públicas,A,que los ciudadanos deben contribuir a la sociedad con obligaciones como votar o hacerse parte de la vida pública.
484,3,de_satisfacer_cargas_públicas,A,acuerdo unànime
553,3,de_satisfacer_cargas_públicas,A,Son deberes frente a la comunidad para la satisfacción del bien común.
598,3,de_satisfacer_cargas_públicas,A,"Creemos que debería haber una mayor fiscalización en las áreas de la salud, no solo a instrumental y a la estructura de los establecimientos, sino también a los profesionales. Proponemos que se evalúen a los funcionarios públicos y se suban los requisitos para ser uno"
608,3,de_satisfacer_cargas_públicas,A,"En nuestro País debe existir la igual repartición de los tributos en proporción a las rentas, no deben existir tributos desproporcionados o injustos."
653,3,de_satisfacer_cargas_públicas,A,"Organizadamente, las personas deben ser colaboradoras del Estado en resolver problemas públicos, como delincuencia habitual, drogadicción, etc,"
687,3,de_satisfacer_cargas_públicas,P,"Hubo desacuerdo, puesto que para algunos significa mayor atribución por parte del ejecutivo y generaría cierta dependencia. Para otros sería fundamental incluirlo puesto que garantizaría de manera efectiva los derechos de las personas, equilibrando el desarrollo del sector público y privado."
701,3,de_satisfacer_cargas_públicas,A,El ciudadano debe cumplir con sus obligaciones para el Estado. En este punto creemos importante la discusión del voto obligatorio para los inscritos.
714,3,de_satisfacer_cargas_públicas,A,"Quien recibe beneficios del estado, debe asumir su parte de costos, y coadyuvar a que el estado pueda realizar sus funciones, especialmente en áreas no rentables."
723,3,de_satisfacer_cargas_públicas,A,Deber de pagar impuestos
746,3,de_satisfacer_cargas_públicas,A,todos tienen derechos ejercer en igualdad de oportunidades un trabajo con horario y remuneración conocida y convenida en un contrato
789,3,de_satisfacer_cargas_públicas,A,Todos los derechos anteriores deben ser garantizados a través de impuestos proporcionales y equitativos.
804,3,de_satisfacer_cargas_públicas,A,Obligación de cumplir con los deberes cívicos que impone el Estado para resguardar el Bien Común.
855,3,de_satisfacer_cargas_públicas,A,"Ante necesidades de cobertura de derechos, los profesionales deben cubrir vacantes del sector público y cumplir con obligaciones fiscales."
871,3,de_satisfacer_cargas_públicas,A,"Hacerse cargo de las necesidades y deficiencias en los servicios básicos, servicios públicos y recursos naturales."
986,3,de_satisfacer_cargas_públicas,A,"deber de responder a las responsabilidades ciudadanas, voto, impuestos, ser vocal de mesa, et."
