idEla,tema,concepto,acuerdo,fundamento
571,3,deber_de_transparencia_en_los_actos_de_gobierno,A,Toda la ciudadanía debe estar oportunamente informada de los actos de las autoridades que ha elegido para que las represente.
1108,3,deber_de_transparencia_en_los_actos_de_gobierno,A,El gobierno debe actuar de manera transparente para que la ciudadanía esté informada.
1715,3,deber_de_transparencia_en_los_actos_de_gobierno,A,Todo ciudadano debe estar oportunamente  informada del actuar de sus autoridades que ha  elegido para su representacion.
2130,3,deber_de_transparencia_en_los_actos_de_gobierno,A,Toda la ciudadanía debe estar oportunamente informada de los actos de las autoridades que ha elegido para que las represente.
2160,3,deber_de_transparencia_en_los_actos_de_gobierno,A,Implica deber del Estado y gobierno de informar a la ciudadania en los actos de sus representantes
2773,3,deber_de_transparencia_en_los_actos_de_gobierno,A,Toda la ciudadanía debe estar oportunamente informada de los actos de las autoridades que ha elegido para que las represente.
4251,3,deber_de_transparencia_en_los_actos_de_gobierno,A,Toda la ciudadanía debe estar oportunamente informada de los actos de las autoridades que ha elegido para que las represente.
4335,3,deber_de_transparencia_en_los_actos_de_gobierno,A,Se debe estar informado de los actos de las autoridades
4904,3,deber_de_transparencia_en_los_actos_de_gobierno,A,Toda la ciudadanía debe estar oportunamente informada de los actos de las autoridades que ha elegido para que las represente.
6277,3,deber_de_transparencia_en_los_actos_de_gobierno,A,Los actos deben ser informados a la ciudadania
6641,3,deber_de_transparencia_en_los_actos_de_gobierno,A,Toda la ciudadanía debe estar oportunamente  informada de los actos de las autoridades que ha elegido para que las represente.
7023,3,deber_de_transparencia_en_los_actos_de_gobierno,A,Toda la ciudadanía debe estar oportunamente informada de los actos de las autoridades que ha elegido para que las represente
7037,3,deber_de_transparencia_en_los_actos_de_gobierno,A,Toda la ciudadanía debe estar oportunamente informada de los actos de las autoridades que ha elegido para que las represente.
7396,3,deber_de_transparencia_en_los_actos_de_gobierno,A,Toda la ciudadanía debe estar oportunamente informada de los actos de las autoridades que ha elegido para que las represente
7891,3,deber_de_transparencia_en_los_actos_de_gobierno,A,Toda la ciudadanía debe estar oportunamente informada de los actos de las autoridades que se ha elegido para representarnos
8223,3,deber_de_transparencia_en_los_actos_de_gobierno,A,Toda la ciudadanía debe estar oportunamente informada de los actos de las autoridades que ha elegido para que las represente
9012,3,deber_de_transparencia_en_los_actos_de_gobierno,A,El Estado debe informar oportunamente por los conductos correspondientes de los actos de sus autoridades
10446,3,deber_de_transparencia_en_los_actos_de_gobierno,A,La ciudadanía debe estar oportunamente informada de los actos de las autoridades que ha elegido para que los represente
10824,3,deber_de_transparencia_en_los_actos_de_gobierno,A,Toda la ciudadanía debe estar oportunamente informada de los actos de las autoridades que ha elegido para que las represente.
11284,3,deber_de_transparencia_en_los_actos_de_gobierno,A,Toda la ciudadanía debe estar oportunamente informada de los actos de las autoridades que ha elegido para que las represente.
11630,3,deber_de_transparencia_en_los_actos_de_gobierno,A,El gobierno tiene el deber  de informar y ser transparente en los actos de las autoridades
12077,3,deber_de_transparencia_en_los_actos_de_gobierno,A,Todos los actos de las autoridades deben ser informados a la ciudadania
12422,3,deber_de_transparencia_en_los_actos_de_gobierno,A,Toda la ciudadanía debe estar oportunamente informada de los actos de las autoridades que ha elegido para que las represente.
13014,3,deber_de_transparencia_en_los_actos_de_gobierno,A,Toda la ciudadanía debe estar oportunamente informada de los actos de las autoridades que ha elegido para que las represente.
13298,3,deber_de_transparencia_en_los_actos_de_gobierno,A,Todos los ciudadanos debe estar oportunamente informada de los actos de las autoridades que ha elegido para que las represente.
13419,3,deber_de_transparencia_en_los_actos_de_gobierno,A,Toda la ciudadanía de estar informada oportunamente de los actos de sus representantes.
13433,3,deber_de_transparencia_en_los_actos_de_gobierno,A,Toda la ciudadanía debe estar oportunamente informada de los actos de las autoridades que ha elegido para que las represente.
13800,3,deber_de_transparencia_en_los_actos_de_gobierno,A,Toda la ciudadanía debe estar oportunamente informada de los actos  de las autoridades que ha elegido para que las represente
14080,3,deber_de_transparencia_en_los_actos_de_gobierno,A,Todos los actos de las autoridades deben ser informados a la ciudadania
15521,3,deber_de_transparencia_en_los_actos_de_gobierno,A,Toda la ciudadanía debe estar oportunamente informada de los actos de las autoridades que ha elegido para que las represente.
