idEla,tema,concepto,acuerdo,fundamento
3,4,defensor_del_pueblo_ciudadano,A,Necesario para la defensa de los derechos de los consumidores
12,4,defensor_del_pueblo_ciudadano,A,Elegimos defensor del pueblo.
17,4,defensor_del_pueblo_ciudadano,A,la libre expresión del pueblo y l lucha contra las injusticias y desigualdades existirá siempre mientras no se haga caso a la voz del ciudadano.
19,4,defensor_del_pueblo_ciudadano,A,"Es necesario fortalecer actores principales, representantes directos de la ciudadania que conozcan sus reales necesidades."
20,4,defensor_del_pueblo_ciudadano,A,Una institución que pueda defender los derechos de todo ciudadano.
31,4,defensor_del_pueblo_ciudadano,A,sería una buena medida más local
33,4,defensor_del_pueblo_ciudadano,A,que sea uno por región y sea escogido por votación popular. que su obligación sea velar por el pueblo y tenga derecho a estar 3 años a cargo pero con opcion de destitución por falta de sus funciones.
46,4,defensor_del_pueblo_ciudadano,A,"Además de la defensoria penal publica, debería existir una defensoria penal para la victima."
48,4,defensor_del_pueblo_ciudadano,A,"Defensa y promoción de los derechos fundamentales en caso de vulneración. Particularmente, derechos de primera, segunda y tercera categoría."
55,4,defensor_del_pueblo_ciudadano,A,Sin comentarios
56,4,defensor_del_pueblo_ciudadano,A,"Esto es lo fundamental, para que así el pueblo se vea representado y se lleve un orden respecto del ciudadano"
58,4,defensor_del_pueblo_ciudadano,A,"que exista una persona que se encarga de defender al pueblo, abrirles los ojos e informarles de sus derechos y a la vez como defenderse"
61,4,defensor_del_pueblo_ciudadano,A,"Abogado, orientador, defensor del pueblo, ya sea de las empresas y autoridades."
66,4,defensor_del_pueblo_ciudadano,A,Todos deben ser representados de la misma manera.
67,4,defensor_del_pueblo_ciudadano,A,"• Con autoridad local para prevenir e impedir o sancionar los abusos de poder de distinto tipo, en las distintas realidades. • Que quienes asuman estos cargos cuenten con autoridad moral, credibilidad y respaldo ciudadano"
68,4,defensor_del_pueblo_ciudadano,P,Es necesario porque hay muchas  comunidades que no saben  cómo organizarse y proceder y nos dan un respaldo.
70,4,defensor_del_pueblo_ciudadano,A,Se requiere de alguien que efectivamente vele por los derechos de las instituciones y las personas en pos de las justicias para todos.
