idEla,tema,concepto,acuerdo,fundamento
8,1,democracia,A,es el mejor sistema de gobierno por cuanto reconoce que el poder radica en el pueblo  soberano.
9,1,democracia,P,"Si bien la voluntad del pueblo es ideal y deseable, en base al respeto a la voz y voto de todos, este principio ha sido manipulado por sectores políticos."
11,1,democracia,A,Ejercicio permanente y participativo.
13,1,democracia,A,Posibilidad de decidir colectivamente los asuntos públicos para el bien de todos los miembros de la sociedad.
17,1,democracia,A,"Hacer valer la democracia como se debe, aquella donde el pueblo tiene voz y es escuchado. Todos libres e iguales con una buena convivencia social. Que los representantes elegidos realmente se comprometan con los ciudadanos a los cuales representan y no se guíen por sus propios intereses."
20,1,democracia,A,"La democracia no sólo debe ser representativa, sino también participativa."
24,1,democracia,A,poder decidir y elegir como queremos vivir (república democrática) con claras separaciones de poderes del estado
29,1,democracia,A,"dar oportunidad a debatir, a opinar permite elegir nuestras autoridades"
31,1,democracia,A,creemos en la democracia.
33,1,democracia,A,"Derecho a opinar con libertad de expresión, para decidir quienes a nuestros ojos son aptos para gobernarnos. Permite que el pueblo sea escuchado y sus peticiones sean realizadas."
35,1,democracia,A,Soberanía del pueblo. Permite a todos participar e incidir libre e informadamente en los asuntos públicos según definamos colectivamente. Decisiones se tomen según lo que opine la mayoría respetando a minorías. Incluye la necesidad de educeducación cívica y mecanismos de control de representantes.
36,1,democracia,A,El sistema político de la Democracia permite defender la soberanía y el derecho del pueblo a elegir y controlar a sus gobernantes.
43,1,democracia,A,Todos somos importantes.
54,1,democracia,A,"Todos debemos participar, todos somos importantes en la toma de decisiones."
55,1,democracia,A,Democracia participativa debe ser uno de sus elementos fundantes.
57,1,democracia,A,es de suma importancia consagrar una nueva constitución democrática participativa y dejar de lado el carácter poco democrático de la constitución del 80.
61,1,democracia,A,"Que sea participativa, descentralizada, con mayor cantidad de plebiscitos; y para lograr esto debe haber una educación cívica."
63,1,democracia,A,Es la elección como persona para generar cambios mas allá de una votación. Es responsabilidad de cada ciudadano mantenerla.
65,1,democracia,A,"Las democracias son importantes para que los ciudadanos puedan expresar libremente sus ideas , sus valores y principios."
66,1,democracia,A,"Además de las elecciones de presidentes, senadores, etc. Las demás cosas deberían ser democráticas, como por ejemplo, la educación, la salud, que nosotros tengamos el derecho de decir cuál es mejor."
68,1,democracia,A,"Promover lo que significa vivir en un Estado de Democracia, que se trasmita por buenos pedagogos  integrando esta materia a la educación (comparando las distintas experiencias de la historia).Que la Democracia sea reflejada en todos los cargos públicos  .Potenciar organizaciones locales ."
72,1,democracia,A,"La Constitución actual no es democrática, no se respeta a las mayorías, no se sanciona efectivamente la injusticia. Dos personas eligen este principio"
75,1,democracia,A,"Transparencia, respeto de opinión, participación a nivel comunal, regional , nacional, responsabilidad cívica."
77,1,democracia,A,"Es un valor esencial siempre y cuando esté vinculado a los valores de la transparencia e Igualdad de derecho. Se discutió sobre la importancia de participar en los procesos eleccionarios, sobre la importancia del poder elegir cómo queremos vivir, y de decidir quiénes van a ser nuestros gobernantes."
78,1,democracia,A,"Encierra todos los valores que que remos incluir en la constitución, fundamento básica para hacer valer la voz del pueblo."
81,1,democracia,A,sin comentarios
82,1,democracia,A,"La ciudadanía es el eje fundamental de la Sociedad, participar nos permite construir el país que queremos y las decisiones que tomamos deben estar legitimadas por la gente."
85,1,democracia,A,"Incluye descentralización, como perfeccionamiento del sistema que tiene claves autoritarias."
86,1,democracia,A,"Participación de todos; Se vuelva a valorar en su contexto y que exista convivencia social en todas sus partes, son libres e iguales."
89,1,democracia,A,la constitución debe dar libertad para optar y elegir por principios propios
94,1,democracia,A,Hasta ahora el mejor de los sistemas.
95,1,democracia,A,"Democracia, sin eso, la Constitución no une a todas las personas. orque el ppio fundamental para vivir es soc, es que todos sean escuchados, aunque no todos queden conformes. Pero que todos puedan interesarse es fundamental."
96,1,democracia,A,Estado de Derecho Descentralización Salvaguardar el ejercicio democrático ante todo evento
98,1,democracia,A,Estimamos que es un sistema participativo y de representación ciudadana.
100,1,democracia,A,"Asumiendo democracia como el gobierno de las mayorías pero siempre respetando a las minorías y donde se dividen los poderes del Estado, esta es fundamental, pues no puede dejarse un mínimo espacio que permita al país dejar de regirse por esto. Promueve el bien común."
101,1,democracia,A,"La participación en todos los niveles de decisión permite vigilar y llevar la democracia a un estado superior. Integra igualdad, bien común, autonomía y autogobierno. La democracia participativa permite evitar la desigualdad social, la destrucción de identidad étnica y del medio ambiente."
106,1,democracia,P,Real injerencia de la ciudadania en la toma de decisiones en materias de relevancia coyuntural nacional.
112,1,democracia,A,"ES EL SISTEMA POLÍTICO QUE QUEREMOS, PERO UNA DEMOCRACIA DEL PUEBLO, SOBERANA. ES IMPORTANTE CUIDAR NUESTRA DEMOCRACIA"
114,1,democracia,A,Herramienta más representativa para la toma de decisiones del país.
115,1,democracia,A,Sin democracia no existe todo lo demas
117,1,democracia,A,Es fundamental para lograr un Estado de Derecho pleno.
118,1,democracia,A,Elección popular.  Representación popular. Chilenos dentro y fuera del país pueden votar. También los residentes.
124,1,democracia,A,.
126,1,democracia,A,"QUEREMOS UN SISTEMA POLÍTICO PARA EL PUEBLO, POR EL PUEBLO Y CON EL PUEBLO. NO NOS GUSTAN LOS SISTEMAS AUTORITARIOS."
129,1,democracia,A,"Libertar de expresión, de participación y de decisión"
