idEla,tema,concepto,acuerdo,fundamento
723,2,derecho_al_agua,A,Los recursos hídricos nacionales son un bien común cuyo acceso por parte de los ciudadanos lo debe garantizar el estado respetando el eco sistema
1589,2,derecho_al_agua,A,Garantizar el acceso al agua para la vida.
1851,2,derecho_al_agua,A,Entendido como un Derecho Humano esencial y el agua como un bien público inalienable por intereses particulares.
2736,2,derecho_al_agua,A,"Que el recurso hídrico que existe sea del Estado, y no privada como hoy. Este es un derecho social y no un bien de mercado. Que se haga justicia en nuestra realidad provincial, defendamos nuestra agua ya que es y debe ser de la comunidad. No segregar la relación entre tierra y agua."
2763,2,derecho_al_agua,P,"acceder al agua potable es derecho de todas las personas. además, como recurso es un bien que el estado debe salvaguardar."
2955,2,derecho_al_agua,A,"Que las aguas sean de libre acceso, sin privatizar,Paro lograr este derecho necesitamos Asamblea Constituyenteerecho"
2961,2,derecho_al_agua,A,Que el estado regule.
3381,2,derecho_al_agua,A,Consagrarlo como un derecho fundamental para protegerlo y ampararlo ya que tiene relación directa con el derecho a la vida
3796,2,derecho_al_agua,A,la están vendiendo ademas puedes
4070,2,derecho_al_agua,A,"ES UN DERECHO FUNDAMENTAL Y DEBE SER GARANTIZADO POR EL ESTADO, TÉRMINO DEL ACTUAL CÓDIGO DE AGUAS"
4163,2,derecho_al_agua,A,"Se parte del acuerdo que el agua debe ser renacionalizada y entregada a la gestión comunitaria y local de los territorios autónomos, resguardada por el Estado, éste entendido como el pueblo soberano.  ver anexo de derechos"
4365,2,derecho_al_agua,A,"Defensa de nuestros recursos hídricos, acceso al agua potable para nuestras comunidades rurales, constitucionalmente el agua debe ser un bien social de consumo y no un bien de mercado."
5304,2,derecho_al_agua,A,"El agua no puede ser un derecho privado , ya que es de todos y todas"
6684,2,derecho_al_agua,A,CREEMOS FIRMEMENTE QUE EL DERECHO AL AGUA ES PRIMORDIAL Y NO SE PUEDE CONSIDERAR COMO UN BIEN DE CONSUMO
6732,2,derecho_al_agua,A,"El agua como bien nacional de uso público, no susceptible de apropiación particular."
7802,2,derecho_al_agua,A,"Pública  y de gestión comunitaria  Como bien común, de  derecho público.  El Estado debe garantizar su uso, para garantizar y favorecer,  primero la vida humana, luego para la diversidad de cultivos que aseguren la cadena alimentaria de las comunidades  y sus  necesidades básicas…. Y  luego para otros usos."
8310,2,derecho_al_agua,A,"El agua no puede ser un bien de propiedad individual, sino un bien común y se debe garantizar el acceso para consumo humano en cantidad y calidad."
8459,2,derecho_al_agua,A,"Derecho al Agua recuperación y nacionalización de las aguas naturales del territorio nacional, cualquiera sea su estado."
9243,2,derecho_al_agua,A,"El Agua debe volver a manos del Estado para que cada persona tenga acceso al agua como fuente de vida, además de proteger las reservas de agua que están quedando en nuestro territorio."
9611,2,derecho_al_agua,A,todos de acuerdo
9779,2,derecho_al_agua,A,"como prioridad para el ser humanos después agricultura, las mineras deberán contar con plantas desalinizadoras"
10048,2,derecho_al_agua,A,"que cada ciudadanos tenga derecho al agua, y que esta no se trance con fines lucrativos, y que se cree las condiciones de acceso a esta"
10218,2,derecho_al_agua,A,La constitución debe garantizar el derecho al agua como bien social a todos los habitantes del país
10719,2,derecho_al_agua,A,"Se debe garantizar por parte del estado el acceso y conservación del agua, como recurso natural fundamental para la vida humana."
10735,2,derecho_al_agua,A,Es un derecho fundamental para poder sobrevivir y desarrollarse con dignidad.
11517,2,derecho_al_agua,A,"Derecho al Agua: “El agua es vida”, esta frase es un lema para los sectores mas afectados por la sequía sufrida en los últimos años. El agua debe estar en manos del Estado y proveer este recurso en forma ordenada. Se debe asegurar la producción de los agricultores, sobretodo en la pequeña agricultura, principal fuente alimenticia de las grandes urbes. Se debe volver a unir el agua a la tierra con el fin de evitar el uso clandestino. Se debe evitar que las grandes compañías agrícolas intervengan causes o napas subterráneas."
11664,2,derecho_al_agua,A,derecho fundamental al acceso del bien y nacionalizado no transable en el mercado
11921,2,derecho_al_agua,A,Se debe garantizar porque es la vida de los seres humanos y la Biodiversidad
12251,2,derecho_al_agua,A,Nos parece fundamental el tener derecho a acceder al agua limpia para consumo humano.
12864,2,derecho_al_agua,A,"Entendido como un derecho humano, su reconocimiento abarca tanto acceso, disponibilidad y calidad. Nos pareció que debía destacarse especialmente y separado del medio ambiente por su vital importancia."
13161,2,derecho_al_agua,A,"Sin agua no hay vida, nacionalizar el agua ser distribuida equitativamente. Que regrese al estado y que no siga en manos de los privados que lucran sin medida con ella."
13211,2,derecho_al_agua,A,"Aguas libres de contaminación, mar para el pueblo chileno, fin al lucro y la privatización de las aguas y de los recursos naturales en general."
14110,2,derecho_al_agua,A,Es fundamental para la vida.
14722,2,derecho_al_agua,A,"Derecho de acceder al agua como un derecho básico, vital y de supervivencia de todos los seres vivos."
14984,2,derecho_al_agua,A,"Derecho humano al agua potable, saneamiento, para actividades de subsistencia y protección de las fuentes de agua. Todo ello debe ser garantizado por el Estado."
15016,3,derecho_al_agua,A,la tenemos en todo el territorio
15111,2,derecho_al_agua,A,"Derecho inalienable e irrenunciable al agua, asegurando el 51% de la propiedad en manos del Estado. El agua es indispensable para la vida y la actividad humana, por lo que no debiera ser materia de comercialización o especulación arbitraria."
15409,2,derecho_al_agua,A,Derecho básico y fundamental.-
