idEla,tema,concepto,acuerdo,fundamento
166,2,derecho_de_asociación,A,"A la formación de partidos políticos y agrupaciones sociales, que promuevan la educación cívica y la participación ciudadana."
207,2,derecho_de_asociación,A,Se entiende que ha sido conculcado en nombre de una pretendida libertad de asociación
340,2,derecho_de_asociación,A,Debe ser una garantía de todo ciudadano de agruparse para promover derechos y deberes de libre pensamiento.
374,2,derecho_de_asociación,A,Y a formar sindicatos.
462,2,derecho_de_asociación,A,"Reconocimiento Constitucional , de los Pueblos Originarios, principios de igualdad y dignidad humana."
528,2,derecho_de_asociación,A,El ser humano es un ser Social por Naturaleza y como tal necesita relacionarse con los demás para desarrollarse en la Vida y ser un aporte concreto a la sociedad.
574,2,derecho_de_asociación,A,"Consideramos que nos unimos voluntaria y permanentemente dos o mas personas para realizar un fin común, como es el caso de nuestro interés: las Iglesias. Manifestamos seguir bajo el amparo y reconocimiento por parte del Estado."
586,2,derecho_de_asociación,A,"deben garantizar la autonomía para cumplir fines específicos, sin previa autorización o control del estado."
678,2,derecho_de_asociación,A,Es importante que se le permita a los ciudadanos formar grupos para asi  incentivar la participación y la diversidad de opiniones ademas del sano debate.
680,2,derecho_de_asociación,A,Es necesario que el Estado apoye la asociatividad y el trabajo en comunidad. Siempre en grupo se generan mejores ideas.
692,2,derecho_de_asociación,A,"Unirse voluntariamente entredós o mas personas para realizar un fin común, garantizando por el Estado, la autonomía para cumplir sus fines específicos."
713,2,derecho_de_asociación,A,Política pública y de Estado que fomente la asociatividad a todo nivel. Fomento a asociatividad pública-privada-ciudadana
714,2,derecho_de_asociación,A,Fortalecimiento y promoción de grupos intermedios.
726,2,derecho_de_asociación,A,Derecho y garantia constitucional de organizarse y asociarse para construir un mejor pais.
769,2,derecho_de_asociación,A,Reconocimiento de cualquier agrupacion de individuos con un objetivo comun.
810,2,derecho_de_asociación,A,"El Estado tiene la obligación de garantizar la libre expresión y ejercicio de toda organización surgida de las bases de participación: sindicatos, marchas, manifestaciones, gremio, etc."
864,2,derecho_de_asociación,A,La sociedad funciona si somos capaces del diálogo y con derecho a opinar en público.
916,2,derecho_de_asociación,A,"El derecho de todos los chilenos a asociarse debe complementarse con el derecho a la libre expresión de la sociedad, el derecho a la sindicalización de quienes trabajan, negociación colectiva, y derecho a huelga."
966,2,derecho_de_asociación,A,Y HUELGA UN DERECHO DE LOS TRABAJADORES Y LA JUSTICIA SOCIAL
980,2,derecho_de_asociación,A,Garantizar la asociación y organización social.
1341,2,derecho_de_asociación,A,"Creemos que es fundamental mantener el derecho de asociaciones como unión voluntaria y permanente de dos o más personas para un fin común. Se deben incluir los sindicatos, organizaciones gremiales, estudiantiles, profesionales y de la iglesia."
1393,2,derecho_de_asociación,A,Que exista el apoyo y fomento sin tanta burocracia y se incentive el trabajo asociativo y no el individualismo.
1461,2,derecho_de_asociación,A,"Derecho a la organización social, libre y permanente, en los distintos ámbitos de la sociedad, incluida la sindicalización."
1829,2,derecho_de_asociación,A,.
1894,2,derecho_de_asociación,A,"Defendemos el derecho de asociación, como la unión voluntaria y permanente de dos o mas personas para realizar un fin común, en este caso, el derecho a reunirse a nivel estudiantil y a nivel de iglesia, con autonomía, sin requerir permiso previo a la autoridad gubernamental."
1956,2,derecho_de_asociación,A,"Es importante que todas las personas tengan pleno derecho a asociarse en función de sus valores, principios, ideas e intereses"
1971,2,derecho_de_asociación,A,El poder reunirse es una de las condiciones fundamentales para el ejercicio de la democracia.
2014,2,derecho_de_asociación,A,"FOMENTA LA UNIDAD, PILAR PARA EL DESARROLLO EN COMUNIDAD."
2065,2,derecho_de_asociación,A,Consagrar la libertad del ciudadano a agruparse por los temas que estimen conveniente siempre y cuando no se promueva el odio o la violencia
2138,2,derecho_de_asociación,A,"Todas las personan deben tener el legitimo derecho de asociarse, sin tener que dar aviso, buscar objetivos en común y poder negociar colectivamente por lo que quieren."
2141,2,derecho_de_asociación,A,"Existe un derecho a asociarse libremente respetando el orden público, la moral, las buenas costumbres y la seguridad nacional. Siempre que estas asociaciones cumplan con las limitaciones típicas tienen el derecho a establecer y mantener una organización interna que no debe se cambiada por externos"
2212,2,derecho_de_asociación,P,NADIE PUEDE COARTAR A OTRO EN SUS CREENCIAS Y EL ESTADO DEBE GARANTIZAR EL DERECHO A EUNION LIBRE PARA TODOS Y TODAS
2288,2,derecho_de_asociación,P,poder afiliarse a todo lo que permita la constitucion.
2381,2,derecho_de_asociación,A,Se opta por relacionar los derechos con las definiciones de valore y principios hecha previamente.
