idEla,tema,concepto,acuerdo,fundamento
11,2,derechos_del_niño__niña_y_adolescente,A,Y a los Derechos Humanos.
19,2,derechos_del_niño__niña_y_adolescente,A,"El cuidado de la infancia, determina el desarrollo de los adultos y de la sociedad en general."
20,2,derechos_del_niño__niña_y_adolescente,A,"Es necesario garantizar los derechos de cada niño, desde nacer en buenas condiciones, educarse y tener salud bien atendida."
54,2,derechos_del_niño__niña_y_adolescente,A,Es importante que los niños y niñas tengan un buen futuro y que no sean vulnerados en sus derechos ya que así tendrán un buen desarrollo en sus vidas.
72,2,derechos_del_niño__niña_y_adolescente,A,"Los niños requieren un conjunto de derechos que se encuentran consagrados de manera plena en el derecho internacional, del que Chile forma parte, la importancia de la consagración y garantía de estos derechos, importa comprender a los niños y adolescentes como sujetos de especial protección. Niños son el presente de la sociedad. Acuerdo unánime"
101,2,derechos_del_niño__niña_y_adolescente,A,"Los niños y adolescentes son una responsabilidad de toda la sociedad. Estos derechos incluyen su salud, educación y bienestar. Estos derechos están incluidos dentro de los derechos humanos, pero se los debe separar de éstos para no invisibilizarlos."
108,2,derechos_del_niño__niña_y_adolescente,P,"La constitución debe garantizar el derecho  de los niños, niñas y adolescentes teniendo en cuenta y superditandos los derechos internacionales   de los derechos de las personas y los niños."
115,2,derechos_del_niño__niña_y_adolescente,P,Se tiene que proteger a estos seres
125,2,derechos_del_niño__niña_y_adolescente,A,"Garantizar su bienestar, en consideración a su situación de vulnerabilidad y de ser protegidos para lograr un desarrollo pleno de todas sus habilidades."
139,2,derechos_del_niño__niña_y_adolescente,A,"Este grupo de la sociedad es vulnerable dada su menor edad, poder y capacidad de defensa , por lo tanto se tiene que apoyar cuidar y proteger la etapa de crecimiento que les permita tener un desarrollo normal y una vida digna"
140,2,derechos_del_niño__niña_y_adolescente,A,Que el Estado cree los medios necesarios para hacer efectiva la normativa internacional
142,2,derechos_del_niño__niña_y_adolescente,A,"La sociedad se construye a partir de los niños, su cuidado es fundamental, garantizar sus derechos es parte importante para el desarrollo, su cuidado, su felicidad es vital como base de la sociedad, entendida también como una de las responsabilidades del estado."
144,2,derechos_del_niño__niña_y_adolescente,A,Se ha olvidado la educación preescolar. Al niño se le trata como individuo sin derecho de que su personalidad no esta por completo formada. Asegurar que el niño y adolecente tenga lo necesario para vivir y desarrollarse como persona libre.
148,2,derechos_del_niño__niña_y_adolescente,A,EL ESTADO DEBE PROPORCIONAR A LA INFANCIA Y ADOLESCENCIA TODO PARA SU MEJOR Y MAYOR DESARROLLO.
151,2,derechos_del_niño__niña_y_adolescente,A,Derecho a tener un jardín o colegios gratuitos y que sea de calidad
154,2,derechos_del_niño__niña_y_adolescente,A,Autoexplicativo.
159,2,derechos_del_niño__niña_y_adolescente,A,"no bullyn, poca experiencia"
161,2,derechos_del_niño__niña_y_adolescente,A,"Derechos que deben respetarse, entendiéndose a la Infancia como un grupo prioritario."
164,2,derechos_del_niño__niña_y_adolescente,A,"El cuidado integral de este grupo etáreo es clave para el desarrollo de ciudadanos integros, con un desarrollo psiquico, emocional y físico adecuado que les permita participar y cocrear sociedad."
168,2,derechos_del_niño__niña_y_adolescente,A,Consideramos la riqueza de una nación son los niños; resguardar su interés superior mediante la creación de una nueva institucionalidad con miras a proteger y resguardar sus derechos.
189,2,derechos_del_niño__niña_y_adolescente,A,"Generación de políticas que protejan y promuevan los derechos de los niños/as y adolescentes, garantizando un desarrollo integral"
194,2,derechos_del_niño__niña_y_adolescente,A,por que garantiza el desarrollo de los individuos que tendran q pensar Chile en el futuro
200,2,derechos_del_niño__niña_y_adolescente,A,"Reafirmar y respetar los tratados internacionales sobre los derechos de las niñas y niños y adolescentes, además se habla de discernimiento y sufragio."
265,2,derechos_del_niño__niña_y_adolescente,A,"Dejados de lado, no hay preocupación por la infancia falta institucionalidad, no igualdad en protección de sus derechos, futuro del país debe haber un compromiso de estado en la protección de la infancia y adolescentes."
289,2,derechos_del_niño__niña_y_adolescente,A,La niñez es una etapa de desarrollo desprotegida. Su vida y protección tiene menos valor que la de los adultos.
294,2,derechos_del_niño__niña_y_adolescente,A,Se debe garantizar constitucionalmente porque son sujetos de protección integral
327,2,derechos_del_niño__niña_y_adolescente,A,"Los niños, niñas y los adolescentes deben ser protegidos y respetados sus derechos, ya que representan nuestro futuro."
337,2,derechos_del_niño__niña_y_adolescente,A,Por los ciudadanos del futuro.
338,2,derechos_del_niño__niña_y_adolescente,A,"La protección de los niños y adolecentes es fundamental para la formación de la sociedad. Son los individuos mas vulnerables y  de quienes dependen las futuras generaciones. Se debe fortalecer los colegios, instituciones, entre otras y el estado debe tener un rol protagónico en la formación y cuidado de estos."
340,2,derechos_del_niño__niña_y_adolescente,A,"los derechos de los niños son irrenunciables y imprescriptibles asegurar su desarrollo y bienestar , desde su gestación asegurando salud y educación bienestar físico y emocionales."
344,2,derechos_del_niño__niña_y_adolescente,A,"Constitucionalizar los tratados existentes, para validad y garantizar los derechos."
358,2,derechos_del_niño__niña_y_adolescente,A,"preocupación especial por este grupo de la población, considerando que son particularmente vulnerable."
362,2,derechos_del_niño__niña_y_adolescente,A,que las políticas para niños y adolescentes vulnerables tengan los recursos necesarios para que alcancen su objetivo.
372,2,derechos_del_niño__niña_y_adolescente,A,Se deben garantizar constitucionalmente para que efectivamente sean respetados. Se trata de un grupo que al no tener derecho a voto está escasamente representado en los espacios de decisión por lo que necesitan protección especial.
378,2,derechos_del_niño__niña_y_adolescente,A,Considerado por todos como un Derecho fundamental
385,2,derechos_del_niño__niña_y_adolescente,A,Ya que hoy los derechos de los niños se encuentran gravemente vulnerados
387,2,derechos_del_niño__niña_y_adolescente,A,Chile debe responder a los ciudadanos en especial a los niños. Se evidencia que no existen consecuencias a las acciones en especial a los adultos que vulneran los derechos de los niños.
412,2,derechos_del_niño__niña_y_adolescente,A,Garantizar los derechos de las poblaciones más vulnerables. Agregamos en este derecho a los adultos mayores.
417,2,derechos_del_niño__niña_y_adolescente,A,Son los más desamparados y abandonados. Son altamente vulnerables.
426,2,derechos_del_niño__niña_y_adolescente,A,"Porque los niños son el futuro de la Nación, es necesario resguardar sus derechos, aunque sea un grupo de interés que no tiene los medios para presionar por sus intereses."
446,2,derechos_del_niño__niña_y_adolescente,P,"Creemos que se debe profesionalizar e invertir en las instituciones que están a cargo de velar pior este derecho, pues actualmente nos parece indigna la forma en que los niños (as) mas vulnerables son cuidados por el E de Chile.stado"
448,2,derechos_del_niño__niña_y_adolescente,A,5. Inclusión en la constitución de los derechos del niño y del adolescentes incluidos en tratados internacionales
450,2,derechos_del_niño__niña_y_adolescente,A,"En general, se defendió la idea de que este es el derecho más importante, pues el respeto a los niños es determinante para su desarrollo en el futuro."
452,2,derechos_del_niño__niña_y_adolescente,A,El sistema actual no ofrece garantías que resguarden su dignidad. La protección de sus derechos debe ser efectiva y existir los recursos suficientes. Debe ser una tarea prioritaria que debe llevar adelante el Estado. Debe existir una visión con base en su dignidad más que como objeto de protección.
469,2,derechos_del_niño__niña_y_adolescente,A,tienen que ser protegidos y no ser vulnerados por alguien más
475,2,derechos_del_niño__niña_y_adolescente,P,Resguardo constitucional. Participación. Protección (otorgando una igualdad).
499,2,derechos_del_niño__niña_y_adolescente,A,Protección integral; seguridad; derechos del niño e infante.
