idEla,tema,concepto,acuerdo,fundamento
9,1,desarrollo,P,"Considerado como mejora continua de procesos a través de un filtro de críticas constructivas, el desarrollo de nuevas tecnologías como el internet ha sido mal utilizado en general."
29,1,desarrollo,A,Tiene que ser igualitario para todos otorgar condiciones minimas a las personas para lograr desarrollarse
31,1,desarrollo,A,un desarrollo en todo ámbito es necesario para nuestro país.
105,1,desarrollo,A,sin observaciones
118,1,desarrollo,A,"Asegurar el crecimiento del país y de la sociedad. Generar incentivo al desarrollo. Desarrollo económico, Social, Cultural y educacional"
171,1,desarrollo,P,entendiendo que este debe ser sustentable y respetuoso de nuestro entorno
243,1,desarrollo,A,"La constitución debe propender por alcanzar el desarrollo económico para lograr ser una nación de primer mundo, debe ser armónico con el ambiente."
244,1,desarrollo,A,7 de 10 participantes votaron por este concepto
274,1,desarrollo,A,"Con democracia se puede opinar, se puede expresar lo que uno cree, lo que uno quiere."
296,1,desarrollo,A,"Economico, social y cultural, a partir de una Programa de desarrollo nacional estrategico con enfasis en lo local,  que asegure la vida digna para todos y una justa relación entre los habitantes."
297,1,desarrollo,A,"La Constitución debe garantizar el desarrollo integral de las personas y las familias en base a su libertad y responsabilidad, buscando el máximo crecimiento y desarrollo material, moral y espiritual posible"
317,1,desarrollo,A,"Más empleo, educación para todo, para un mejor país y desarrollo de las personas"
327,1,desarrollo,A,"La nueva Constitución debe asegurar un nuevo  modelo de desarrollo económico, que contemplen industrias estatales y aportar valor agregado a nuestros productos."
344,1,desarrollo,A,"Desarrollo, entendido como un proyecto de país. Planificación estratégica más alla del gobierno de turno, acorde a los valores constitucionales."
346,1,desarrollo,A,"Considerar como Estado un desarrollo integral de la nación en aspectos económicos, psicológicos y físicos"
353,1,desarrollo,A,Debe ser Sustentable en el tiempo
389,1,desarrollo,A,"El Estado junto a sociedad civil debe comprometerse a un desarrollo económico y social  con equidad territorial que sea sostenible e igualitario, poniendo énfasis en el desarrollo rural."
469,1,desarrollo,A,El estado está cayendo en picada y llevando abajo el desarrollo
486,1,desarrollo,A,• INDUSTRIALIZAR NUESTRO PAIS Y OBTENER VALOR AGREGADO. • REHACIONALIZAR NUESTRAS RIQUEZAS NATURALES.
521,1,desarrollo,A,Elemento fundamental para la evolución social.
533,1,desarrollo,A,"Sustenta a que se puedan practicar otros valores como la justicia, igualdad o equidad."
552,1,desarrollo,A,"Para avanzar en una sociedad con mayores oportunidades, consideramos como grupo que es necesario que el desarrollo pueda ser alcanzado por toda los chilenos,"
571,1,desarrollo,A,"La Constitución debe permitir el desarrollo de las personas en base a su libertad y responsabilidad, única forma justa digna y sustentable de permitir un crecimiento en beneficio de todos."
652,1,desarrollo,P,Para que las personas aprendan y sean capaces de vivir
665,1,desarrollo,A,"Que las leyes y lo que contemple nuestra constitución nos permita desarrollarnos y mejorar como personas, familias y ciudadanos."
704,1,desarrollo,A,Porque es necesario que todas las personas tengan las mismas oportunidades de prosperar.
713,1,desarrollo,A,"Cimentar los pilares económico, social y ambiental del crecimiento. Romper con el paradigma del consumo como promotor del desarrollo"
769,1,desarrollo,A,"Desarrollo debe ser inclusivo, sustentable y consiente. Importante para elevar el estandar minimo de calidad de vida"
789,1,desarrollo,A,Porque tiene que haber un desarrollo equitativo del territorio. Potencia la identidad y desarrollo local.
811,1,desarrollo,P,"DEBE EXISTIR UN DESARROLLO ECONÓMICO, CULTURAL, AMBIENTAL  Y SOCIAL, TODO ESTO DEBE INCLUIR Y TENER EN CONSIDERACIÓN DEL MEDIO AMBIENTE, BUSCANDO TECNOLOGÍAS MAS LIMPIAS, SUBSIDIAR DICHAS TECNOLOGÍAS Y PODER ACCEDER A TRAVÉS DE SUBSIDIOS A LA MISMA, TENIENDO EN CONSIDERACIÓN A LA CLASE MEDIA."
824,1,desarrollo,A,"Necesitamos poder tener las herramientas necesarias y permisos, para poder obtener mas desarrollo tanto en el país, como regional o localmente. De acuerdo a nuestra realidad como ciudad, estamos entre dos zonas francas, y no tenemos ningún beneficio de empresas de afuera que quieran instalarse."
916,1,desarrollo,A,"El desarrollo debe ser sustentable y respetuoso del medio ambiente y del entorno social. Es fundamental que el desarrollo se fundamente desde la noción del buen vivir, vivir en respeto a otros, y en respeto a la conservación de la naturaleza y nuestros bienes comunes."
959,1,desarrollo,A,No hay fundamento
963,1,desarrollo,A,"mecanismo potente de resolucion de conflictos, mejorando los mecanismos de participacion ciudadana, incluyendo ambitos publicos y privados."
970,1,desarrollo,A,"Oportunidad para desarrollarse como pueblo, con todo su ser, en su esencia."
1005,1,desarrollo,A,El Estado debe considerar el desarrollo como un medio para bien de todos sus ciudadanos
1055,1,desarrollo,A,"Abarca todo lo que buscamos, debe ser permanente y en todo ámbito."
1100,1,desarrollo,A,LA LIBERTAD DEL DESARROLLO DE TODAS LAS ÁREAS DEL QUEHACER NACIONAL
1108,1,desarrollo,A,Se debe permitir el desarrollo de las personas libre y responsablemente
1120,1,desarrollo,A,"Responsabilidad del estado y garante en el fomento de la ciencia, economía y cultura."
1124,1,desarrollo,P,"Desarrollo en los procesos, valores, principios, político, económico, el objetivo del estado debe ser el desarrollo en todos los ambitos . Se discute de que modo podría plasmarse en la constitución y ha que tipo de desarrollo se refiere."
1130,1,desarrollo,A,Desarrollo es el resultado de un trabajo bien hecho en comunidad y viendo que todos y todas podamos aprovechar y vivir ese desarrollo.
1142,1,desarrollo,A,"cada persona puede desarrollarse social, económica o políticamente, respetando siempre a los demás, al planeta."
1166,1,desarrollo,A,Que las mujeres se incorporen a todo tipo de trabajo. Asi se aporta al desarrollo de la familia y del país.
1167,1,desarrollo,D,existen falencias en cuanto a las oportunidades para alcanzar el desarrollo.
1313,1,desarrollo,A,Que cada región pueda tomar sus propias decisiones.-
1374,1,desarrollo,A,"DESARROLLO SUSTENTABLE.  Que sea sustentable, humano, social y económicamente."
1393,1,desarrollo,A,"Que sea por territorio, que considere el medioambiente y la cultura local y que sea equitativo entre el campo y la ciudad. Para la AFC y las comunidades mapuches deben haber políticas de Estado específicas para el derecho del sector y sin eso no hay desarrollo."
1476,1,desarrollo,P,"Implica evolución desde muchos puntos de vista, mirar hacia adelante, y la evolución integral de la sociedad."
1482,1,desarrollo,A,"Chile tiene que velar por mantener un desarrollo constante, no solo en infraestructura, si no tambien en desarrollo humano"
1488,1,desarrollo,A,La idea planteada por la mayoría de los asistentes es que no es posible el ejercicio de algunos de los derechos sin desarrollo económico.
1500,1,desarrollo,A,PARA QUE LAS POLITICAS PÚBLICASCONSIDEREN EL DESARROLLO DE LAS CONDICIONES MATERIALES DE LAS GENERACIONES FUTURAS Y SE ALCANCE UNA MEJOR CALIDAD DE VIDA.
1501,1,desarrollo,A,Se debe entender como el desarrollo el crecimiento de los niveles de vida de las personas en todos sus ámbitos y capacidades en el país.
1517,1,desarrollo,A,"Promover el desarrollo en su concepto más amplio: sustentable, equitativo, sostenible. Promover una cultura de innovación, investigación y creatividad."
1546,1,desarrollo,A,"Consideramos este valor como el aumento sostenido en el bienestar de toda la sociedad, que no debe ser alcanzado a cualquier precio, sino dentro de una matriz multidimensional."
1548,1,desarrollo,P,"El reconocimiento de multiples centros, reconocer que existen multiples centros, que se relacionan y se confirguran. Sueperar las fronteras nacionales. Acuerdo parcial debido: no hay claridad en su definición operacionalidad."
1641,1,desarrollo,A,.
1653,1,desarrollo,A,"Entendido como desarrollo sostenible que satisfaga las necesidades de las generaciones presentes sin comprometer las posibilidades de las generaciones del futuro para atender sus propias necesidades. Han de considerarse 3 áreas: ecológico, económico, y social."
1677,1,desarrollo,A,Valor irrenunciable e intransable a través de sistemas legítimos de participación pública y forma de gobierno
1694,1,desarrollo,A,"Desarrollo Economico, Social y Cultural."
1715,1,desarrollo,A,"Se debe permitir el desarrollo de las personas en base a su libertad y responsabilidad, única forma justa digna y sustentable de permitir el desarrollo de todos"
1724,1,desarrollo,A,"El fin del estado es promover el desarrollo tanto cultural, económico, etc. Un desarrollo integral. Es uno de los aspectos más importantes para la identidad del país."
1755,1,desarrollo,A,QUE EXISTA UN DESARROLLO SUSTENTABLE COMO BASE PARA EL CRECIMIENTO DEL PAIS
