idEla,tema,concepto,acuerdo,fundamento
35,1,desarrollo_sustentable,A,"La capacidad de sostener el desarrollo que tenemos de manera responsable en el tiempo, comprendiendo ejes en lo ambiental, lo social y económico. Se debe resguardar la naturaleza y sus recursos, no se puede mantener la explotación de las personas ni basar la economía en la generación de desechos."
57,1,desarrollo_sustentable,A,tomar conciencia del entorno en que vivimos ofreciendo politicas publicas acorde al actual contexto social.
118,1,desarrollo_sustentable,A,"Garantizar los recursos naturales, de inversión y ahorro a las futuras generaciones."
213,1,desarrollo_sustentable,A,Engloba valores como el cuidado y respeto de la naturaleza y el medio ambiente en concordancia con el desarrollo humano y de los pueblos
236,1,desarrollo_sustentable,P,PORQUE ES NECESARIO LOGRAR EL EQUILIBRIO ENTRE DESARROLLO SIN PERJUDICAR A LAS GENERACIONES FUTURAS.
361,1,desarrollo_sustentable,A,Debiese ser el principio rector del país
682,1,desarrollo_sustentable,A,Asegurar la diversidad y conservación de los recursos naturales en el tiempo.
912,1,desarrollo_sustentable,A,"Integral y local con base en el bien común y la felicidad, en armonía con la naturaleza Tiene como centro la equidad es más que el crecimiento económico."
939,1,desarrollo_sustentable,A,"Capacidad de satisfacer las necesidades y mejorar las condiciones de la generación actual,  sin que esto suponga la anulación de que las generaciones futuras puedan satisfacer las propias en los ámbitos económicos, ambientales y sociales."
1047,1,desarrollo_sustentable,A,El Estado debe garantizar el modelo de Desarrollo Sustentable de la Plurinación
1145,1,desarrollo_sustentable,A,"Desarrollo equitativo de lo social, ambiental y económico, coexistencia armónica."
1205,3,desarrollo_sustentable,A,Cuidado y respeto por el medioambiente individual y colectivamente
1211,1,desarrollo_sustentable,P,Necesitamos contar con politicas claras acreca de la explotacion de nuestros recursos naturales y su vinculacion con la economia
1461,1,desarrollo_sustentable,A,"Construir una sociedad que garantice que el desarrollo en el presente no atente con las posibilidades de las futuras generaciones. Esto implica un desarrollo económico, social, político, etc., que respete el medio natural."
1612,1,desarrollo_sustentable,A,"Administración racional y eficiente de los recursos naturales, más  desarrollo de ciudades dignas, a escala humana, privilegiando la calidad de vida de las personas y de las generaciones futuras."
1702,1,desarrollo_sustentable,A,"Entregar valor a la relación social,, ambiental y económica. No es simple conservación."
1794,1,desarrollo_sustentable,A,"Exportación mesurada de los recursos del país, pensando siempre en las futuras generaciones."
1860,1,desarrollo_sustentable,A,"Consideramos importante el progreso y desarrollo de nuestro país pero con el precepto de preservar nuestro medio ambiente, generando políticas internas (formativas y técnicas) para que esto suceda."
1951,1,desarrollo_sustentable,A,"Promover un actuar y desarrollo sustentable en cuanto a lo económico, social y ambiental."
2034,1,desarrollo_sustentable,A,Pensamos que con este principio se garantiza la preservación de los ecosistemas y de la vida de la futuras generaciones.
2162,1,desarrollo_sustentable,A,"Procurar el cuidado del medio ambiente que vivimos, buscando el buen desarrollo del medio."
2188,1,desarrollo_sustentable,A,EL DESARROLLO DE LAS ACTIVIDADES PRODUCTIVAS SE DEBE BASAR EN EL PRICIPIO DE SUSTENTABILIDAD.
2220,1,desarrollo_sustentable,A,"Un crecimiento y desarrollo sustentable, en el más amplio sentido de la palabra."
2308,1,desarrollo_sustentable,A,Es necesario revertir la mercantilización de los recursos naturales no renovables y velar por la sustentabilidad regional.
2446,1,desarrollo_sustentable,A,"Se entiende la sustentabilidad como el desarrollo de las comunidades tanto en el sentido social como económico, en equilibrio con el medio natural y social. Esto debe tener como base el enfoque del bien común, ya que al actuar se piensa en todos los factores que componen la vida en el mundo."
2640,1,desarrollo_sustentable,A,"Las Políticas Públicas y Privadas deben tener una visión de Desarrollo Sustentable del país, que incluye una persoectiva que involucre la Protección del Medio Ambiente y el Desarrollo Social junto con el Desarrollo Económico. / Junto con lo anterior, especificamente buscamos el establecimiento de u"
2677,1,desarrollo_sustentable,A,"El desarrollo sostenible de los recursos, cuidándolos para las futuras generaciones. Promover la conciencia ecológica, el respeto y la conservación de la naturaleza, del medio ambiente, y de las relaciones humanas. Que influya en las políticas de estado y en la innovación tecnológica."
2811,1,desarrollo_sustentable,A,Respeto al medio ambiente y también que involucre las prácticas laborales y sociales de la genta.  Transversal.
2848,1,desarrollo_sustentable,A,"Velar por el balance de aspectos económicos, sociales y del medio ambiente, garantizando el bienestar de los ciudadanos y la protección de los recursos naturales."
2935,1,desarrollo_sustentable,A,"Es imprescindible comprender que los humanos somos parte de un complejo sistema integrado y que las consecuencias de nuestras acciones tienen efectos directos en el medio ambiente y por consecuencia sobre nosotros mismos. La sustentabilidad busca el equilibrio entre lo social, económico y ambiental en el desarrollo de la sociedad. Es un principio que considera tanto al sujeto individual como a la sociedad  en su conjunto. Reafirma la solidaridad intergeneracional, pues se ocupa de las  generaciones futuras. Real importancia se debe dar entonces al respeto, la protección y conservación del medio ambiente."
3006,2,desarrollo_sustentable,A,"Desarrollo sustentable. Promover la utilización de los recursos naturales necesarios para sustentar la vida, cuidando  que el proceso de transformación de la naturaleza no deteriore irremediablemente a la misma."
3112,1,desarrollo_sustentable,A,Porque debemos obligarnos en todo ámbito a garantizar recursos y posibilidades no sólo para las generaciones actuales sino también futuras.
3139,1,desarrollo_sustentable,A,"Un Estado que garantice la sustentabilidad en sus aspectos ambientales, económicos, sociales y culturales. Ello incluye la conservación de los recursos naturales, y los ecosistemas asociados, garantizando su permanencia para las generaciones futuras."
3217,1,desarrollo_sustentable,A,respeto a la biodiversidad y la armonía entre los seres vivos.
