idEla,tema,concepto,acuerdo,fundamento
3,1,descentralización,A,Para potenciar el desarrollo de las regiones
9,1,descentralización,A,"De Instituciones Gubernamentales, servicios de salud de élite, establecimientos educacionales, toma de decisiones y otros. Autonomía regional."
11,1,descentralización,A,"Se entiende como política, económica y administrativa."
12,1,descentralización,A,"Este concepto debe estar en la constitución, ya que demuestra el sentir de cambiar las prioridades desde una visión local, y no central."
14,1,descentralización,A,- Autonomía de las regiones
16,1,descentralización,A,Para que las regiones adquieran su autonomía en materia administrativas y decidir sobre su porcentaje de producción de las regiones y tomar sus propias decisiones.
19,1,descentralización,A,"Mejorar la distribución de los recursos naturales, económicos, etc. Fortalecer a las regiones en las entidades."
29,1,descentralización,A,Que las regiones tengan mayor poder de decision que los planes y programas nascan de las regiones
33,1,descentralización,A,"Que santiago no sea la región mas importante, ya que a causa de esto hay muchas limitaciones en todo Chile en cuanto a educación, salud, trabajo, etc."
36,1,descentralización,A,"En razón a las particulares características del territorio nacional, se requiere transferir el poder del gobierno central hacia las regiones."
43,1,descentralización,A,Regiones deberían poseer más autonomía
46,1,descentralización,A,Que la Constitución garantice una mayor independencia a las regiones que puedan ayudar a su desarrollo.
48,1,descentralización,A,"Acercar a los ciudadanos, a quienes les afecta la decisión o a quienes decidirán. Santiago no es Chile. Cada región tiene su propia realidad e idiosincracia"
63,1,descentralización,A,"porque actualmente el Servicio público obstaculiza la toma de decisiones, este concepto ayuda a agilizar el desarrollo de las regiones, favorece la autonomía en recursos monetarios. Se puede mejorar la gestión en educación."
65,1,descentralización,A,"Quiero que ñuble sea región para que lleguen mas recursos a las comunas, especialmente a nuestra comuna de Pinto"
75,1,descentralización,A,"A nivel nacional, regional y comunal."
76,1,descentralización,A,elección democrática de autoridades regionales y provinciales.
78,1,descentralización,A,"Descentralizar el poder, poder del estado y administración de los recursos."
79,1,descentralización,A,"Concepto funcional, en que se concibe el desarrollo de la sociedad incluyendo la realidad del país entero, con desarrollo equitativo de regiones."
80,1,descentralización,A,xxxxx
86,1,descentralización,A,Dejar que las regiones puedan tomar sus propias decisiones y no depender de las ordenes y lineamientos centrales.
87,1,descentralización,A,"Los recursos de cada región que queden en ellas y que eduacion y salud, que sean igual en regiones como en la capital"
95,1,descentralización,A,"Descentralización contribuye a otros valores claves, es un punto que lleva a otros valores, por qué hay zonas de chile que se sienten fuera. Así como otros valores que deberían estar dentro de la constitución. No creo que deba haber una constitución completamente distinta, pero debe sumarse puntos."
98,1,descentralización,A,Pues permite la toma de decisiones y el desarrollo de las regiones en forma autónoma.
100,1,descentralización,A,"El Estado debe hacer efectiva la descentralización del país en todo ámbito. De esta forma, habría desconcentración de la población y por lo tanto, el desarrollo nacional no sólo aumentaría, sino que sería mucho más equitativo."
112,1,descentralización,A,QUE SE HAGA EFECTIVA LA VOZ DE LAS REGIONES Y LOCALIDADES CON MAYOR AUTONOMÍA DEL NIVEL CENTRAL
114,1,descentralización,A,"Para que haya equidad en la calidad de vida de las distintas zonas del país; en cuanto a representaciones políticas, eventos culturales y distribución de recursos."
117,1,descentralización,A,"La centralización ha llevado a morir por falta de atención médica en regiones más extremas. Se necesita más efectividad en la toma de decisiones de las autoridades para la resolución de las regiones más extremas o en conflicto, como por ejemplo, el caso de los mapuches o de la marea roja."
124,1,descentralización,A,.
126,4,descentralización,A,"MAYOR PODER PARA LAS REGIONES, PARA UN DESARROLLO MÁS ARMÓNICO DE TODO EL PAÍS."
129,1,descentralización,A,Traspaso resolutivo de toma de decisiones a los estamentos menores de la sociedad
136,1,descentralización,A,"Permite agilizar la administración de las regiones de manera que cada persona tenga acceso a las mismas oportunidades, derechos y recursos independientemente de donde viva."
140,1,descentralización,A,"Que no se limite a un desarrollo económico, sino que sea un desarrollo humano, político y económico"
141,1,descentralización,A,La centralización es un obstáculo para un desarrollo integral como país. Hoy en día se debe vivir en Santiago para poder desarrollarse. Que exista mayor independencia de las regiones respecto a sus asignaciones presupuestarias. Estados federados son mejores pero deben pensarse de acuerdo a Chile.
142,1,descentralización,A,"Es importante tomar en serio el tema de la descentralización para vitalizar la idea de lo local y las funcionalidades que esto puede implicar, respecto de donde voy al colegio, al hospital, etcétera."
147,1,descentralización,A,"Para tener un desarrollo del país, se requiere una equidad transversal entre regiones"
148,1,descentralización,A,EL GRUPO ASUME QUE LA DESCENTRALIZACION DEBE SER EL PRINCIPIO ORIENTADOR DE TODA POLITICA DE ESTADO.
153,1,descentralización,A,Descentralizar el poder a las regiones con el fin de que puedan disponer de sus recursos sin pasar por santiago  Gobiernos regionales)
168,1,descentralización,A,"Queremos un Estado Unitario, en que cada Región sea autónoma en lo político, económico y lo social. Pero, con solidaridad en la distribución de las riquezas."
169,1,descentralización,A,DE ACUERDO EN QUE DEBE SER ADMINISTRATIVA Y RECAUDAR IMPUESTO PARA ENFRENTAR LAS EXTERNALIDADES NEGATIVAS DEL DESARROLLO
177,1,descentralización,P,Chile es víctima de las decisiones que son tomadas desde la perspectiva centralista en muchos ámbitos por ejemploen la salud y la educación. El hecho de que no se tome en cuenta las realidades y/o condiciones distintas a lo largo de Chile significa que las políticas fracasen o sean menos efectivas.
181,1,descentralización,A,Todos de acuerdo
187,1,descentralización,A,Santiago no es Chile y sobre todo en los medios de comunicación se les da poco énfasis a las regiones.
193,1,descentralización,A,No hay fundamentos más allá de la discusión.
194,1,descentralización,A,permite a las regiones resolver sus propios conflictos y desarrollarse economicamente
205,1,descentralización,P,"No solo a nivel territorial, sino político y social 1 part.: Más plurinacionalismo para la configuración del país A parcial: descentralización y autonomía Contra: No debe más relevante la autonomía Fortalecer los gobiernos regionales, no generar naciones distintas Regionalización tipo de desa econo"
206,1,descentralización,A,"Que los recursos se repartan en todo el `país, no solo en Stgo."
210,1,descentralización,A,Que las autoridades sepan la realidad de cada región al momento de tomar sus decisiones.
223,1,descentralización,A,"Decisiones propias, autonomía decisiones económicas, equilibrio, sustentabilidad, bienes común social y nacional, desarrollo mutuo. Debe buscar equidad e igualdad de la mano del modelo económico y desarrollo"
226,1,descentralización,A,Santiago no es Chile. Nuestra geografía rica en paisajes maravillosos debe serlo en todo sentido y fortalecer cada lugar de él.
236,1,descentralización,A,"PARA QUE LAS DECISIONES, OBJETIVOS Y PRIORIDADES QUEDEN AL ARBITRIO DE LA REGIÒN Y SU COMUNIDAD."
240,1,descentralización,A,"Santiago no es Chile cada región y las diferentes comunidades que viven en el país deben desarrollarse de manera equitativa, cada pueblo debe tener injerencia sobre si mismo, decisiones."
243,1,descentralización,P,"Es necesario que exista una real autonomía regional de contar con recursos propios y que sean también generados por la misma región, para así poder resolver las necesidades y problemas de los habitantes de cada región y no depender de las decisiones de santiago, ni de sus recursos."
244,1,descentralización,A,8 de 10 participantes votaron por esta opción
250,1,descentralización,A,"La actual división territorial del país agudiza la centralización y la desigualdad entre regiones, naturalmente nuestro territorio y nuestra cultura no están divididos de esta forma. Postulamos que la Nueva Constitución valore las características ecológicas, culturales, geográficas y étnicas que son diferentes a lo largo del país y en base a estas características se divida el país en zonas (por ejemplo, zonas norte, centro, sur, costa cordillera)  auto reguladas (con leyes propias conforme a sus culturas, aspirando a largo plazo a un sistema federal) y con recursos destinados a los municipios para ser administrados conforme sus propias necesidades locales."
253,1,descentralización,A,"Las regiones deben tener autonomía presupuestaria y decisoria, que no se den desde Santiago y Valparaíso."
259,1,descentralización,P,"Debiese estar incluido dentro de la Democracia; el tomar acuerdos contextualizados a la realidad de cada grupo de personas que pertenecen  a diferentes zonas, lugares o regiones. Como no es así hay que visibilizarlo"
262,1,descentralización,A,el pais debe vazar a la descentralización es muy importante para un mejor desarrollo social y humanos
263,1,descentralización,A,se necesita que los recursos sean distribuidos en forma más equitativa.
265,1,descentralización,A,"Desentralizacion de recursos, politicas, leyes, bases, programas e instituciones."
266,1,descentralización,A,lograr potenciar cada región del país. De esta manera no continuar focalizando en Santiago  el corazón económico del país. Mediante la obligación de las empresas tributando  encada región. No a la ley de donaciones
281,1,descentralización,A,"Que la autoridad sea elegida y viva en la región; que sus problemas se resuelvan en ella, sin dependencia de  Santiago en lo sustantivo. Hay acuerdo general, aunque queda sin resolver cual es el límite de la autonomía. Además se establece que los recursos  también deben ser gestionados regionalmente."
296,1,descentralización,A,"Económica, política y administrativa, con distribución equitativa del ingreso nacional"
311,1,descentralización,P,"Potenciar el desarrollo económico, social y cultural de cada región, desde la perspectiva de los recursos, herramientas y poderes necesarios para ello, valorando y respetando su diversidad."
317,1,descentralización,A,Para que las provincias y regiones sean más productivas y las personas decidan por ellos
326,1,descentralización,A,Los representantes de los gobiernos regionales deben ser propuestos pro su propia gente.
327,1,descentralización,A,Las regiones de nuestro país deben desarrollarse con equidad procurando un equilibrio dentro de todo el territorio y no solamente en la capital.
328,1,descentralización,A,que cada zona sea respetada por su cultura y particularidad
337,1,descentralización,A,Poder de decisión a las regiones
340,1,descentralización,A,"Apostamos a una descentralización donde puedan ser elegidos las autoridades regionales , administrando los recursos propios y en aquellas regiones que no posean el Estado deberá abastecerlos de fondo. también pensamos que es importante debido que instituciones de relevancia ciudadana están en RM"
345,1,descentralización,A,ya que es necesario una reparticion igualitaria de la tomas de decisiones y oportunidades en el territorio
346,1,descentralización,A,"Descentralización económica, política y territoria"
347,1,descentralización,A,6.-Mayoría sin mayor discusión.
361,1,descentralización,A,"Dada la geografía y diversidad de nuestro país, es imprescindible el ordenamiento territorial."
363,1,descentralización,A,"Descentralización de Santiago, la justicia solo es para Santiago y sus rincones"
