idEla,tema,concepto,acuerdo,fundamento
11,1,dignidad,A,Estándar mínimo y básico de condiciones de vida. Y de trato por parte del Estado y la sociedad.
16,1,dignidad,A,Por ser la cualidad del ser humano que lo hace acreedor a un trato de respeto pues esto es la fuente de los derechos esenciales que garantiza los resguardos de los mismos.
31,1,dignidad,A,una vida digna
43,1,dignidad,A,La vida en Chile debe ser más digna
48,1,dignidad,A,"Pues protege o precave el menoscabo del ser humano, por ser distinto o diferente, es decir, respetarnos por el solo hecho de ser humanos. Dignidad es un concepto integral."
59,1,dignidad,A,"La constitución debe asegurar la calidad de la dignidad de las personas, sobre todo en el acceso a los servicios básicos donde el centro este dado en resguardar la integridad de todo ser humano.  La dignidad es la base de vida de toda persona ."
61,1,dignidad,A,Dignidad trazada por el pueblo mapuche
67,1,dignidad,A,"• Es un derecho humano básico. • Especificar el respeto que se debe tener a cada persona, sea del pueblo que sea, de la cultura que sea, en todas las circunstancias. • El gobierno tiene el deber de asegurar las condiciones mínimas de dignidad para todas las personas en diferentes áreas de la vida:"
68,1,dignidad,A,El Estado debe garantizar la dignidad del ser humano en todo ámbito. La dignidad identifica la existencia del ser humano y que no dependa de intereses privados o de mercado.
79,1,dignidad,A,"Se entiende dignidad como el respeto al individuo, sólo por el valor que este tiene en sí mismo, mirando a las personas por su valor. Atendiendo especialmente a los que son minoría, personas sin voz, escuchando la opinión de quienes parecieran que no la tienen (ej: adulto mayor)"
85,1,dignidad,A,Como principio que debe aplicarse al ejercicio de cada derecho y cumplidor de toda garantía.
86,1,dignidad,A,Es el valor que todos los chilenos deben tener para ser respetados y que debe estar garantizado por el Estado.
100,1,dignidad,A,"Debe ser siempre respetada, garantizada, promovida y defendida por el Estado la dignidad humana. Es importante aclarar que 7 de las 10 participantes creen que la vida inicia con la fecundación."
105,1,dignidad,A,"de tener un salud y educación, vivienda digna y de calidad de vida."
107,1,dignidad,A,"Solo por ser personas humanas todos tenemos la misma dignidad, lo que se traduce en vivir en condiciones dignas, trabajar en condiciones dignas, ser tratados por la ley de manera digna."
112,1,dignidad,A,TODA POLÍTICA PÚBLICA Y TODO EL QUEHACER CIUDADANO DEBE ESTAR A LA ALTURA DE LA DIGNIDAD DE LAS PERSONAS
129,1,dignidad,A,Respeto y amor por si mismo
130,1,dignidad,A,"Respetarse mutuamente, respeto que se siente por uno mismo permite la confianza entre las personas."
136,1,dignidad,A,Es considerada un valor fundamental porque se da por el solo hecho de la existencia del ser humano y el Estado debe procurar garantizarlo.
143,1,dignidad,A,"El derecho de cada persona de ser respetado, valorado, y que no sea avasallada. Se desprenden de éste otros derechos ya señalados (se vinculan)."
153,1,dignidad,A,"todos debemos tenerlas para hacervaler nuestras experiencias , conocimientosy valores en especial en la tercera edad ya que todos somos dignos de respetos"
159,1,dignidad,A,salud-educacion- vivienda- laboral
164,1,dignidad,A,"La dignidad humana debe ser un elemento tranversal y genérico que contemple cualquier ley o política en nuestro país. Se pretende que se valore a todo individuo por el sólo hecho de ser humano, respetando su autonomía y derechos fundamentales."
