idEla,tema,concepto,acuerdo,fundamento
33,1,diversidad,A,"Es importante aceptar a todos. no se debe ver la diversidad solo en el ámbito sexual, si no social, cultural, psicológico, etc."
57,1,diversidad,A,nos permite tomar en cuenta todas las realidades que los ciudadanos poseen.
57,2,diversidad,A,entender que todos somos distintos y eso nos hace unicos
77,1,diversidad,A,"Nosotros apuntamos en nuestra discusión aún más allá: Es el hecho de que todos seamos diversos, esto es, distintos y únicos, la razón por la cual todos debemos ser considerados IGUALES."
79,1,diversidad,A,"En cuanto a la protección de derechos, sin importar las diferencias, dando el valor que corresponde a nuestra característica de ser únicos, independiente de nuestra orientación sexual, género, religión o nivel socio económico."
110,1,diversidad,A,"La Constitución debe reconocer la diversidad de los chilenos. Somos un país de riqueza multicultural, orígenes migratorios, pueblos originarios y credos."
142,2,diversidad,A,"Derecho a la diversidad de formas de ser, de vivir, de pensar, que puedan ser expresadas"
153,1,diversidad,A,Aceptar las diferencias de los otros ser tal como somos y no discriminar
161,1,diversidad,A,Que exista un respeto por la diversidad de grupos humanos y personas que viven en el país.
207,1,diversidad,A,Entendida como fundamento de la igualdad y la integración
210,1,diversidad,A,Aceptar a las personas como son.
232,1,diversidad,A,Hay una dimensión política dada por la idea de la diversidad. Somos distintos y en esa diversidad nos reconocemos como iguales.
240,1,diversidad,P,"Chile es un país diverso en pueblos, identidades, géneros, sexualidades, orientaciones pero todo igual de válidos e importantes."
246,1,diversidad,A,INCLUYE A TODAS LAS MINORIAS SEXUALES Y ETNIAS
252,1,diversidad,A,"Hay que incorporar a la vida civil y a la regulación del estado a todos los chilenos, aceptando sus opciones de vida en cualquier ámbito."
253,1,diversidad,A,"Se espera que cada empleo, tanto público, como privado, reconozca condiciones de igualdad en respeto de la diversidad. Que sea el respeto por la diversidad étnica, religiosa, de identidad sexual y de origen socio-económico, uno de los pilares de nuestra convivencia democrática."
261,1,diversidad,A,el respeto a la diversidad es funamental
302,1,diversidad,A,"La Constitución debe reconocer que todos somos individuos diferentes, pero con igualdad de derechos, deberes y responsabilidad ante la ley."
334,1,diversidad,A,aceptar y convivir con realidades y personas que piensan distinto a nosotros
335,1,diversidad,A,"Se incluye diversidad sexual, religiosa, cultural, etc. y debe ser reconocida y al mismo tiempo valorada por la normatividad"
371,1,diversidad,A,PERMITE DIVERSIDAD DE OPINION
390,1,diversidad,A,Todos somos diferentes y debemos saber convivir.
401,1,diversidad,A,.
408,1,diversidad,P,"Consideramos diversidad bajo el concepto de la tolerancia a partir del Estado y ciudadanía hacia la variedad de etnias y características de los habitantes, en donde se determine un marco regulatorio que proteja y vele a la diversidad, es decir, que se acepte que Chile es variado, que se respeten e"
434,1,diversidad,A,Se debe respetar al otro en toda su esencia e integridad
440,1,diversidad,A,"Principal promotor del respeto entre nosotros mismos, reconociéndonos distintos, con diferentes cualidades, únicos. Reconociéndonos como tal, podremos evitar las múltiples discriminaciones que vivimos como sociedad, por nuestra raza, apellido, nivel educacional, orientación sexual, etc."
468,1,diversidad,A,"Se debe respetar la diversidad cultural, religiosa, de genero, etc."
476,1,diversidad,A,"al haber mas diversidad religiosa, etica y moral la sociedad tendria una vision mas amplia"
499,1,diversidad,A,"Chile debe ser un Estado que reconoce y garantiza la diversidad en todas sus formas, incluyendo: diversidad étnica y cultural, sexual, género, tipos de familias, política y opinión; pues la entiende como un valor que nos nutre como sociedad."
509,1,diversidad,A,Es algo positivo porque refleja lo que es una comuna; un lugar al cual todos debemos concurrir y convivir tranquilamente
526,1,diversidad,A,"Porque somos un país desigual, que excluye, segrega y porque las comunidades han ido comprendiendo que la diversidad enriquece.(.)"
527,1,diversidad,A,"Respeto y valoración de las diferencias expresadas en la identidad territorial y las expresiones patrimoniales, históricos y culturales"
551,1,diversidad,A,"RESPETO POR LAS DIFERENCIAS, DE SEXUALIDAD, RAZA, ETNIAS, ETC."
