idEla,tema,concepto,acuerdo,fundamento
12,4,división_territorial,A,es importante señalar que este concepto costó de llegar a un acuerdo.
16,4,división_territorial,A,Mayor capacidad de decisiones en la región.
59,4,división_territorial,A,"Cada región debe tener independencia para construir la región que se espera, conociendo su historia, geografía y realidad con autonomía y assi manejar de mejor manera sus recursos."
85,4,división_territorial,A,Por una mayor autonomía de las regiones.
96,4,división_territorial,A,"Gobiernos regionales y provinciales, comunales bajo elección popular Desarrollo equitativo de regiones"
108,4,división_territorial,A,debemos tener en cuenta las características geográficas sociales económicas de cada zona
133,4,división_territorial,A,"es importante dividir el territorio, ya que existen diversas realidades"
200,4,división_territorial,A,"División territorial o regional con autonomía, pudiendo recibir para sí recursos de sus materias primas."
250,4,división_territorial,A,"Postulamos que la Nueva Constitución valore las características ecológicas, culturales, geográficas y étnicas que son diferentes a lo largo del país y en base a estas características se divida el país en zonas (por ejemplo, zonas norte, centro, sur, costa cordillera) auto reguladas (con leyes propias conforme a sus culturas, aspirando a largo plazo a un sistema federal) y con recursos destinados a los municipios para ser administrados conforme sus propias necesidades locales."
274,4,división_territorial,A,"Chile es un país muy rico, con partes muy distintas unas de otras."
296,4,división_territorial,A,"que refleje la realidad nacional, lo que no es recogido en la actual regionalización, y que respete la identidad"
379,4,división_territorial,A,creacion de la region cordillera o region aconcagua actualmente parte de la region de valparaiso
385,4,división_territorial,A,La división territorial favorece la descentralización
386,4,división_territorial,A,"Cada territorio que se encuentre dividido con sus leyes , normas y derechos según sea su necesidad."
434,4,división_territorial,A,Como forma de descentralizar el país y sus recursos.
444,4,división_territorial,A,xx
463,4,división_territorial,A,"Debe estar explicitamente expuesta enla constitución, ya que fija nuestra manera de organziación territorial"
466,4,división_territorial,A,Que exista división territorial.
475,4,división_territorial,A,"Reordenamiento de la administración territorial, mayor autonomía y descentralización."
483,4,división_territorial,A,SE NECESITA UNA NUEVA DIVISIÓN TERRITORIAL QUE PERMITA UN MEJOR DESARROLLO DE LOS TERRITORIOS Y QUE CUENTEN CON LOS RECURSOS ECONÓMICOS SUFICIENTES.
486,4,división_territorial,A,Por regiones y autoridades regionales elegidas democráticamente.
494,4,división_territorial,A,Es necesario que la división del territorio quede expresada en la Constitución. Apuntando a formas de descentralización tanto administrativa como política.
523,4,división_territorial,A,QUE CADA REGION PUEDA CRECER DE ACUERDO A SUS RECURSOS  Y REALIDAD
560,4,división_territorial,A,"es fundamental para la distribución del territorio, manteniendo el equilibrio con la naturaleza y no provocando impactos ambientales."
562,4,división_territorial,A,"Poner en discusión los intereses de cada territorio que regule el orden estatal de la comunidad, independiente de la división administrativa."
605,4,división_territorial,A,Región Provincia Comuna
628,4,división_territorial,A,De acuerdo a identidades locales especificas. Implica autonomía territorial.
676,4,división_territorial,A,"a) Un estado federado, conservando las regiones con autonomía administrativas y con decisión sobre la producción en esta. b) Estado unitario, actualmente implementado con mayor decisión en la elección de sus autoridades."
680,4,división_territorial,A,"Es una necesidad estratégica para el desarrollo del país, en especial en el ámbito agrícola. Se debe potenciar cada territorio según sus capacidades y opciones productivas. Es necesario que exista desde el Ministerio de Agricultura una Planificación Territorial."
701,4,división_territorial,A,Importante la descentralización del país y participación de todas las regiones que la componen.
710,4,división_territorial,P,una división mas equitativa tanto política como económica.
726,4,división_territorial,A,"La division territorial debe realizarse y adecuarse a la identidad cultural, geografica y politica de los asentamientos humanos."
749,4,división_territorial,A,que exista division territorial acorde a ca da una de l as zonas del pais
767,4,división_territorial,A,Para lograr llegar a todos los lugares del país.
779,4,división_territorial,A,"Que se considere las características propias de cada una de las regiones, que existan consideraciones y no sea todo centralizado."
822,4,división_territorial,A,Estructura que sea igualitaria en todo el territorio nacional. Que sea en lo político y en lo administrativo.
831,4,división_territorial,A,División política - administrativa del país cuya finalidad es realizar un buen ordenamiento del territorio y su administración.
864,4,división_territorial,A,No somos expertos.
866,4,división_territorial,A,Favorece que cada región sea capaz de administrar sus recursos.
918,4,división_territorial,P,14 de acuerdo Para que las regiones o cuidades sean independientes.
