idEla,tema,concepto,acuerdo,fundamento
1559,3,educación_civica,A,"Es un deber y responsabilidad del estado ,educar desde la primera etapa educacional , para que sepan sus derechos y deberes"
1977,3,educación_civica,A,"Incorporar la educación cívica en el currículo de las escualos básica, media y universitaria, como materias obligatorias."
3545,3,educación_civica,A,el ciudadano tiene el deber de educarse cívicamente para ejercer sus derechos y comprometer el cumplimiento de sus deberes.
5356,3,educación_civica,A,La gente deberia ser expuesta a la eduación civica para que este informada.
5856,3,educación_civica,A,Es un deber educarse en y ejercitar los derechos del ciudadano.
9017,3,educación_civica,A,Es un deber  del estado proporcionar es ramo para tener conciencia y respeto por nuestro país.  Conocer las diferentes funciones del estado y demases.
9656,1,educación_civica,P,Que sea un principio incorporado como un derecho en la constitución.
10133,4,educación_civica,A,"Todas las personas deberían saber cómo funcionan las instituciones y aparatajes del país donde vive. Todos debemos saber cómo funciona nuestro sistema política y aparataje del estado, para participar o reclamar con conocimiento."
10748,3,educación_civica,A,Que se fomente la educación cívica en colegios institutos y universidades para fomentar y generar compromiso a los valores de comunidad social y de estado
11476,3,educación_civica,A,Entregar más herramientas a las comunidades y a los estudiantes.
14124,3,educación_civica,A,"Que se retome la educación cívica, de convivencia básica y respeto. que incluya los derechos y deberes propios y de los demás."
14946,2,educación_civica,A,"Educación civica obligatoria desde la primera infancia, profundizar los contenidos de la asignatura de historia que ayuden a este objetivo"
