idEla,tema,concepto,acuerdo,fundamento
87,1,educación_cívica,A,"Educación cívica en todos niveles de educación  (Básica, Media y superior)"
992,3,educación_cívica,A,"Discutimos la utilidad de la educación civica como una herramienta que permitiría practicar un buen ejercicio de democracia, en cuanto a la participación y la libertad. Es por esto que acordamos que sería un deber de las personas adquirirla y un deber del estado otorgarla."
1055,1,educación_cívica,A,"Un país con ciudadanos educados, no es manipulable. Tendremos buenos demócratas y mejores ciudadanos."
1610,1,educación_cívica,A,Se propone incorporar educación cívica a los establecimientos educacionales.
1774,2,educación_cívica,A,"Creemos que con una educación cívica desarrollada en el contexto educativo básico y medio, podemos obtener ciudadanos"
1943,2,educación_cívica,A,"Es fundamental entregar a la población una educación que permita la reconciliación y valoración positiva de la política, para que la gente participe con conocimientos que permitan promover cambios generados por las bases sociales."
2311,1,educación_cívica,A,Acuerdo incorporar la Educación Cívica en los programas regulares de la Educación.
4934,1,educación_cívica,A,"Ciudadanos educados cívicamente, fortaleceran los espacios de convivencia social. Nos enseñara a ser más solidarios y cooperativos, aprenderemos a vivir en comunidad."
5017,1,educación_cívica,A,Necesidad de educación y conocimiento cívico de los estudiantes.
6241,3,educación_cívica,A,Fundamental para nuestro desarrollo como sociedad
6595,3,educación_cívica,A,Es deber de los ciudadanos formarnos y actuar en consecuencia con la tradición republicana y la participación efectiva en los asuntos públicos.
7064,4,educación_cívica,A,Este mecanismo de cambio es considerado también muy importante para el desarrollo de la vida ciudadana y debiera estar integrado por ley a diferentes espacios del quehacer ciudadano.
7419,4,educación_cívica,A,"Debe existir una institución que se preocupe de educar a la gente en todas las temáticas que necesite para desarrollarse como ciudadano del país, política, asuntos económicos, raíces(pueblos originarios)"
9147,1,educación_cívica,A,Que garantice la cultura democrática y participativa del país. Es la base para la participación ciudadana.
10110,3,educación_cívica,A,"El Estado debe asegurar la formación y difusión obligatoria en los establecimientos educacionales de la educación cívica, para formar ciudadanos conscientes"
10225,1,educación_cívica,A,Es necesaria desde la educación básica para que no sigamos potenciando la despolitización
10909,3,educación_cívica,A,"El estado tiene el deber y la responsabilidad de proporcionar, fomentar y promocionar la formación ciudadana hacia las relaciones con el otro,  buscando fortalecer los espacios de convivencia social, solidaridad y cooperación."
11239,1,educación_cívica,A,• Que se integre nuevamente en los establecimientos educacionales la educación cívica.  • Calidad ciudadana: Generar conciencia en estos.  • Se plantea el voto obligatorio y la baja participación de los procesos electorales por parte de los jóvenes.  .
11314,4,educación_cívica,A,SE DEBE RESTABLECER LA EDUCACIÓN PARA LA PARTICIPACIÓN EN EL PAÍS
11822,1,educación_cívica,A,para que todos puedan participar y ser parte de los procesos cívicos. Todos deben saber como funciona el sistema.
11862,2,educación_cívica,A,Educación respeto a los procesos de la sociedad para su construcción.
12615,3,educación_cívica,A,Durante este proceso pudimos darnos cuenta que no tenemos mayor conocimiento sobre los derechos que tenemos como ciudadanos ni las leyes que nos rigen.
12633,1,educación_cívica,A,"Si lo consideramos es importante para entender y formar la tolerancia, respeto, responsabilidades ciudadanas,  participación política y  así no tendrían  opción de borrarlo de los contenidos de la educación media. Estaríamos todos con los conocimientos  desde niños y crearemos el cambio cultural ."
13355,2,educación_cívica,A,Acceso a clases cívicas para la formación de un correcto ciudadano.
13457,1,educación_cívica,A,"para todos, donde las personas puedan debatir y de esta forma terminar con la ignorancia."
13547,1,educación_cívica,A,"LA INCORPORACIÓN DE LA EDUCACIÓN CÍVICA EN LA EDUCACIÓN SISTEMÁTICA  FACILITARÁ EL LOGRO DE TODOS LOS PRINCIPIOS , OBJETIVOS Y VALORES DE UNA VERDADERA DEMOCRACIA."
14764,3,educación_cívica,A,Debemos conocer nuestros derechos para exigirlos y los deberes para cumplir con ellos.
14770,3,educación_cívica,A,Como la posibilidad de integrar a mayores sectores en las decisiones de la vida nacional.
