idEla,tema,concepto,acuerdo,fundamento
8,3,ejercicio_legítimo_y_no_abusivo_de_los_derechos,A,actuar de acuerdo al principio ético de no perjudicar al otro en el ejercicio de los derechos.
9,3,ejercicio_legítimo_y_no_abusivo_de_los_derechos,A,Los derechos de unos no deben ser puestos en práctica en desmedro de los derechos del otro.
12,3,ejercicio_legítimo_y_no_abusivo_de_los_derechos,A,"Estamos de acuerdo en que este concepto es basico en una constitución, queremos una país que se respeten los derechos humanos."
16,3,ejercicio_legítimo_y_no_abusivo_de_los_derechos,A,El estado tiene la obligación de implementar vías que permitan la corrección del uso abusivo de uno o mas derechos.
19,3,ejercicio_legítimo_y_no_abusivo_de_los_derechos,A,Que la responsabilidad sea bien ejercida por las fuerzas armadas y no se generen abusos de este derecho.
31,3,ejercicio_legítimo_y_no_abusivo_de_los_derechos,A,es necesario
33,3,ejercicio_legítimo_y_no_abusivo_de_los_derechos,A,"constante vemos como se abusa de los derechos y como las personas que realmente los necesitan, pierden la oportunidad de utilizarlos. crear conciencia para que que no se abuse de ellos."
35,3,ejercicio_legítimo_y_no_abusivo_de_los_derechos,A,"Poner un límite al ejercicio de los derechos, resguardar el espíritu de estos, sin dañar otros derechos. Garantía de que se deben ejercer derechos, no de una manera que busque resquicios legales y doble interpretación. Ejercicio solidario. Se extiende a personas, instituciones y privados."
36,3,ejercicio_legítimo_y_no_abusivo_de_los_derechos,A,"El titular de un derecho debe actuar de conformidad a las leyes, procurando no abusar de su facultad y causar injustamente algún daño a terceros."
46,3,ejercicio_legítimo_y_no_abusivo_de_los_derechos,A,.
48,3,ejercicio_legítimo_y_no_abusivo_de_los_derechos,P,"Porque los abusos del derecho, provocan la no consideración de los mismos, pudiendo perder importancia. Quién determina que se ha abusado de un derecho?"
54,3,ejercicio_legítimo_y_no_abusivo_de_los_derechos,P,La gran mayoría creemos que debemos exigir y cumplir nuestros deberes respetando al otro.
55,3,ejercicio_legítimo_y_no_abusivo_de_los_derechos,A,Sin comentarios
56,3,ejercicio_legítimo_y_no_abusivo_de_los_derechos,A,Debido a que nadie puede ni debe abusar de sus derechos y a que mucha gente si lo hace
58,3,ejercicio_legítimo_y_no_abusivo_de_los_derechos,A,no hay que abusar de los derechos de las personas y se estipulan para ser respetados y cumplirnos
59,3,ejercicio_legítimo_y_no_abusivo_de_los_derechos,A,Tenemos derechos y deberes donde todas las personas debemos conocer.  Como seres humanos necesitamos no caer en la corrupción de los derechos.
63,3,ejercicio_legítimo_y_no_abusivo_de_los_derechos,A,Actuar dentro del marco y no incurrir en el aprovechamiento.
68,3,ejercicio_legítimo_y_no_abusivo_de_los_derechos,P,El equilibrio entre el derecho y el deber  debe cuidarse para hacer ejercicio en plenitud  de cada garantía que nos entrega como individuo.
74,3,ejercicio_legítimo_y_no_abusivo_de_los_derechos,A,- El abuso de los derechos socava la legitimidad misma del derecho. - Limita el acceso al derecho legítimo a los que hacen uso racional.
76,3,ejercicio_legítimo_y_no_abusivo_de_los_derechos,A,respeto a minorías.
78,3,ejercicio_legítimo_y_no_abusivo_de_los_derechos,A,Hacer justo uso de los derechos sin perjudicar a otros.
79,3,ejercicio_legítimo_y_no_abusivo_de_los_derechos,A,Fundamentado en el respeto por nosotros mismos y por el poder.
82,3,ejercicio_legítimo_y_no_abusivo_de_los_derechos,A,Todas las personas deben saber que tienen derechos y que pueden ejercerlos.
85,3,ejercicio_legítimo_y_no_abusivo_de_los_derechos,A,Frente a empoderamiento mal comprendido un ejercicio que no ha sido responsable.
87,3,ejercicio_legítimo_y_no_abusivo_de_los_derechos,A,"Diputado y Senadores no deben subir sus sueldos arbitrariamente. Cargos públicos no renovables (solo un segundo periodo) para evitar la corrupción. Postulantes a cargos (Alcaldes, concejales, etc) Vivan en la comuna que representan."
