idEla,tema,concepto,acuerdo,fundamento
24,1,emprendimiento_libre,A,"el estado debe dar/garantizar las herramientas para las libres iniciativas económicas, respetando las normas legales."
297,1,emprendimiento_libre,A,"La constitución debe garantizar el derecho de las personas y los grupos intermedios a realizar y emprender sus propios negocios y actividades económicas, amparados por el derecho en el desempeño de estas."
315,1,emprendimiento_libre,A,"En este cabildo todos los puntos fueron discutidos y sometidos a votación, los que aqui se registran son los que obtuvieron las 7 primeras mayorías."
319,1,emprendimiento_libre,P,"La libertad de emprendimiento, bajo reglas claras y permanentes es necesaria para el desarrollo económico nacional."
442,1,emprendimiento_libre,P,"más organizaciones sociales, medio ambientales y financieras."
476,1,emprendimiento_libre,A,"como seres humanos debemos ser iguales, percibir lo mismo y aceptar la diferencia de genero"
571,1,emprendimiento_libre,A,"Cualquier persona pueda tratar de hacer realidad sus proyectos de vida a través de su propio emprendimiento, negocio o empresa."
666,1,emprendimiento_libre,A,"Existe una cultura que favorece y justifica, cuando es necesario, la labor del hombre en desmedro de la mujer. misma labor, diferente sexo, diferente sueldo."
700,1,emprendimiento_libre,A,"Falta mayor fiscalización y más funcionarios Municipales, para abordar las desigualdades."
713,1,emprendimiento_libre,A,"Potenciar a los reales emprendedores, especialmente a quienes más conribuyen a generar empleo"
722,1,emprendimiento_libre,A,"La sociedad no da posibilidades y no tenemos oportunidades para emprender, todo lo contrario el Estado nos limita las posibilidades ya que nos exigen muchos requisitos y no los podemos cumplir"
765,1,emprendimiento_libre,A,Para que cada uno tenga derecho a elegir lo que quiere emprender.
904,1,emprendimiento_libre,A,"Todos los puntos fueron sometidos a votación, y los que aquí están seleccionados son aquellos que obtuvieron la mayoría."
1071,1,emprendimiento_libre,A,La sociedad se funda en el esfuerzo individual y que tal principio permitió que pasáramos de una economía socialista a una de libre mercado.- Fue elegido con 10 votos
1108,1,emprendimiento_libre,A,"Toda persona tendrá derecho a emprender libremente un proyecto,  negocio o empresa."
1556,1,emprendimiento_libre,A,Apoyar iniciativas que permitan mejorar la calidad de vida de la comunidad
1618,1,emprendimiento_libre,A,"MEJORAS EN LAS OPORTUNIDADES DE EMPRENDIMIENTO, GENERANDO REDES LOCALES."
1648,1,emprendimiento_libre,A,LIBERTAD Y GARANTIA DE EMPRENDER
1680,1,emprendimiento_libre,P,"queremos ser un aporte en los cambios, con iniciativas y que estas sean tomadas en cuenta. 3 de acuerdo  6 acuerdo parcial 2 en desacuerdo."
1715,1,emprendimiento_libre,A,Cualquier persona pueda tratar de hacer realidad sus proyectos de vida a través de su propio emprendimiento  o empresa.
1727,1,emprendimiento_libre,A,"es importante que todos tengan la opción de emprender en el rubro que estimen conveniente, no atentando claro a los demás"
1819,1,emprendimiento_libre,A,Es fundamental para el desarrollo de los ciudadanos y del país.
1910,1,emprendimiento_libre,A,"orientacion, apoyo y accesibilidad a los nuevos emprendedores, tecnica y economicamente"
1933,1,emprendimiento_libre,A,Se debe resguardar la libertad y libre iniciativa para desarrollar cualquier actividad económica.
1969,1,emprendimiento_libre,A,QUE EXISTA MAYOR FINANCIAMIENTO Y MENOS TRABAS PARA CREAR UN EMPRENDIMIENTO POR IGUAL
1994,1,emprendimiento_libre,A,Todos los ciudadanos tenemos derecho a comenzar un negocio y trabajar por nuestra cuenta.
2014,1,emprendimiento_libre,A,FOMENTA Y CONSAGRA LA LIBERTAD INDIVIDUAL.
2017,1,emprendimiento_libre,A,"El estado debe colocar las reglas claras, pero a la vez incentivar a que cada ciudadano sea capaz de generar riqueza y no ahogarlo en impuestos."
2130,1,emprendimiento_libre,A,"Cualquier persona pueda tratar de hacer realidad sus proyectos de vida a través de su propio emprendimiento, negocio o empresa."
2150,1,emprendimiento_libre,A,Este tema apunta directamente al segmento de ferias libres
2160,1,emprendimiento_libre,A,Cada individuo debe tener la libertad de emprender de acuerdo a sus potenciales y necesidades sin intervencion del Estado
2369,1,emprendimiento_libre,A,necesario para el crecimiento con igualdad y de oportunidades para todos y todas
2530,1,emprendimiento_libre,A,Derecho a un espacio y oportunidades con entrega de apoyo económico a talleres para emprender un negocio
2564,1,emprendimiento_libre,A,"Frente a la insistente burocracia se requiere, más la existencia de canales más expeditos, para fortalecer  el emprendimiento libre."
2572,1,emprendimiento_libre,A,Cualquier persona debe tener la oportunidad de realizar sus sueños y desarrollarlos
2708,1,emprendimiento_libre,A,"El Estado debe regular el emprendimiento libre con leyes específicas, buscando la igualdad."
2709,1,emprendimiento_libre,A,Va muy de acuerdo con autonomía y libertad y es fundamental para el desarrollo.
2746,1,emprendimiento_libre,A,Se debe resguardar la libertad y libre iniciativa económica.
2773,1,emprendimiento_libre,A,Toda persona pueda tratar de hacer realidad sus emprendimientos
2944,1,emprendimiento_libre,A,"Todo ser humano tiene derecho al crecimiento laboral, social y económico."
2958,1,emprendimiento_libre,A,"Principio fundamental, acorde con el de la Libertad, que permite a cada persona salir adelante en base a su esfuerzo y mérito personal."
3046,1,emprendimiento_libre,A,"Las Pymes son el motor de nuestra sociedad la importancia de estas para el empleo son indiscutibles, en una economía emergente, necesitamos acceso a aportes del Estado para el emprendimiento y avance económico, menos trabas tributarias."
3055,1,emprendimiento_libre,A,tener mas apoyo económico y capacitación sin discriminación para proyectos del empleador
3061,1,emprendimiento_libre,A,"La Constitución debe garantizar el derecho de las personas y de los grupos intermedios a realizar y emprender sus propios negocios y actividades económicas, amparados por el derecho en el desempeño de éstas"
3066,1,emprendimiento_libre,A,"Para permitir el desarrollo de la persona. Se refiere a emprendimiento de negocios, social, personal o de cualquier índole"
3186,1,emprendimiento_libre,A,Que permita disminuir monopolio  en Chile. Vinculado a la responsabilidad social y ambiental. Respeto a la propiedad privada y que nuevos actores puedan ingresar al mercado.
3214,1,emprendimiento_libre,A,"Reconocimiento, integración, respeto y valoración de los distintos orígenes, identidades y elecciones, sean estos étnicos, culturales, biológicos o políticos."
3278,1,emprendimiento_libre,A,Existen muchas dificultades para poder emprender en la actualidad. Existe una falta de equidad.
3416,1,emprendimiento_libre,A,Cualquier persona puede tratar de hacer realidad sus proyectos de vida a través de su emprendimiento
3441,1,emprendimiento_libre,A,LAS PERSONAS DEBEN TENER LA OPCIÓN DE EMPRENDER. LOS REQUISITOS Y TRAMITES DEBEN SER SIMPLIFICADOS.
3511,1,emprendimiento_libre,A,"Se debe garantizar el emprendimiento de las personas, potenciar el desarrollo de todos y de cada uno y del patrimonio que cada uno pueda lograr conseguir. el derecho a la propiedad privada."
3535,1,emprendimiento_libre,A,"inculcar y fomentar el emprendimiento a la comunidad  como política de estado, lo que permitirá mejorar la calidad de vida y satisfacer la creatividad de la poblacion."
3544,1,emprendimiento_libre,A,"Para que haya oportunidades para todos en materia de iniciativa privada, pues genera empleo."
3578,1,emprendimiento_libre,A,Tener la oportunidad de elegir libremente como surgir.
3664,1,emprendimiento_libre,A,"Iniciativa para desarrollan para cualquier actividad económica, respetando las leyes que la regulen."
3675,1,emprendimiento_libre,A,"Las personas no deben estar obligadas a solo realizar alguna actividad determinada, la constitución debe garantizar la diversidad del actuar económico de cada individuo, siempre que este no sea causa de infracción según la legislación vigente y tampoco sea perjudicial para la ciudadanía, otras form"
3717,1,emprendimiento_libre,A,Autonomía y desarrollo para superar la pobreza.
3763,1,emprendimiento_libre,D,"Hay dos posturas. Una que esta de acuerdo porque es algo que se debe garantizar y que además, concreta o hace posible otros principios. Debe consagrarse la libre iniciativa, ya que esta apunta a sacar adelante a la familia, entre otros. Contra: porque se considera dentro de la subsidiariedad"
3780,1,emprendimiento_libre,A,Todos tenemos la libertad de realizar negocios o emprendimientos para hacer realidad nuestros proyectos de vida
3782,1,emprendimiento_libre,A,"Altos valores de patentes dificultan el emprendimiento. Se requiere mayor apoyo del Gobierno. Se requiere mayor capacitación a personas para distintas especialidades, y no abandonarlos en el camino, debe hacerse el seguimiento adecuado."
3833,1,emprendimiento_libre,A,"Intransable, dependiendo del potencial de cada persona."
3908,1,emprendimiento_libre,A,Dar la posibilidad de que las familias emprendan con ayuda del estado.
3958,1,emprendimiento_libre,A,por que no todos entienden las formas de trabajo de las instituciones
3965,1,emprendimiento_libre,A,ES MUY NECESARIO
3968,1,emprendimiento_libre,A,"Las personas no estudian demasiado y no existe trabajo, por lo tanto, consideramos que debe existir el emprendimiento libre"
4037,1,emprendimiento_libre,A,Principio esencial que debe consagrar nuestra constitución
4111,1,emprendimiento_libre,A,"Las personas deben tener acceso para poder desarrollar y ejercer diversas actividades económicas, sociales y culturales sin cargas onerosas en exceso"
4123,1,emprendimiento_libre,P,Se piden mayores herramientas al Estado para pequeños emprendedores. Mayores estudios y capacitación para emprender.
4251,1,emprendimiento_libre,A,"Que cualquier persona pueda tratar de hacer realidad sus proyectos de vida a través de su propio emprendimiento, negocio o empresa."
4335,1,emprendimiento_libre,A,"Debe existir libertad para realizar proyectos de vida a traves del propio emprendimiento, negocio o en empresa"
4381,1,emprendimiento_libre,A,Cada persona puede tener la libertad y apoyo del Estado para crear e iniciar un emprendimiento.
4424,1,emprendimiento_libre,A,sin fundamento
4435,1,emprendimiento_libre,A,Unánime hay que favorecer la libertan de trabajo
4455,1,emprendimiento_libre,A,"Dejar a las personas trabajar, no quitar la mercadería a la gente emprendedora"
4476,1,emprendimiento_libre,A,"Mayores oportunidades de emprendimiento, apoyo durante el desarrollo del emprendimiento y mayores recursos en el área del emprendimiento."
4482,1,emprendimiento_libre,A,Pilares CChC
4484,1,emprendimiento_libre,A,"TODOS TENEMOS EL DERECHO A DESARROLLARNOS EN EL AREA, OFICIO O PROFESION QUE CREAMOS SEA CONVENIENTE PARA CADA UNO"
4559,1,emprendimiento_libre,A,todos tenemos derecho a surguir y a comenzar un trabajo
4574,1,emprendimiento_libre,A,Toda la ciudadanía tiene derecho a concretar nuevos negocios e ideas que permita ampliar sus condiciones de vida. El estado debe regular los monopolios.
4904,1,emprendimiento_libre,A,"Cualquier persona pueda tratar de hacer realidad sus proyectos de vida a través de su propio emprendimiento, negocio o empresa."
4929,1,emprendimiento_libre,A,"hoy es fundamental consagrar este principio ya que  los chilenos y chilenas han demostrado tener un gran sentido de emprendimiento, considerándose un motor de la economía nacional, por lo que se debe proteger por parte del estado."
4935,1,emprendimiento_libre,A,libertad y libre iniciativa para desarrollar cualquiera actividad económica respetando las normas legales que la regulen.
4960,1,emprendimiento_libre,A,Crear un proyecto que puede surgir. Lo importante es creer que uno puede.
5123,1,emprendimiento_libre,P,visiones distintas respecto a quienes pueden emprender en los territorios.
5184,1,emprendimiento_libre,A,"Acuerdo unánime. Cada persona debe ser capaz de hacer realidad sus proyectos de vida o negocios, siempre al amparo del orden público y el respeto de la ley."
5196,1,emprendimiento_libre,A,"Que exista un apoyo real a toda la diversidad de ideas independiente de su origen, dejando surgir emprendimientos de pequeña escala."
5214,1,emprendimiento_libre,A,1) Emprendimiento libre: Como derecho económico individual cumpliendo con las o Derecho a desarrollar una actividad económica con respecto al ordenamiento jurídico en pos del bien común.
5334,1,emprendimiento_libre,P,"si bien una mayoría considera que es la clave para la creación de empleo, algunos consideran que hay valores más trascendentes."
5463,1,emprendimiento_libre,A,El Estado de la libertad y sin burocracia a todos avalandole ante los bancos en el primer emprendimiento Chile crece gracias a los nuevos empresarios.
5467,1,emprendimiento_libre,A,Todos deben tener las mismas oportunidades y facilidades para emprender sin importar condiciones
5493,1,emprendimiento_libre,A,"Desde la asamblea constituyente se definan con claridad los emprendimientos y se respete la libertad, de ejecutarse, mientras no vaya en perjuicio de terceros ni del propio ejecutor."
