idEla,tema,concepto,acuerdo,fundamento
3,1,estado_de_derecho,A,La ley impera tanto para gobernantes y para gobernados con pleno respeto a los derechos esenciales que emanan de la naturaleza humana. Es la base de la construcción de cualquier relación
13,1,estado_de_derecho,A,"La separación de los tres poderes del Estado no es completamente efectiva. El estado debe ser laico, de tal modo que se impida que grupos con intereses corporativos impongan una visión al conjunto de la sociedad."
20,1,estado_de_derecho,A,Es esencial este concepto: la Constitución está por encima de las leyes y éstas por sobre decretos u ordenanzas.
29,1,estado_de_derecho,A,permite un pais mas ordenado
36,1,estado_de_derecho,A,"Respeto a la Constitución y normas dictadas conforme a ella, junto a sus principios, resulta fundamental para establecer una adecuada convivencia social y ejercicio de la democracia."
54,1,estado_de_derecho,A,Que garantice las leyes y los derechos de todos los ciudadanos.
55,1,estado_de_derecho,A,Sin comentarios
57,1,estado_de_derecho,A,el poder y actividades que se aseguran y regulan gracias a la ley.
63,1,estado_de_derecho,A,"Valor y principio fundamental, básico e intransable para los ciudadanos de nuestro país."
70,1,estado_de_derecho,A,Es importante para preservar la vida humana y la vida en general en nuestro planeta.
87,1,estado_de_derecho,A,"Que se garantice los derechos de cada ciudadano tanto como en salud y educación, libertad de expresión trabajos y sueldos dignos"
98,1,estado_de_derecho,A,Es fundamental que las autoridades y ciudadanos se sometan al ordenamiento jurídico válidamente generado.
105,1,estado_de_derecho,A,sin observaciones
115,1,estado_de_derecho,A,Es el garante de la democracia
124,1,estado_de_derecho,A,.
126,1,estado_de_derecho,A,TODOS DEBEMOS RESPETAR LAS NORMAS QUE RIGEN EN EL PAÍS. NI LAS AUTORIDADES NI LOS CIUDADANOS PUEDEN ESTAR SOBRE LA LEY.
136,1,estado_de_derecho,A,Es importante porque en él se establecen los límites y condiciones en los que nos podemos desenvolver como sociedad.
169,1,estado_de_derecho,A,DEBE  SER GARANTIZADO POR LA DEMOCRACIA Y SUS INSTITUCIONES.
