idEla,tema,concepto,acuerdo,fundamento
16,4,estado_de_excepción,A,Ante las catástrofes que siga estando activo y vigente.
29,4,estado_de_excepción,A,debe continuar tal cual funciona hasta hoy
33,4,estado_de_excepción,A,solo en casos de catástrofes naturales. que no se vulnerabilizen los derechos humanos.
48,4,estado_de_excepción,A,Necesidad de seguridad en caso de caos o catástrofe para que no haya abusos.
54,4,estado_de_excepción,A,Es importante que exista ya que con el estado de excepción existe un orden y los encargados de gobierno puedan actuar en momentos que lo requieren.
74,4,estado_de_excepción,A,"- Justificado en situaciones excepcionales, pero debe estar muy bien definido, regulado, lejos de aplicación impropia."
75,4,estado_de_excepción,A,Se ven prioridades
80,4,estado_de_excepción,A,xxxxxxxxxx
107,4,estado_de_excepción,A,Es necesario que los estado de excepción se apliquen en situaciones de emergencia y catástrofe para mantener el orden y cuidar a toda la ciudadanía.
144,4,estado_de_excepción,A,"Sería imponte definir estado de excepción, que exista como  herramienta ante adversidades. Que se aplique con resguardo sin pasar por sobre los derechos de las y los cuidadanos."
259,4,estado_de_excepción,A,Las garantías institucionales no pueden ser pasadas a llevar por un estado de excepción . Los recursos frente a laguna situación que sobre pase el actuar de las instituciones debiesen funcionar en cada una de estas situaciones.
297,4,estado_de_excepción,A,Necesarios para garantizar el bien común y la seguridad nacional frente a determinadas situaciones de carácter especial y excepcional
298,4,estado_de_excepción,A,"- Que ante situaciones de catástrofes naturales y descontrol público se haga efectivo, por el bien de la ciudadanía"
302,4,estado_de_excepción,A,"Debería existir un proceso más simple y directo, por ejemplo, a nivel local, para establecer el estado de excepción ante una emergencia o catástrofe, pero con las debidas regulaciones para evitar su mal uso."
303,4,estado_de_excepción,A,Es fundamental para el orden público en caso de desastres naturales y desordenes sociales.
378,4,estado_de_excepción,A,Se considera como fundamental el hecho que este incluido en la nueva consitución
396,4,estado_de_excepción,A,si es necesario se debe ejecutar si temor
406,4,estado_de_excepción,A,0
411,4,estado_de_excepción,A,"Debe existir, siempre y cuando sea bien utilizado."
426,4,estado_de_excepción,A,"Que se mantengan, para las situaciones excepcionales que lo ameriten para proteger a la población y facilitar una respuesta eficiente de la autoridad y del aparato Estatal."
471,4,estado_de_excepción,A,.
475,4,estado_de_excepción,A,Pre establecidos - situaciones                                -quién
481,4,estado_de_excepción,A,Sólo en casos de emergencias muy justificadas.
552,4,estado_de_excepción,P,Este estado de excepción debiese quedar clasificado en al constitución.
608,4,estado_de_excepción,A,Idem a la carta constitucional actual.
632,4,estado_de_excepción,A,"Se debe debatir sobre este punto en la constitución, sobre los alcances y necesidad, debido a nuestros constantes desastres naturales."
666,4,estado_de_excepción,A,Para ir en auxilio y resguardo posterior a una catástrofe.
668,4,estado_de_excepción,P,"Es una herramienta con el que el Poder Ejecutivo debe contar en momentos de catástrofes o de excepción para mantener el orden, dirigir recursos u otros."
