idEla,tema,concepto,acuerdo,fundamento
345,1,estado_garante,A,"se considera como una necesidad, el que el estado sea capaz de asegurar derechos minimos necesarios para la poblacion, eliminado en la constitucion de 1980."
483,1,estado_garante,A,"UN ESTADO QUE TENGA COMO VALOR, GARANTIZAR LOS DERECHOS, COMO LA EDUCACIÓN, LA SALUD, LA VIVIENDA, LAS PENSIONES."
601,1,estado_garante,A,estado garante
772,1,estado_garante,P,El estado debe hacer valer y respetar nuestros derechos. penas duras a quienes tomen desiciones unilaterales en representación de un grupo y que tenga repercusiones negativas directas a las comunidades.
1176,1,estado_garante,A,"Estado debe garantizar acceso a determinados derechos básicos: Salud, educación, pensión y vivienda."
1357,2,estado_garante,A,"Garantice el Estado, los derechos políticos y sociales a todo nivel."
2245,3,estado_garante,A,"El Estado debe garantizar la educación, alimentación,vivienda, salud, trabajo y ocio."
3242,1,estado_garante,A,que el estado garantice en igualdad de derechos a todos y todas
3694,1,estado_garante,A,Valor que promueve la responsabilidad y el rol activo del Estado de asegurar y proveer prestaciones que el conjunto de la sociedad ha determinado como básicos.
3809,1,estado_garante,A,El estado debe garantizar las necesidades básicas a todos los ciudadanos. Proteger y regular el funcionamiento de los servicios públicos
5179,1,estado_garante,A,"Estado eficiente, fuerte, regulador, fiscalizador que garantice los derechos sociales, humanos y la seguridad social."
5491,1,estado_garante,A,"El Estado debe garantizar los derechos básicos de las personas tales como la salud, educación, vivienda, jubilaciones dignas, entre otros."
6187,1,estado_garante,A,"El estado debiera garantizar servicios sociales básicos (educación, salud, pension, etc)."
6805,1,estado_garante,A,Estado no subsidiario.
6972,1,estado_garante,P,"Que los poderes del estado sean responsables en su quehacer, así como en resguardar los derechos y la participación vinculante de la sociedad."
6997,3,estado_garante,A,"El estado debe garantizar los derechos civiles, políticos, sociales, culturales y económicos. Además pasar de un estado subsidiario a un estado garante de derechos."
