idEla,tema,concepto,acuerdo,fundamento
8,1,estado_laico,A,Una democracia moderna y pluralista requiere la separación de los credos religiosos. Los derechos por los que debe regirse la sociedad deben fundarse en principios no excluyentes como pueden ser los religiosos.
11,1,estado_laico,A,"Tiene que ser efectivo, no solo parecer."
35,1,estado_laico,A,"El que ninguna institución religiosa tenga poder sobre el estado para definir los valores y símbolos de éste. El estado debe reconocer la diversidad de credos y ausencia de credos, respetando cada caso por igual."
46,1,estado_laico,P,"Que el estado respete cada una de las creencias religiosas, siempre y cuando no afecten la moral y las buenas costumbres. Que el estado no prohíba las manifestaciones públicas de fe de la sociedad chilena."
68,1,estado_laico,A,Que se respete y legitime el Estado  sin intervención de religiones o creencias o dogmas. Que se garantice al individuo en su integridad todos los Derechos que le corresponden independiente de su credo.
74,1,estado_laico,A,"- El Estado debe mantenerse neutro en una sociedad multiconfesional. - El fundamento de las leyes debe ser por razonamiento, no revelación."
78,1,estado_laico,A,"Queremos que la religión católica deje de ser la religión oficial de Chile, dado que se inmiscuye en los asuntos del estado."
82,1,estado_laico,A,No puede haber imposición de una creencia por sobre otra en un pañis donde coexisten varis creencias. Libertad de Creencias.
101,1,estado_laico,A,"Se dice que la Iglesia está separada del Estado, pero eso no es efectivo para las Iglesias. Hay que garantizar esa separación y que se le de igualdad de trato a todas las iglesias. El estado no debe ser confesional."
106,1,estado_laico,A,"Separación real y efectiva del Estado y las opiniones  de entes religiosas, sin perjuicio del libre ejercicio de cualquier culto."
110,1,estado_laico,A,"Chile es un país multi-cultural, su Estado está por sobre credos específicos. Sus principios y normas son los reconocidos por el derecho y las leyes."
111,1,estado_laico,A,"Separación entre los credos y el Estado. El Estado no puede favorecer una religión particular, ni regirse por éstas."
114,1,estado_laico,A,Es imprescindible que los valores sean universales.
136,1,estado_laico,A,El Estado no debe ejercer apoyo a un credo específico ni permitir actos de discriminación o represión contra determinados grupos religiosos.
143,1,estado_laico,A,Supuesto 1925 – poder fáctico de la iglesia católica y legislación. La base de cualquier sociedad civilizada es dejar las creencias personales fuera de las decisiones de estado. Injerencia de la iglesia (católica y protestante… y otros) en decisiones de Gobierno debe detenerse.
144,1,estado_laico,A,"Que el estado sea efectivamente laico, que la iglesia no se entrometa en las decisiones personales. Actualmente perjudica a mujeres y diversidad sexual."
148,1,estado_laico,A,ABOGAMOS POR UN ESTADO LAICO LIBRE DE INFLUENCIAS RELIGIOSAS (MORAL)
162,1,estado_laico,A,Impedir que la iglesia y sus doctrinas interfieran en el desarrollo de las actuaciones que efectúa el Estado.
164,1,estado_laico,A,Chile debe ser un Estado Laico con la finalidad de velar por el respeto e integridad de todos los ciudadanos sin importar credo u origen cultural.
166,1,estado_laico,A,"Las diversas religiones deben respetar las determinaciones individuales sin imponer obligaciones por sobre los derechos legales, y la libertad de pensamiento."
