idEla,tema,concepto,acuerdo,fundamento
111,4,estado_solidario,A,Implica el ejercicio de la responsabilidad en el bienestar social y en asegurar la dignidad de derechos de todas las personas. Es un verdadero y genuino Estado Social y Democrático de Derecho.
404,2,estado_solidario,A,"Estado que participe, que sea dueño y responsable de bienes comunes, que garantice derechos básicos y dignidad de todos y cada uno"
2065,1,estado_solidario,A,"Que la comunidad tenga acceso a los bienes consagrados por el Estado, que no sean los privados los que monopolicen los bienes y servicios."
2695,1,estado_solidario,P,"Estado al servicio de las personas, en pos de su desarrollo en contraposición al concepto de crecimiento que se ha instalado"
2962,1,estado_solidario,A,"Que asume la interdependencia entre sus miembros, y por tanto garantiza y promueve mecanismos de cooperación, compensación y reparto."
3167,1,estado_solidario,A,Es importante que el Estado tenga un rol de asegurar la repartición de la riqueza fin del Esado subsidiario.
3297,1,estado_solidario,A,"El Estado garantizará cobertura para las necesidades básicas de cada individuo (salud, educación, alimento, vivienda y trabajo). El Estado garantizará la correcta y justa redistribución de los recursos."
3553,4,estado_solidario,A,"Un Estado que oriente la convivencia a partir de la consideración de todos y todas las habitantes del país, sus vínculos comunitarios y de colaboración, la solidaridad, la inclusión y la integración, para el bienestar y desarrollo del conjunto de la población, sin exclusiones."
3583,1,estado_solidario,A,"Como el modelo de estado que cubre y cruza a todos los habitantes del territorio nacional en materia de salud, educación, previsión y demás derechos económicos, sociales y culturales en contraposición a un estado subsidiario."
4157,1,estado_solidario,A,"o estado de bienestar, postula que los medios de producción y los servicios públicos deben ser de propiedad estatal.  Esto porque el bien social no esta en la naturaleza de los privados, ejemplo, la educación , la salud, la previsión social.  Un estado que postule la reducción de la pobreza, etc,"
4951,1,estado_solidario,A,Por el colapso del modelo de Estado Subsidiario y por la necesidad de justicia social.
4963,1,estado_solidario,A,El Estado como principal impulsor del Bien Común
5577,1,estado_solidario,A,"El Estado Chileno debe fomentar la solidaridad entre los chilenos/as y entre los pueblos, creando mecanismos de cooperación y asociación entre los seres humanos como integrantes de una sociedad civil global, basada en el respeto a los Derechos Humanos, en la búsqueda de una vida digna, bien común."
5846,4,estado_solidario,A,Cambiar el actual Estado Subsidario por uno que distribuya equitativamente los recursos y asegure la vida digna.
6117,1,estado_solidario,A,QUE SE HAGA CARGO DE GARANTIZAR LOS DERECHOS UNIVERSALES
6196,1,estado_solidario,P,relaciones sociales y de política pública centradas en el apoyo mutuo y el bien común
6547,1,estado_solidario,A,"Que ilumine a diferentes ámbitos de la nación en un marco de funcionamiento solidario y no individualista, en particular con los mas débiles, independiente de las capacidades y logros de cada uno."
8477,1,estado_solidario,A,"Entendido como un Estado laico que se haga responsable de cubrir dignamente los derechos y necesidades básicas de los ciudadanos, procurando generar igualdad de oportunidades en materia salarial, patrimonial, educativa, cultural, etc."
9107,1,estado_solidario,A,Primacía del Estado en la protección de la sociedad y en el aseguramiento efectivo del ejercicio de sus derechos
10381,1,estado_solidario,A,"El Estado es responsable de asegurar que todas las personas, cuenten con las condiciones de bienestar básicas para su pleno desarrollo, garantizando como mínimo el acceso a educación, salud, vivienda y pensiones de calidad."
10542,1,estado_solidario,A,el estado tiene que ser solidario en todas sus entidades.
10624,1,estado_solidario,A,que entregue apoyo a todos
10926,1,estado_solidario,A,"El Estado debe garantizar tanto los derechos individuales como colectivos, sociales y medioambientales con igualdad de trato. Necesitamos cambiar el Estado Subsidiario por uno Solidario, que reconozca la diversidad de los distintos actores sociales y se resguarde su autonomía y desarrollo integral."
11509,1,estado_solidario,A,"La patria, de manera colectiva y comunitaria, actúa solidariamente frente a sus ciudadanos cualquiera sea su condición social, racial, sexual, política, económica, religiosa, biológica, o cultural. El principio de solidaridad protege a los chilenos frente a cualquier adversidad interna o externa."
11717,1,estado_solidario,A,"El Estado solidario distribuye los bienes y recursos que genera el país en forma justa y equitativa entre las personas, los colectivos sociales y los territorios, de acuerdo a sus necesidades diferenciadas."
12036,4,estado_solidario,A,"El Estado respeta y garantiza los derechos de las personas, y asume responsabilidad por el bienestar social, la provisión de servicios de calidad y de decisiones e intervenciones en la actividad económica que protejan los intereses y bienestar de la ciudadanía, sin limitaciones para la inversión pública. El Estado solidario garantiza la distribución equitativa de los bienes y recursos entre las personas, los colectivos sociales y los territorios, de acuerdo con sus necesidades diferenciadas. Estado laico, sin intervención alguna de credo religioso en las decisiones de sus diversos espacios, y que garantice la libertad de conciencia y la igualdad de derechos.  Estado plurinacional que reconoce las nacionalidades y pueblos que habitan el territorio, y garantiza a estos su derecho a la autodeterminación. Multicultural, al respetar e incluir de manera digna a las personas migrantes al entramado social."
12309,1,estado_solidario,A,Estado que asegure derechos sociales universales a las personas.
12381,4,estado_solidario,A,"Un estado Solidario, que garantice los derechos humanos"
12950,1,estado_solidario,A,Estado resguarda el bienestar de tod@s privilegiando bien común por sobre intereses particulares. Se hace cargo de las prioridades sociales.Protección de grupos vulnerables.Conservación del medio ambiente y recursos naturales.
13623,1,estado_solidario,A,"actualmente es subsidiario, quedamos sujetos a la iniciativa de los privados, no están cautelados los derechos"
13728,1,estado_solidario,A,Distribuir los bienes y recursos pais  en forma justa y equitativa entre personas y territorios de acuerdo a sus necesidades
14410,1,estado_solidario,A,"• Frente al estado mínimo y subsidiario del neoliberalismo se debe levantar un estado de contenido social y solidario capaz de asegurar un nivel de vida digno,  fundado en la satisfacción de las necesidades básicas de todos y cada uno de los ciudadanos de Chile."
14469,1,estado_solidario,A,"Un estado que promueve la equidad, la igualdad de oportunidades y la redistribución económica."
15207,1,estado_solidario,A,"Más alla de un Estado subsidiario, que se asegure extender la igualdad de oportunidades, redistribuyendo las mismas en ámbitos económicos y culturales."
