idEla,tema,concepto,acuerdo,fundamento
16,1,familia,A,Por que Es el núcleo esencial de esta sociedad y no puede existir sin dicho modelo como el padre la madre los hijos fruto de esta unión.
24,1,familia,A,base fundamental de la sociedad
107,1,familia,A,"La familia debe ser el núcleo de la sociedad chilena. Pues es en ella donde aprendemos los valores fundamentales de nuestra vida los cuales nos ayudan a vivir en una sociedad más justa y de oportunidades siendo respetuosos, generosos y comprometidos con el crecimiento del país."
126,1,familia,A,"ES EL NÚCLEO FUNDAMENTAL DE LA SOCIEDAD, FAMILIA BASADA EN EL MATRIMONIO ENTRE UN HOMBRE Y UNA MUJER."
220,1,familia,A,"Es la base de la sociedad, en cualquiera de sus formas."
222,1,familia,A,"Base de la sociedad, primera instancia de vida en comunidad, educa en valores y es fundacional."
291,1,familia,A,"La familia es el núcleo fundamental de la sociedad y el Estado debe resguardar su autonomía, así como la de las demás formas de asociación de las personas. El Estado debe reconocer y apoyar el esfuerzo de las familias en la crianza y educación de los hijos. Nuestros hijos son el futuro del país y el desarrollo poblacional es importante para sustentar el Chile del futuro."
481,1,familia,A,propender a que la familia sea el eje fundamental de la sociedad considerando la diversidad de cada nucleo familiar.
583,1,familia,A,Consideramos fundamental que se mantenga la institución de la familia en el artículo 1° de la constitución.
608,1,familia,A,"La Familia es el núcleo fundamental de la sociedad, compuesta ór un hombre y una mujer, su base principal es el matrimonio heterosexual. desacuerdo total que las parejas del mismo sexo adopten niñas y niños. Dios cre{o hombre y mujer, y sin la unión de ambos no puede existir sociedad."
671,1,familia,A,"La primera comunidad, núcleo básico de la sociedad que enseña y forma desde el principio a compartir y vivir en sociedad."
694,1,familia,A,La Familia es núcleo fundamental de la sociedad y el Estado debe resguardar su autonomía
804,1,familia,A,Organización básica de la sociedad.
959,1,familia,A,En términos amplios
995,4,familia,A,Núcleo fundamental de la sociedad
1003,1,familia,A,que es estado no este por sobre la familia y que ésta tenga la libertad de opción.
1040,1,familia,A,ES EL COMIENZO DE UNA SOCIEDAD.  DONDE SE ENTREGAN LOS VALORES .
1188,4,familia,A,como base de la sociedad.
1215,1,familia,A,"Entendemos que es la unidad o núcleo fundamental creada por Dios para formar la sociedad, entendiendo como familia la unión HETEROSEXUAL  ya sea familia biparental, extendida o uniparental y tiene derecho a la protección del Estado y la sociedad."
1525,1,familia,A,"La Familia es el nucleo fundamental de la sociedad y el estado debe resguardad su autonomia, asi como la de la mas forma de asociacion de las personas. El estado debe reconocer y apoyar el esfuerzo de las familias en la crianza y educacion de los hijos. nuestros hijos son el futuro del pais"
1601,1,familia,A,"UNIÓN ENTRE UNA MUJER Y UN HOMBRE, DONDE SE GENERA LA BASE DE LA SOCIEDAD."
1640,1,familia,A,Es la base toda sociedad.
1708,1,familia,A,"La familia como núcleo de las sociedad por su papel en las transmisión de la vida, la cultura y la formación/educación de los hijos."
1727,1,familia,A,"familia como núcleo fundamental (padre, madre e hijos)."
1751,1,familia,A,Núcleo de la vida y de la sociedad
1819,1,familia,A,"La familia nuclear constituida por padres, madre e hijos de filiación matrimonial, no matrimonial y adoptivos."
1864,1,familia,A,"La familia es el núcleo fundamental de la sociedad y el Estado debe  resguardar su autonomía, así como la de las demás formas de asociación de las personas. El Estado debe reconocer y apoyar el esfuerzo de las familias en la crianza y educación de los hijos.Nuestros hijos son el futuro del país."
1933,1,familia,A,Es el derecho fundamental de la sociedad y el estado debe resguardar su autonomia.
1943,4,familia,A,"Es importante incluir a la familia en el debate, pero entendiendo a ésta de una forma amplia, adecuada a los tiempos. Para ello es necesario cambiar la definición de familia y el ideario de su conformación."
2017,1,familia,A,"Por las nuevas configuraciones familiares, se debe tener una nueva visión sobre este núcleo como formador de valores."
2138,1,familia,A,"Como núcleo fundamental de la  sociedad, considera la familia como valor trascendental, argumentan que el la base para un ser humano completo, que esta institución se vea fortalecida lo mas completa posible, con figura MATERNA y PATERNA, que el estado no transgreda esto con matrimonio  igualitario."
2271,1,familia,A,BASE DE TODA LA SOCIEDAD
2297,1,familia,P,"La familia es la esencia de la sociedad, ya que los ciudadanos siempre existen en el contexto de una familia. La familia también es la primera educación que recibe un ser humano. La familia nos da identidad y trascendencia. Algunos participantes consideran que la personas es la base de la sociedad."
2321,1,familia,A,"EL NÚCLEO FUNDAMENTAL DE LA SOCIEDAD ES LA FAMILIA,FUNDADA EN UN MATRIMONIO DE UN HOMBRE Y UNA MUJER."
2359,1,familia,A,ENTENDIDA COMO NUCLEO FUNDAMENTAL DE LA SOCIEDAD
2461,4,familia,A,"Es necesario reconocer la primera forma de socializar que uno tiene y es por medio de la familia el lugar donde nos educamos y formamos, para luego ser un aporte a la sociedad."
2663,1,familia,P,"Valor de la familia en si misma, como algo positivo."
2746,1,familia,A,Núcleo fundamental de la sociedad.
3046,1,familia,A,"La familia es el núcleo fundamental de la sociedad y el Estado debe resguardar su autonomía, así como la forma de asociación de las personas para procrear (hombre, mujer e hijos). El Estado debe apoyar el esfuerzo de las familias en la crianza y educación de los hijos, ya que éstos son el futuro."
3269,4,familia,A,"La familia debe ser considerada como el núcleo fundamental de la sociedad, siendo el punto central de la vida social."
3321,1,familia,A,La familia es el núcleo fundamental de la sociedad. El estado debe protegerla y propender a su fortalecimiento.
3321,4,familia,A,"Núcleo fundamental de la sociedad para preservar la cultura, transmitir valores,  educar la libertad y responsabilidad de los ciudadanos."
3346,1,familia,A,"La base de la sociedad , en sus multiples conformaciones"
3346,2,familia,A,Garantizar sistemas de proteccion a la familia
3376,1,familia,A,Consideramos este valor como el fundamental para la sociedad y debe ser compuesta por un hombre y una mujer
3664,1,familia,A,La familia es el núcleo fundamental de la sociedad y del estado. Debe resguardar su Autonomía.
