idEla,tema,concepto,acuerdo,fundamento
230,2,felicidad,A,"Garantizar la felicidad de las personas, la calidad de vida, ocio, cultura, deporte, pasatiempos, tiempo libre."
498,2,felicidad,A,Derecho a elegir el camino para alcanzar la felicidad dentro del bien común
1164,1,felicidad,A,"Además, agregamos la felicidad y el AMOR, puesto que los buscamos buscamos la Felicidad y el Amor debe ser interpretado como fundamento al Bien Común."
1308,1,felicidad,A,"El Estado deber proveer derechos y garantías que permitan a los ciudadanos ser felices. Sin miedo a las palabras, porque interpretan en sentir de las personas"
2154,2,felicidad,A,"Individual y colectiva, a través de derechos como trabajos y sueldos dignos."
2322,2,felicidad,A,"El estado debe garantizar derechos esenciales para todo ser humanos, tales como la salud, educación, trabajo, etc. De esta manera el estado entregará las herramientas o mecanismos para cada individuo logre un desarrollo integral, cualquiera fuese este y de esta manera logre encontrar la felicidad que él desea."
2855,2,felicidad,P,"La felicidad como derecho donde el Estado asegura que sus ciudadanas y ciudadanos tengan espacios para la realización personal, para divertirse, para compartir en familia, para disfrutar el deporte, una vida sana, para disfrutar de la cultura, para disfrutar de la naturaleza, de un medio ambiente s"
3440,1,felicidad,A,"Una constitución debe aspirar, antes que nada, a la felicidad de los habitantes que han elegido regirse por ella. Entendemos felicidad como un conjunto de condiciones que permiten que cada persona alcance el máximo de su potencial gracias a un estado de bienestar espiritual, mental y físico."
3604,1,felicidad,A,"Es fundamental procurar trabajar la felicidad, desde la perspectiva del bien común, se requiere que el Estado tome cartas en el asunto."
3606,1,felicidad,A,"Nivel o valoración de la satisfacción del buen vivir. Se considera la importancia de este principio como tal, a partir de que su ejercicio nos permita concebir un índice de calidad de vida."
3689,1,felicidad,A,"tiene relación con un principio de la vida, un desarrollo a escala humana, no solo un desarrollo en lo monetario. (Manfred Max-neef)    La felicidad es la inspiración de la sociedad, y permite potenciar las capacidades de las personas y el buen vivir. (para ello que se garantice los derechos básicos)"
4823,1,felicidad,A,"Queremos una constitución que valore y promueva la felicidad de las personas, su desarrollo y plenitud"
5034,1,felicidad,P,consideramos que la base de todo es la felicidad.
5555,1,felicidad,A,Surge de la discusión como el fin de toda sociedad: se debe aspirar a la felicidad de los habitantes en el entorno.
5997,1,felicidad,A,"debemos como comunidad buscar la felicidad, plenitud de todos los ciudadanos"
6082,1,felicidad,A,Garantizar condiciones mínimas que permitan la búsqueda de la felicidad.
6097,2,felicidad,A,DERECHO A GOZAR DE UNA CALIDAD DE VIDA QUE PERMITA EL DISFRUTE FAMILIAR Y SOCIAL. DESARROLLANDO MÉTODOS DE EVALUACIÓN DE GRADO DE FELICIDAD EN LA COMUNIDAD
6531,1,felicidad,A,"Pues es el fin de todo lo que hacemos, por ende se debe tener este valor, la búsqueda de la plenitud como seres."
6776,1,felicidad,A,la felicidad debe ser el propósito final de todas las políticas públicas
6834,1,felicidad,P,"- Se considera como el valor regulador de los valores reguladores.  - Al igual que el concepto anterior la dificultad de la definición, por un lado, más el debate moral en torno redundan en que no esté claro si es necesario integrarlo al debate debido a la ambigüedad que genera el concepto."
7608,1,felicidad,A,El estado debe generar las condiciones mínimas para el desarrollo de la felicidad de los y las ciudadanas.
7849,1,felicidad,A,Queremos que nuestra vida en sociedad cada acción debe orientarse a nuestra felicidad. A poder disfrutar de nuestra vida y no sólo vivir.
8445,1,felicidad,A,"Muestra la realización plena del ser humano, es su fin ultimo. Todo ha de apuntar a ella y es complementaria con la paz. Es un principio del que derivan valores individuales y colectivos tendientes al bien común."
8670,1,felicidad,A,...
8670,2,felicidad,A,"Tranquilidad. Derecho a vivir una vida plena, a gozar, a desarrollarse, a vivir en paz, a jugar, al ocio (tiempo libre, vacaciones, trabajar menos y descansar), a recorrer y caminar por todo Chile."
8787,1,felicidad,P,"Crecimiento espiritual y material, vida equilibrada y armónica, pues convoca a un interés común. 3 personas de 15 consideran que podría ser un concepto etéreo (vago)."
9072,2,felicidad,A,Este derecho es fundamental para que cada uno  como ser humano tenga la posibilidad de manifestar y realizar su bienestar en convivencia con el ser interior y su entorno.
9142,2,felicidad,A,"Los ciudadanos tienen el derecho de buscar su desarrollo material, físico, sicológico y espiritual tanto a nivel individual como colectivo que les permita alcanzar la plenitud emocional, entendiéndose ésta como la felicidad."
9427,2,felicidad,A,no se habló de fundamentos
9706,1,felicidad,P,"Se propone como valor. Garantizar el bienestar integral de las personas entregando herramientas para la consecución de la felicidad, procurando que las personas gocen efectivamente de sus derechos y ejerzan responsabilidades, con tiempo para vivir el amor, la familia, la amistad y el esparcimiento."
