idEla,tema,concepto,acuerdo,fundamento
291,4,fiscalización,A,"Es menester reforzar el rol fiscalizador de los parlamentarios, estableciendo facultades a dicho respecto también en grupos de parlamentarios y no sólo en comisiones."
1864,4,fiscalización,A,"Es menester reforzar el rol fiscalizador de los parlamentarios,  estableciendo facultades a dicho respecto también en grupos de  parlamentarios y no sólo en comisiones."
2341,1,fiscalización,P,9 de los 10 participantes considera que la fiscalización debe ser un principio.
6151,4,fiscalización,A,"•Es menester reforzar el rol fiscalizador de los parlamentarios, estableciendo facultades a dicho respecto también en grupos de parlamentarios y no sólo en comisiones."
7219,4,fiscalización,A,"Es menester reforzar el rol fiscalizador de los parlamentarios, estableciendo facultades a dicho respecto también en grupos de parlamentarios y no sólo en comisiones"
7644,4,fiscalización,A,"Es necesario fiscalizar a los parlamentarios, pero no del mismo conglomerado sino de otras entidades externas."
9836,4,fiscalización,A,"•Es menester reforzar el rol fiscalizador de los parlamentarios, estableciendo facultades a dicho respecto también en grupos de parlamentarios y no sólo en comisiones"
10257,4,fiscalización,A,Se necesita mayores herramientas y facultades fiscalizadoras por los poderes del Estado y los particulares.
11123,4,fiscalización,A,"Sanción a autoridades corruptas. Que las determinaciones de las autoridades y los gastos en que incurran, sean totalmente transparentes, sancionando el ocultamiento."
11212,4,fiscalización,A,Reforzar el rol fiscalizador de los parlamentarios estableciendo facultades a dicho respecto en grupos de parlamentarios y no sólo en comisiones
11476,3,fiscalización,A,"Tener mayor fiscalización, procurar que se usen bien los recursos. Con transparencia y ética de parte de todos, incluidos la ciudadanía."
11671,3,fiscalización,A,Fiscalizar  nuestro representantes y autoridades.
11712,3,fiscalización,A,Desde los ciudadanos y las entidades públicas en el cumplimiento de deberes y responsabilidades.
12141,4,fiscalización,A,la fiscalización no solo en comisiones
15021,4,fiscalización,A,Reforzar rol fiscalizadora del parlamento.
15110,4,fiscalización,A,Consideramos importante un ente fiscalizador que se haga cargo de inspeccionar al estado.
15310,4,fiscalización,A,"Reforzar rol fiscalizador de los parlamentarios, estableciendo facultades a grupos de parlamentarios y no solo comisiones."
15316,4,fiscalización,A,"Es menester reforzar el rol fiscalizador de los parlamentarios, estableciendo facultades a dicho respecto también en grupos de parlamentarios y no sólo en comisiones."
15824,4,fiscalización,A,"Queremos un activo rol fiscalizador a los parlamentarios, a alcaldes y concejales."
